mean,RMS,ptp,std,max,min
16.471,16.471,0.148,0.047,16.529,16.381
16.473,16.473,0.193,0.051,16.571,16.378
16.481,16.481,0.193,0.046,16.571,16.378
16.478,16.478,0.193,0.046,16.571,16.378
16.478,16.478,0.193,0.047,16.571,16.378
16.477,16.477,0.168,0.045,16.557,16.389
16.475,16.475,0.173,0.049,16.562,16.389
16.472,16.472,0.173,0.049,16.562,16.389
16.474,16.474,0.197,0.055,16.595,16.398
16.481,16.481,0.197,0.054,16.595,16.398
16.481,16.481,0.197,0.054,16.595,16.398
16.494,16.495,0.197,0.053,16.595,16.398
16.488,16.488,0.184,0.049,16.595,16.411
16.484,16.484,0.169,0.042,16.585,16.416
16.489,16.489,0.162,0.042,16.578,16.416
16.483,16.483,0.162,0.035,16.578,16.416
16.483,16.483,0.162,0.032,16.578,16.416
16.49,16.49,0.161,0.027,16.578,16.417
16.493,16.493,0.106,0.023,16.556,16.45
16.499,16.499,0.101,0.02,16.556,16.455
16.501,16.501,0.097,0.02,16.556,16.459
16.496,16.496,0.121,0.023,16.556,16.435
16.497,16.497,0.105,0.024,16.537,16.432
16.495,16.495,0.105,0.023,16.537,16.432
16.498,16.498,0.105,0.024,16.537,16.432
16.502,16.502,0.106,0.024,16.538,16.432
16.503,16.503,0.102,0.023,16.538,16.436
16.505,16.505,0.126,0.028,16.556,16.43
16.506,16.506,0.138,0.032,16.556,16.418
16.506,16.506,0.138,0.036,16.556,16.418
16.511,16.511,0.138,0.033,16.556,16.418
16.504,16.504,0.138,0.035,16.556,16.418
16.494,16.494,0.134,0.037,16.552,16.418
16.488,16.488,0.143,0.037,16.552,16.409
16.489,16.489,0.133,0.037,16.542,16.409
16.486,16.486,0.133,0.039,16.542,16.409
16.495,16.495,0.145,0.041,16.554,16.409
16.499,16.499,0.145,0.041,16.554,16.409
16.493,16.493,0.155,0.044,16.554,16.399
16.491,16.492,0.158,0.048,16.554,16.396
16.492,16.492,0.152,0.047,16.548,16.396
16.485,16.485,0.152,0.049,16.548,16.396
16.487,16.487,0.152,0.051,16.548,16.396
16.489,16.489,0.143,0.046,16.548,16.405
16.484,16.484,0.142,0.044,16.548,16.406
16.478,16.478,0.142,0.042,16.548,16.406
16.478,16.478,0.149,0.042,16.555,16.406
16.483,16.484,0.178,0.05,16.57,16.392
16.485,16.485,0.178,0.05,16.57,16.392
16.482,16.482,0.178,0.049,16.57,16.392
16.484,16.484,0.178,0.05,16.57,16.392
16.487,16.487,0.178,0.048,16.57,16.392
16.495,16.495,0.16,0.046,16.579,16.419
16.496,16.497,0.16,0.043,16.579,16.419
16.496,16.496,0.16,0.044,16.579,16.419
16.496,16.496,0.163,0.048,16.579,16.416
16.493,16.493,0.155,0.05,16.571,16.416
16.481,16.481,0.155,0.05,16.571,16.416
16.474,16.474,0.155,0.049,16.571,16.416
16.473,16.473,0.16,0.044,16.569,16.409
16.473,16.473,0.191,0.046,16.591,16.4
16.475,16.475,0.191,0.044,16.591,16.4
16.48,16.48,0.214,0.05,16.614,16.4
16.485,16.485,0.214,0.049,16.614,16.4
16.481,16.481,0.214,0.044,16.614,16.4
16.491,16.491,0.181,0.052,16.614,16.433
16.496,16.496,0.181,0.052,16.614,16.433
16.492,16.492,0.176,0.047,16.609,16.433
16.497,16.497,0.181,0.049,16.609,16.428
16.488,16.488,0.181,0.046,16.609,16.428
16.478,16.478,0.17,0.038,16.598,16.428
16.482,16.482,0.17,0.035,16.598,16.428
16.487,16.487,0.17,0.04,16.603,16.433
16.491,16.491,0.17,0.038,16.603,16.433
16.496,16.496,0.167,0.037,16.603,16.436
