mean,RMS,ptp,std,max,min
26.596,26.596,0.123,0.038,26.631,26.508
26.603,26.603,0.042,0.012,26.62,26.578
26.6,26.6,0.124,0.034,26.632,26.508
26.601,26.601,0.101,0.029,26.625,26.524
26.608,26.608,0.038,0.011,26.625,26.587
26.589,26.589,0.109,0.038,26.634,26.525
26.588,26.588,0.098,0.032,26.618,26.52
26.597,26.597,0.132,0.036,26.629,26.497
26.611,26.611,0.036,0.009,26.625,26.589
26.586,26.586,0.092,0.032,26.613,26.521
26.614,26.614,0.029,0.008,26.627,26.598
26.608,26.608,0.082,0.022,26.632,26.55
26.614,26.614,0.048,0.013,26.642,26.594
26.607,26.608,0.039,0.012,26.623,26.584
26.592,26.592,0.146,0.042,26.635,26.489
26.575,26.575,0.134,0.048,26.627,26.493
26.6,26.6,0.035,0.01,26.616,26.581
26.585,26.585,0.134,0.049,26.638,26.504
26.606,26.606,0.115,0.032,26.632,26.517
26.61,26.61,0.142,0.039,26.638,26.496
26.614,26.614,0.045,0.013,26.64,26.595
26.599,26.599,0.118,0.033,26.624,26.506
26.591,26.591,0.141,0.047,26.628,26.487
26.599,26.599,0.082,0.027,26.626,26.544
26.607,26.607,0.116,0.032,26.632,26.516
26.595,26.595,0.118,0.044,26.627,26.509
26.615,26.615,0.1,0.028,26.633,26.533
26.612,26.612,0.113,0.03,26.637,26.524
26.597,26.597,0.114,0.04,26.629,26.515
26.609,26.609,0.115,0.032,26.641,26.526
