mean,RMS,ptp,std,max,min
21.021,21.022,0.309,0.087,21.179,20.87
21.01,21.01,0.309,0.087,21.179,20.87
21.009,21.009,0.309,0.089,21.179,20.87
21.0,21.001,0.309,0.092,21.179,20.87
21.003,21.003,0.309,0.099,21.179,20.87
21.009,21.009,0.309,0.098,21.179,20.87
21.004,21.005,0.309,0.095,21.179,20.87
21.009,21.009,0.309,0.095,21.179,20.87
21.01,21.011,0.301,0.095,21.171,20.87
21.008,21.009,0.308,0.097,21.171,20.863
21.001,21.001,0.308,0.095,21.171,20.863
21.008,21.009,0.308,0.094,21.171,20.863
21.003,21.004,0.308,0.094,21.171,20.863
21.017,21.018,0.308,0.094,21.171,20.863
21.024,21.025,0.308,0.094,21.171,20.863
21.024,21.025,0.308,0.093,21.171,20.863
21.022,21.022,0.302,0.088,21.165,20.863
21.017,21.017,0.302,0.091,21.165,20.863
21.013,21.013,0.302,0.09,21.165,20.863
21.009,21.009,0.302,0.092,21.165,20.863
21.011,21.012,0.302,0.092,21.165,20.863
21.005,21.005,0.302,0.09,21.165,20.863
21.012,21.013,0.302,0.087,21.165,20.863
21.01,21.01,0.279,0.083,21.161,20.882
21.005,21.005,0.286,0.087,21.161,20.875
21.005,21.005,0.289,0.085,21.161,20.872
20.992,20.992,0.273,0.082,21.144,20.871
20.99,20.991,0.273,0.081,21.144,20.871
20.982,20.982,0.273,0.076,21.144,20.871
20.988,20.988,0.279,0.079,21.15,20.871
20.988,20.989,0.289,0.083,21.16,20.871
20.987,20.987,0.289,0.082,21.16,20.871
20.987,20.987,0.289,0.081,21.16,20.871
20.988,20.988,0.29,0.083,21.161,20.871
20.986,20.986,0.29,0.084,21.161,20.871
20.984,20.984,0.29,0.086,21.161,20.871
20.991,20.991,0.314,0.089,21.185,20.871
20.996,20.996,0.314,0.091,21.185,20.871
21.0,21.0,0.314,0.092,21.185,20.871
21.007,21.007,0.304,0.089,21.185,20.881
21.013,21.013,0.304,0.09,21.185,20.881
21.008,21.008,0.304,0.088,21.185,20.881
21.01,21.011,0.304,0.088,21.185,20.881
21.016,21.016,0.304,0.083,21.185,20.881
21.009,21.009,0.304,0.083,21.185,20.881
21.004,21.004,0.304,0.082,21.185,20.881
21.001,21.001,0.304,0.084,21.185,20.881
21.001,21.001,0.301,0.084,21.185,20.884
20.999,20.999,0.273,0.081,21.165,20.892
20.992,20.992,0.264,0.077,21.156,20.892
20.992,20.992,0.264,0.076,21.156,20.892
20.995,20.996,0.292,0.081,21.184,20.892
20.998,20.998,0.292,0.081,21.184,20.892
20.994,20.994,0.292,0.08,21.184,20.892
20.992,20.992,0.292,0.078,21.184,20.892
20.993,20.994,0.292,0.078,21.184,20.892
20.995,20.995,0.292,0.078,21.184,20.892
21.002,21.002,0.292,0.085,21.184,20.892
21.004,21.004,0.285,0.084,21.184,20.899
21.007,21.007,0.285,0.084,21.184,20.899
21.007,21.008,0.285,0.082,21.184,20.899
21.011,21.011,0.285,0.083,21.184,20.899
21.009,21.009,0.286,0.083,21.184,20.898
21.005,21.005,0.284,0.081,21.182,20.898
21.009,21.009,0.284,0.082,21.182,20.898
21.009,21.009,0.297,0.083,21.182,20.885
21.01,21.01,0.297,0.086,21.182,20.885
21.007,21.008,0.297,0.085,21.182,20.885
21.01,21.01,0.297,0.084,21.182,20.885
21.009,21.009,0.297,0.083,21.182,20.885
21.007,21.007,0.271,0.082,21.156,20.885
21.008,21.009,0.271,0.081,21.156,20.885
21.01,21.01,0.271,0.079,21.156,20.885
21.016,21.016,0.314,0.085,21.199,20.885
21.018,21.018,0.314,0.084,21.199,20.885
21.014,21.014,0.314,0.083,21.199,20.885
21.01,21.01,0.327,0.082,21.199,20.872
21.008,21.008,0.327,0.082,21.199,20.872
21.012,21.012,0.327,0.082,21.199,20.872
21.007,21.007,0.327,0.083,21.199,20.872
21.003,21.003,0.327,0.081,21.199,20.872
21.002,21.002,0.327,0.081,21.199,20.872
21.01,21.01,0.327,0.081,21.199,20.872
21.014,21.014,0.327,0.079,21.199,20.872
21.016,21.016,0.327,0.079,21.199,20.872
21.009,21.009,0.312,0.079,21.184,20.872
21.007,21.007,0.312,0.08,21.184,20.872
21.006,21.007,0.312,0.083,21.184,20.872
21.011,21.011,0.295,0.08,21.184,20.889
21.011,21.011,0.295,0.079,21.184,20.889
21.009,21.009,0.295,0.079,21.184,20.889
21.007,21.007,0.295,0.075,21.184,20.889
21.013,21.014,0.295,0.075,21.184,20.889
21.008,21.009,0.295,0.077,21.184,20.889
21.001,21.001,0.295,0.077,21.184,20.889
20.997,20.997,0.295,0.074,21.184,20.889
20.992,20.992,0.295,0.074,21.184,20.889
20.991,20.991,0.297,0.076,21.184,20.887
20.986,20.986,0.263,0.072,21.15,20.887
20.984,20.984,0.261,0.068,21.148,20.887
20.995,20.995,0.261,0.07,21.148,20.887
20.991,20.991,0.261,0.072,21.148,20.887
20.988,20.989,0.261,0.073,21.148,20.887
20.991,20.991,0.261,0.071,21.148,20.887
20.988,20.988,0.261,0.069,21.148,20.887
20.988,20.988,0.261,0.068,21.148,20.887
20.992,20.992,0.261,0.067,21.148,20.887
20.999,21.0,0.266,0.073,21.153,20.887
20.995,20.995,0.266,0.073,21.153,20.887
20.999,20.999,0.285,0.076,21.179,20.894
20.99,20.99,0.285,0.075,21.179,20.894
20.984,20.984,0.324,0.076,21.179,20.855
20.985,20.985,0.324,0.081,21.179,20.855
20.982,20.983,0.324,0.079,21.179,20.855
20.982,20.982,0.324,0.077,21.179,20.855
20.978,20.978,0.324,0.078,21.179,20.855
20.98,20.98,0.324,0.08,21.179,20.855
20.977,20.977,0.324,0.081,21.179,20.855
20.982,20.982,0.324,0.084,21.179,20.855
20.979,20.979,0.324,0.08,21.179,20.855
20.974,20.974,0.324,0.077,21.179,20.855
20.969,20.969,0.312,0.072,21.167,20.855
20.976,20.976,0.312,0.072,21.167,20.855
20.983,20.983,0.296,0.067,21.167,20.871
20.982,20.982,0.296,0.066,21.167,20.871
20.977,20.977,0.279,0.059,21.15,20.871
20.982,20.982,0.279,0.061,21.15,20.871
20.986,20.986,0.267,0.058,21.15,20.883
20.991,20.992,0.279,0.064,21.162,20.883
20.987,20.987,0.279,0.067,21.162,20.883
20.986,20.986,0.272,0.063,21.162,20.89
20.98,20.98,0.275,0.066,21.162,20.887
20.983,20.983,0.275,0.068,21.162,20.887
20.988,20.988,0.275,0.069,21.162,20.887
20.987,20.987,0.284,0.069,21.162,20.878
20.987,20.987,0.284,0.069,21.162,20.878
20.987,20.987,0.284,0.071,21.162,20.878
20.987,20.987,0.284,0.071,21.162,20.878
20.994,20.994,0.297,0.074,21.175,20.878
20.986,20.987,0.297,0.075,21.175,20.878
20.98,20.98,0.318,0.071,21.175,20.857
20.978,20.978,0.318,0.072,21.175,20.857
20.973,20.973,0.318,0.07,21.175,20.857
20.968,20.969,0.324,0.07,21.175,20.851
20.97,20.97,0.324,0.068,21.175,20.851
20.97,20.97,0.324,0.067,21.175,20.851
20.964,20.964,0.324,0.066,21.175,20.851
20.967,20.967,0.324,0.065,21.175,20.851
20.972,20.972,0.324,0.068,21.175,20.851
20.969,20.97,0.324,0.067,21.175,20.851
20.967,20.967,0.236,0.062,21.087,20.851
20.965,20.965,0.236,0.061,21.087,20.851
20.963,20.963,0.236,0.061,21.087,20.851
20.972,20.972,0.236,0.061,21.087,20.851
20.977,20.977,0.274,0.064,21.125,20.851
20.982,20.982,0.26,0.06,21.125,20.865
20.981,20.981,0.26,0.06,21.125,20.865
20.983,20.983,0.26,0.061,21.125,20.865
20.989,20.989,0.26,0.062,21.125,20.865
20.987,20.987,0.235,0.059,21.125,20.89
20.988,20.989,0.235,0.06,21.125,20.89
20.989,20.989,0.235,0.06,21.125,20.89
20.988,20.988,0.248,0.061,21.125,20.877
