mean,RMS,ptp,std,max,min
23.249,23.249,0.123,0.034,23.332,23.209
23.251,23.251,0.123,0.031,23.332,23.209
23.251,23.251,0.117,0.026,23.337,23.22
23.251,23.251,0.117,0.026,23.337,23.22
23.257,23.257,0.12,0.03,23.342,23.222
23.258,23.258,0.124,0.034,23.346,23.222
23.259,23.259,0.124,0.033,23.346,23.222
23.26,23.26,0.124,0.037,23.346,23.222
23.267,23.267,0.138,0.041,23.361,23.223
23.261,23.261,0.134,0.036,23.361,23.227
23.264,23.264,0.134,0.041,23.361,23.227
23.263,23.263,0.139,0.039,23.361,23.222
23.264,23.264,0.133,0.035,23.355,23.222
23.27,23.27,0.133,0.043,23.355,23.222
23.265,23.265,0.128,0.036,23.35,23.222
23.267,23.267,0.128,0.038,23.35,23.222
23.263,23.263,0.119,0.036,23.35,23.231
23.258,23.258,0.102,0.027,23.333,23.231
23.26,23.26,0.105,0.03,23.335,23.23
23.266,23.266,0.105,0.033,23.335,23.23
23.27,23.27,0.125,0.036,23.354,23.229
23.275,23.275,0.125,0.039,23.354,23.229
23.276,23.276,0.125,0.038,23.354,23.229
23.278,23.278,0.125,0.037,23.354,23.229
23.274,23.274,0.118,0.035,23.354,23.236
23.276,23.276,0.115,0.034,23.351,23.236
23.278,23.278,0.122,0.034,23.358,23.236
23.281,23.281,0.126,0.034,23.362,23.236
23.289,23.289,0.112,0.035,23.362,23.25
23.294,23.294,0.117,0.038,23.362,23.245
23.295,23.295,0.117,0.04,23.362,23.245
23.305,23.305,0.117,0.04,23.362,23.245
23.306,23.306,0.124,0.041,23.369,23.245
23.3,23.3,0.124,0.04,23.369,23.245
23.295,23.295,0.112,0.037,23.369,23.257
23.3,23.301,0.111,0.04,23.373,23.262
23.304,23.304,0.12,0.042,23.382,23.262
23.307,23.307,0.128,0.042,23.382,23.254
23.308,23.308,0.128,0.041,23.382,23.254
23.31,23.31,0.128,0.04,23.382,23.254
23.308,23.308,0.13,0.04,23.384,23.254
23.315,23.315,0.131,0.04,23.398,23.267
23.32,23.32,0.126,0.037,23.398,23.272
23.321,23.321,0.126,0.04,23.398,23.272
23.324,23.324,0.126,0.04,23.398,23.272
23.323,23.323,0.114,0.036,23.394,23.28
23.324,23.324,0.134,0.04,23.401,23.267
