mean,RMS,ptp,std,max,min
23.511,23.511,0.239,0.055,23.635,23.396
23.508,23.508,0.235,0.054,23.631,23.396
23.505,23.505,0.235,0.055,23.631,23.396
23.503,23.503,0.298,0.057,23.645,23.347
23.499,23.499,0.298,0.055,23.645,23.347
23.5,23.501,0.298,0.057,23.645,23.347
23.504,23.504,0.321,0.06,23.668,23.347
23.504,23.504,0.321,0.058,23.668,23.347
23.506,23.506,0.321,0.058,23.668,23.347
23.507,23.507,0.321,0.057,23.668,23.347
23.511,23.511,0.321,0.057,23.668,23.347
23.513,23.513,0.321,0.056,23.668,23.347
23.515,23.515,0.321,0.055,23.668,23.347
23.513,23.513,0.321,0.056,23.668,23.347
23.512,23.512,0.26,0.052,23.668,23.408
23.512,23.512,0.26,0.053,23.668,23.408
23.509,23.509,0.32,0.056,23.668,23.348
23.506,23.506,0.269,0.054,23.617,23.348
23.507,23.507,0.269,0.055,23.617,23.348
23.501,23.502,0.269,0.057,23.617,23.348
23.497,23.497,0.269,0.057,23.617,23.348
23.495,23.495,0.258,0.056,23.606,23.348
23.493,23.493,0.258,0.056,23.606,23.348
23.49,23.49,0.287,0.058,23.635,23.348
23.494,23.494,0.331,0.061,23.679,23.348
23.498,23.498,0.331,0.066,23.679,23.348
23.496,23.496,0.331,0.065,23.679,23.348
23.497,23.497,0.275,0.062,23.679,23.404
23.5,23.5,0.363,0.069,23.767,23.404
23.5,23.501,0.363,0.068,23.767,23.404
23.503,23.503,0.363,0.067,23.767,23.404
23.509,23.509,0.352,0.066,23.767,23.415
23.508,23.508,0.352,0.066,23.767,23.415
23.51,23.51,0.352,0.065,23.767,23.415
23.512,23.513,0.352,0.065,23.767,23.415
23.513,23.513,0.34,0.063,23.767,23.427
23.512,23.512,0.34,0.059,23.767,23.427
23.513,23.513,0.34,0.057,23.767,23.427
23.513,23.513,0.333,0.056,23.767,23.434
23.511,23.511,0.268,0.05,23.702,23.434
23.51,23.51,0.251,0.049,23.702,23.451
23.511,23.511,0.312,0.052,23.702,23.39
23.508,23.508,0.312,0.05,23.702,23.39
23.509,23.509,0.312,0.05,23.702,23.39
23.508,23.508,0.312,0.052,23.702,23.39
23.505,23.505,0.255,0.048,23.645,23.39
23.504,23.504,0.255,0.046,23.645,23.39
23.505,23.505,0.255,0.048,23.645,23.39
23.507,23.508,0.255,0.051,23.645,23.39
23.51,23.51,0.255,0.053,23.645,23.39
23.514,23.514,0.273,0.054,23.663,23.39
23.516,23.516,0.273,0.055,23.663,23.39
23.517,23.517,0.25,0.054,23.663,23.413
23.517,23.517,0.241,0.054,23.663,23.422
23.516,23.516,0.256,0.054,23.663,23.407
23.519,23.519,0.256,0.052,23.663,23.407
23.523,23.523,0.256,0.053,23.663,23.407
23.523,23.523,0.256,0.054,23.663,23.407
23.518,23.518,0.256,0.055,23.663,23.407
23.517,23.517,0.256,0.054,23.663,23.407
23.513,23.513,0.256,0.054,23.663,23.407
23.51,23.51,0.257,0.054,23.664,23.407
23.512,23.512,0.257,0.054,23.664,23.407
23.511,23.511,0.257,0.053,23.664,23.407
23.515,23.515,0.276,0.056,23.683,23.407
23.518,23.518,0.271,0.056,23.683,23.412
23.521,23.521,0.271,0.056,23.683,23.412
23.524,23.524,0.271,0.057,23.683,23.412
23.528,23.528,0.271,0.057,23.683,23.412
23.537,23.537,0.264,0.055,23.683,23.419
23.535,23.535,0.264,0.055,23.683,23.419
23.532,23.532,0.302,0.058,23.683,23.381
23.528,23.528,0.302,0.06,23.683,23.381
23.522,23.523,0.302,0.061,23.683,23.381
