mean,RMS,ptp,std,max,min
16.479,16.479,0.138,0.037,16.519,16.381
16.472,16.472,0.138,0.043,16.519,16.381
16.461,16.461,0.138,0.046,16.519,16.381
16.463,16.463,0.117,0.042,16.519,16.402
16.466,16.466,0.117,0.044,16.519,16.402
16.467,16.467,0.117,0.045,16.519,16.402
16.458,16.458,0.122,0.049,16.519,16.397
16.448,16.448,0.122,0.049,16.519,16.397
16.443,16.443,0.122,0.05,16.519,16.397
16.432,16.432,0.117,0.044,16.514,16.397
16.435,16.435,0.117,0.048,16.514,16.397
16.445,16.445,0.117,0.05,16.514,16.397
16.455,16.455,0.117,0.051,16.514,16.397
16.467,16.467,0.126,0.051,16.523,16.397
16.469,16.469,0.132,0.053,16.529,16.397
16.471,16.471,0.132,0.055,16.529,16.397
16.474,16.474,0.127,0.052,16.529,16.402
16.48,16.48,0.119,0.046,16.529,16.41
16.484,16.484,0.119,0.042,16.529,16.41
16.493,16.493,0.104,0.033,16.529,16.425
16.494,16.494,0.104,0.034,16.529,16.425
16.494,16.494,0.104,0.034,16.529,16.425
16.493,16.493,0.104,0.034,16.529,16.425
16.481,16.481,0.122,0.041,16.529,16.407
16.478,16.478,0.122,0.038,16.529,16.407
17.163,17.287,6.968,2.071,23.375,16.407
17.861,18.074,7.001,2.765,23.408,16.407
18.625,18.912,7.695,3.281,24.102,16.407
19.388,19.713,7.695,3.562,24.102,16.407
20.222,20.569,8.434,3.759,24.841,16.407
21.052,21.387,8.434,3.765,24.841,16.407
21.846,22.133,8.434,3.552,24.841,16.407
22.532,22.742,8.434,3.084,24.841,16.407
23.176,23.291,8.344,2.314,24.841,16.497
23.973,23.982,1.997,0.654,24.841,22.844
23.997,24.005,1.997,0.636,24.841,22.844
24.1,24.108,1.997,0.615,24.841,22.844
24.242,24.254,2.681,0.749,25.525,22.844
24.237,24.248,2.681,0.751,25.525,22.844
24.104,24.116,2.681,0.749,25.525,22.844
23.278,23.396,8.975,2.353,25.525,16.55
22.477,22.687,9.097,3.075,25.525,16.428
21.784,22.071,9.097,3.543,25.525,16.428
21.148,21.496,9.097,3.853,25.525,16.428
20.347,20.72,9.097,3.912,25.525,16.428
19.633,20.017,9.097,3.902,25.525,16.428
18.84,19.189,9.097,3.641,25.525,16.428
17.933,18.169,7.597,2.922,24.025,16.428
17.173,17.302,7.093,2.115,23.517,16.424
16.463,16.463,0.126,0.04,16.55,16.424
16.46,16.46,0.09,0.034,16.514,16.424
16.466,16.466,0.09,0.033,16.514,16.424
16.47,16.47,0.09,0.031,16.514,16.424
16.464,16.464,0.092,0.034,16.514,16.422
16.464,16.464,0.092,0.034,16.514,16.422
16.47,16.47,0.109,0.039,16.531,16.422
16.471,16.471,0.109,0.041,16.531,16.422
16.47,16.47,0.109,0.042,16.531,16.422
16.48,16.48,0.109,0.042,16.531,16.422
16.491,16.491,0.109,0.04,16.531,16.422
17.178,17.302,6.96,2.069,23.382,16.422
17.875,18.089,7.044,2.775,23.466,16.422
18.644,18.933,7.737,3.295,24.159,16.422
19.404,19.729,7.721,3.562,24.159,16.438
20.234,20.577,8.317,3.74,24.755,16.438
21.053,21.382,8.317,3.735,24.755,16.438
21.834,22.116,8.317,3.519,24.755,16.438
22.534,22.738,8.23,3.039,24.755,16.525
23.16,23.273,8.224,2.289,24.755,16.531
23.946,23.954,1.965,0.617,24.755,22.79
23.968,23.976,1.965,0.6,24.755,22.79
24.062,24.069,1.965,0.587,24.755,22.79
