mean,RMS,ptp,std,max,min
21.058,21.058,0.254,0.08,21.151,20.897
21.062,21.062,0.254,0.08,21.151,20.897
21.054,21.054,0.248,0.074,21.145,20.897
21.045,21.045,0.233,0.068,21.13,20.897
21.046,21.046,0.233,0.067,21.13,20.897
21.065,21.065,0.135,0.046,21.13,20.995
21.065,21.065,0.134,0.046,21.13,20.996
21.063,21.063,0.127,0.043,21.123,20.996
21.051,21.052,0.144,0.048,21.123,20.979
21.026,21.026,0.239,0.067,21.11,20.871
21.025,21.025,0.239,0.067,21.11,20.871
21.014,21.014,0.239,0.066,21.11,20.871
21.022,21.022,0.285,0.077,21.156,20.871
21.02,21.02,0.285,0.077,21.156,20.871
21.035,21.035,0.288,0.087,21.159,20.871
21.654,21.735,6.404,1.875,27.275,20.871
22.06,22.161,6.404,2.113,27.275,20.871
22.657,22.8,6.404,2.556,27.275,20.871
23.078,23.224,6.404,2.593,27.275,20.871
23.676,23.83,6.306,2.702,27.275,20.969
23.695,23.846,6.306,2.684,27.275,20.969
23.701,23.852,6.245,2.678,27.275,21.03
23.677,23.831,6.357,2.702,27.275,20.918
23.666,23.821,6.357,2.713,27.275,20.918
23.653,23.81,6.357,2.724,27.275,20.918
23.026,23.165,6.16,2.534,27.078,20.918
22.624,22.762,6.16,2.499,27.078,20.918
22.023,22.116,5.932,2.036,26.85,20.918
21.617,21.687,5.932,1.746,26.85,20.918
21.019,21.019,0.306,0.091,21.179,20.873
21.008,21.009,0.264,0.078,21.137,20.873
20.997,20.997,0.264,0.082,21.137,20.873
20.993,20.993,0.264,0.086,21.137,20.873
21.015,21.016,0.269,0.093,21.142,20.873
21.005,21.005,0.269,0.096,21.142,20.873
21.002,21.002,0.269,0.096,21.142,20.873
20.996,20.996,0.269,0.096,21.142,20.873
21.004,21.004,0.269,0.104,21.142,20.873
20.987,20.987,0.269,0.094,21.142,20.873
20.987,20.987,0.272,0.095,21.142,20.87
21.593,21.673,6.271,1.851,27.141,20.87
22.009,22.109,6.271,2.102,27.141,20.87
22.622,22.763,6.271,2.533,27.141,20.87
23.026,23.17,6.271,2.586,27.141,20.87
23.606,23.76,6.271,2.7,27.141,20.87
23.601,23.755,6.271,2.706,27.141,20.87
23.594,23.75,6.271,2.712,27.141,20.87
23.593,23.748,6.271,2.713,27.141,20.87
23.61,23.764,6.271,2.697,27.141,20.87
23.619,23.771,6.238,2.689,27.141,20.903
22.994,23.131,6.12,2.518,27.009,20.889
22.574,22.71,6.136,2.487,27.009,20.873
21.987,22.08,5.867,2.019,26.74,20.873
21.586,21.655,5.867,1.722,26.74,20.873
21.019,21.019,0.298,0.116,21.171,20.873
21.016,21.016,0.298,0.119,21.171,20.873
21.04,21.041,0.298,0.118,21.171,20.873
21.028,21.028,0.298,0.115,21.171,20.873
21.018,21.018,0.298,0.109,21.171,20.873
21.036,21.036,0.298,0.112,21.171,20.873
21.054,21.054,0.298,0.1,21.171,20.873
21.062,21.062,0.285,0.088,21.171,20.886
21.063,21.063,0.285,0.088,21.171,20.886
21.045,21.045,0.265,0.082,21.151,20.886
21.037,21.037,0.265,0.084,21.151,20.886
