mean,RMS,ptp,std,max,min
20.629,20.629,0.101,0.031,20.702,20.601
20.624,20.624,0.101,0.027,20.702,20.601
20.631,20.631,0.097,0.029,20.702,20.605
20.633,20.633,0.097,0.029,20.702,20.605
20.633,20.633,0.097,0.028,20.702,20.605
20.636,20.636,0.097,0.028,20.702,20.605
20.627,20.627,0.066,0.017,20.671,20.605
20.625,20.625,0.073,0.019,20.671,20.598
20.625,20.625,0.073,0.019,20.671,20.598
20.624,20.624,0.073,0.02,20.671,20.598
20.626,20.626,0.073,0.02,20.671,20.598
20.624,20.624,0.073,0.021,20.671,20.598
20.62,20.62,0.046,0.014,20.644,20.598
20.618,20.618,0.046,0.015,20.644,20.598
20.62,20.62,0.046,0.017,20.644,20.598
20.618,20.618,0.046,0.015,20.644,20.598
20.619,20.619,0.046,0.015,20.644,20.598
20.621,20.621,0.041,0.013,20.644,20.603
20.628,20.628,0.068,0.019,20.671,20.603
20.629,20.629,0.068,0.018,20.671,20.603
20.627,20.627,0.068,0.017,20.671,20.603
20.629,20.629,0.068,0.016,20.671,20.603
20.63,20.63,0.068,0.016,20.671,20.603
20.632,20.632,0.048,0.014,20.671,20.623
20.632,20.632,0.048,0.014,20.671,20.623
20.632,20.632,0.048,0.014,20.671,20.623
20.63,20.63,0.069,0.016,20.671,20.602
20.632,20.632,0.069,0.016,20.671,20.602
20.63,20.63,0.053,0.013,20.655,20.602
20.633,20.633,0.053,0.015,20.655,20.602
20.634,20.634,0.053,0.014,20.655,20.602
20.632,20.633,0.053,0.016,20.655,20.602
20.63,20.63,0.053,0.017,20.655,20.602
20.632,20.632,0.053,0.018,20.655,20.602
20.633,20.633,0.053,0.019,20.655,20.602
20.635,20.635,0.053,0.018,20.655,20.602
20.638,20.638,0.046,0.015,20.655,20.609
20.64,20.64,0.046,0.016,20.655,20.609
20.638,20.638,0.046,0.015,20.655,20.609
20.63,20.63,0.085,0.024,20.655,20.57
20.63,20.63,0.085,0.024,20.655,20.57
20.634,20.634,0.085,0.025,20.655,20.57
20.638,20.638,0.085,0.024,20.655,20.57
20.64,20.64,0.095,0.025,20.665,20.57
20.635,20.635,0.095,0.027,20.665,20.57
20.636,20.636,0.095,0.028,20.665,20.57
20.639,20.639,0.101,0.03,20.671,20.57
20.64,20.64,0.101,0.03,20.671,20.57
20.643,20.643,0.101,0.031,20.671,20.57
20.649,20.649,0.07,0.02,20.671,20.601
20.643,20.643,0.099,0.031,20.671,20.572
20.64,20.64,0.099,0.031,20.671,20.572
20.641,20.641,0.099,0.032,20.671,20.572
20.632,20.632,0.099,0.036,20.671,20.572
20.636,20.636,0.099,0.034,20.671,20.572
20.636,20.636,0.099,0.034,20.671,20.572
20.634,20.634,0.099,0.033,20.671,20.572
20.632,20.632,0.099,0.032,20.671,20.572
20.621,20.621,0.108,0.036,20.667,20.559
20.621,20.621,0.108,0.036,20.667,20.559
20.628,20.628,0.108,0.032,20.667,20.559
20.634,20.634,0.123,0.036,20.682,20.559
20.635,20.636,0.123,0.038,20.682,20.559
20.644,20.644,0.123,0.033,20.682,20.559
20.635,20.635,0.137,0.044,20.682,20.545
20.625,20.625,0.137,0.05,20.682,20.545
20.625,20.625,0.137,0.05,20.682,20.545
20.62,20.62,0.137,0.051,20.682,20.545
20.63,20.63,0.137,0.048,20.682,20.545
20.632,20.632,0.137,0.049,20.682,20.545
20.634,20.634,0.137,0.049,20.682,20.545
20.622,20.622,0.137,0.051,20.682,20.545
20.613,20.613,0.119,0.047,20.664,20.545
20.614,20.614,0.126,0.048,20.671,20.545
20.625,20.625,0.118,0.043,20.671,20.553
20.633,20.633,0.11,0.035,20.671,20.561
20.633,20.633,0.11,0.035,20.671,20.561
20.639,20.639,0.11,0.032,20.671,20.561
20.629,20.629,0.11,0.038,20.671,20.561
20.63,20.63,0.11,0.039,20.671,20.561
20.631,20.631,0.11,0.04,20.671,20.561
20.642,20.642,0.109,0.034,20.671,20.562
20.649,20.649,0.109,0.031,20.671,20.562
20.649,20.649,0.109,0.031,20.671,20.562
20.639,20.639,0.115,0.042,20.671,20.556
20.643,20.643,0.119,0.043,20.675,20.556
20.645,20.645,0.119,0.043,20.675,20.556
20.637,20.637,0.119,0.049,20.675,20.556
20.645,20.645,0.119,0.042,20.675,20.556
20.643,20.643,0.119,0.041,20.675,20.556
20.643,20.643,0.119,0.041,20.675,20.556
20.643,20.643,0.119,0.042,20.675,20.556
20.642,20.642,0.119,0.041,20.675,20.556
20.643,20.643,0.131,0.042,20.687,20.556
20.645,20.645,0.118,0.039,20.687,20.569
20.642,20.642,0.118,0.037,20.687,20.569
20.64,20.64,0.118,0.037,20.687,20.569
20.637,20.637,0.142,0.042,20.687,20.545
20.638,20.638,0.142,0.042,20.687,20.545
20.626,20.626,0.158,0.053,20.687,20.529
20.623,20.623,0.158,0.051,20.687,20.529
20.62,20.62,0.158,0.049,20.687,20.529
20.618,20.618,0.158,0.048,20.687,20.529
20.613,20.613,0.121,0.043,20.65,20.529
20.62,20.621,0.125,0.042,20.654,20.529
20.612,20.612,0.125,0.046,20.654,20.529
20.614,20.614,0.125,0.046,20.654,20.529
20.619,20.619,0.125,0.041,20.654,20.529
20.612,20.612,0.125,0.041,20.654,20.529
20.618,20.618,0.096,0.032,20.654,20.558
20.62,20.62,0.103,0.034,20.661,20.558
20.623,20.623,0.112,0.037,20.67,20.558
20.626,20.626,0.112,0.039,20.67,20.558
20.628,20.628,0.112,0.04,20.67,20.558
20.626,20.626,0.112,0.039,20.67,20.558
20.636,20.636,0.087,0.033,20.67,20.583
20.637,20.637,0.087,0.034,20.67,20.583
20.643,20.643,0.087,0.032,20.67,20.583
20.648,20.648,0.087,0.026,20.67,20.583
20.654,20.654,0.042,0.014,20.67,20.628
20.654,20.654,0.042,0.014,20.67,20.628
20.652,20.652,0.039,0.013,20.667,20.628
20.65,20.65,0.036,0.013,20.664,20.628
20.649,20.649,0.036,0.012,20.664,20.628
