mean,RMS,ptp,std,max,min
15.881,15.882,0.213,0.064,16.043,15.83
15.881,15.881,0.213,0.065,16.043,15.83
15.873,15.873,0.213,0.065,16.043,15.83
15.864,15.865,0.213,0.061,16.043,15.83
15.868,15.868,0.213,0.06,16.043,15.83
15.879,15.88,0.209,0.063,16.043,15.834
15.881,15.881,0.209,0.062,16.043,15.834
15.885,15.885,0.209,0.061,16.043,15.834
15.869,15.87,0.113,0.032,15.947,15.834
15.87,15.87,0.113,0.031,15.947,15.834
15.872,15.872,0.113,0.031,15.947,15.834
15.873,15.873,0.113,0.03,15.947,15.834
15.875,15.875,0.101,0.028,15.947,15.846
15.878,15.878,0.101,0.028,15.947,15.846
15.879,15.879,0.101,0.028,15.947,15.846
15.872,15.872,0.047,0.016,15.893,15.846
15.873,15.873,0.047,0.015,15.893,15.846
15.872,15.872,0.047,0.014,15.893,15.846
15.868,15.868,0.047,0.014,15.893,15.846
15.869,15.869,0.047,0.014,15.893,15.846
15.875,15.875,0.084,0.023,15.93,15.846
15.877,15.877,0.084,0.022,15.93,15.846
15.877,15.877,0.08,0.021,15.93,15.85
15.875,15.875,0.08,0.021,15.93,15.85
15.893,15.893,0.209,0.059,16.059,15.85
15.894,15.894,0.209,0.059,16.059,15.85
15.903,15.903,0.209,0.061,16.059,15.85
15.903,15.903,0.209,0.061,16.059,15.85
15.902,15.902,0.217,0.062,16.059,15.842
15.9,15.901,0.217,0.063,16.059,15.842
15.897,15.897,0.217,0.062,16.059,15.842
15.898,15.898,0.217,0.062,16.059,15.842
15.899,15.899,0.217,0.061,16.059,15.842
15.903,15.903,0.217,0.06,16.059,15.842
15.886,15.886,0.116,0.03,15.958,15.842
15.883,15.883,0.116,0.032,15.958,15.842
15.872,15.872,0.062,0.021,15.904,15.842
15.873,15.873,0.062,0.021,15.904,15.842
15.875,15.875,0.054,0.02,15.904,15.85
15.877,15.877,0.054,0.02,15.904,15.85
15.878,15.878,0.054,0.02,15.904,15.85
15.877,15.877,0.054,0.02,15.904,15.85
15.88,15.88,0.054,0.019,15.904,15.85
15.879,15.879,0.045,0.017,15.895,15.85
15.885,15.885,0.105,0.029,15.955,15.85
15.89,15.89,0.105,0.027,15.955,15.85
15.897,15.897,0.096,0.024,15.955,15.859
15.898,15.898,0.096,0.024,15.955,15.859
15.901,15.902,0.07,0.02,15.955,15.885
15.897,15.897,0.105,0.025,15.955,15.85
15.889,15.889,0.142,0.036,15.955,15.813
