mean,RMS,ptp,std,max,min
23.412,23.412,0.038,0.011,23.433,23.395
23.409,23.409,0.051,0.014,23.433,23.382
23.409,23.409,0.051,0.014,23.433,23.382
23.411,23.411,0.051,0.015,23.433,23.382
23.413,23.413,0.051,0.017,23.433,23.382
23.413,23.413,0.051,0.017,23.433,23.382
23.41,23.41,0.051,0.018,23.433,23.382
23.413,23.413,0.051,0.017,23.433,23.382
23.412,23.412,0.051,0.016,23.433,23.382
23.414,23.414,0.051,0.017,23.433,23.382
23.416,23.416,0.051,0.018,23.433,23.382
23.418,23.418,0.038,0.014,23.433,23.395
23.418,23.418,0.038,0.014,23.433,23.395
23.419,23.419,0.038,0.014,23.433,23.395
23.414,23.414,0.047,0.016,23.433,23.386
23.417,23.417,0.047,0.015,23.433,23.386
23.419,23.419,0.047,0.014,23.433,23.386
23.418,23.418,0.047,0.013,23.433,23.386
23.421,23.421,0.059,0.016,23.445,23.386
23.42,23.42,0.059,0.016,23.445,23.386
23.419,23.419,0.059,0.015,23.445,23.386
23.421,23.421,0.059,0.015,23.445,23.386
23.421,23.421,0.059,0.015,23.445,23.386
23.42,23.42,0.059,0.014,23.445,23.386
23.422,23.422,0.043,0.011,23.445,23.402
23.422,23.422,0.043,0.011,23.445,23.402
23.424,23.424,0.043,0.011,23.445,23.402
23.424,23.424,0.043,0.011,23.445,23.402
23.42,23.42,0.031,0.009,23.433,23.402
23.42,23.42,0.031,0.01,23.433,23.402
23.42,23.42,0.031,0.01,23.433,23.402
23.42,23.42,0.031,0.01,23.433,23.402
23.417,23.417,0.041,0.013,23.433,23.392
23.418,23.418,0.041,0.014,23.433,23.392
23.418,23.418,0.041,0.013,23.433,23.392
23.418,23.418,0.041,0.013,23.433,23.392
23.417,23.417,0.041,0.013,23.433,23.392
23.417,23.417,0.041,0.013,23.433,23.392
23.421,23.421,0.055,0.015,23.447,23.392
23.421,23.421,0.055,0.015,23.447,23.392
23.421,23.421,0.055,0.015,23.447,23.392
23.408,23.408,0.145,0.038,23.447,23.302
23.414,23.414,0.148,0.04,23.45,23.302
23.411,23.411,0.148,0.039,23.45,23.302
23.412,23.412,0.148,0.039,23.45,23.302
23.411,23.411,0.148,0.039,23.45,23.302
23.401,23.401,0.148,0.047,23.45,23.302
23.4,23.4,0.148,0.047,23.45,23.302
23.399,23.399,0.148,0.046,23.45,23.302
23.398,23.398,0.148,0.045,23.45,23.302
23.397,23.397,0.148,0.045,23.45,23.302
23.41,23.41,0.129,0.033,23.45,23.321
23.407,23.407,0.112,0.03,23.433,23.321
23.41,23.41,0.112,0.031,23.433,23.321
23.41,23.41,0.112,0.031,23.433,23.321
