mean,RMS,ptp,std,max,min
26.595,26.595,0.123,0.038,26.631,26.508
26.594,26.594,0.123,0.038,26.631,26.508
26.601,26.602,0.123,0.033,26.631,26.508
26.598,26.599,0.123,0.032,26.631,26.508
26.598,26.598,0.123,0.032,26.631,26.508
26.598,26.598,0.123,0.032,26.631,26.508
26.595,26.595,0.11,0.03,26.618,26.508
26.594,26.594,0.11,0.029,26.618,26.508
26.596,26.596,0.112,0.03,26.62,26.508
26.605,26.605,0.027,0.009,26.62,26.593
26.603,26.603,0.042,0.012,26.62,26.578
26.602,26.602,0.042,0.012,26.62,26.578
26.601,26.601,0.042,0.012,26.62,26.578
26.6,26.6,0.042,0.012,26.62,26.578
26.603,26.603,0.054,0.016,26.632,26.578
26.601,26.601,0.054,0.015,26.632,26.578
26.592,26.592,0.124,0.032,26.632,26.508
26.594,26.594,0.124,0.033,26.632,26.508
26.594,26.594,0.124,0.033,26.632,26.508
26.595,26.595,0.124,0.033,26.632,26.508
26.6,26.6,0.124,0.034,26.632,26.508
26.6,26.601,0.124,0.033,26.632,26.508
26.603,26.603,0.124,0.034,26.632,26.508
26.607,26.607,0.124,0.034,26.632,26.508
26.605,26.605,0.121,0.034,26.629,26.508
26.607,26.608,0.121,0.034,26.629,26.508
26.609,26.609,0.105,0.03,26.629,26.524
26.606,26.606,0.101,0.029,26.625,26.524
26.605,26.605,0.101,0.029,26.625,26.524
26.605,26.605,0.101,0.029,26.625,26.524
26.603,26.603,0.101,0.028,26.625,26.524
26.604,26.604,0.101,0.028,26.625,26.524
26.6,26.6,0.101,0.028,26.625,26.524
26.599,26.599,0.101,0.027,26.625,26.524
26.598,26.599,0.101,0.027,26.625,26.524
26.597,26.597,0.092,0.025,26.616,26.524
26.607,26.607,0.038,0.01,26.625,26.587
26.608,26.608,0.038,0.009,26.625,26.587
26.607,26.607,0.038,0.01,26.625,26.587
26.609,26.609,0.038,0.01,26.625,26.587
26.607,26.607,0.038,0.011,26.625,26.587
26.609,26.609,0.038,0.012,26.625,26.587
26.61,26.61,0.032,0.01,26.625,26.593
26.611,26.611,0.032,0.01,26.625,26.593
26.612,26.612,0.041,0.012,26.634,26.593
26.611,26.611,0.041,0.013,26.634,26.593
26.61,26.61,0.041,0.012,26.634,26.593
26.601,26.601,0.109,0.028,26.634,26.525
26.594,26.594,0.109,0.036,26.634,26.525
26.587,26.587,0.109,0.038,26.634,26.525
26.589,26.589,0.109,0.038,26.634,26.525
26.586,26.586,0.109,0.037,26.634,26.525
26.585,26.585,0.109,0.037,26.634,26.525
26.583,26.583,0.109,0.036,26.634,26.525
26.581,26.581,0.089,0.033,26.614,26.525
26.583,26.583,0.092,0.034,26.617,26.525
26.582,26.582,0.092,0.034,26.617,26.525
26.592,26.592,0.091,0.029,26.618,26.527
26.599,26.599,0.072,0.02,26.618,26.546
26.596,26.596,0.098,0.027,26.618,26.52
26.588,26.588,0.098,0.032,26.618,26.52
26.589,26.589,0.098,0.032,26.618,26.52
26.589,26.589,0.098,0.032,26.618,26.52
26.589,26.59,0.098,0.033,26.618,26.52
26.592,26.592,0.109,0.034,26.629,26.52
26.591,26.591,0.109,0.034,26.629,26.52
26.592,26.593,0.109,0.035,26.629,26.52
26.591,26.591,0.109,0.034,26.629,26.52
26.59,26.59,0.109,0.034,26.629,26.52
26.599,26.599,0.096,0.025,26.629,26.533
26.606,26.606,0.04,0.012,26.629,26.589
26.607,26.607,0.04,0.012,26.629,26.589
26.608,26.608,0.04,0.011,26.629,26.589
26.61,26.61,0.04,0.011,26.629,26.589
26.607,26.607,0.036,0.009,26.625,26.589
26.606,26.606,0.036,0.009,26.625,26.589
26.605,26.605,0.027,0.007,26.616,26.589
26.605,26.605,0.027,0.007,26.616,26.589
26.605,26.605,0.027,0.007,26.616,26.589
26.606,26.606,0.032,0.009,26.621,26.589
26.607,26.607,0.032,0.009,26.621,26.589
26.606,26.606,0.032,0.009,26.621,26.589
26.606,26.606,0.032,0.009,26.621,26.589
26.597,26.597,0.094,0.025,26.621,26.527
26.596,26.596,0.094,0.025,26.621,26.527
26.597,26.597,0.094,0.025,26.621,26.527
26.596,26.596,0.094,0.025,26.621,26.527
26.595,26.595,0.094,0.025,26.621,26.527
26.596,26.596,0.094,0.025,26.621,26.527
26.595,26.595,0.086,0.024,26.613,26.527
26.593,26.593,0.086,0.023,26.613,26.527
26.595,26.595,0.096,0.025,26.623,26.527
26.597,26.597,0.096,0.026,26.623,26.527
26.606,26.606,0.034,0.012,26.623,26.589
26.608,26.608,0.03,0.01,26.623,26.593
26.608,26.608,0.03,0.01,26.623,26.593
26.61,26.61,0.034,0.011,26.627,26.593
26.611,26.611,0.034,0.011,26.627,26.593
26.611,26.611,0.034,0.01,26.627,26.593
26.61,26.61,0.034,0.011,26.627,26.593
26.612,26.612,0.029,0.009,26.627,26.598
26.61,26.61,0.029,0.009,26.627,26.598
26.608,26.608,0.029,0.009,26.627,26.598
26.607,26.607,0.029,0.008,26.627,26.598
26.608,26.608,0.029,0.008,26.627,26.598
26.609,26.609,0.029,0.009,26.627,26.598
26.609,26.609,0.034,0.01,26.632,26.598
26.604,26.604,0.082,0.02,26.632,26.55
26.606,26.606,0.082,0.022,26.632,26.55
26.608,26.608,0.082,0.022,26.632,26.55
26.607,26.607,0.082,0.022,26.632,26.55
26.607,26.607,0.082,0.022,26.632,26.55
26.608,26.608,0.082,0.022,26.632,26.55
26.607,26.607,0.082,0.022,26.632,26.55
26.606,26.606,0.082,0.022,26.632,26.55
26.608,26.608,0.092,0.024,26.642,26.55
26.605,26.605,0.092,0.023,26.642,26.55
26.611,26.611,0.041,0.014,26.642,26.601
26.61,26.61,0.041,0.012,26.642,26.601
26.61,26.61,0.041,0.013,26.642,26.601
26.611,26.611,0.041,0.012,26.642,26.601
26.613,26.613,0.041,0.012,26.642,26.601
26.612,26.612,0.041,0.012,26.642,26.601
26.614,26.614,0.041,0.011,26.642,26.601
26.616,26.616,0.041,0.011,26.642,26.601
26.611,26.611,0.029,0.009,26.621,26.592
26.611,26.611,0.029,0.009,26.621,26.592
26.612,26.612,0.031,0.009,26.623,26.592
26.609,26.609,0.039,0.012,26.623,26.584
26.607,26.607,0.039,0.012,26.623,26.584
26.607,26.607,0.039,0.012,26.623,26.584
26.609,26.609,0.051,0.015,26.635,26.584
26.609,26.609,0.051,0.015,26.635,26.584
26.596,26.597,0.146,0.039,26.635,26.489
26.595,26.595,0.146,0.038,26.635,26.489
26.596,26.597,0.146,0.038,26.635,26.489
26.59,26.59,0.146,0.042,26.635,26.489
26.589,26.589,0.146,0.042,26.635,26.489
26.592,26.592,0.146,0.042,26.635,26.489
26.593,26.593,0.146,0.042,26.635,26.489
26.592,26.592,0.146,0.042,26.635,26.489
26.589,26.589,0.126,0.04,26.615,26.489
26.578,26.578,0.126,0.048,26.615,26.489
26.58,26.58,0.122,0.044,26.615,26.493
26.576,26.576,0.122,0.043,26.615,26.493
26.578,26.578,0.134,0.045,26.627,26.493
26.585,26.585,0.134,0.044,26.627,26.493
26.584,26.584,0.134,0.043,26.627,26.493
26.574,26.574,0.134,0.047,26.627,26.493
26.575,26.575,0.134,0.048,26.627,26.493
26.575,26.575,0.134,0.048,26.627,26.493
26.574,26.574,0.134,0.048,26.627,26.493
26.585,26.585,0.119,0.04,26.627,26.508
26.594,26.594,0.119,0.032,26.627,26.508
26.598,26.599,0.119,0.031,26.627,26.508
26.594,26.594,0.111,0.03,26.619,26.508
26.592,26.592,0.111,0.03,26.619,26.508
26.593,26.593,0.111,0.03,26.619,26.508
26.602,26.602,0.038,0.011,26.619,26.581
26.6,26.6,0.032,0.009,26.613,26.581
26.601,26.601,0.035,0.01,26.616,26.581
26.603,26.603,0.041,0.012,26.622,26.581
26.604,26.604,0.041,0.013,26.622,26.581
26.596,26.596,0.102,0.028,26.622,26.52
26.596,26.596,0.102,0.028,26.622,26.52
26.599,26.599,0.102,0.028,26.622,26.52
26.604,26.604,0.118,0.03,26.638,26.52
26.604,26.604,0.118,0.03,26.638,26.52
26.595,26.595,0.129,0.042,26.638,26.509
26.586,26.586,0.134,0.05,26.638,26.504
26.585,26.585,0.134,0.049,26.638,26.504
26.583,26.583,0.134,0.048,26.638,26.504
26.581,26.581,0.134,0.047,26.638,26.504
26.591,26.591,0.134,0.044,26.638,26.504
26.593,26.593,0.134,0.045,26.638,26.504
26.596,26.596,0.134,0.046,26.638,26.504
26.593,26.593,0.128,0.044,26.632,26.504
26.593,26.594,0.128,0.045,26.632,26.504
26.604,26.604,0.128,0.035,26.632,26.504
26.616,26.616,0.032,0.01,26.632,26.6
26.614,26.614,0.041,0.013,26.632,26.591
26.614,26.614,0.041,0.013,26.632,26.591
26.617,26.617,0.041,0.012,26.632,26.591
26.614,26.614,0.041,0.013,26.632,26.591
26.615,26.615,0.043,0.013,26.634,26.591
26.616,26.616,0.047,0.014,26.638,26.591
26.615,26.615,0.047,0.014,26.638,26.591
26.614,26.614,0.047,0.015,26.638,26.591
26.602,26.603,0.142,0.038,26.638,26.496
26.603,26.603,0.142,0.039,26.638,26.496
26.606,26.606,0.142,0.039,26.638,26.496
26.608,26.608,0.142,0.039,26.638,26.496
26.608,26.608,0.142,0.039,26.638,26.496
26.612,26.612,0.144,0.04,26.64,26.496
26.609,26.609,0.144,0.04,26.64,26.496
26.606,26.606,0.144,0.038,26.64,26.496
26.605,26.605,0.144,0.039,26.64,26.496
26.604,26.604,0.144,0.039,26.64,26.496
26.615,26.615,0.045,0.015,26.64,26.595
26.612,26.612,0.045,0.014,26.64,26.595
26.611,26.611,0.045,0.014,26.64,26.595
26.609,26.609,0.045,0.013,26.64,26.595
26.609,26.609,0.045,0.012,26.64,26.595
26.607,26.607,0.025,0.008,26.62,26.595
26.607,26.607,0.025,0.008,26.62,26.595
26.605,26.605,0.025,0.008,26.62,26.595
26.605,26.605,0.025,0.008,26.62,26.595
26.605,26.605,0.027,0.009,26.62,26.593
26.595,26.595,0.114,0.031,26.62,26.506
26.597,26.598,0.115,0.032,26.621,26.506
26.597,26.597,0.115,0.032,26.621,26.506
26.599,26.599,0.12,0.033,26.626,26.506
26.599,26.599,0.12,0.033,26.626,26.506
26.588,26.588,0.12,0.041,26.626,26.506
26.591,26.591,0.12,0.042,26.626,26.506
