mean,RMS,ptp,std,max,min
21.061,21.062,0.254,0.078,21.151,20.897
21.065,21.065,0.254,0.078,21.151,20.897
21.058,21.058,0.248,0.073,21.145,20.897
21.049,21.049,0.233,0.067,21.13,20.897
21.054,21.054,0.233,0.064,21.13,20.897
21.073,21.073,0.135,0.038,21.13,20.995
21.073,21.073,0.134,0.038,21.13,20.996
21.064,21.064,0.127,0.033,21.123,20.996
21.053,21.053,0.144,0.04,21.123,20.979
21.027,21.028,0.213,0.061,21.084,20.871
21.023,21.023,0.213,0.062,21.084,20.871
21.011,21.012,0.213,0.06,21.084,20.871
21.008,21.009,0.213,0.058,21.084,20.871
21.006,21.006,0.213,0.056,21.084,20.871
21.018,21.018,0.288,0.072,21.159,20.871
21.013,21.013,0.288,0.07,21.159,20.871
21.003,21.003,0.288,0.079,21.159,20.871
21.003,21.003,0.288,0.079,21.159,20.871
21.009,21.009,0.288,0.079,21.159,20.871
21.024,21.024,0.27,0.065,21.159,20.889
21.042,21.043,0.29,0.079,21.179,20.889
21.048,21.049,0.29,0.075,21.179,20.889
21.048,21.049,0.29,0.075,21.179,20.889
21.037,21.038,0.29,0.084,21.179,20.889
21.026,21.026,0.29,0.074,21.179,20.889
21.022,21.022,0.29,0.074,21.179,20.889
21.036,21.036,0.259,0.06,21.179,20.92
21.038,21.038,0.259,0.06,21.179,20.92
21.047,21.047,0.259,0.067,21.179,20.92
21.032,21.033,0.306,0.085,21.179,20.873
21.022,21.022,0.264,0.072,21.137,20.873
21.011,21.011,0.264,0.079,21.137,20.873
20.994,20.994,0.264,0.087,21.137,20.873
21.016,21.016,0.269,0.093,21.142,20.873
21.005,21.005,0.269,0.096,21.142,20.873
21.002,21.002,0.269,0.096,21.142,20.873
20.996,20.996,0.269,0.096,21.142,20.873
21.004,21.004,0.269,0.104,21.142,20.873
20.987,20.987,0.269,0.094,21.142,20.873
20.987,20.987,0.272,0.095,21.142,20.87
20.97,20.97,0.272,0.092,21.142,20.87
20.969,20.97,0.272,0.093,21.142,20.87
20.971,20.971,0.272,0.091,21.142,20.87
20.959,20.959,0.269,0.074,21.139,20.87
20.957,20.957,0.269,0.075,21.139,20.87
20.964,20.964,0.269,0.08,21.139,20.87
20.958,20.958,0.269,0.082,21.139,20.87
20.948,20.949,0.175,0.064,21.045,20.87
20.966,20.966,0.275,0.087,21.145,20.87
20.974,20.974,0.25,0.081,21.145,20.895
20.972,20.973,0.256,0.083,21.145,20.889
20.969,20.969,0.272,0.086,21.145,20.873
20.993,20.994,0.272,0.096,21.145,20.873
21.008,21.008,0.298,0.11,21.171,20.873
21.023,21.024,0.298,0.106,21.171,20.873
21.008,21.008,0.298,0.113,21.171,20.873
21.032,21.033,0.298,0.115,21.171,20.873
21.028,21.028,0.298,0.115,21.171,20.873
21.018,21.018,0.298,0.109,21.171,20.873
21.036,21.036,0.298,0.112,21.171,20.873
21.051,21.051,0.298,0.1,21.171,20.873
21.06,21.06,0.285,0.088,21.171,20.886
21.06,21.06,0.285,0.088,21.171,20.886
21.043,21.043,0.265,0.082,21.151,20.886
21.034,21.034,0.265,0.083,21.151,20.886
21.051,21.052,0.193,0.067,21.151,20.958
21.047,21.047,0.189,0.061,21.147,20.958
21.048,21.048,0.189,0.06,21.147,20.958
21.041,21.041,0.189,0.065,21.147,20.958
21.027,21.027,0.189,0.058,21.147,20.958
21.018,21.018,0.189,0.061,21.147,20.958
21.038,21.038,0.193,0.069,21.151,20.958
21.036,21.037,0.193,0.068,21.151,20.958
21.031,21.031,0.214,0.073,21.151,20.937
21.038,21.038,0.214,0.071,21.151,20.937
21.035,21.035,0.214,0.071,21.151,20.937
21.011,21.011,0.288,0.083,21.151,20.863
21.001,21.001,0.288,0.088,21.151,20.863
21.002,21.002,0.288,0.088,21.151,20.863
20.989,20.99,0.288,0.097,21.151,20.863
20.994,20.994,0.288,0.097,21.151,20.863
20.995,20.996,0.302,0.099,21.165,20.863
20.993,20.994,0.302,0.096,21.165,20.863
20.996,20.996,0.302,0.095,21.165,20.863
20.991,20.991,0.302,0.093,21.165,20.863
20.984,20.984,0.302,0.093,21.165,20.863
20.991,20.991,0.302,0.086,21.165,20.863
20.992,20.992,0.302,0.085,21.165,20.863
20.992,20.992,0.302,0.085,21.165,20.863
21.01,21.011,0.239,0.074,21.165,20.926
21.025,21.026,0.239,0.086,21.165,20.926
21.018,21.018,0.228,0.076,21.154,20.926
21.021,21.021,0.228,0.08,21.154,20.926
21.041,21.041,0.235,0.087,21.161,20.926
21.045,21.045,0.235,0.087,21.161,20.926
21.041,21.041,0.24,0.091,21.161,20.921
21.053,21.053,0.24,0.083,21.161,20.921
21.057,21.057,0.24,0.078,21.161,20.921
21.048,21.048,0.261,0.089,21.161,20.9
21.055,21.055,0.261,0.092,21.161,20.9
21.054,21.054,0.261,0.091,21.161,20.9
21.049,21.049,0.261,0.09,21.161,20.9
21.039,21.039,0.261,0.084,21.161,20.9
21.023,21.023,0.237,0.074,21.137,20.9
21.023,21.023,0.237,0.074,21.137,20.9
21.035,21.036,0.237,0.065,21.137,20.9
21.02,21.02,0.242,0.077,21.137,20.895
21.038,21.038,0.248,0.083,21.143,20.895
21.038,21.038,0.248,0.083,21.143,20.895
21.026,21.026,0.248,0.079,21.143,20.895
21.017,21.017,0.248,0.07,21.143,20.895
21.017,21.017,0.248,0.07,21.143,20.895
21.027,21.027,0.249,0.08,21.144,20.895
21.031,21.031,0.249,0.079,21.144,20.895
21.031,21.031,0.249,0.079,21.144,20.895
21.014,21.015,0.262,0.091,21.144,20.882
21.034,21.034,0.262,0.084,21.144,20.882
21.025,21.025,0.262,0.076,21.144,20.882
21.041,21.041,0.262,0.063,21.144,20.882
21.045,21.045,0.262,0.062,21.144,20.882
21.039,21.039,0.262,0.065,21.144,20.882
21.034,21.034,0.262,0.066,21.144,20.882
21.027,21.027,0.212,0.058,21.094,20.882
21.013,21.013,0.212,0.068,21.094,20.882
21.006,21.006,0.212,0.069,21.094,20.882
21.026,21.027,0.19,0.058,21.094,20.904
21.02,21.02,0.182,0.054,21.086,20.904
21.02,21.02,0.182,0.054,21.086,20.904
21.013,21.013,0.182,0.053,21.086,20.904
21.016,21.016,0.182,0.055,21.086,20.904
21.007,21.007,0.191,0.065,21.086,20.895
21.015,21.015,0.191,0.068,21.086,20.895
21.011,21.011,0.191,0.066,21.086,20.895
21.008,21.009,0.211,0.071,21.086,20.875
21.016,21.016,0.211,0.07,21.086,20.875
21.0,21.0,0.201,0.071,21.076,20.875
20.988,20.988,0.201,0.075,21.076,20.875
20.99,20.99,0.201,0.076,21.076,20.875
20.993,20.993,0.201,0.076,21.076,20.875
20.973,20.973,0.204,0.079,21.076,20.872
20.983,20.983,0.204,0.075,21.076,20.872
