mean,RMS,ptp,std,max,min
23.535,23.535,0.2,0.058,23.635,23.435
23.537,23.537,0.2,0.057,23.635,23.435
23.545,23.545,0.2,0.056,23.635,23.435
23.542,23.542,0.2,0.057,23.635,23.435
23.555,23.555,0.148,0.044,23.635,23.487
23.542,23.542,0.109,0.037,23.596,23.487
23.551,23.551,0.093,0.033,23.596,23.503
23.544,23.544,0.093,0.034,23.596,23.503
23.537,23.537,0.073,0.03,23.576,23.503
23.542,23.542,0.123,0.039,23.626,23.503
23.535,23.535,0.166,0.046,23.626,23.46
23.538,23.538,0.166,0.045,23.626,23.46
23.525,23.525,0.187,0.052,23.626,23.439
23.526,23.526,0.187,0.052,23.626,23.439
23.518,23.518,0.187,0.051,23.626,23.439
23.528,23.528,0.187,0.056,23.626,23.439
23.524,23.524,0.187,0.054,23.626,23.439
23.527,23.527,0.187,0.054,23.626,23.439
23.528,23.528,0.187,0.054,23.626,23.439
23.514,23.514,0.162,0.044,23.601,23.439
23.525,23.525,0.162,0.042,23.601,23.439
23.532,23.532,0.165,0.048,23.604,23.439
23.54,23.54,0.117,0.037,23.604,23.487
23.544,23.544,0.117,0.038,23.604,23.487
23.542,23.542,0.143,0.042,23.604,23.461
23.537,23.537,0.143,0.038,23.604,23.461
23.547,23.547,0.17,0.047,23.631,23.461
23.545,23.545,0.17,0.048,23.631,23.461
23.539,23.539,0.17,0.053,23.631,23.461
23.536,23.536,0.17,0.056,23.631,23.461
23.532,23.532,0.17,0.056,23.631,23.461
23.52,23.52,0.17,0.052,23.631,23.461
23.516,23.516,0.17,0.053,23.631,23.461
23.513,23.513,0.17,0.05,23.631,23.461
23.518,23.518,0.169,0.048,23.631,23.462
23.511,23.511,0.169,0.046,23.631,23.462
23.494,23.494,0.079,0.026,23.541,23.462
23.498,23.498,0.096,0.031,23.558,23.462
23.504,23.504,0.096,0.031,23.558,23.462
23.507,23.507,0.096,0.028,23.558,23.462
23.504,23.504,0.096,0.029,23.558,23.462
23.501,23.501,0.102,0.032,23.558,23.456
23.506,23.506,0.102,0.032,23.558,23.456
23.503,23.503,0.102,0.03,23.558,23.456
23.494,23.494,0.139,0.039,23.558,23.419
23.493,23.493,0.139,0.04,23.558,23.419
23.501,23.501,0.139,0.041,23.558,23.419
23.501,23.501,0.146,0.042,23.565,23.419
23.488,23.488,0.169,0.051,23.565,23.396
23.484,23.484,0.169,0.051,23.565,23.396
23.491,23.491,0.169,0.056,23.565,23.396
23.502,23.503,0.174,0.059,23.57,23.396
23.498,23.498,0.174,0.058,23.57,23.396
23.487,23.487,0.174,0.064,23.57,23.396
23.492,23.492,0.174,0.061,23.57,23.396
23.493,23.493,0.174,0.06,23.57,23.396
23.495,23.495,0.174,0.062,23.57,23.396
23.494,23.494,0.174,0.062,23.57,23.396
23.506,23.506,0.163,0.053,23.57,23.407
23.508,23.508,0.163,0.051,23.57,23.407
23.502,23.502,0.163,0.049,23.57,23.407
23.488,23.488,0.156,0.047,23.563,23.407
23.488,23.488,0.156,0.047,23.563,23.407
23.49,23.49,0.142,0.045,23.563,23.421
23.492,23.492,0.142,0.044,23.563,23.421
23.492,23.492,0.142,0.044,23.563,23.421
23.479,23.479,0.139,0.04,23.56,23.421
23.485,23.485,0.196,0.053,23.617,23.421
23.492,23.492,0.196,0.06,23.617,23.421
23.499,23.499,0.196,0.063,23.617,23.421
23.499,23.499,0.196,0.063,23.617,23.421
23.506,23.506,0.196,0.059,23.617,23.421
23.511,23.511,0.196,0.06,23.617,23.421
23.521,23.521,0.183,0.052,23.617,23.434
23.524,23.524,0.183,0.051,23.617,23.434
23.532,23.532,0.183,0.049,23.617,23.434
23.537,23.537,0.13,0.041,23.617,23.487
23.516,23.516,0.171,0.047,23.58,23.409
23.5,23.5,0.15,0.05,23.559,23.409
23.494,23.494,0.148,0.046,23.557,23.409
23.487,23.487,0.148,0.052,23.557,23.409
23.488,23.488,0.148,0.052,23.557,23.409
23.476,23.476,0.148,0.049,23.557,23.409
