mean,RMS,ptp,std,max,min
23.413,23.413,0.039,0.011,23.434,23.395
23.41,23.41,0.052,0.014,23.434,23.382
23.41,23.41,0.052,0.014,23.434,23.382
23.411,23.411,0.052,0.015,23.434,23.382
23.412,23.412,0.055,0.016,23.437,23.382
23.411,23.411,0.055,0.016,23.437,23.382
23.409,23.409,0.055,0.017,23.437,23.382
23.412,23.412,0.055,0.017,23.437,23.382
23.412,23.412,0.055,0.017,23.437,23.382
23.414,23.414,0.055,0.017,23.437,23.382
23.416,23.416,0.055,0.018,23.437,23.382
23.418,23.418,0.042,0.015,23.437,23.395
23.419,23.419,0.042,0.015,23.437,23.395
23.417,23.417,0.042,0.014,23.437,23.395
23.416,23.416,0.039,0.014,23.434,23.395
23.419,23.419,0.039,0.012,23.434,23.395
23.421,23.421,0.029,0.009,23.434,23.405
23.42,23.42,0.029,0.009,23.434,23.405
23.423,23.423,0.04,0.011,23.445,23.405
23.423,23.423,0.04,0.011,23.445,23.405
23.421,23.421,0.04,0.011,23.445,23.405
23.424,23.424,0.035,0.01,23.445,23.41
23.424,23.424,0.035,0.01,23.445,23.41
23.425,23.425,0.031,0.009,23.445,23.414
23.425,23.425,0.031,0.009,23.445,23.414
23.425,23.425,0.031,0.009,23.445,23.414
23.425,23.425,0.034,0.009,23.445,23.411
23.424,23.424,0.034,0.009,23.445,23.411
23.421,23.421,0.028,0.008,23.434,23.406
23.421,23.421,0.028,0.008,23.434,23.406
23.423,23.423,0.028,0.009,23.434,23.406
23.423,23.423,0.028,0.009,23.434,23.406
23.42,23.42,0.042,0.013,23.434,23.392
23.419,23.419,0.042,0.013,23.434,23.392
23.416,23.416,0.042,0.012,23.434,23.392
23.416,23.416,0.042,0.012,23.434,23.392
23.418,23.418,0.042,0.013,23.434,23.392
23.418,23.418,0.042,0.013,23.434,23.392
23.422,23.422,0.055,0.015,23.447,23.392
23.421,23.421,0.055,0.015,23.447,23.392
23.42,23.42,0.055,0.014,23.447,23.392
23.407,23.407,0.145,0.038,23.447,23.302
23.413,23.413,0.148,0.039,23.45,23.302
23.411,23.411,0.148,0.039,23.45,23.302
23.412,23.412,0.148,0.039,23.45,23.302
23.411,23.411,0.148,0.039,23.45,23.302
23.401,23.401,0.148,0.047,23.45,23.302
23.4,23.4,0.148,0.047,23.45,23.302
23.399,23.399,0.148,0.046,23.45,23.302
23.398,23.398,0.148,0.045,23.45,23.302
23.397,23.397,0.148,0.045,23.45,23.302
23.41,23.41,0.129,0.033,23.45,23.321
23.407,23.407,0.113,0.03,23.434,23.321
23.41,23.41,0.113,0.031,23.434,23.321
23.41,23.41,0.113,0.031,23.434,23.321
23.411,23.411,0.113,0.031,23.434,23.321
23.42,23.421,0.023,0.009,23.434,23.411
23.421,23.421,0.023,0.009,23.434,23.411
23.419,23.419,0.023,0.007,23.434,23.411
23.419,23.419,0.023,0.007,23.434,23.411
23.42,23.42,0.02,0.007,23.434,23.414
23.418,23.418,0.024,0.006,23.434,23.41
23.419,23.419,0.024,0.006,23.434,23.41
23.418,23.418,0.014,0.004,23.424,23.41
23.417,23.417,0.014,0.004,23.424,23.41
23.416,23.416,0.015,0.005,23.424,23.409
23.417,23.417,0.015,0.005,23.424,23.409
23.417,23.417,0.015,0.005,23.424,23.409
23.417,23.417,0.015,0.005,23.424,23.409
23.418,23.418,0.015,0.005,23.424,23.409
23.418,23.418,0.015,0.005,23.424,23.409
23.419,23.419,0.015,0.005,23.424,23.409
23.418,23.418,0.016,0.006,23.424,23.408
23.416,23.416,0.016,0.006,23.424,23.408
23.417,23.417,0.016,0.006,23.424,23.408
23.416,23.416,0.021,0.007,23.424,23.403
23.416,23.416,0.024,0.007,23.427,23.403
23.408,23.408,0.088,0.024,23.427,23.339
23.408,23.408,0.088,0.024,23.427,23.339
23.41,23.41,0.096,0.025,23.435,23.339
23.41,23.41,0.096,0.025,23.435,23.339
23.409,23.409,0.096,0.025,23.435,23.339
23.412,23.412,0.096,0.026,23.435,23.339
23.412,23.412,0.096,0.026,23.435,23.339
23.412,23.412,0.096,0.026,23.435,23.339
23.414,23.414,0.096,0.026,23.435,23.339
23.412,23.412,0.096,0.026,23.435,23.339
23.42,23.42,0.027,0.008,23.435,23.408
23.42,23.42,0.027,0.008,23.435,23.408
23.419,23.419,0.026,0.007,23.434,23.408
23.417,23.417,0.029,0.008,23.434,23.405
23.418,23.418,0.029,0.008,23.434,23.405
23.418,23.418,0.029,0.008,23.434,23.405
23.42,23.42,0.029,0.008,23.434,23.405
23.42,23.42,0.029,0.008,23.434,23.405
23.42,23.42,0.029,0.008,23.434,23.405
23.422,23.422,0.029,0.008,23.434,23.405
23.42,23.42,0.033,0.01,23.434,23.401
23.42,23.42,0.033,0.01,23.434,23.401
23.42,23.42,0.033,0.01,23.434,23.401
23.422,23.422,0.033,0.009,23.434,23.401
23.425,23.425,0.046,0.011,23.447,23.401
23.425,23.425,0.046,0.012,23.447,23.401
23.426,23.426,0.046,0.013,23.447,23.401
23.428,23.428,0.046,0.013,23.447,23.401
23.427,23.427,0.046,0.013,23.447,23.401
23.427,23.427,0.046,0.013,23.447,23.401
23.43,23.43,0.031,0.01,23.447,23.416
23.432,23.432,0.031,0.01,23.447,23.416
23.433,23.433,0.031,0.009,23.447,23.416
23.436,23.436,0.031,0.008,23.447,23.416
23.435,23.435,0.029,0.008,23.445,23.416
23.436,23.436,0.03,0.009,23.446,23.416
23.436,23.436,0.03,0.009,23.446,23.416
23.438,23.438,0.037,0.01,23.453,23.416
23.44,23.44,0.024,0.007,23.453,23.429
23.44,23.44,0.021,0.006,23.453,23.432
23.438,23.439,0.033,0.009,23.453,23.42
23.44,23.44,0.033,0.009,23.453,23.42
23.441,23.442,0.033,0.009,23.453,23.42
23.44,23.44,0.033,0.01,23.453,23.42
23.437,23.437,0.033,0.012,23.453,23.42
23.435,23.435,0.033,0.012,23.453,23.42
23.432,23.432,0.039,0.014,23.453,23.414
23.429,23.429,0.037,0.012,23.451,23.414
23.427,23.427,0.037,0.012,23.451,23.414
23.427,23.427,0.037,0.012,23.451,23.414
23.428,23.428,0.037,0.012,23.451,23.414
23.426,23.426,0.037,0.01,23.451,23.414
23.422,23.422,0.024,0.007,23.432,23.408
23.422,23.422,0.024,0.007,23.432,23.408
23.423,23.423,0.024,0.008,23.432,23.408
23.415,23.415,0.094,0.027,23.432,23.338
23.417,23.417,0.104,0.028,23.442,23.338
23.418,23.418,0.104,0.028,23.442,23.338
23.418,23.418,0.104,0.028,23.442,23.338
23.417,23.417,0.104,0.028,23.442,23.338
23.416,23.416,0.104,0.027,23.442,23.338
23.418,23.418,0.107,0.029,23.445,23.338
23.42,23.42,0.107,0.029,23.445,23.338
23.42,23.42,0.107,0.029,23.445,23.338
23.421,23.421,0.107,0.029,23.445,23.338
23.43,23.43,0.027,0.009,23.445,23.418
23.431,23.431,0.032,0.01,23.45,23.418
23.432,23.432,0.032,0.01,23.45,23.418
23.434,23.434,0.032,0.01,23.45,23.418
23.436,23.436,0.028,0.008,23.45,23.422
23.437,23.437,0.022,0.007,23.45,23.428
23.434,23.434,0.036,0.009,23.45,23.414
23.435,23.435,0.036,0.009,23.45,23.414
23.435,23.435,0.036,0.009,23.45,23.414
23.435,23.435,0.036,0.009,23.45,23.414
23.433,23.433,0.037,0.012,23.45,23.413
23.431,23.431,0.03,0.01,23.443,23.413
23.432,23.432,0.033,0.011,23.446,23.413
23.432,23.432,0.033,0.011,23.446,23.413
23.432,23.432,0.033,0.011,23.446,23.413
23.431,23.431,0.033,0.01,23.446,23.413
23.433,23.433,0.033,0.009,23.446,23.413
23.433,23.433,0.033,0.009,23.446,23.413
23.435,23.435,0.033,0.009,23.446,23.413
23.434,23.434,0.033,0.008,23.446,23.413
23.435,23.435,0.017,0.005,23.446,23.429
23.437,23.437,0.015,0.005,23.446,23.431
23.437,23.437,0.015,0.005,23.446,23.431
23.437,23.437,0.015,0.005,23.446,23.431
23.437,23.437,0.015,0.005,23.446,23.431
23.437,23.437,0.015,0.005,23.446,23.431
23.436,23.436,0.015,0.005,23.446,23.431
23.436,23.436,0.018,0.005,23.446,23.428
23.435,23.435,0.018,0.005,23.446,23.428
23.436,23.436,0.018,0.005,23.446,23.428
23.437,23.437,0.019,0.006,23.447,23.428
23.438,23.438,0.019,0.006,23.447,23.428
23.438,23.438,0.02,0.006,23.448,23.428
23.437,23.437,0.02,0.007,23.448,23.428
23.437,23.437,0.02,0.007,23.448,23.428
23.438,23.438,0.02,0.008,23.448,23.428
23.439,23.439,0.02,0.008,23.448,23.428
23.442,23.442,0.027,0.008,23.456,23.429
23.443,23.443,0.027,0.009,23.456,23.429
23.444,23.444,0.027,0.008,23.456,23.429
23.444,23.444,0.027,0.008,23.456,23.429
23.445,23.445,0.027,0.009,23.456,23.429
23.443,23.443,0.028,0.01,23.456,23.428
23.444,23.444,0.028,0.009,23.456,23.428
23.444,23.444,0.028,0.009,23.456,23.428
23.442,23.442,0.028,0.01,23.456,23.428
23.442,23.442,0.028,0.01,23.456,23.428
23.438,23.438,0.034,0.011,23.453,23.419
23.436,23.436,0.034,0.01,23.453,23.419
23.436,23.436,0.034,0.01,23.453,23.419
23.435,23.436,0.034,0.01,23.453,23.419
23.433,23.433,0.032,0.008,23.451,23.419
23.435,23.435,0.032,0.008,23.451,23.419
23.435,23.435,0.032,0.008,23.451,23.419
23.437,23.437,0.032,0.009,23.451,23.419
23.439,23.439,0.034,0.01,23.453,23.419
23.438,23.438,0.034,0.011,23.453,23.419
23.44,23.44,0.023,0.009,23.453,23.43
23.439,23.439,0.026,0.009,23.453,23.427
23.438,23.438,0.026,0.008,23.453,23.427
23.437,23.437,0.026,0.008,23.453,23.427
23.44,23.44,0.028,0.01,23.455,23.427
23.44,23.44,0.028,0.01,23.455,23.427
23.442,23.442,0.028,0.01,23.455,23.427
23.443,23.443,0.033,0.012,23.46,23.427
23.443,23.443,0.033,0.012,23.46,23.427
23.446,23.446,0.033,0.012,23.46,23.427
23.447,23.447,0.033,0.011,23.46,23.427
23.451,23.451,0.026,0.009,23.46,23.434
23.45,23.45,0.03,0.01,23.46,23.43
23.45,23.45,0.03,0.01,23.46,23.43
23.45,23.45,0.03,0.01,23.46,23.43
23.45,23.45,0.03,0.01,23.46,23.43
23.451,23.451,0.03,0.01,23.46,23.43
23.451,23.451,0.031,0.01,23.461,23.43
23.45,23.45,0.031,0.01,23.461,23.43
23.451,23.451,0.033,0.011,23.463,23.43
23.452,23.452,0.033,0.011,23.463,23.43
23.45,23.45,0.033,0.011,23.463,23.43
23.451,23.451,0.029,0.009,23.463,23.434
23.452,23.452,0.023,0.008,23.463,23.44
23.451,23.451,0.023,0.009,23.463,23.44
23.45,23.45,0.023,0.009,23.463,23.44
23.448,23.448,0.023,0.008,23.463,23.44
23.446,23.446,0.023,0.007,23.463,23.44
23.446,23.446,0.023,0.007,23.463,23.44
23.444,23.444,0.016,0.004,23.456,23.44
23.443,23.443,0.006,0.002,23.446,23.44
23.443,23.443,0.007,0.002,23.446,23.439
23.443,23.443,0.007,0.002,23.446,23.439
23.442,23.442,0.007,0.002,23.446,23.439
23.445,23.445,0.025,0.007,23.464,23.439
23.445,23.445,0.025,0.007,23.464,23.439
23.446,23.446,0.025,0.007,23.464,23.439
23.449,23.449,0.042,0.013,23.481,23.439
23.452,23.452,0.042,0.014,23.481,23.439
23.452,23.452,0.042,0.013,23.481,23.439
23.454,23.454,0.042,0.014,23.481,23.439
23.456,23.456,0.042,0.013,23.481,23.439
23.457,23.457,0.042,0.012,23.481,23.439
23.461,23.461,0.036,0.012,23.481,23.445
23.461,23.461,0.036,0.012,23.481,23.445
23.461,23.461,0.036,0.012,23.481,23.445
23.464,23.464,0.036,0.012,23.481,23.445
23.461,23.461,0.03,0.01,23.475,23.445
23.459,23.459,0.03,0.011,23.475,23.445
23.462,23.462,0.028,0.01,23.475,23.447
23.461,23.461,0.028,0.01,23.475,23.447
23.46,23.46,0.028,0.01,23.475,23.447
23.461,23.461,0.028,0.01,23.475,23.447
23.461,23.461,0.028,0.01,23.475,23.447
23.458,23.458,0.036,0.012,23.475,23.439
23.459,23.459,0.036,0.011,23.475,23.439
23.458,23.458,0.036,0.01,23.475,23.439
23.46,23.46,0.036,0.011,23.475,23.439
23.451,23.451,0.115,0.032,23.475,23.36
23.449,23.449,0.115,0.032,23.475,23.36
23.45,23.45,0.115,0.032,23.475,23.36
23.449,23.449,0.115,0.032,23.475,23.36
23.448,23.448,0.115,0.032,23.475,23.36
23.449,23.449,0.121,0.033,23.481,23.36
23.452,23.452,0.121,0.033,23.481,23.36
23.453,23.453,0.121,0.033,23.481,23.36
23.454,23.454,0.121,0.034,23.481,23.36
23.452,23.452,0.121,0.033,23.481,23.36
23.463,23.463,0.04,0.012,23.481,23.441
23.457,23.457,0.096,0.026,23.481,23.385
23.453,23.453,0.096,0.026,23.481,23.385
23.455,23.455,0.096,0.026,23.481,23.385
23.459,23.459,0.107,0.028,23.492,23.385
23.455,23.455,0.107,0.028,23.492,23.385
23.455,23.455,0.107,0.027,23.492,23.385
23.455,23.455,0.107,0.027,23.492,23.385
23.456,23.456,0.107,0.028,23.492,23.385
23.457,23.457,0.107,0.028,23.492,23.385
23.457,23.457,0.107,0.029,23.492,23.385
23.462,23.462,0.058,0.018,23.492,23.434
23.462,23.462,0.058,0.018,23.492,23.434
23.459,23.459,0.058,0.02,23.492,23.434
23.459,23.459,0.053,0.02,23.487,23.434
23.462,23.462,0.053,0.02,23.487,23.434
23.459,23.459,0.053,0.022,23.487,23.434
23.456,23.456,0.053,0.023,23.487,23.434
23.455,23.455,0.053,0.022,23.487,23.434
23.454,23.454,0.053,0.021,23.487,23.434
23.455,23.455,0.053,0.022,23.487,23.434
23.457,23.457,0.053,0.021,23.487,23.434
23.461,23.461,0.053,0.019,23.487,23.434
23.464,23.464,0.053,0.017,23.487,23.434
