mean,RMS,ptp,std,max,min
23.522,23.523,0.161,0.048,23.596,23.435
23.524,23.525,0.161,0.046,23.596,23.435
23.532,23.532,0.161,0.047,23.596,23.435
23.529,23.529,0.161,0.048,23.596,23.435
23.542,23.542,0.105,0.036,23.596,23.491
23.544,23.544,0.093,0.035,23.596,23.503
23.551,23.551,0.093,0.033,23.596,23.503
23.544,23.544,0.093,0.034,23.596,23.503
23.537,23.537,0.073,0.03,23.576,23.503
23.542,23.542,0.123,0.039,23.626,23.503
23.535,23.535,0.166,0.046,23.626,23.46
23.538,23.538,0.166,0.045,23.626,23.46
23.525,23.525,0.187,0.052,23.626,23.439
23.526,23.526,0.187,0.052,23.626,23.439
23.519,23.519,0.187,0.051,23.626,23.439
23.528,23.529,0.187,0.056,23.626,23.439
23.525,23.525,0.187,0.054,23.626,23.439
23.528,23.528,0.187,0.054,23.626,23.439
23.528,23.528,0.187,0.054,23.626,23.439
23.515,23.515,0.162,0.043,23.601,23.439
23.525,23.525,0.162,0.041,23.601,23.439
23.532,23.532,0.165,0.048,23.604,23.439
23.54,23.54,0.113,0.037,23.604,23.491
23.545,23.545,0.113,0.037,23.604,23.491
23.542,23.542,0.143,0.042,23.604,23.461
23.537,23.537,0.143,0.038,23.604,23.461
23.533,23.533,0.143,0.04,23.604,23.461
23.531,23.531,0.143,0.04,23.604,23.461
23.525,23.525,0.143,0.044,23.604,23.461
23.522,23.522,0.143,0.048,23.604,23.461
23.518,23.518,0.143,0.046,23.604,23.461
23.506,23.506,0.108,0.036,23.569,23.461
23.502,23.502,0.108,0.036,23.569,23.461
23.499,23.499,0.095,0.032,23.556,23.461
23.504,23.504,0.094,0.029,23.556,23.462
23.499,23.499,0.079,0.024,23.541,23.462
23.496,23.496,0.079,0.026,23.541,23.462
23.499,23.5,0.096,0.031,23.558,23.462
23.506,23.506,0.096,0.031,23.558,23.462
23.509,23.509,0.096,0.027,23.558,23.462
23.51,23.51,0.096,0.028,23.558,23.462
23.507,23.507,0.102,0.031,23.558,23.456
23.511,23.512,0.102,0.031,23.558,23.456
23.509,23.509,0.102,0.03,23.558,23.456
23.5,23.5,0.139,0.04,23.558,23.419
23.496,23.497,0.139,0.041,23.558,23.419
23.504,23.505,0.139,0.041,23.558,23.419
23.505,23.505,0.146,0.042,23.565,23.419
23.492,23.492,0.169,0.052,23.565,23.396
23.491,23.491,0.169,0.052,23.565,23.396
23.494,23.494,0.169,0.055,23.565,23.396
23.505,23.505,0.174,0.058,23.57,23.396
23.51,23.51,0.175,0.061,23.571,23.396
23.499,23.499,0.175,0.068,23.571,23.396
23.503,23.503,0.175,0.064,23.571,23.396
23.504,23.504,0.175,0.064,23.571,23.396
23.506,23.506,0.175,0.065,23.571,23.396
23.506,23.506,0.175,0.065,23.571,23.396
23.515,23.515,0.164,0.054,23.571,23.407
23.512,23.512,0.164,0.056,23.571,23.407
23.505,23.505,0.164,0.055,23.571,23.407
23.491,23.491,0.164,0.054,23.571,23.407
23.483,23.483,0.156,0.047,23.563,23.407
23.485,23.485,0.142,0.045,23.563,23.421
23.48,23.48,0.15,0.05,23.563,23.413
23.48,23.48,0.15,0.05,23.563,23.413
23.467,23.467,0.147,0.043,23.56,23.413
23.472,23.472,0.204,0.056,23.617,23.413
23.481,23.481,0.204,0.065,23.617,23.413
23.491,23.491,0.204,0.068,23.617,23.413
23.497,23.497,0.204,0.07,23.617,23.413
23.504,23.504,0.204,0.067,23.617,23.413
23.51,23.51,0.204,0.068,23.617,23.413
23.52,23.52,0.204,0.061,23.617,23.413
23.53,23.53,0.183,0.05,23.617,23.434
23.538,23.538,0.183,0.047,23.617,23.434
23.544,23.544,0.126,0.037,23.617,23.491
23.523,23.523,0.171,0.047,23.58,23.409
23.507,23.507,0.15,0.051,23.559,23.409
23.5,23.501,0.148,0.048,23.557,23.409
23.495,23.495,0.148,0.046,23.557,23.409
23.496,23.496,0.148,0.046,23.557,23.409
23.484,23.484,0.148,0.045,23.557,23.409
23.494,23.494,0.207,0.06,23.616,23.409
23.491,23.491,0.207,0.059,23.616,23.409
23.48,23.48,0.207,0.056,23.616,23.409
23.479,23.479,0.207,0.056,23.616,23.409
23.489,23.489,0.196,0.051,23.616,23.42
23.495,23.495,0.179,0.046,23.616,23.437
23.496,23.496,0.179,0.046,23.616,23.437
23.496,23.496,0.179,0.046,23.616,23.437
23.494,23.494,0.179,0.046,23.616,23.437
23.51,23.51,0.175,0.052,23.616,23.441
23.492,23.492,0.161,0.042,23.601,23.44
23.496,23.496,0.161,0.043,23.601,23.44
23.499,23.499,0.161,0.04,23.601,23.44
23.499,23.499,0.161,0.04,23.601,23.44
23.507,23.507,0.161,0.047,23.601,23.44
23.508,23.508,0.161,0.046,23.601,23.44
23.507,23.507,0.161,0.047,23.601,23.44
23.514,23.514,0.161,0.049,23.601,23.44
23.516,23.516,0.161,0.049,23.601,23.44
23.505,23.505,0.14,0.04,23.58,23.44
23.512,23.512,0.11,0.034,23.58,23.47
23.504,23.504,0.141,0.04,23.58,23.439
23.515,23.515,0.144,0.044,23.583,23.439
23.511,23.512,0.144,0.047,23.583,23.439
23.497,23.497,0.146,0.046,23.583,23.437
23.498,23.498,0.146,0.046,23.583,23.437
23.501,23.501,0.146,0.047,23.583,23.437
23.479,23.479,0.236,0.06,23.583,23.347
23.475,23.475,0.236,0.06,23.583,23.347
23.475,23.475,0.236,0.06,23.583,23.347
23.467,23.467,0.236,0.059,23.583,23.347
23.475,23.475,0.236,0.06,23.583,23.347
23.467,23.467,0.175,0.049,23.522,23.347
23.48,23.48,0.236,0.06,23.583,23.347
23.493,23.493,0.236,0.064,23.583,23.347
23.5,23.5,0.236,0.067,23.583,23.347
23.491,23.491,0.236,0.069,23.583,23.347
23.508,23.508,0.147,0.05,23.583,23.436
23.507,23.507,0.147,0.05,23.583,23.436
23.513,23.513,0.147,0.052,23.583,23.436
23.512,23.512,0.151,0.053,23.583,23.432
23.51,23.51,0.151,0.054,23.583,23.432
23.513,23.513,0.151,0.054,23.583,23.432
23.508,23.508,0.14,0.05,23.572,23.432
23.495,23.495,0.128,0.049,23.56,23.432
23.491,23.491,0.123,0.045,23.555,23.432
23.509,23.509,0.177,0.053,23.609,23.432
23.504,23.504,0.177,0.055,23.609,23.432
23.518,23.518,0.177,0.057,23.609,23.432
23.515,23.515,0.177,0.056,23.609,23.432
23.523,23.523,0.172,0.049,23.609,23.437
23.525,23.525,0.172,0.048,23.609,23.437
23.516,23.516,0.172,0.054,23.609,23.437
23.521,23.521,0.172,0.058,23.609,23.437
23.521,23.521,0.173,0.058,23.609,23.436
23.523,23.523,0.173,0.058,23.609,23.436
