mean,RMS,ptp,std,max,min
16.316,16.316,0.103,0.041,16.377,16.274
16.327,16.327,0.121,0.046,16.395,16.274
16.337,16.337,0.121,0.048,16.395,16.274
16.337,16.337,0.121,0.048,16.395,16.274
16.344,16.344,0.121,0.044,16.395,16.274
16.345,16.345,0.121,0.043,16.395,16.274
16.354,16.354,0.107,0.036,16.395,16.288
16.354,16.354,0.107,0.036,16.395,16.288
16.346,16.346,0.107,0.04,16.395,16.288
16.346,16.346,0.107,0.04,16.395,16.288
16.341,16.341,0.107,0.039,16.395,16.288
16.34,16.34,0.107,0.038,16.395,16.288
16.334,16.334,0.098,0.033,16.386,16.288
16.335,16.335,0.098,0.032,16.386,16.288
16.338,16.338,0.098,0.034,16.386,16.288
16.338,16.338,0.097,0.034,16.386,16.289
16.339,16.339,0.097,0.034,16.386,16.289
16.341,16.341,0.104,0.037,16.393,16.289
16.338,16.338,0.13,0.041,16.393,16.263
16.344,16.344,0.13,0.042,16.393,16.263
16.348,16.348,0.13,0.042,16.393,16.263
16.348,16.348,0.13,0.042,16.393,16.263
16.353,16.353,0.13,0.043,16.393,16.263
16.358,16.358,0.13,0.042,16.393,16.263
16.368,16.368,0.206,0.054,16.469,16.263
16.374,16.374,0.206,0.048,16.469,16.263
16.375,16.375,0.206,0.048,16.469,16.263
16.372,16.372,0.206,0.047,16.469,16.263
16.384,16.384,0.115,0.031,16.469,16.354
16.384,16.384,0.115,0.031,16.469,16.354
16.387,16.387,0.115,0.029,16.469,16.354
16.379,16.379,0.158,0.037,16.469,16.311
16.368,16.368,0.193,0.048,16.469,16.276
16.362,16.363,0.193,0.05,16.469,16.276
16.354,16.354,0.111,0.037,16.387,16.276
16.356,16.356,0.111,0.038,16.387,16.276
16.354,16.354,0.111,0.037,16.387,16.276
16.356,16.356,0.111,0.038,16.387,16.276
16.356,16.356,0.111,0.038,16.387,16.276
16.355,16.355,0.11,0.037,16.386,16.276
16.346,16.346,0.11,0.041,16.386,16.276
16.345,16.345,0.11,0.042,16.386,16.276
16.347,16.347,0.097,0.038,16.386,16.289
16.351,16.352,0.097,0.037,16.386,16.289
16.353,16.353,0.11,0.039,16.399,16.289
16.352,16.352,0.11,0.038,16.399,16.289
16.348,16.348,0.11,0.04,16.399,16.289
16.343,16.343,0.11,0.038,16.399,16.289
16.34,16.34,0.11,0.036,16.399,16.289
16.337,16.337,0.11,0.034,16.399,16.289
16.353,16.353,0.149,0.044,16.45,16.301
16.352,16.352,0.161,0.046,16.45,16.289
16.358,16.358,0.161,0.042,16.45,16.289
16.36,16.36,0.161,0.043,16.45,16.289
16.355,16.355,0.161,0.041,16.45,16.289
16.353,16.353,0.161,0.04,16.45,16.289
16.352,16.352,0.161,0.042,16.45,16.289
16.356,16.356,0.161,0.043,16.45,16.289
16.353,16.353,0.161,0.044,16.45,16.289
16.352,16.352,0.161,0.044,16.45,16.289
16.342,16.342,0.094,0.03,16.383,16.289
16.343,16.343,0.087,0.029,16.383,16.296
16.335,16.335,0.094,0.032,16.383,16.289
16.334,16.334,0.094,0.031,16.383,16.289
16.336,16.337,0.094,0.033,16.383,16.289
16.338,16.338,0.094,0.033,16.383,16.289
16.353,16.353,0.161,0.045,16.45,16.289
16.351,16.351,0.161,0.044,16.45,16.289
16.348,16.348,0.164,0.047,16.45,16.286
16.343,16.343,0.164,0.05,16.45,16.286
16.336,16.336,0.168,0.053,16.45,16.282
16.343,16.343,0.168,0.053,16.45,16.282
16.355,16.355,0.168,0.052,16.45,16.282
16.357,16.357,0.168,0.053,16.45,16.282
16.357,16.357,0.168,0.053,16.45,16.282
16.357,16.357,0.168,0.053,16.45,16.282
16.347,16.347,0.119,0.043,16.401,16.282
16.346,16.346,0.119,0.042,16.401,16.282
16.356,16.357,0.119,0.04,16.401,16.282
16.358,16.358,0.119,0.037,16.401,16.282
16.367,16.367,0.101,0.027,16.401,16.3
16.365,16.365,0.101,0.028,16.401,16.3
16.354,16.354,0.105,0.033,16.394,16.289
16.362,16.362,0.179,0.047,16.468,16.289
16.362,16.362,0.179,0.047,16.468,16.289
16.367,16.367,0.179,0.049,16.468,16.289
16.368,16.368,0.179,0.049,16.468,16.289
16.37,16.37,0.179,0.049,16.468,16.289
16.381,16.381,0.217,0.064,16.506,16.289
16.402,16.402,0.217,0.068,16.506,16.289
16.394,16.394,0.217,0.074,16.506,16.289
16.397,16.397,0.217,0.073,16.506,16.289
16.398,16.398,0.204,0.071,16.506,16.302
16.38,16.38,0.218,0.073,16.506,16.288
16.382,16.382,0.218,0.073,16.506,16.288
16.369,16.369,0.224,0.078,16.506,16.282
16.365,16.365,0.224,0.079,16.506,16.282
16.357,16.358,0.224,0.082,16.506,16.282
16.336,16.336,0.224,0.067,16.506,16.282
16.314,16.314,0.107,0.037,16.389,16.282
16.322,16.322,0.107,0.041,16.389,16.282
16.315,16.315,0.107,0.036,16.389,16.282
16.313,16.314,0.107,0.037,16.389,16.282
16.317,16.318,0.107,0.036,16.389,16.282
16.309,16.309,0.097,0.027,16.379,16.282
16.326,16.326,0.168,0.051,16.457,16.289
16.324,16.325,0.168,0.051,16.457,16.289
16.324,16.324,0.168,0.051,16.457,16.289
