mean,RMS,ptp,std,max,min
16.809,16.809,0.035,0.012,16.831,16.796
16.808,16.808,0.035,0.012,16.831,16.796
16.808,16.808,0.035,0.012,16.831,16.796
16.81,16.81,0.035,0.011,16.831,16.796
16.809,16.809,0.035,0.01,16.831,16.796
16.808,16.808,0.029,0.009,16.825,16.796
16.8,16.8,0.101,0.027,16.825,16.724
16.794,16.794,0.101,0.032,16.825,16.724
16.795,16.795,0.101,0.033,16.825,16.724
16.796,16.796,0.101,0.033,16.825,16.724
16.789,16.789,0.101,0.038,16.825,16.724
16.791,16.791,0.105,0.039,16.829,16.724
16.792,16.792,0.105,0.04,16.829,16.724
16.793,16.793,0.105,0.04,16.829,16.724
16.791,16.791,0.105,0.039,16.829,16.724
16.793,16.793,0.122,0.041,16.846,16.724
16.803,16.803,0.112,0.035,16.846,16.734
16.804,16.804,0.112,0.033,16.846,16.734
16.804,16.804,0.112,0.033,16.846,16.734
16.804,16.804,0.112,0.033,16.846,16.734
16.812,16.812,0.096,0.023,16.846,16.75
16.811,16.811,0.096,0.023,16.846,16.75
16.811,16.811,0.096,0.023,16.846,16.75
16.811,16.811,0.096,0.023,16.846,16.75
16.811,16.811,0.096,0.023,16.846,16.75
16.808,16.808,0.07,0.02,16.82,16.75
16.8,16.8,0.074,0.027,16.819,16.745
16.807,16.807,0.076,0.021,16.821,16.745
16.81,16.81,0.091,0.023,16.836,16.745
16.812,16.812,0.091,0.024,16.836,16.745
16.815,16.816,0.097,0.026,16.842,16.745
16.818,16.818,0.102,0.028,16.847,16.745
16.819,16.819,0.102,0.028,16.847,16.745
16.819,16.819,0.102,0.028,16.847,16.745
16.823,16.823,0.102,0.028,16.847,16.745
16.82,16.82,0.102,0.03,16.847,16.745
16.826,16.826,0.062,0.018,16.847,16.785
16.827,16.827,0.062,0.018,16.847,16.785
16.826,16.826,0.062,0.018,16.847,16.785
16.825,16.825,0.062,0.018,16.847,16.785
16.822,16.822,0.062,0.017,16.847,16.785
16.819,16.819,0.059,0.015,16.844,16.785
16.817,16.817,0.059,0.016,16.844,16.785
16.818,16.819,0.059,0.016,16.844,16.785
16.816,16.816,0.047,0.014,16.832,16.785
16.817,16.817,0.03,0.011,16.832,16.802
16.812,16.812,0.085,0.024,16.832,16.747
16.811,16.811,0.085,0.023,16.832,16.747
16.811,16.811,0.085,0.023,16.832,16.747
16.81,16.81,0.085,0.023,16.832,16.747
16.81,16.811,0.085,0.023,16.832,16.747
16.811,16.811,0.085,0.023,16.832,16.747
16.814,16.814,0.085,0.024,16.832,16.747
16.814,16.814,0.082,0.023,16.829,16.747
16.815,16.815,0.085,0.024,16.832,16.747
16.817,16.817,0.085,0.024,16.832,16.747
16.824,16.824,0.014,0.005,16.832,16.818
16.814,16.815,0.102,0.029,16.832,16.73
16.815,16.815,0.102,0.029,16.832,16.73
16.812,16.812,0.102,0.029,16.832,16.73
16.814,16.814,0.112,0.03,16.842,16.73
16.811,16.811,0.112,0.03,16.842,16.73
16.811,16.811,0.112,0.03,16.842,16.73
16.811,16.811,0.112,0.03,16.842,16.73
16.802,16.802,0.112,0.036,16.842,16.73
16.8,16.8,0.112,0.035,16.842,16.73
16.802,16.802,0.112,0.037,16.842,16.73
16.804,16.804,0.102,0.034,16.842,16.74
16.803,16.803,0.102,0.034,16.842,16.74
16.806,16.806,0.102,0.034,16.842,16.74
16.802,16.802,0.099,0.032,16.839,16.74
16.795,16.795,0.106,0.038,16.839,16.733
16.786,16.786,0.106,0.04,16.839,16.733
16.783,16.783,0.106,0.038,16.839,16.733
16.789,16.789,0.106,0.036,16.839,16.733
16.792,16.792,0.106,0.037,16.839,16.733
16.79,16.79,0.092,0.036,16.825,16.733
16.79,16.79,0.092,0.036,16.825,16.733
16.788,16.788,0.092,0.035,16.825,16.733
16.789,16.79,0.098,0.037,16.831,16.733
16.79,16.79,0.098,0.037,16.831,16.733
16.798,16.798,0.097,0.032,16.831,16.734
16.806,16.806,0.091,0.024,16.831,16.74
16.807,16.807,0.091,0.024,16.831,16.74
16.81,16.81,0.093,0.025,16.833,16.74
16.811,16.811,0.093,0.026,16.833,16.74
16.812,16.812,0.094,0.026,16.834,16.74
16.811,16.811,0.1,0.028,16.834,16.734
16.812,16.812,0.1,0.028,16.834,16.734
16.81,16.81,0.1,0.027,16.834,16.734
16.802,16.802,0.102,0.036,16.834,16.732
16.795,16.795,0.102,0.04,16.834,16.732
16.794,16.794,0.102,0.04,16.834,16.732
16.795,16.795,0.102,0.041,16.834,16.732
16.794,16.794,0.102,0.04,16.834,16.732
16.792,16.793,0.102,0.039,16.834,16.732
16.79,16.79,0.094,0.037,16.826,16.732
16.8,16.8,0.096,0.033,16.828,16.732
16.8,16.8,0.096,0.033,16.828,16.732
16.792,16.792,0.096,0.038,16.828,16.732
16.803,16.803,0.105,0.035,16.84,16.735
16.811,16.811,0.105,0.027,16.84,16.735
16.815,16.815,0.108,0.029,16.843,16.735
16.812,16.812,0.108,0.029,16.843,16.735
16.811,16.811,0.108,0.029,16.843,16.735
16.815,16.815,0.118,0.031,16.853,16.735
16.816,16.816,0.118,0.031,16.853,16.735
16.815,16.815,0.118,0.031,16.853,16.735
16.807,16.807,0.125,0.041,16.853,16.728
16.806,16.806,0.125,0.042,16.853,16.728
16.799,16.799,0.125,0.041,16.853,16.728
16.798,16.798,0.125,0.041,16.853,16.728
16.793,16.793,0.125,0.038,16.853,16.728
16.794,16.794,0.125,0.038,16.853,16.728
16.797,16.797,0.125,0.041,16.853,16.728
16.796,16.796,0.122,0.04,16.85,16.728
16.799,16.799,0.122,0.041,16.85,16.728
