mean,RMS,ptp,std,max,min
21.047,21.048,0.254,0.074,21.151,20.897
21.051,21.051,0.254,0.075,21.151,20.897
21.044,21.044,0.233,0.068,21.13,20.897
21.045,21.045,0.233,0.068,21.13,20.897
21.046,21.046,0.233,0.067,21.13,20.897
21.065,21.065,0.135,0.046,21.13,20.995
21.065,21.065,0.134,0.046,21.13,20.996
21.063,21.063,0.127,0.043,21.123,20.996
21.051,21.052,0.144,0.048,21.123,20.979
21.026,21.026,0.239,0.067,21.11,20.871
21.025,21.025,0.239,0.067,21.11,20.871
21.021,21.021,0.239,0.065,21.11,20.871
21.029,21.029,0.285,0.075,21.156,20.871
21.028,21.028,0.285,0.075,21.156,20.871
21.043,21.043,0.288,0.084,21.159,20.871
21.039,21.039,0.288,0.083,21.159,20.871
21.028,21.029,0.288,0.094,21.159,20.871
21.014,21.014,0.288,0.091,21.159,20.871
21.02,21.02,0.288,0.091,21.159,20.871
21.035,21.035,0.27,0.076,21.159,20.889
21.053,21.054,0.29,0.086,21.179,20.889
21.052,21.053,0.29,0.086,21.179,20.889
21.041,21.041,0.29,0.079,21.179,20.889
21.029,21.029,0.29,0.087,21.179,20.889
21.016,21.017,0.29,0.076,21.179,20.889
21.013,21.013,0.29,0.075,21.179,20.889
21.026,21.026,0.259,0.063,21.179,20.92
21.036,21.037,0.259,0.06,21.179,20.92
21.046,21.046,0.259,0.067,21.179,20.92
21.031,21.031,0.306,0.085,21.179,20.873
21.021,21.021,0.264,0.072,21.137,20.873
21.022,21.022,0.264,0.072,21.137,20.873
21.006,21.006,0.264,0.083,21.137,20.873
21.028,21.028,0.269,0.087,21.142,20.873
21.018,21.018,0.269,0.091,21.142,20.873
21.015,21.015,0.269,0.092,21.142,20.873
21.008,21.009,0.269,0.093,21.142,20.873
21.016,21.016,0.269,0.1,21.142,20.873
21.0,21.0,0.269,0.092,21.142,20.873
20.999,21.0,0.272,0.093,21.142,20.87
20.982,20.983,0.272,0.092,21.142,20.87
20.969,20.97,0.272,0.093,21.142,20.87
20.971,20.971,0.272,0.091,21.142,20.87
20.959,20.959,0.269,0.074,21.139,20.87
20.957,20.957,0.269,0.075,21.139,20.87
20.964,20.964,0.269,0.079,21.139,20.87
20.957,20.958,0.269,0.081,21.139,20.87
20.947,20.948,0.17,0.062,21.04,20.87
20.954,20.954,0.17,0.068,21.04,20.87
20.963,20.963,0.145,0.062,21.04,20.895
20.961,20.961,0.151,0.064,21.04,20.889
20.957,20.958,0.167,0.068,21.04,20.873
20.982,20.982,0.268,0.083,21.141,20.873
20.997,20.997,0.298,0.101,21.171,20.873
21.012,21.012,0.298,0.098,21.171,20.873
20.997,20.997,0.298,0.105,21.171,20.873
21.021,21.022,0.298,0.109,21.171,20.873
21.017,21.018,0.298,0.109,21.171,20.873
21.018,21.018,0.298,0.109,21.171,20.873
21.036,21.036,0.298,0.112,21.171,20.873
21.051,21.051,0.298,0.1,21.171,20.873
21.059,21.059,0.285,0.088,21.171,20.886
21.06,21.06,0.285,0.088,21.171,20.886
21.042,21.042,0.265,0.082,21.151,20.886
21.033,21.034,0.265,0.083,21.151,20.886
21.051,21.051,0.193,0.067,21.151,20.958
21.04,21.04,0.189,0.059,21.147,20.958
21.042,21.042,0.189,0.058,21.147,20.958
21.034,21.034,0.189,0.061,21.147,20.958
21.02,21.02,0.189,0.053,21.147,20.958
21.012,21.012,0.189,0.055,21.147,20.958
21.031,21.031,0.193,0.066,21.151,20.958
21.03,21.03,0.193,0.064,21.151,20.958
21.024,21.025,0.214,0.069,21.151,20.937
