mean,RMS,ptp,std,max,min
23.244,23.244,0.108,0.034,23.317,23.209
23.243,23.243,0.108,0.034,23.317,23.209
23.282,23.282,0.393,0.112,23.602,23.209
23.289,23.289,0.393,0.111,23.602,23.209
23.297,23.297,0.393,0.11,23.602,23.209
23.291,23.292,0.393,0.111,23.602,23.209
23.293,23.294,0.393,0.11,23.602,23.209
23.286,23.287,0.393,0.111,23.602,23.209
23.287,23.287,0.393,0.11,23.602,23.209
23.288,23.288,0.393,0.11,23.602,23.209
23.29,23.29,0.383,0.109,23.602,23.219
23.291,23.291,0.376,0.108,23.602,23.226
23.291,23.291,0.376,0.108,23.602,23.226
23.281,23.281,0.38,0.11,23.602,23.222
23.272,23.272,0.382,0.11,23.602,23.22
23.272,23.273,0.382,0.11,23.602,23.22
23.274,23.274,0.382,0.11,23.602,23.22
23.272,23.272,0.382,0.111,23.602,23.22
23.272,23.272,0.382,0.111,23.602,23.22
23.27,23.27,0.382,0.111,23.602,23.22
23.276,23.276,0.382,0.111,23.602,23.22
23.278,23.278,0.382,0.11,23.602,23.22
23.25,23.25,0.098,0.031,23.318,23.22
23.252,23.252,0.098,0.029,23.318,23.22
23.256,23.256,0.089,0.027,23.318,23.229
23.291,23.291,0.373,0.107,23.602,23.229
23.289,23.29,0.373,0.108,23.602,23.229
23.29,23.29,0.373,0.107,23.602,23.229
23.301,23.301,0.373,0.106,23.602,23.229
23.303,23.303,0.365,0.105,23.602,23.237
23.299,23.3,0.365,0.106,23.602,23.237
23.299,23.299,0.365,0.106,23.602,23.237
23.29,23.291,0.371,0.108,23.602,23.231
23.294,23.294,0.371,0.107,23.602,23.231
23.295,23.295,0.371,0.106,23.602,23.231
23.259,23.259,0.106,0.03,23.337,23.231
23.258,23.258,0.106,0.03,23.337,23.231
23.258,23.258,0.106,0.03,23.337,23.231
23.248,23.248,0.05,0.015,23.281,23.231
23.283,23.284,0.371,0.107,23.602,23.231
23.281,23.281,0.372,0.108,23.602,23.23
23.281,23.281,0.372,0.108,23.602,23.23
23.28,23.281,0.373,0.108,23.602,23.229
23.278,23.278,0.373,0.109,23.602,23.229
23.278,23.278,0.373,0.109,23.602,23.229
23.278,23.279,0.373,0.108,23.602,23.229
23.277,23.277,0.38,0.109,23.602,23.222
23.278,23.278,0.38,0.109,23.602,23.222
23.289,23.289,0.38,0.109,23.602,23.222
23.264,23.264,0.124,0.042,23.346,23.222
23.263,23.263,0.124,0.043,23.346,23.222
23.262,23.262,0.124,0.043,23.346,23.222
23.264,23.264,0.124,0.042,23.346,23.222
23.265,23.265,0.124,0.042,23.346,23.222
23.262,23.263,0.124,0.042,23.346,23.222
23.27,23.27,0.124,0.047,23.346,23.222
23.273,23.273,0.123,0.044,23.346,23.223
23.271,23.271,0.123,0.046,23.346,23.223
23.263,23.263,0.123,0.039,23.346,23.223
23.255,23.255,0.106,0.028,23.329,23.223
23.258,23.258,0.1,0.026,23.329,23.229
23.258,23.259,0.1,0.026,23.329,23.229
23.266,23.266,0.1,0.032,23.329,23.229
23.263,23.263,0.1,0.034,23.329,23.229
23.262,23.262,0.102,0.035,23.329,23.227
