mean,RMS,ptp,std,max,min
23.537,23.537,0.2,0.057,23.635,23.435
23.539,23.539,0.2,0.055,23.635,23.435
23.547,23.547,0.2,0.054,23.635,23.435
23.544,23.544,0.2,0.055,23.635,23.435
23.557,23.557,0.132,0.041,23.635,23.503
23.544,23.544,0.093,0.034,23.596,23.503
23.551,23.551,0.093,0.033,23.596,23.503
23.544,23.544,0.093,0.034,23.596,23.503
23.537,23.537,0.073,0.03,23.576,23.503
23.542,23.542,0.123,0.039,23.626,23.503
23.535,23.535,0.166,0.046,23.626,23.46
23.538,23.538,0.166,0.045,23.626,23.46
23.525,23.525,0.187,0.052,23.626,23.439
23.526,23.526,0.187,0.052,23.626,23.439
23.517,23.517,0.187,0.052,23.626,23.439
23.527,23.527,0.187,0.058,23.626,23.439
23.523,23.523,0.187,0.055,23.626,23.439
23.526,23.526,0.187,0.055,23.626,23.439
23.524,23.524,0.187,0.056,23.626,23.439
23.511,23.511,0.162,0.044,23.601,23.439
23.521,23.521,0.162,0.043,23.601,23.439
23.528,23.528,0.165,0.05,23.604,23.439
23.536,23.536,0.13,0.04,23.604,23.474
23.541,23.541,0.13,0.041,23.604,23.474
23.54,23.54,0.143,0.043,23.604,23.461
23.535,23.535,0.143,0.039,23.604,23.461
23.545,23.545,0.17,0.048,23.631,23.461
23.543,23.543,0.17,0.049,23.631,23.461
23.539,23.539,0.17,0.053,23.631,23.461
23.536,23.536,0.17,0.056,23.631,23.461
23.532,23.532,0.17,0.056,23.631,23.461
23.52,23.52,0.17,0.052,23.631,23.461
23.516,23.516,0.17,0.053,23.631,23.461
23.513,23.513,0.17,0.05,23.631,23.461
23.518,23.518,0.169,0.048,23.631,23.462
23.513,23.513,0.169,0.046,23.631,23.462
23.496,23.496,0.079,0.026,23.541,23.462
23.499,23.5,0.096,0.031,23.558,23.462
23.506,23.506,0.096,0.031,23.558,23.462
23.509,23.509,0.096,0.027,23.558,23.462
23.51,23.51,0.096,0.028,23.558,23.462
23.507,23.507,0.102,0.031,23.558,23.456
23.51,23.51,0.102,0.031,23.558,23.456
23.507,23.507,0.102,0.029,23.558,23.456
23.498,23.498,0.139,0.039,23.558,23.419
23.495,23.495,0.139,0.04,23.558,23.419
23.503,23.503,0.139,0.041,23.558,23.419
23.503,23.503,0.146,0.042,23.565,23.419
23.49,23.49,0.169,0.051,23.565,23.396
23.486,23.486,0.169,0.052,23.565,23.396
23.489,23.489,0.169,0.055,23.565,23.396
23.501,23.501,0.174,0.058,23.57,23.396
23.507,23.507,0.175,0.062,23.571,23.396
23.496,23.496,0.175,0.069,23.571,23.396
23.5,23.5,0.175,0.065,23.571,23.396
23.501,23.501,0.175,0.065,23.571,23.396
23.503,23.503,0.175,0.066,23.571,23.396
23.503,23.503,0.175,0.066,23.571,23.396
23.514,23.514,0.164,0.055,23.571,23.407
23.514,23.514,0.164,0.056,23.571,23.407
23.509,23.509,0.164,0.054,23.571,23.407
23.495,23.495,0.164,0.055,23.571,23.407
23.487,23.487,0.156,0.049,23.563,23.407
23.489,23.489,0.142,0.046,23.563,23.421
23.484,23.484,0.15,0.051,23.563,23.413
23.484,23.484,0.15,0.051,23.563,23.413
23.471,23.471,0.147,0.046,23.56,23.413
23.466,23.466,0.098,0.038,23.511,23.413
23.473,23.473,0.167,0.05,23.58,23.413
23.483,23.483,0.167,0.056,23.58,23.413
23.486,23.487,0.167,0.059,23.58,23.413
23.494,23.494,0.167,0.055,23.58,23.413
23.499,23.499,0.167,0.058,23.58,23.413
23.509,23.509,0.167,0.052,23.58,23.413
23.519,23.519,0.146,0.041,23.58,23.434
23.527,23.527,0.146,0.04,23.58,23.434
23.528,23.528,0.141,0.038,23.58,23.439
23.518,23.518,0.171,0.052,23.58,23.409
23.502,23.502,0.15,0.055,23.559,23.409
23.495,23.495,0.148,0.052,23.557,23.409
23.482,23.482,0.148,0.054,23.557,23.409
23.483,23.483,0.148,0.054,23.557,23.409
23.472,23.472,0.148,0.05,23.557,23.409
23.481,23.481,0.207,0.066,23.616,23.409
23.478,23.479,0.207,0.065,23.616,23.409
23.467,23.467,0.207,0.06,23.616,23.409
23.472,23.472,0.207,0.059,23.616,23.409
23.481,23.481,0.2,0.056,23.616,23.416
23.488,23.488,0.2,0.052,23.616,23.416
23.488,23.488,0.2,0.052,23.616,23.416
23.496,23.496,0.179,0.046,23.616,23.437
23.496,23.496,0.179,0.046,23.616,23.437
23.512,23.512,0.175,0.051,23.616,23.441
23.495,23.495,0.161,0.042,23.601,23.44
23.499,23.499,0.161,0.043,23.601,23.44
23.506,23.506,0.161,0.038,23.601,23.44
23.501,23.501,0.161,0.042,23.601,23.44
23.509,23.509,0.161,0.049,23.601,23.44
23.51,23.51,0.161,0.048,23.601,23.44
23.509,23.509,0.161,0.049,23.601,23.44
23.516,23.516,0.161,0.051,23.601,23.44
23.515,23.515,0.161,0.051,23.601,23.44
23.504,23.504,0.14,0.043,23.58,23.44
23.512,23.512,0.136,0.037,23.58,23.444
23.503,23.503,0.141,0.042,23.58,23.439
23.51,23.51,0.144,0.049,23.583,23.439
23.511,23.512,0.144,0.047,23.583,23.439
23.497,23.497,0.146,0.046,23.583,23.437
23.498,23.498,0.146,0.046,23.583,23.437
23.501,23.501,0.146,0.047,23.583,23.437
23.479,23.479,0.236,0.06,23.583,23.347
23.48,23.48,0.236,0.061,23.583,23.347
23.495,23.495,0.298,0.078,23.645,23.347
23.488,23.488,0.298,0.08,23.645,23.347
23.496,23.496,0.298,0.078,23.645,23.347
23.488,23.488,0.298,0.073,23.645,23.347
23.5,23.501,0.298,0.077,23.645,23.347
23.514,23.514,0.298,0.077,23.645,23.347
23.52,23.52,0.298,0.078,23.645,23.347
23.519,23.519,0.298,0.078,23.645,23.347
23.535,23.535,0.203,0.053,23.645,23.442
23.53,23.53,0.203,0.058,23.645,23.442
23.521,23.521,0.141,0.045,23.583,23.442
23.52,23.52,0.151,0.047,23.583,23.432
23.517,23.517,0.151,0.048,23.583,23.432
23.52,23.52,0.151,0.048,23.583,23.432
23.515,23.516,0.14,0.044,23.572,23.432
23.502,23.502,0.128,0.045,23.56,23.432
23.499,23.499,0.123,0.042,23.555,23.432
23.509,23.509,0.177,0.053,23.609,23.432
23.504,23.504,0.177,0.055,23.609,23.432
23.518,23.518,0.177,0.057,23.609,23.432
23.515,23.515,0.177,0.056,23.609,23.432
23.523,23.523,0.172,0.049,23.609,23.437
23.525,23.525,0.172,0.048,23.609,23.437
