mean,RMS,ptp,std,max,min
15.886,15.886,0.213,0.062,16.043,15.83
15.885,15.885,0.213,0.063,16.043,15.83
15.877,15.878,0.213,0.064,16.043,15.83
15.869,15.869,0.213,0.06,16.043,15.83
15.872,15.872,0.213,0.059,16.043,15.83
15.884,15.884,0.209,0.061,16.043,15.834
15.881,15.881,0.209,0.062,16.043,15.834
15.885,15.885,0.209,0.061,16.043,15.834
15.869,15.87,0.113,0.032,15.947,15.834
15.87,15.87,0.113,0.031,15.947,15.834
15.872,15.872,0.113,0.031,15.947,15.834
15.873,15.873,0.113,0.03,15.947,15.834
15.875,15.875,0.101,0.028,15.947,15.846
15.878,15.878,0.101,0.028,15.947,15.846
15.879,15.879,0.101,0.028,15.947,15.846
15.872,15.872,0.047,0.016,15.893,15.846
15.873,15.873,0.047,0.015,15.893,15.846
15.872,15.872,0.047,0.014,15.893,15.846
15.871,15.871,0.047,0.013,15.893,15.846
15.872,15.872,0.047,0.013,15.893,15.846
15.877,15.877,0.084,0.022,15.93,15.846
15.88,15.88,0.084,0.02,15.93,15.846
15.883,15.883,0.057,0.017,15.93,15.873
15.88,15.88,0.064,0.017,15.93,15.866
15.898,15.899,0.193,0.056,16.059,15.866
15.9,15.9,0.193,0.056,16.059,15.866
15.908,15.908,0.193,0.057,16.059,15.866
15.908,15.908,0.193,0.058,16.059,15.866
15.904,15.905,0.217,0.06,16.059,15.842
15.905,15.905,0.217,0.06,16.059,15.842
15.901,15.901,0.217,0.06,16.059,15.842
15.903,15.903,0.217,0.059,16.059,15.842
15.901,15.901,0.217,0.06,16.059,15.842
15.904,15.905,0.217,0.059,16.059,15.842
15.888,15.888,0.116,0.029,15.958,15.842
15.889,15.889,0.116,0.029,15.958,15.842
15.888,15.888,0.109,0.027,15.951,15.842
15.889,15.889,0.109,0.027,15.951,15.842
15.891,15.891,0.095,0.025,15.951,15.856
15.891,15.891,0.095,0.025,15.951,15.856
15.891,15.891,0.095,0.025,15.951,15.856
15.891,15.891,0.095,0.025,15.951,15.856
15.894,15.894,0.092,0.022,15.951,15.859
15.892,15.892,0.092,0.022,15.951,15.859
15.892,15.892,0.092,0.022,15.951,15.859
15.893,15.893,0.092,0.022,15.951,15.859
15.889,15.889,0.057,0.014,15.916,15.859
15.89,15.89,0.057,0.014,15.916,15.859
15.893,15.893,0.032,0.01,15.916,15.884
15.895,15.895,0.032,0.01,15.916,15.884
15.886,15.886,0.103,0.027,15.916,15.813
15.887,15.887,0.103,0.027,15.916,15.813
15.895,15.895,0.145,0.034,15.958,15.813
15.904,15.904,0.168,0.043,15.981,15.813
15.908,15.908,0.168,0.043,15.981,15.813
15.906,15.906,0.168,0.043,15.981,15.813
15.897,15.898,0.168,0.048,15.981,15.813
15.896,15.896,0.168,0.048,15.981,15.813
15.898,15.898,0.168,0.048,15.981,15.813
15.891,15.891,0.168,0.052,15.981,15.813
15.901,15.901,0.149,0.045,15.981,15.832
15.901,15.901,0.149,0.045,15.981,15.832
15.895,15.895,0.149,0.041,15.981,15.832
15.886,15.886,0.094,0.029,15.926,15.832
15.882,15.882,0.078,0.026,15.91,15.832
15.879,15.879,0.078,0.027,15.91,15.832
15.889,15.889,0.098,0.026,15.93,15.832
15.892,15.892,0.098,0.026,15.93,15.832
15.899,15.899,0.15,0.038,15.982,15.832
15.914,15.914,0.122,0.038,15.982,15.86
15.914,15.914,0.122,0.038,15.982,15.86
15.909,15.909,0.139,0.044,15.982,15.843
15.907,15.907,0.139,0.044,15.982,15.843
15.91,15.91,0.139,0.044,15.982,15.843
15.905,15.905,0.147,0.049,15.982,15.835
15.902,15.902,0.147,0.052,15.982,15.835
15.891,15.891,0.163,0.056,15.982,15.819
15.893,15.894,0.163,0.057,15.982,15.819
15.876,15.876,0.175,0.054,15.982,15.807
15.863,15.863,0.126,0.041,15.933,15.807
15.856,15.856,0.126,0.039,15.933,15.807
15.855,15.855,0.126,0.039,15.933,15.807
15.849,15.849,0.126,0.039,15.933,15.807
15.842,15.842,0.126,0.032,15.933,15.807
15.852,15.852,0.128,0.043,15.935,15.807
15.861,15.861,0.128,0.048,15.935,15.807
15.866,15.866,0.128,0.046,15.935,15.807
15.866,15.866,0.128,0.046,15.935,15.807
15.87,15.87,0.104,0.042,15.935,15.831
15.87,15.87,0.104,0.042,15.935,15.831
15.87,15.87,0.104,0.042,15.935,15.831
15.881,15.881,0.107,0.044,15.938,15.831
15.889,15.89,0.1,0.041,15.938,15.838
15.897,15.897,0.097,0.038,15.938,15.841
15.89,15.89,0.097,0.037,15.938,15.841
15.884,15.884,0.097,0.035,15.938,15.841
15.899,15.899,0.174,0.052,16.015,15.841
15.906,15.906,0.174,0.059,16.015,15.841
15.915,15.915,0.174,0.057,16.015,15.841
15.913,15.914,0.181,0.059,16.015,15.834
15.923,15.923,0.181,0.054,16.015,15.834
15.912,15.912,0.184,0.061,16.015,15.831
15.904,15.904,0.184,0.065,16.015,15.831
15.911,15.911,0.184,0.07,16.015,15.831
15.907,15.907,0.188,0.073,16.015,15.827
15.905,15.905,0.188,0.075,16.015,15.827
15.887,15.887,0.172,0.068,15.999,15.827
15.89,15.89,0.208,0.074,16.035,15.827
15.88,15.881,0.208,0.073,16.035,15.827
15.881,15.882,0.208,0.072,16.035,15.827
15.89,15.89,0.208,0.083,16.035,15.827
15.902,15.902,0.208,0.082,16.035,15.827
15.907,15.907,0.208,0.079,16.035,15.827
15.904,15.904,0.208,0.076,16.035,15.827
15.908,15.908,0.202,0.073,16.035,15.833
15.91,15.91,0.202,0.072,16.035,15.833
15.912,15.912,0.19,0.07,16.035,15.845
15.894,15.894,0.176,0.058,16.021,15.845
15.905,15.905,0.176,0.057,16.021,15.845
15.916,15.916,0.171,0.056,16.021,15.85
15.896,15.896,0.14,0.05,15.962,15.822
15.887,15.887,0.14,0.048,15.962,15.822
15.885,15.885,0.14,0.048,15.962,15.822
15.873,15.873,0.14,0.043,15.962,15.822
15.874,15.874,0.14,0.043,15.962,15.822
15.876,15.877,0.14,0.043,15.962,15.822
15.895,15.895,0.216,0.063,16.038,15.822
15.898,15.898,0.216,0.062,16.038,15.822
15.899,15.899,0.216,0.063,16.038,15.822
15.898,15.898,0.216,0.063,16.038,15.822
15.902,15.902,0.199,0.059,16.038,15.839
15.915,15.915,0.199,0.062,16.038,15.839
15.915,15.915,0.199,0.063,16.038,15.839
15.918,15.919,0.182,0.059,16.038,15.856
15.926,15.927,0.182,0.059,16.038,15.856
15.925,15.925,0.182,0.06,16.038,15.856
15.908,15.908,0.135,0.049,15.991,15.856
15.911,15.911,0.135,0.048,15.991,15.856
15.912,15.912,0.135,0.049,15.991,15.856
15.907,15.907,0.135,0.047,15.991,15.856
15.907,15.907,0.135,0.046,15.991,15.856
15.897,15.897,0.112,0.037,15.968,15.856
15.896,15.896,0.121,0.038,15.968,15.847
15.896,15.896,0.121,0.038,15.968,15.847
15.894,15.894,0.121,0.035,15.968,15.847
15.895,15.895,0.121,0.035,15.968,15.847
15.898,15.898,0.121,0.033,15.968,15.847
15.896,15.896,0.121,0.033,15.968,15.847
15.895,15.895,0.114,0.032,15.961,15.847
15.901,15.901,0.114,0.038,15.961,15.847
15.902,15.902,0.114,0.037,15.961,15.847
15.9,15.9,0.114,0.039,15.961,15.847
15.904,15.904,0.105,0.035,15.961,15.856
15.904,15.904,0.105,0.036,15.961,15.856
15.898,15.898,0.105,0.034,15.961,15.856
15.895,15.895,0.105,0.036,15.961,15.856
15.891,15.891,0.105,0.037,15.961,15.856
15.891,15.891,0.105,0.037,15.961,15.856
15.896,15.896,0.153,0.048,16.009,15.856
15.888,15.888,0.153,0.042,16.009,15.856
15.888,15.888,0.153,0.042,16.009,15.856
15.891,15.891,0.152,0.041,16.009,15.857
15.891,15.891,0.152,0.041,16.009,15.857
15.892,15.892,0.152,0.041,16.009,15.857
15.893,15.893,0.152,0.041,16.009,15.857
15.897,15.897,0.152,0.039,16.009,15.857
15.902,15.902,0.129,0.036,16.009,15.88
15.906,15.906,0.129,0.037,16.009,15.88
15.895,15.895,0.046,0.013,15.926,15.88
15.896,15.896,0.043,0.012,15.926,15.883
15.894,15.894,0.065,0.016,15.926,15.861
15.893,15.893,0.065,0.016,15.926,15.861
15.891,15.891,0.065,0.018,15.926,15.861
15.895,15.895,0.065,0.019,15.926,15.861
15.894,15.894,0.065,0.019,15.926,15.861
15.892,15.892,0.065,0.019,15.926,15.861
15.89,15.89,0.065,0.019,15.926,15.861
15.889,15.889,0.058,0.017,15.919,15.861
15.888,15.888,0.058,0.017,15.919,15.861
15.888,15.888,0.058,0.017,15.919,15.861
15.893,15.893,0.047,0.016,15.919,15.872
15.896,15.896,0.047,0.016,15.919,15.872
15.892,15.892,0.085,0.024,15.919,15.834
15.889,15.889,0.085,0.023,15.919,15.834
15.893,15.893,0.09,0.025,15.924,15.834
15.894,15.894,0.09,0.025,15.924,15.834
15.892,15.892,0.09,0.026,15.924,15.834
15.889,15.889,0.09,0.025,15.924,15.834
15.889,15.889,0.09,0.025,15.924,15.834
15.888,15.888,0.09,0.025,15.924,15.834
15.879,15.879,0.105,0.031,15.924,15.819
15.886,15.886,0.161,0.043,15.98,15.819
15.898,15.898,0.161,0.044,15.98,15.819
15.9,15.9,0.161,0.044,15.98,15.819
15.896,15.896,0.161,0.043,15.98,15.819
15.898,15.898,0.161,0.043,15.98,15.819
15.903,15.903,0.161,0.042,15.98,15.819
15.898,15.898,0.161,0.045,15.98,15.819
15.902,15.902,0.161,0.045,15.98,15.819
15.904,15.904,0.161,0.044,15.98,15.819
15.91,15.91,0.131,0.036,15.98,15.849
15.902,15.902,0.109,0.027,15.958,15.849
15.894,15.894,0.074,0.021,15.923,15.849
15.892,15.892,0.074,0.021,15.923,15.849
15.902,15.902,0.134,0.034,15.983,15.849
15.894,15.894,0.152,0.04,15.983,15.831
15.893,15.893,0.152,0.04,15.983,15.831
15.888,15.888,0.181,0.047,15.983,15.802
15.896,15.896,0.199,0.057,16.001,15.802
15.906,15.906,0.199,0.066,16.001,15.802
15.906,15.907,0.199,0.065,16.001,15.802
15.915,15.915,0.199,0.07,16.001,15.802
15.918,15.918,0.199,0.069,16.001,15.802
15.922,15.922,0.199,0.068,16.001,15.802
15.912,15.912,0.199,0.065,16.001,15.802
15.929,15.929,0.204,0.065,16.006,15.802
15.94,15.94,0.204,0.068,16.006,15.802
15.948,15.948,0.122,0.054,16.006,15.884
15.939,15.939,0.122,0.052,16.006,15.884
15.922,15.922,0.172,0.056,16.006,15.834
15.918,15.918,0.172,0.06,16.006,15.834
15.902,15.902,0.175,0.06,16.006,15.831
15.893,15.893,0.195,0.066,16.006,15.811
15.882,15.882,0.195,0.069,16.006,15.811
15.876,15.876,0.195,0.072,16.006,15.811
15.865,15.865,0.195,0.058,16.006,15.811
15.844,15.844,0.113,0.037,15.912,15.799
15.847,15.847,0.113,0.041,15.912,15.799
15.845,15.845,0.111,0.038,15.91,15.799
15.85,15.85,0.111,0.04,15.91,15.799
