mean,RMS,ptp,std,max,min
16.372,16.372,0.137,0.051,16.445,16.308
16.367,16.367,0.137,0.051,16.445,16.308
16.361,16.361,0.137,0.05,16.445,16.308
16.347,16.347,0.131,0.044,16.432,16.301
16.353,16.353,0.131,0.044,16.432,16.301
16.355,16.355,0.131,0.043,16.432,16.301
16.344,16.344,0.131,0.037,16.432,16.301
16.347,16.347,0.131,0.036,16.432,16.301
16.338,16.339,0.079,0.022,16.38,16.301
16.338,16.338,0.079,0.021,16.38,16.301
16.339,16.339,0.079,0.021,16.38,16.301
16.336,16.336,0.079,0.022,16.38,16.301
16.334,16.334,0.079,0.021,16.38,16.301
16.338,16.338,0.065,0.018,16.38,16.315
16.335,16.335,0.036,0.013,16.351,16.315
16.336,16.336,0.036,0.014,16.351,16.315
16.338,16.338,0.036,0.012,16.351,16.315
16.339,16.339,0.036,0.012,16.351,16.315
16.342,16.342,0.065,0.017,16.38,16.315
16.341,16.341,0.065,0.017,16.38,16.315
16.339,16.339,0.071,0.019,16.38,16.309
16.338,16.338,0.072,0.02,16.38,16.308
16.336,16.336,0.072,0.022,16.38,16.308
16.341,16.341,0.076,0.026,16.384,16.308
16.338,16.338,0.076,0.026,16.384,16.308
16.336,16.336,0.076,0.026,16.384,16.308
16.338,16.338,0.076,0.027,16.384,16.308
16.346,16.346,0.109,0.036,16.417,16.308
16.339,16.339,0.109,0.035,16.417,16.308
16.336,16.336,0.109,0.036,16.417,16.308
16.341,16.341,0.109,0.035,16.417,16.308
16.343,16.343,0.109,0.034,16.417,16.308
16.35,16.35,0.105,0.033,16.417,16.312
16.343,16.343,0.106,0.033,16.417,16.311
16.346,16.346,0.106,0.033,16.417,16.311
16.348,16.348,0.106,0.032,16.417,16.311
16.345,16.345,0.106,0.033,16.417,16.311
16.337,16.337,0.069,0.023,16.38,16.311
16.341,16.341,0.069,0.021,16.38,16.311
16.343,16.343,0.069,0.019,16.38,16.311
16.344,16.344,0.069,0.02,16.38,16.311
16.35,16.35,0.077,0.023,16.388,16.311
16.351,16.351,0.077,0.024,16.388,16.311
16.352,16.352,0.068,0.021,16.388,16.32
16.355,16.355,0.068,0.023,16.388,16.32
16.358,16.358,0.068,0.024,16.388,16.32
16.359,16.359,0.059,0.023,16.388,16.329
16.356,16.356,0.072,0.026,16.388,16.316
16.359,16.359,0.072,0.026,16.388,16.316
16.363,16.363,0.072,0.026,16.388,16.316
16.358,16.358,0.075,0.03,16.388,16.313
16.356,16.356,0.075,0.029,16.388,16.313
16.355,16.355,0.069,0.028,16.382,16.313
16.355,16.355,0.069,0.027,16.382,16.313
16.351,16.351,0.069,0.027,16.382,16.313
16.35,16.35,0.064,0.025,16.377,16.313
16.353,16.353,0.064,0.025,16.377,16.313
16.358,16.358,0.064,0.022,16.377,16.313
16.36,16.36,0.085,0.024,16.398,16.313
16.358,16.358,0.085,0.024,16.398,16.313
16.366,16.366,0.068,0.02,16.398,16.33
16.366,16.366,0.068,0.02,16.398,16.33
16.366,16.366,0.068,0.02,16.398,16.33
16.368,16.368,0.061,0.017,16.398,16.337
16.365,16.365,0.09,0.023,16.398,16.308
16.366,16.366,0.09,0.024,16.398,16.308
16.363,16.363,0.09,0.026,16.398,16.308
16.363,16.363,0.09,0.026,16.398,16.308
16.36,16.36,0.08,0.023,16.388,16.308
16.36,16.36,0.08,0.023,16.388,16.308
16.36,16.36,0.075,0.022,16.383,16.308
16.355,16.355,0.075,0.023,16.383,16.308
16.354,16.355,0.075,0.023,16.383,16.308
16.354,16.354,0.075,0.023,16.383,16.308
16.361,16.361,0.053,0.017,16.383,16.33
16.361,16.361,0.053,0.017,16.383,16.33
16.362,16.362,0.053,0.016,16.383,16.33
16.361,16.361,0.053,0.016,16.383,16.33
16.356,16.356,0.067,0.021,16.383,16.316
16.357,16.358,0.067,0.022,16.383,16.316
16.355,16.355,0.064,0.02,16.38,16.316
16.36,16.361,0.065,0.02,16.381,16.316
16.361,16.361,0.065,0.02,16.381,16.316
16.361,16.361,0.065,0.021,16.381,16.316
16.359,16.359,0.065,0.02,16.381,16.316
16.356,16.356,0.065,0.019,16.381,16.316
16.353,16.353,0.065,0.023,16.381,16.316
16.354,16.354,0.065,0.023,16.381,16.316
16.356,16.356,0.065,0.02,16.381,16.316
16.351,16.351,0.065,0.02,16.381,16.316
16.346,16.346,0.068,0.022,16.381,16.313
16.344,16.344,0.067,0.02,16.38,16.313
16.344,16.344,0.067,0.02,16.38,16.313
16.343,16.343,0.067,0.02,16.38,16.313
16.344,16.344,0.067,0.02,16.38,16.313
16.347,16.347,0.067,0.023,16.38,16.313
16.353,16.353,0.067,0.023,16.38,16.313
16.351,16.352,0.067,0.023,16.38,16.313
16.356,16.356,0.067,0.023,16.38,16.313
16.36,16.36,0.067,0.022,16.38,16.313
16.359,16.359,0.076,0.024,16.38,16.304
16.36,16.36,0.076,0.025,16.38,16.304
16.36,16.36,0.076,0.025,16.38,16.304
16.36,16.36,0.076,0.024,16.38,16.304
16.362,16.362,0.077,0.025,16.381,16.304
16.359,16.359,0.077,0.025,16.381,16.304
16.359,16.359,0.077,0.025,16.381,16.304
16.362,16.362,0.077,0.024,16.381,16.304
16.362,16.362,0.077,0.024,16.381,16.304
16.36,16.36,0.077,0.024,16.381,16.304
16.364,16.365,0.045,0.016,16.381,16.336
16.362,16.362,0.045,0.017,16.381,16.336
16.358,16.359,0.045,0.017,16.381,16.336
16.363,16.363,0.04,0.016,16.381,16.341
16.354,16.354,0.093,0.027,16.38,16.287
16.35,16.35,0.093,0.029,16.38,16.287
16.344,16.344,0.093,0.029,16.38,16.287
16.345,16.345,0.093,0.029,16.38,16.287
16.345,16.345,0.093,0.029,16.38,16.287
16.343,16.343,0.093,0.029,16.38,16.287
16.348,16.348,0.108,0.033,16.395,16.287
16.349,16.349,0.108,0.034,16.395,16.287
16.349,16.349,0.108,0.034,16.395,16.287
16.345,16.345,0.108,0.032,16.395,16.287
16.351,16.351,0.079,0.026,16.395,16.316
16.357,16.357,0.079,0.024,16.395,16.316
16.36,16.36,0.06,0.021,16.395,16.335
16.36,16.36,0.06,0.02,16.395,16.335
16.354,16.354,0.07,0.022,16.395,16.325
16.359,16.359,0.07,0.022,16.395,16.325
16.356,16.356,0.055,0.019,16.38,16.325
