mean,RMS,ptp,std,max,min
21.052,21.052,0.161,0.063,21.151,20.99
21.056,21.056,0.161,0.063,21.151,20.99
21.048,21.048,0.14,0.055,21.13,20.99
21.048,21.048,0.14,0.055,21.13,20.99
21.049,21.049,0.14,0.054,21.13,20.99
21.058,21.059,0.14,0.051,21.13,20.99
21.059,21.059,0.14,0.051,21.13,20.99
21.057,21.057,0.133,0.048,21.123,20.99
21.045,21.045,0.144,0.052,21.123,20.979
21.02,21.02,0.239,0.067,21.11,20.871
21.019,21.019,0.239,0.067,21.11,20.871
21.007,21.008,0.239,0.065,21.11,20.871
21.015,21.016,0.285,0.077,21.156,20.871
21.02,21.02,0.285,0.077,21.156,20.871
21.035,21.035,0.288,0.087,21.159,20.871
21.031,21.031,0.288,0.085,21.159,20.871
21.02,21.021,0.288,0.095,21.159,20.871
21.006,21.006,0.288,0.091,21.159,20.871
21.012,21.012,0.288,0.092,21.159,20.871
21.027,21.027,0.27,0.079,21.159,20.889
21.045,21.046,0.29,0.09,21.179,20.889
21.051,21.052,0.29,0.086,21.179,20.889
21.028,21.028,0.29,0.087,21.179,20.889
21.017,21.017,0.29,0.093,21.179,20.889
21.004,21.004,0.29,0.081,21.179,20.889
21.0,21.001,0.29,0.08,21.179,20.889
21.01,21.011,0.261,0.071,21.179,20.918
21.021,21.021,0.261,0.071,21.179,20.918
21.03,21.03,0.261,0.079,21.179,20.918
21.015,21.015,0.306,0.092,21.179,20.873
20.996,20.996,0.264,0.074,21.137,20.873
20.985,20.985,0.264,0.076,21.137,20.873
20.981,20.981,0.264,0.081,21.137,20.873
21.003,21.003,0.269,0.091,21.142,20.873
20.993,20.993,0.269,0.092,21.142,20.873
20.99,20.99,0.269,0.092,21.142,20.873
20.988,20.988,0.269,0.093,21.142,20.873
20.995,20.995,0.269,0.101,21.142,20.873
20.979,20.979,0.269,0.089,21.142,20.873
20.978,20.978,0.272,0.09,21.142,20.87
20.97,20.97,0.272,0.092,21.142,20.87
20.969,20.97,0.272,0.093,21.142,20.87
20.971,20.971,0.272,0.091,21.142,20.87
20.959,20.959,0.269,0.074,21.139,20.87
20.957,20.957,0.269,0.075,21.139,20.87
20.951,20.951,0.269,0.076,21.139,20.87
20.945,20.945,0.269,0.077,21.139,20.87
20.944,20.944,0.256,0.074,21.126,20.87
20.961,20.961,0.275,0.096,21.145,20.87
20.97,20.97,0.25,0.091,21.145,20.895
20.968,20.968,0.256,0.092,21.145,20.889
20.964,20.964,0.272,0.095,21.145,20.873
20.989,20.989,0.272,0.105,21.145,20.873
21.003,21.004,0.298,0.118,21.171,20.873
21.019,21.019,0.298,0.116,21.171,20.873
21.016,21.016,0.298,0.119,21.171,20.873
21.04,21.041,0.298,0.118,21.171,20.873
21.028,21.028,0.298,0.115,21.171,20.873
21.018,21.018,0.298,0.109,21.171,20.873
21.036,21.036,0.298,0.112,21.171,20.873
21.046,21.046,0.298,0.102,21.171,20.873
21.054,21.054,0.285,0.09,21.171,20.886
21.055,21.055,0.285,0.091,21.171,20.886
21.037,21.037,0.265,0.083,21.151,20.886
21.028,21.029,0.265,0.084,21.151,20.886
21.046,21.046,0.193,0.07,21.151,20.958
21.041,21.041,0.189,0.064,21.147,20.958
