mean,RMS,ptp,std,max,min
23.411,23.411,0.026,0.008,23.421,23.395
23.408,23.408,0.039,0.012,23.421,23.382
23.404,23.404,0.038,0.013,23.42,23.382
23.406,23.406,0.05,0.016,23.432,23.382
23.408,23.408,0.055,0.018,23.437,23.382
23.408,23.408,0.055,0.018,23.437,23.382
23.405,23.405,0.055,0.018,23.437,23.382
23.408,23.408,0.055,0.019,23.437,23.382
23.408,23.408,0.055,0.019,23.437,23.382
23.411,23.411,0.055,0.02,23.437,23.382
23.413,23.413,0.055,0.021,23.437,23.382
23.415,23.415,0.055,0.018,23.437,23.382
23.419,23.419,0.042,0.015,23.437,23.395
23.417,23.417,0.042,0.014,23.437,23.395
23.412,23.412,0.047,0.015,23.433,23.386
23.414,23.414,0.047,0.014,23.433,23.386
23.416,23.416,0.047,0.013,23.433,23.386
23.416,23.416,0.047,0.013,23.433,23.386
23.418,23.418,0.059,0.015,23.445,23.386
23.418,23.418,0.059,0.015,23.445,23.386
23.416,23.416,0.059,0.014,23.445,23.386
23.419,23.419,0.059,0.014,23.445,23.386
23.419,23.419,0.059,0.014,23.445,23.386
23.42,23.42,0.059,0.014,23.445,23.386
23.424,23.424,0.031,0.008,23.445,23.414
23.424,23.424,0.031,0.008,23.445,23.414
23.424,23.424,0.034,0.009,23.445,23.411
23.423,23.424,0.034,0.009,23.445,23.411
23.42,23.421,0.018,0.005,23.429,23.411
23.42,23.42,0.018,0.005,23.429,23.411
23.419,23.419,0.018,0.006,23.429,23.411
23.419,23.419,0.02,0.006,23.431,23.411
23.416,23.416,0.039,0.01,23.431,23.392
23.416,23.416,0.039,0.01,23.431,23.392
23.414,23.414,0.039,0.01,23.431,23.392
23.414,23.414,0.039,0.01,23.431,23.392
23.416,23.416,0.039,0.011,23.431,23.392
23.416,23.416,0.039,0.011,23.431,23.392
23.419,23.419,0.055,0.014,23.447,23.392
23.419,23.419,0.055,0.014,23.447,23.392
23.42,23.42,0.055,0.014,23.447,23.392
23.407,23.407,0.145,0.038,23.447,23.302
23.413,23.413,0.148,0.039,23.45,23.302
23.411,23.411,0.148,0.039,23.45,23.302
23.412,23.412,0.148,0.039,23.45,23.302
23.411,23.411,0.148,0.039,23.45,23.302
23.401,23.401,0.148,0.047,23.45,23.302
23.4,23.4,0.148,0.047,23.45,23.302
23.397,23.397,0.148,0.045,23.45,23.302
23.396,23.396,0.148,0.044,23.45,23.302
23.395,23.395,0.148,0.044,23.45,23.302
23.406,23.406,0.129,0.031,23.45,23.321
23.402,23.402,0.098,0.027,23.419,23.321
23.405,23.405,0.11,0.029,23.431,23.321
23.406,23.406,0.11,0.029,23.431,23.321
23.406,23.406,0.11,0.029,23.431,23.321
23.416,23.416,0.02,0.006,23.431,23.411
