mean,RMS,ptp,std,max,min
21.067,21.067,0.159,0.064,21.151,20.992
21.071,21.071,0.159,0.064,21.151,20.992
21.064,21.064,0.153,0.058,21.145,20.992
21.055,21.055,0.138,0.051,21.13,20.992
21.056,21.056,0.138,0.05,21.13,20.992
21.065,21.065,0.135,0.046,21.13,20.995
21.065,21.065,0.134,0.046,21.13,20.996
21.063,21.063,0.127,0.043,21.123,20.996
21.051,21.052,0.144,0.048,21.123,20.979
21.026,21.026,0.239,0.067,21.11,20.871
21.025,21.025,0.239,0.067,21.11,20.871
21.017,21.017,0.239,0.065,21.11,20.871
21.009,21.009,0.239,0.062,21.11,20.871
21.006,21.007,0.239,0.061,21.11,20.871
21.022,21.022,0.288,0.076,21.159,20.871
21.018,21.018,0.288,0.074,21.159,20.871
21.007,21.007,0.288,0.083,21.159,20.871
20.993,20.993,0.288,0.076,21.159,20.871
20.999,20.999,0.288,0.078,21.159,20.871
21.014,21.014,0.27,0.065,21.159,20.889
21.032,21.032,0.29,0.081,21.179,20.889
21.036,21.036,0.29,0.08,21.179,20.889
21.028,21.028,0.29,0.087,21.179,20.889
21.017,21.017,0.29,0.093,21.179,20.889
21.004,21.004,0.29,0.081,21.179,20.889
21.0,21.001,0.29,0.08,21.179,20.889
21.014,21.014,0.261,0.07,21.179,20.918
21.024,21.024,0.261,0.07,21.179,20.918
21.034,21.034,0.261,0.078,21.179,20.918
21.019,21.019,0.306,0.091,21.179,20.873
20.988,20.988,0.264,0.084,21.137,20.873
20.977,20.977,0.264,0.085,21.137,20.873
20.973,20.973,0.264,0.088,21.137,20.873
20.995,20.995,0.269,0.1,21.142,20.873
20.985,20.985,0.269,0.1,21.142,20.873
20.982,20.982,0.269,0.1,21.142,20.873
20.976,20.976,0.269,0.099,21.142,20.873
20.983,20.983,0.269,0.108,21.142,20.873
20.967,20.967,0.269,0.095,21.142,20.873
20.967,20.967,0.272,0.095,21.142,20.87
20.97,20.97,0.272,0.092,21.142,20.87
20.969,20.97,0.272,0.093,21.142,20.87
20.971,20.971,0.272,0.091,21.142,20.87
20.959,20.959,0.269,0.074,21.139,20.87
20.957,20.957,0.269,0.075,21.139,20.87
20.951,20.951,0.269,0.076,21.139,20.87
20.945,20.945,0.269,0.077,21.139,20.87
20.944,20.944,0.256,0.074,21.126,20.87
20.961,20.961,0.275,0.096,21.145,20.87
20.97,20.97,0.25,0.091,21.145,20.895
20.968,20.968,0.256,0.092,21.145,20.889
20.964,20.964,0.272,0.095,21.145,20.873
20.989,20.989,0.272,0.105,21.145,20.873
21.003,21.004,0.298,0.118,21.171,20.873
21.019,21.019,0.298,0.116,21.171,20.873
21.016,21.016,0.298,0.119,21.171,20.873
21.04,21.041,0.298,0.118,21.171,20.873
21.028,21.028,0.298,0.115,21.171,20.873
21.018,21.018,0.298,0.109,21.171,20.873
21.027,21.028,0.298,0.107,21.171,20.873
21.046,21.046,0.298,0.097,21.171,20.873
21.054,21.054,0.285,0.085,21.171,20.886
21.036,21.036,0.285,0.084,21.171,20.886
21.018,21.018,0.265,0.071,21.151,20.886
21.009,21.01,0.265,0.07,21.151,20.886
21.019,21.019,0.193,0.058,21.151,20.958
21.014,21.014,0.145,0.048,21.103,20.958
21.016,21.016,0.145,0.047,21.103,20.958
21.008,21.008,0.145,0.048,21.103,20.958
21.002,21.003,0.145,0.046,21.103,20.958
20.991,20.991,0.145,0.041,21.103,20.958
21.01,21.011,0.193,0.061,21.151,20.958
21.028,21.028,0.193,0.069,21.151,20.958
21.023,21.023,0.214,0.074,21.151,20.937
21.03,21.03,0.214,0.073,21.151,20.937
21.035,21.035,0.214,0.071,21.151,20.937
21.011,21.011,0.288,0.083,21.151,20.863
21.001,21.001,0.288,0.088,21.151,20.863
21.002,21.002,0.288,0.088,21.151,20.863
21.002,21.002,0.288,0.088,21.151,20.863
21.006,21.007,0.288,0.087,21.151,20.863
21.008,21.008,0.302,0.089,21.165,20.863
21.006,21.006,0.302,0.086,21.165,20.863
21.008,21.009,0.302,0.085,21.165,20.863
21.004,21.004,0.302,0.083,21.165,20.863
20.996,20.997,0.302,0.084,21.165,20.863
21.006,21.006,0.251,0.073,21.165,20.914
21.007,21.007,0.239,0.071,21.165,20.926
21.007,21.008,0.239,0.071,21.165,20.926
20.998,20.998,0.27,0.079,21.165,20.895
21.013,21.013,0.27,0.092,21.165,20.895
21.006,21.006,0.259,0.082,21.154,20.895
21.009,21.009,0.259,0.086,21.154,20.895
21.028,21.029,0.266,0.095,21.161,20.895
21.025,21.025,0.266,0.097,21.161,20.895
21.021,21.021,0.266,0.1,21.161,20.895
21.03,21.03,0.266,0.098,21.161,20.895
21.034,21.034,0.266,0.095,21.161,20.895
21.025,21.025,0.266,0.102,21.161,20.895
21.048,21.048,0.261,0.096,21.161,20.9
21.046,21.046,0.261,0.094,21.161,20.9
21.033,21.034,0.261,0.095,21.161,20.9
21.031,21.031,0.261,0.093,21.161,20.9
21.016,21.016,0.237,0.082,21.137,20.9
21.023,21.023,0.237,0.081,21.137,20.9
21.035,21.035,0.237,0.074,21.137,20.9
21.02,21.02,0.242,0.085,21.137,20.895
21.038,21.038,0.248,0.09,21.143,20.895
21.037,21.037,0.248,0.09,21.143,20.895
21.026,21.026,0.248,0.086,21.143,20.895
21.016,21.017,0.248,0.078,21.143,20.895
21.01,21.01,0.248,0.084,21.143,20.895
21.012,21.012,0.249,0.088,21.144,20.895
21.003,21.003,0.249,0.093,21.144,20.895
21.002,21.003,0.249,0.093,21.144,20.895
20.986,20.987,0.262,0.098,21.144,20.882
21.006,21.007,0.262,0.098,21.144,20.882
20.997,20.997,0.262,0.088,21.144,20.882
21.012,21.012,0.262,0.083,21.144,20.882
21.01,21.01,0.262,0.083,21.144,20.882
21.004,21.004,0.262,0.082,21.144,20.882
21.013,21.013,0.262,0.075,21.144,20.882
21.007,21.007,0.212,0.066,21.094,20.882
21.006,21.006,0.212,0.067,21.094,20.882
20.999,20.999,0.212,0.066,21.094,20.882
21.008,21.008,0.19,0.055,21.094,20.904
20.996,20.996,0.176,0.048,21.08,20.904
20.997,20.997,0.176,0.05,21.08,20.904
20.992,20.992,0.176,0.047,21.08,20.904
21.0,21.0,0.176,0.053,21.08,20.904
20.991,20.991,0.185,0.062,21.08,20.895
20.999,20.999,0.185,0.067,21.08,20.895
20.989,20.989,0.181,0.061,21.076,20.895
20.986,20.986,0.201,0.066,21.076,20.875
20.98,20.98,0.201,0.07,21.076,20.875
20.974,20.974,0.201,0.073,21.076,20.875
20.968,20.968,0.201,0.075,21.076,20.875
20.967,20.968,0.201,0.075,21.076,20.875
20.971,20.971,0.201,0.076,21.076,20.875
20.966,20.966,0.201,0.071,21.076,20.875
20.976,20.976,0.201,0.067,21.076,20.875
20.962,20.962,0.184,0.059,21.059,20.875
20.967,20.967,0.184,0.062,21.059,20.875
20.967,20.967,0.188,0.062,21.059,20.871
20.964,20.964,0.188,0.066,21.059,20.871
20.97,20.97,0.188,0.064,21.059,20.871
20.971,20.971,0.188,0.063,21.059,20.871
20.958,20.958,0.157,0.056,21.028,20.871
20.95,20.95,0.157,0.052,21.028,20.871
20.937,20.937,0.157,0.047,21.028,20.871
20.944,20.944,0.188,0.058,21.059,20.871
20.948,20.948,0.188,0.059,21.059,20.871
20.944,20.944,0.188,0.055,21.059,20.871
20.967,20.967,0.227,0.067,21.103,20.876
20.995,20.995,0.255,0.079,21.15,20.895
20.991,20.992,0.255,0.081,21.15,20.895
20.993,20.993,0.255,0.079,21.15,20.895
21.014,21.014,0.255,0.088,21.15,20.895
21.036,21.036,0.265,0.094,21.16,20.895
21.04,21.04,0.228,0.089,21.16,20.932
21.022,21.023,0.274,0.1,21.16,20.886
21.013,21.013,0.275,0.107,21.16,20.885
21.002,21.003,0.275,0.114,21.16,20.885
21.005,21.005,0.275,0.117,21.16,20.885
20.989,20.989,0.275,0.106,21.16,20.885
21.008,21.008,0.275,0.112,21.16,20.885
21.012,21.012,0.275,0.11,21.16,20.885
20.996,20.996,0.275,0.102,21.16,20.885
20.976,20.976,0.244,0.086,21.129,20.885
20.979,20.979,0.244,0.085,21.129,20.885
21.006,21.006,0.276,0.094,21.161,20.885
21.016,21.016,0.276,0.086,21.161,20.885
21.028,21.028,0.206,0.075,21.161,20.955
21.014,21.015,0.206,0.067,21.161,20.955
21.008,21.008,0.238,0.072,21.161,20.923
21.004,21.004,0.238,0.066,21.161,20.923
20.995,20.995,0.27,0.074,21.161,20.891
21.004,21.004,0.27,0.078,21.161,20.891
20.995,20.996,0.28,0.085,21.161,20.881
20.988,20.988,0.28,0.091,21.161,20.881
20.961,20.961,0.204,0.075,21.085,20.881
20.981,20.981,0.304,0.101,21.185,20.881
20.988,20.989,0.304,0.105,21.185,20.881
20.989,20.989,0.304,0.105,21.185,20.881
20.989,20.989,0.304,0.105,21.185,20.881
20.986,20.987,0.304,0.103,21.185,20.881
21.014,21.014,0.304,0.11,21.185,20.881
21.023,21.023,0.304,0.118,21.185,20.881
21.033,21.034,0.301,0.11,21.185,20.884
21.06,21.06,0.301,0.102,21.185,20.884
21.071,21.071,0.261,0.087,21.185,20.924
21.05,21.05,0.241,0.082,21.165,20.924
21.034,21.034,0.246,0.09,21.165,20.919
21.038,21.038,0.246,0.089,21.165,20.919
21.052,21.052,0.246,0.081,21.165,20.919
21.036,21.036,0.264,0.093,21.165,20.901
21.02,21.02,0.264,0.082,21.165,20.901
21.012,21.012,0.245,0.07,21.146,20.901
21.014,21.014,0.245,0.07,21.146,20.901
21.013,21.013,0.235,0.068,21.136,20.901
21.004,21.004,0.235,0.076,21.136,20.901
21.004,21.004,0.235,0.076,21.136,20.901
21.017,21.017,0.235,0.071,21.136,20.901
21.013,21.013,0.235,0.071,21.136,20.901
20.999,21.0,0.235,0.073,21.136,20.901
21.021,21.021,0.235,0.072,21.136,20.901
21.035,21.035,0.25,0.081,21.151,20.901
21.019,21.019,0.25,0.086,21.151,20.901
21.031,21.031,0.25,0.093,21.151,20.901
21.014,21.014,0.25,0.087,21.151,20.901
21.021,21.022,0.231,0.08,21.151,20.92
