mean,RMS,ptp,std,max,min
23.537,23.537,0.2,0.057,23.635,23.435
23.539,23.539,0.2,0.055,23.635,23.435
23.546,23.547,0.2,0.054,23.635,23.435
23.544,23.544,0.2,0.055,23.635,23.435
23.557,23.557,0.132,0.041,23.635,23.503
23.544,23.544,0.093,0.035,23.596,23.503
23.551,23.551,0.093,0.033,23.596,23.503
23.544,23.544,0.093,0.034,23.596,23.503
23.537,23.537,0.073,0.03,23.576,23.503
23.542,23.542,0.123,0.039,23.626,23.503
23.535,23.535,0.166,0.046,23.626,23.46
23.538,23.538,0.166,0.045,23.626,23.46
23.525,23.525,0.187,0.052,23.626,23.439
23.526,23.526,0.187,0.052,23.626,23.439
23.517,23.517,0.187,0.052,23.626,23.439
23.527,23.527,0.187,0.058,23.626,23.439
23.523,23.523,0.187,0.055,23.626,23.439
23.526,23.526,0.187,0.055,23.626,23.439
23.527,23.527,0.187,0.055,23.626,23.439
23.514,23.514,0.162,0.045,23.601,23.439
23.524,23.524,0.162,0.043,23.601,23.439
23.531,23.531,0.165,0.05,23.604,23.439
23.539,23.539,0.13,0.039,23.604,23.474
23.539,23.539,0.13,0.039,23.604,23.474
23.538,23.538,0.143,0.042,23.604,23.461
23.533,23.533,0.143,0.037,23.604,23.461
23.543,23.543,0.17,0.047,23.631,23.461
23.541,23.541,0.17,0.047,23.631,23.461
23.534,23.534,0.17,0.052,23.631,23.461
23.532,23.532,0.17,0.054,23.631,23.461
23.528,23.528,0.17,0.053,23.631,23.461
23.516,23.516,0.17,0.048,23.631,23.461
23.512,23.512,0.17,0.049,23.631,23.461
23.514,23.514,0.17,0.05,23.631,23.461
23.519,23.519,0.161,0.047,23.631,23.47
23.514,23.514,0.161,0.045,23.631,23.47
23.497,23.497,0.079,0.025,23.541,23.462
23.5,23.5,0.096,0.03,23.558,23.462
23.509,23.509,0.096,0.033,23.558,23.462
23.512,23.512,0.096,0.031,23.558,23.462
23.513,23.513,0.096,0.031,23.558,23.462
23.51,23.51,0.102,0.034,23.558,23.456
23.514,23.514,0.102,0.034,23.558,23.456
23.512,23.512,0.102,0.033,23.558,23.456
23.513,23.513,0.102,0.033,23.558,23.456
23.514,23.514,0.102,0.033,23.558,23.456
23.521,23.522,0.102,0.028,23.558,23.456
23.522,23.522,0.109,0.029,23.565,23.456
23.523,23.523,0.109,0.03,23.565,23.456
23.519,23.519,0.109,0.035,23.565,23.456
23.522,23.522,0.109,0.037,23.565,23.456
23.532,23.532,0.103,0.03,23.565,23.462
23.536,23.537,0.109,0.032,23.571,23.462
23.542,23.542,0.109,0.033,23.571,23.462
23.536,23.536,0.111,0.041,23.571,23.46
23.531,23.531,0.111,0.047,23.571,23.46
23.533,23.533,0.111,0.048,23.571,23.46
23.532,23.532,0.111,0.047,23.571,23.46
23.527,23.527,0.111,0.046,23.571,23.46
23.527,23.527,0.113,0.047,23.571,23.458
23.52,23.52,0.113,0.047,23.571,23.458
23.507,23.507,0.142,0.052,23.571,23.429
23.5,23.5,0.142,0.048,23.571,23.429
23.485,23.485,0.142,0.047,23.563,23.421
23.481,23.481,0.142,0.05,23.563,23.421
23.482,23.482,0.142,0.05,23.563,23.421
23.47,23.47,0.139,0.043,23.56,23.421
23.475,23.475,0.196,0.057,23.617,23.421
23.482,23.482,0.196,0.064,23.617,23.421
23.492,23.492,0.196,0.067,23.617,23.421
23.498,23.498,0.196,0.069,23.617,23.421
23.51,23.51,0.196,0.067,23.617,23.421
23.516,23.516,0.196,0.068,23.617,23.421
23.525,23.525,0.196,0.06,23.617,23.421
23.535,23.535,0.183,0.049,23.617,23.434
23.543,23.543,0.183,0.045,23.617,23.434
23.544,23.544,0.178,0.044,23.617,23.439
23.523,23.523,0.171,0.053,23.58,23.409
23.507,23.507,0.15,0.057,23.559,23.409
23.501,23.501,0.148,0.054,23.557,23.409
23.488,23.488,0.148,0.057,23.557,23.409
23.484,23.484,0.148,0.054,23.557,23.409
23.472,23.472,0.148,0.051,23.557,23.409
23.482,23.482,0.207,0.066,23.616,23.409
23.478,23.479,0.207,0.065,23.616,23.409
23.467,23.467,0.207,0.06,23.616,23.409
23.472,23.472,0.207,0.059,23.616,23.409
23.481,23.481,0.2,0.056,23.616,23.416
23.488,23.488,0.2,0.052,23.616,23.416
23.488,23.488,0.2,0.052,23.616,23.416
23.496,23.496,0.179,0.046,23.616,23.437
23.494,23.494,0.179,0.046,23.616,23.437
23.51,23.51,0.175,0.052,23.616,23.441
23.492,23.492,0.161,0.042,23.601,23.44
23.496,23.496,0.161,0.043,23.601,23.44
23.499,23.499,0.161,0.04,23.601,23.44
23.495,23.495,0.161,0.043,23.601,23.44
23.502,23.502,0.161,0.05,23.601,23.44
23.503,23.503,0.161,0.05,23.601,23.44
23.502,23.502,0.161,0.05,23.601,23.44
23.51,23.51,0.161,0.053,23.601,23.44
23.511,23.511,0.161,0.053,23.601,23.44
23.501,23.501,0.14,0.044,23.58,23.44
23.509,23.509,0.136,0.039,23.58,23.444
23.5,23.5,0.141,0.043,23.58,23.439
23.511,23.511,0.144,0.049,23.583,23.439
23.512,23.513,0.144,0.047,23.583,23.439
23.498,23.498,0.146,0.046,23.583,23.437
23.499,23.499,0.146,0.046,23.583,23.437
23.502,23.502,0.146,0.046,23.583,23.437
23.48,23.48,0.236,0.06,23.583,23.347
23.476,23.476,0.236,0.06,23.583,23.347
23.49,23.49,0.298,0.079,23.645,23.347
23.483,23.483,0.298,0.08,23.645,23.347
23.49,23.491,0.298,0.079,23.645,23.347
23.483,23.483,0.298,0.073,23.645,23.347
23.495,23.495,0.298,0.078,23.645,23.347
23.509,23.509,0.298,0.078,23.645,23.347
23.515,23.515,0.298,0.08,23.645,23.347
23.506,23.507,0.298,0.083,23.645,23.347
23.523,23.523,0.209,0.064,23.645,23.436
23.522,23.522,0.209,0.065,23.645,23.436
23.513,23.513,0.147,0.052,23.583,23.436
23.512,23.512,0.151,0.053,23.583,23.432
23.51,23.51,0.151,0.054,23.583,23.432
23.509,23.509,0.151,0.054,23.583,23.432
23.5,23.5,0.14,0.048,23.572,23.432
23.492,23.492,0.128,0.042,23.56,23.432
23.488,23.488,0.123,0.037,23.555,23.432
23.506,23.506,0.177,0.048,23.609,23.432
23.501,23.501,0.177,0.049,23.609,23.432
23.514,23.515,0.177,0.053,23.609,23.432
23.512,23.512,0.177,0.051,23.609,23.432
23.52,23.52,0.145,0.044,23.609,23.464
23.522,23.522,0.145,0.043,23.609,23.464
