mean,RMS,ptp,std,max,min
15.839,15.839,0.009,0.004,15.843,15.834
15.844,15.844,0.023,0.01,15.857,15.834
15.847,15.847,0.023,0.01,15.857,15.834
15.86,15.86,0.022,0.009,15.873,15.851
15.866,15.866,0.024,0.011,15.875,15.851
15.902,15.902,0.085,0.04,15.958,15.873
15.908,15.908,0.083,0.036,15.958,15.875
15.933,15.933,0.067,0.03,15.958,15.891
15.909,15.909,0.066,0.03,15.951,15.885
15.917,15.917,0.066,0.027,15.951,15.885
15.898,15.898,0.031,0.013,15.916,15.885
15.881,15.881,0.083,0.035,15.916,15.833
15.875,15.875,0.066,0.03,15.899,15.833
15.887,15.887,0.097,0.04,15.93,15.833
15.891,15.891,0.087,0.036,15.93,15.843
15.864,15.864,0.111,0.048,15.93,15.819
15.831,15.831,0.024,0.01,15.843,15.819
15.837,15.837,0.043,0.018,15.862,15.819
15.877,15.877,0.107,0.045,15.938,15.831
15.938,15.938,0.153,0.062,16.015,15.862
15.928,15.928,0.184,0.075,16.015,15.831
15.893,15.893,0.184,0.086,16.015,15.831
15.871,15.871,0.119,0.056,15.95,15.831
15.878,15.878,0.117,0.052,15.95,15.833
15.887,15.887,0.1,0.045,15.95,15.85
15.916,15.916,0.188,0.086,16.038,15.85
15.963,15.963,0.178,0.075,16.038,15.86
15.966,15.966,0.168,0.071,16.038,15.87
15.903,15.903,0.144,0.063,15.991,15.847
15.873,15.873,0.054,0.022,15.901,15.847
15.868,15.868,0.054,0.024,15.901,15.847
15.871,15.871,0.045,0.021,15.901,15.856
15.867,15.867,0.032,0.015,15.888,15.856
15.884,15.884,0.051,0.021,15.908,15.857
15.892,15.892,0.029,0.012,15.908,15.879
15.89,15.89,0.029,0.013,15.908,15.879
15.892,15.892,0.033,0.015,15.912,15.879
15.886,15.886,0.05,0.02,15.912,15.862
15.918,15.918,0.118,0.048,15.98,15.862
15.918,15.918,0.118,0.048,15.98,15.862
15.932,15.932,0.076,0.034,15.98,15.904
15.906,15.906,0.008,0.004,15.911,15.903
15.933,15.933,0.088,0.041,15.991,15.903
15.967,15.967,0.103,0.045,16.006,15.903
15.943,15.943,0.175,0.079,16.006,15.831
15.879,15.879,0.207,0.091,16.006,15.799
15.845,15.845,0.105,0.044,15.904,15.799
15.842,15.842,0.105,0.045,15.904,15.799
15.862,15.862,0.08,0.033,15.904,15.824
15.875,15.875,0.12,0.05,15.944,15.824
15.878,15.878,0.113,0.048,15.944,15.831
15.874,15.874,0.113,0.05,15.944,15.831
15.836,15.836,0.017,0.008,15.847,15.83
15.871,15.871,0.106,0.046,15.936,15.83
15.884,15.884,0.106,0.043,15.936,15.83
15.887,15.887,0.098,0.04,15.936,15.838
15.915,15.916,0.183,0.077,16.021,15.838
15.921,15.921,0.183,0.076,16.021,15.838
15.959,15.959,0.117,0.048,16.021,15.904
15.903,15.903,0.101,0.041,15.953,15.852
15.88,15.88,0.118,0.052,15.953,15.835
15.869,15.869,0.085,0.037,15.92,15.835
15.875,15.875,0.085,0.035,15.92,15.835
15.886,15.886,0.051,0.024,15.92,15.869
15.871,15.871,0.007,0.003,15.876,15.869
15.9,15.9,0.087,0.039,15.956,15.869
15.894,15.894,0.106,0.045,15.956,15.85
15.891,15.891,0.106,0.047,15.956,15.85
15.875,15.875,0.059,0.025,15.909,15.85
15.911,15.911,0.091,0.037,15.957,15.866
15.912,15.912,0.086,0.035,15.957,15.871
15.904,15.904,0.086,0.038,15.957,15.871
15.883,15.883,0.022,0.009,15.893,15.871
15.884,15.884,0.017,0.007,15.893,15.876
15.892,15.892,0.031,0.013,15.907,15.876
15.888,15.888,0.031,0.014,15.907,15.876
15.884,15.884,0.043,0.018,15.907,15.864
15.885,15.885,0.047,0.019,15.911,15.864
15.888,15.888,0.047,0.019,15.911,15.864
15.872,15.872,0.095,0.04,15.911,15.816
15.843,15.843,0.072,0.032,15.888,15.816
15.848,15.848,0.089,0.04,15.905,15.816
15.879,15.879,0.084,0.039,15.908,15.824
15.874,15.874,0.099,0.046,15.908,15.809
15.868,15.868,0.099,0.042,15.908,15.809
15.858,15.858,0.077,0.035,15.886,15.809
15.901,15.901,0.057,0.026,15.937,15.88
15.918,15.918,0.057,0.027,15.937,15.88
15.936,15.936,0.004,0.002,15.937,15.933
15.924,15.924,0.034,0.015,15.937,15.903
15.886,15.886,0.111,0.047,15.933,15.822
15.846,15.846,0.091,0.041,15.903,15.812
15.854,15.854,0.116,0.052,15.928,15.812
15.855,15.855,0.116,0.052,15.928,15.812
15.897,15.897,0.112,0.051,15.938,15.826
15.871,15.871,0.112,0.048,15.938,15.826
15.902,15.902,0.089,0.038,15.938,15.849
15.875,15.875,0.071,0.032,15.92,15.849
15.9,15.9,0.067,0.031,15.923,15.856
15.86,15.86,0.121,0.049,15.923,15.802
15.861,15.861,0.121,0.049,15.923,15.802
15.869,15.869,0.145,0.06,15.947,15.802
15.895,15.895,0.089,0.038,15.947,15.858
15.893,15.893,0.096,0.04,15.947,15.851
15.856,15.856,0.042,0.018,15.88,15.838
15.856,15.856,0.042,0.018,15.88,15.838
15.853,15.853,0.042,0.019,15.88,15.838
15.895,15.895,0.121,0.051,15.963,15.842
15.876,15.876,0.139,0.062,15.963,15.824
15.904,15.904,0.139,0.059,15.963,15.824
15.866,15.866,0.101,0.043,15.925,15.824
15.87,15.87,0.09,0.04,15.925,15.835
15.887,15.887,0.142,0.064,15.977,15.835
15.913,15.913,0.142,0.059,15.977,15.835
15.918,15.918,0.125,0.051,15.977,15.852
15.881,15.881,0.074,0.032,15.926,15.852
15.853,15.853,0.023,0.009,15.865,15.842
15.837,15.837,0.06,0.025,15.865,15.805
15.833,15.833,0.047,0.02,15.852,15.805
15.833,15.833,0.047,0.02,15.852,15.805
15.849,15.849,0.009,0.004,15.852,15.843
15.851,15.851,0.016,0.007,15.859,15.843
15.865,15.865,0.033,0.014,15.884,15.851
15.867,15.867,0.026,0.012,15.884,15.858
15.869,15.869,0.026,0.011,15.884,15.858
15.862,15.862,0.008,0.003,15.866,15.858
15.871,15.871,0.025,0.011,15.886,15.861
15.876,15.876,0.025,0.011,15.886,15.861
15.881,15.881,0.01,0.004,15.886,15.876
15.88,15.88,0.006,0.003,15.882,15.876
15.85,15.85,0.089,0.041,15.882,15.793
15.823,15.823,0.089,0.042,15.882,15.793
15.8,15.8,0.02,0.009,15.813,15.793
15.831,15.831,0.093,0.04,15.887,15.794
15.846,15.846,0.074,0.031,15.887,15.813
15.868,15.868,0.049,0.021,15.887,15.838
15.857,15.857,0.041,0.017,15.879,15.838
15.876,15.876,0.04,0.016,15.894,15.854
15.885,15.885,0.052,0.022,15.906,15.854
15.898,15.898,0.012,0.006,15.906,15.894
15.894,15.894,0.023,0.009,15.906,15.883
15.881,15.881,0.028,0.012,15.894,15.866
15.865,15.865,0.036,0.015,15.883,15.847
15.863,15.863,0.029,0.012,15.876,15.847
15.835,15.835,0.095,0.04,15.876,15.781
15.84,15.84,0.095,0.042,15.876,15.781
15.836,15.836,0.083,0.039,15.864,15.781
15.84,15.84,0.071,0.033,15.864,15.793
15.824,15.824,0.07,0.029,15.863,15.793
15.799,15.799,0.026,0.011,15.815,15.789
15.835,15.835,0.111,0.047,15.9,15.789
15.868,15.868,0.126,0.056,15.915,15.789
15.875,15.875,0.105,0.046,15.915,15.81
15.861,15.861,0.105,0.043,15.915,15.81
15.845,15.845,0.059,0.025,15.869,15.81
15.867,15.867,0.018,0.007,15.875,15.857
15.887,15.887,0.048,0.021,15.917,15.869
15.898,15.898,0.042,0.017,15.917,15.875
15.914,15.914,0.022,0.009,15.923,15.901
15.856,15.856,0.179,0.08,15.923,15.744
15.865,15.866,0.185,0.086,15.929,15.744
15.827,15.827,0.185,0.077,15.929,15.744
15.831,15.831,0.171,0.072,15.929,15.758
15.798,15.798,0.07,0.029,15.828,15.758
15.805,15.805,0.07,0.033,15.828,15.758
15.806,15.806,0.067,0.032,15.828,15.761
15.837,15.837,0.162,0.066,15.923,15.761
15.872,15.872,0.171,0.079,15.932,15.761
15.891,15.891,0.113,0.051,15.932,15.819
15.854,15.854,0.122,0.056,15.932,15.81
15.848,15.848,0.106,0.048,15.916,15.81
15.848,15.848,0.106,0.048,15.916,15.81
15.839,15.839,0.133,0.056,15.916,15.783
15.787,15.787,0.055,0.023,15.817,15.762
15.822,15.822,0.159,0.071,15.921,15.762
15.842,15.842,0.159,0.065,15.921,15.762
15.882,15.882,0.078,0.032,15.921,15.843
15.86,15.86,0.039,0.016,15.882,15.843
15.87,15.87,0.028,0.012,15.882,15.854
15.857,15.857,0.028,0.012,15.873,15.845
