mean,RMS,ptp,std,max,min
19.679,19.679,0.02,0.009,19.691,19.671
19.682,19.682,0.02,0.008,19.691,19.671
19.656,19.656,0.099,0.045,19.691,19.592
19.622,19.622,0.095,0.044,19.685,19.59
19.599,19.599,0.025,0.011,19.615,19.59
19.601,19.601,0.025,0.011,19.615,19.59
19.631,19.631,0.083,0.036,19.68,19.597
19.623,19.623,0.088,0.04,19.68,19.592
19.651,19.651,0.088,0.041,19.68,19.592
19.637,19.637,0.088,0.036,19.68,19.592
19.629,19.629,0.112,0.046,19.68,19.568
19.601,19.601,0.072,0.03,19.64,19.568
19.622,19.622,0.134,0.058,19.702,19.568
19.662,19.662,0.107,0.047,19.702,19.595
19.664,19.664,0.1,0.044,19.702,19.602
19.631,19.631,0.086,0.04,19.688,19.602
19.619,19.619,0.051,0.024,19.653,19.602
19.642,19.642,0.068,0.029,19.671,19.603
19.667,19.667,0.025,0.011,19.678,19.653
19.676,19.676,0.008,0.004,19.679,19.671
19.676,19.676,0.007,0.003,19.679,19.672
19.672,19.672,0.013,0.005,19.679,19.666
19.646,19.646,0.071,0.032,19.672,19.601
19.617,19.617,0.082,0.035,19.666,19.584
19.619,19.619,0.089,0.039,19.673,19.584
19.619,19.619,0.089,0.039,19.673,19.584
19.63,19.63,0.072,0.031,19.673,19.601
19.605,19.605,0.016,0.007,19.615,19.599
19.613,19.613,0.026,0.011,19.625,19.599
19.608,19.608,0.026,0.012,19.625,19.599
19.614,19.614,0.026,0.011,19.625,19.599
19.613,19.613,0.024,0.01,19.623,19.599
19.628,19.628,0.026,0.011,19.644,19.618
19.645,19.645,0.046,0.019,19.669,19.623
19.659,19.659,0.025,0.011,19.669,19.644
19.676,19.676,0.03,0.013,19.695,19.665
19.656,19.656,0.087,0.036,19.695,19.608
19.668,19.668,0.092,0.042,19.7,19.608
19.635,19.635,0.103,0.046,19.7,19.597
19.662,19.662,0.103,0.046,19.7,19.597
19.633,19.633,0.093,0.041,19.69,19.597
19.64,19.64,0.077,0.035,19.69,19.613
19.607,19.607,0.026,0.011,19.617,19.591
19.602,19.602,0.026,0.011,19.617,19.591
19.601,19.601,0.022,0.009,19.613,19.591
19.619,19.619,0.049,0.02,19.647,19.598
19.648,19.648,0.071,0.029,19.684,19.613
19.677,19.677,0.052,0.022,19.699,19.647
19.694,19.694,0.016,0.007,19.7,19.684
19.673,19.673,0.081,0.038,19.7,19.619
19.638,19.638,0.105,0.045,19.7,19.595
19.634,19.634,0.092,0.039,19.687,19.595
19.662,19.662,0.11,0.048,19.705,19.595
19.664,19.664,0.104,0.045,19.705,19.601
19.636,19.636,0.104,0.049,19.705,19.601
19.63,19.63,0.084,0.039,19.685,19.601
19.663,19.663,0.099,0.043,19.702,19.603
19.7,19.7,0.029,0.012,19.714,19.685
19.702,19.702,0.023,0.009,19.714,19.691
19.676,19.676,0.091,0.039,19.714,19.623
19.668,19.668,0.068,0.032,19.691,19.623
19.634,19.634,0.103,0.043,19.691,19.588
19.656,19.656,0.103,0.048,19.691,19.588
19.659,19.659,0.112,0.051,19.7,19.588
19.67,19.67,0.079,0.035,19.7,19.621
19.64,19.64,0.1,0.043,19.7,19.6
19.634,19.634,0.08,0.034,19.68,19.6
19.629,19.629,0.08,0.036,19.68,19.6
19.634,19.634,0.074,0.033,19.68,19.606
19.608,19.608,0.013,0.005,19.615,19.602
19.632,19.632,0.076,0.033,19.678,19.602
19.657,19.657,0.09,0.04,19.692,19.602
19.657,19.657,0.092,0.04,19.692,19.6
19.636,19.636,0.092,0.04,19.692,19.6
19.608,19.608,0.016,0.007,19.616,19.6
19.645,19.645,0.102,0.046,19.71,19.608
19.642,19.642,0.102,0.048,19.71,19.608
19.643,19.643,0.102,0.048,19.71,19.608
19.616,19.616,0.021,0.009,19.629,19.608
19.646,19.646,0.09,0.039,19.7,19.61
19.673,19.673,0.071,0.032,19.7,19.629
19.672,19.672,0.075,0.033,19.7,19.625
19.644,19.644,0.074,0.033,19.691,19.617
19.622,19.622,0.008,0.004,19.625,19.617
19.625,19.625,0.015,0.006,19.632,19.617
19.617,19.617,0.038,0.017,19.632,19.594
19.624,19.624,0.051,0.022,19.645,19.594
19.625,19.625,0.051,0.022,19.645,19.594
19.666,19.666,0.078,0.035,19.715,19.637
19.658,19.658,0.092,0.04,19.715,19.623
19.656,19.656,0.092,0.042,19.715,19.623
19.625,19.625,0.006,0.003,19.629,19.623
19.626,19.626,0.006,0.002,19.629,19.623
19.647,19.647,0.068,0.031,19.691,19.623
19.659,19.659,0.065,0.027,19.691,19.626
19.686,19.686,0.048,0.02,19.707,19.659
19.689,19.689,0.048,0.021,19.707,19.659
19.695,19.695,0.03,0.013,19.707,19.677
19.694,19.694,0.029,0.012,19.706,19.677
19.668,19.668,0.086,0.036,19.706,19.62
19.65,19.65,0.086,0.04,19.706,19.62
19.61,19.61,0.038,0.017,19.624,19.586
19.633,19.633,0.102,0.042,19.688,19.586
19.63,19.63,0.102,0.043,19.688,19.586
19.64,19.64,0.073,0.034,19.688,19.615
19.615,19.615,0.001,0.0,19.616,19.615
19.646,19.646,0.093,0.044,19.708,19.615
19.645,19.645,0.095,0.044,19.708,19.613
19.651,19.651,0.095,0.041,19.708,19.613
19.621,19.621,0.018,0.007,19.631,19.613
19.623,19.623,0.013,0.006,19.631,19.618
19.614,19.614,0.014,0.006,19.619,19.605
19.61,19.61,0.013,0.006,19.618,19.605
19.634,19.634,0.085,0.04,19.69,19.605
19.634,19.634,0.084,0.039,19.69,19.606
19.633,19.633,0.089,0.041,19.69,19.601
19.642,19.642,0.116,0.053,19.717,19.601
19.637,19.637,0.124,0.057,19.717,19.593
19.637,19.637,0.124,0.057,19.717,19.593
19.602,19.602,0.019,0.008,19.612,19.593
19.609,19.609,0.014,0.006,19.614,19.6
19.609,19.609,0.012,0.005,19.614,19.602
19.609,19.609,0.012,0.005,19.614,19.602
19.629,19.629,0.073,0.032,19.675,19.602
19.634,19.634,0.064,0.029,19.675,19.611
19.655,19.655,0.06,0.028,19.675,19.615
19.669,19.669,0.104,0.043,19.719,19.615
19.666,19.666,0.114,0.047,19.719,19.605
19.674,19.674,0.114,0.05,19.719,19.605
19.637,19.637,0.094,0.044,19.699,19.605
19.638,19.638,0.092,0.043,19.699,19.607
19.611,19.611,0.012,0.005,19.619,19.607
19.612,19.612,0.012,0.005,19.619,19.607
19.609,19.609,0.022,0.009,19.619,19.597
19.611,19.611,0.028,0.011,19.625,19.597
19.607,19.607,0.028,0.013,19.625,19.597
19.615,19.615,0.027,0.012,19.625,19.598
19.608,19.608,0.023,0.01,19.621,19.598
19.647,19.647,0.109,0.048,19.714,19.605
19.643,19.643,0.109,0.05,19.714,19.605
19.646,19.646,0.104,0.048,19.714,19.61
19.633,19.633,0.065,0.03,19.675,19.61
19.662,19.662,0.084,0.035,19.698,19.614
19.669,19.669,0.063,0.026,19.698,19.635
19.65,19.65,0.08,0.034,19.698,19.618
19.618,19.618,0.035,0.014,19.635,19.6
19.611,19.611,0.018,0.008,19.618,19.6
19.612,19.612,0.021,0.009,19.621,19.6
19.622,19.622,0.014,0.006,19.63,19.616
19.629,19.629,0.014,0.006,19.635,19.621
19.625,19.625,0.026,0.011,19.635,19.609
19.617,19.617,0.029,0.013,19.635,19.606
19.636,19.636,0.086,0.04,19.692,19.606
19.644,19.644,0.086,0.036,19.692,19.606
19.645,19.645,0.081,0.034,19.692,19.611
19.644,19.644,0.077,0.032,19.688,19.611
19.662,19.662,0.077,0.036,19.688,19.611
19.663,19.663,0.075,0.035,19.688,19.613
19.64,19.64,0.075,0.034,19.688,19.613
19.618,19.618,0.008,0.004,19.621,19.613
19.622,19.622,0.006,0.003,19.626,19.62
19.628,19.628,0.016,0.007,19.637,19.621
19.627,19.627,0.018,0.007,19.637,19.619
19.65,19.65,0.075,0.032,19.694,19.619
19.645,19.645,0.075,0.035,19.694,19.619
19.644,19.644,0.076,0.035,19.694,19.618
19.618,19.618,0.006,0.002,19.621,19.615
19.616,19.616,0.004,0.002,19.618,19.614
19.615,19.615,0.003,0.001,19.617,19.614
19.639,19.639,0.073,0.034,19.687,19.614
19.637,19.637,0.081,0.036,19.687,19.606
19.635,19.635,0.081,0.037,19.687,19.606
19.602,19.602,0.024,0.01,19.612,19.588
19.607,19.607,0.032,0.014,19.62,19.588
19.641,19.641,0.126,0.053,19.714,19.588
19.675,19.675,0.094,0.04,19.714,19.62
19.699,19.699,0.024,0.011,19.714,19.69
19.689,19.689,0.008,0.003,19.692,19.684
19.669,19.669,0.062,0.028,19.692,19.63
19.651,19.651,0.054,0.024,19.684,19.63
19.635,19.635,0.008,0.003,19.638,19.63
19.627,19.627,0.03,0.014,19.638,19.608
19.642,19.642,0.074,0.031,19.682,19.608
19.631,19.631,0.078,0.036,19.682,19.604
19.668,19.668,0.114,0.048,19.718,19.604
19.647,19.647,0.114,0.051,19.718,19.604
19.666,19.666,0.099,0.041,19.718,19.619
19.637,19.637,0.043,0.018,19.662,19.619
19.639,19.639,0.038,0.017,19.662,19.624
19.61,19.61,0.055,0.024,19.631,19.576
19.644,19.644,0.156,0.065,19.732,19.576
19.663,19.663,0.156,0.065,19.732,19.576
19.675,19.675,0.12,0.049,19.732,19.612
19.656,19.656,0.068,0.031,19.68,19.612
19.64,19.64,0.064,0.027,19.676,19.612
19.67,19.67,0.068,0.028,19.701,19.633
19.655,19.655,0.07,0.033,19.701,19.631
19.656,19.656,0.07,0.032,19.701,19.631
19.62,19.62,0.046,0.02,19.637,19.591
19.614,19.614,0.046,0.019,19.637,19.591
19.644,19.644,0.135,0.059,19.726,19.591
19.652,19.652,0.112,0.053,19.726,19.614
19.654,19.654,0.111,0.051,19.726,19.615
19.617,19.617,0.007,0.003,19.622,19.615
19.646,19.646,0.087,0.039,19.702,19.615
19.626,19.626,0.14,0.058,19.702,19.562
19.624,19.624,0.14,0.058,19.702,19.562
19.619,19.619,0.123,0.051,19.685,19.562
19.64,19.64,0.076,0.033,19.685,19.609
19.661,19.661,0.06,0.026,19.685,19.625
19.644,19.644,0.048,0.021,19.673,19.625
19.64,19.64,0.06,0.025,19.673,19.613
19.628,19.628,0.024,0.011,19.637,19.613
19.618,19.618,0.033,0.014,19.637,19.604
19.623,19.623,0.033,0.014,19.637,19.604
19.639,19.639,0.082,0.035,19.686,19.604
19.645,19.645,0.063,0.029,19.686,19.623
19.65,19.65,0.063,0.026,19.686,19.623
19.618,19.618,0.05,0.021,19.641,19.591
19.623,19.623,0.05,0.022,19.641,19.591
19.606,19.606,0.045,0.021,19.636,19.591
19.621,19.621,0.045,0.021,19.636,19.591
19.644,19.644,0.116,0.048,19.707,19.591
