mean,RMS,ptp,std,max,min
21.034,21.034,0.285,0.074,21.156,20.871
21.032,21.033,0.285,0.074,21.156,20.871
21.037,21.037,0.285,0.073,21.156,20.871
21.03,21.03,0.285,0.067,21.156,20.871
21.037,21.037,0.285,0.068,21.156,20.871
21.046,21.046,0.285,0.075,21.156,20.871
21.043,21.043,0.285,0.077,21.156,20.871
21.042,21.043,0.286,0.078,21.156,20.87
21.016,21.017,0.272,0.079,21.142,20.87
21.004,21.004,0.272,0.084,21.142,20.87
21.014,21.014,0.275,0.094,21.145,20.87
20.998,20.999,0.275,0.102,21.145,20.87
21.001,21.002,0.275,0.104,21.145,20.87
20.995,20.995,0.275,0.102,21.145,20.87
20.994,20.995,0.275,0.101,21.145,20.87
20.98,20.98,0.275,0.089,21.145,20.87
20.993,20.994,0.275,0.096,21.145,20.87
21.005,21.006,0.272,0.087,21.145,20.873
21.03,21.03,0.272,0.086,21.145,20.873
21.041,21.041,0.272,0.077,21.145,20.873
21.025,21.025,0.263,0.07,21.136,20.873
21.054,21.054,0.177,0.061,21.165,20.988
21.048,21.048,0.177,0.063,21.165,20.988
21.041,21.041,0.239,0.072,21.165,20.926
21.049,21.049,0.239,0.079,21.165,20.926
21.066,21.066,0.239,0.083,21.165,20.926
21.06,21.061,0.239,0.082,21.165,20.926
21.074,21.074,0.239,0.081,21.165,20.926
21.072,21.072,0.239,0.08,21.165,20.926
21.059,21.059,0.268,0.095,21.165,20.897
21.05,21.05,0.268,0.105,21.165,20.897
21.023,21.024,0.264,0.106,21.161,20.897
21.027,21.027,0.264,0.106,21.161,20.897
21.039,21.039,0.264,0.101,21.161,20.897
21.022,21.023,0.264,0.094,21.161,20.897
20.997,20.997,0.225,0.087,21.122,20.897
20.995,20.995,0.225,0.086,21.122,20.897
20.99,20.99,0.224,0.08,21.121,20.897
20.975,20.975,0.176,0.067,21.073,20.897
20.978,20.978,0.176,0.064,21.073,20.897
20.991,20.991,0.172,0.059,21.073,20.901
20.995,20.995,0.169,0.054,21.073,20.904
20.979,20.979,0.197,0.062,21.073,20.876
20.967,20.967,0.197,0.059,21.073,20.876
20.975,20.975,0.197,0.065,21.073,20.876
20.995,20.995,0.227,0.07,21.103,20.876
20.986,20.986,0.227,0.071,21.103,20.876
20.972,20.972,0.227,0.066,21.103,20.876
20.966,20.966,0.227,0.068,21.103,20.876
20.986,20.986,0.252,0.082,21.128,20.876
20.98,20.98,0.252,0.081,21.128,20.876
20.984,20.984,0.252,0.08,21.128,20.876
20.989,20.989,0.207,0.075,21.128,20.921
21.003,21.003,0.207,0.076,21.128,20.921
21.006,21.006,0.207,0.079,21.128,20.921
20.996,20.996,0.207,0.073,21.128,20.921
21.018,21.019,0.244,0.086,21.165,20.921
21.04,21.04,0.244,0.088,21.165,20.921
21.04,21.04,0.246,0.088,21.165,20.919
21.017,21.017,0.264,0.092,21.165,20.901
21.022,21.022,0.264,0.09,21.165,20.901
21.022,21.022,0.264,0.09,21.165,20.901
21.022,21.022,0.264,0.09,21.165,20.901
21.007,21.007,0.264,0.093,21.165,20.901
20.995,20.995,0.264,0.088,21.165,20.901
20.986,20.986,0.264,0.092,21.165,20.901
20.96,20.96,0.245,0.072,21.146,20.901
20.935,20.935,0.123,0.039,21.015,20.892
20.933,20.933,0.123,0.04,21.015,20.892
20.958,20.958,0.264,0.077,21.156,20.892
20.949,20.95,0.264,0.075,21.156,20.892
20.942,20.942,0.264,0.075,21.156,20.892
20.947,20.947,0.264,0.076,21.156,20.892
20.946,20.946,0.264,0.076,21.156,20.892
20.948,20.949,0.264,0.077,21.156,20.892
20.95,20.95,0.264,0.077,21.156,20.892
20.97,20.97,0.264,0.087,21.156,20.892
20.972,20.972,0.258,0.085,21.156,20.898
20.98,20.98,0.252,0.082,21.156,20.904
20.98,20.98,0.253,0.082,21.157,20.904
20.984,20.984,0.253,0.08,21.157,20.904
20.996,20.996,0.248,0.076,21.157,20.909
20.998,20.998,0.248,0.076,21.157,20.909
21.025,21.025,0.267,0.087,21.182,20.915
21.015,21.015,0.283,0.095,21.182,20.899
21.033,21.033,0.283,0.094,21.182,20.899
21.038,21.038,0.283,0.099,21.182,20.899
21.054,21.054,0.283,0.09,21.182,20.899
21.051,21.051,0.283,0.093,21.182,20.899
21.027,21.028,0.283,0.093,21.182,20.899
21.026,21.026,0.283,0.095,21.182,20.899
21.03,21.03,0.283,0.095,21.182,20.899
21.03,21.03,0.283,0.096,21.182,20.899
21.024,21.024,0.256,0.088,21.155,20.899
21.027,21.027,0.235,0.084,21.155,20.92
