mean,RMS,ptp,std,max,min
23.498,23.499,0.339,0.052,23.664,23.325
23.498,23.498,0.339,0.052,23.664,23.325
23.498,23.498,0.339,0.052,23.664,23.325
23.498,23.498,0.339,0.052,23.664,23.325
23.498,23.498,0.339,0.052,23.664,23.325
23.498,23.498,0.339,0.052,23.664,23.325
23.498,23.498,0.339,0.052,23.664,23.325
23.497,23.497,0.339,0.052,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.496,23.496,0.339,0.051,23.664,23.325
23.496,23.496,0.339,0.051,23.664,23.325
23.496,23.496,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.05,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.498,0.339,0.05,23.664,23.325
23.497,23.497,0.339,0.05,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.052,23.664,23.325
23.499,23.499,0.339,0.052,23.664,23.325
23.499,23.499,0.339,0.052,23.664,23.325
23.499,23.499,0.339,0.052,23.664,23.325
23.499,23.499,0.339,0.052,23.664,23.325
23.499,23.499,0.339,0.052,23.664,23.325
23.499,23.499,0.339,0.052,23.664,23.325
23.499,23.499,0.339,0.052,23.664,23.325
23.499,23.499,0.339,0.052,23.664,23.325
23.499,23.499,0.339,0.052,23.664,23.325
23.498,23.498,0.339,0.052,23.664,23.325
23.498,23.498,0.339,0.052,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.052,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.499,23.499,0.339,0.051,23.664,23.325
23.499,23.499,0.339,0.051,23.664,23.325
23.499,23.499,0.339,0.051,23.664,23.325
23.498,23.499,0.339,0.051,23.664,23.325
23.498,23.499,0.339,0.051,23.664,23.325
23.499,23.499,0.339,0.052,23.664,23.325
23.499,23.499,0.339,0.051,23.664,23.325
23.499,23.499,0.339,0.052,23.664,23.325
23.499,23.499,0.339,0.051,23.664,23.325
23.499,23.499,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.499,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.498,23.498,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.051,23.664,23.325
23.496,23.496,0.339,0.051,23.664,23.325
23.496,23.497,0.339,0.051,23.664,23.325
23.497,23.497,0.339,0.052,23.664,23.325
23.497,23.497,0.339,0.052,23.664,23.325
23.496,23.496,0.339,0.052,23.664,23.325
23.496,23.496,0.339,0.052,23.664,23.325
23.496,23.496,0.339,0.052,23.664,23.325
23.496,23.496,0.339,0.052,23.664,23.325
23.496,23.496,0.339,0.052,23.664,23.325
23.496,23.496,0.339,0.052,23.664,23.325
23.496,23.496,0.339,0.052,23.664,23.325
23.495,23.495,0.339,0.052,23.664,23.325
23.495,23.495,0.339,0.052,23.664,23.325
23.495,23.495,0.339,0.052,23.664,23.325
23.495,23.495,0.339,0.052,23.664,23.325
23.495,23.495,0.339,0.052,23.664,23.325
23.495,23.495,0.339,0.052,23.664,23.325
23.495,23.495,0.339,0.052,23.664,23.325
23.494,23.495,0.339,0.052,23.664,23.325
23.495,23.495,0.339,0.052,23.664,23.325
23.495,23.495,0.339,0.052,23.664,23.325
23.495,23.495,0.339,0.052,23.664,23.325
23.495,23.495,0.339,0.052,23.664,23.325
23.495,23.495,0.339,0.052,23.664,23.325
23.496,23.496,0.339,0.053,23.664,23.325
23.496,23.496,0.339,0.053,23.664,23.325
23.495,23.495,0.339,0.053,23.664,23.325
23.496,23.496,0.339,0.053,23.664,23.325
23.496,23.496,0.339,0.054,23.664,23.325
23.496,23.496,0.339,0.054,23.664,23.325
23.496,23.496,0.339,0.054,23.664,23.325
23.496,23.496,0.339,0.054,23.664,23.325
23.496,23.496,0.339,0.054,23.664,23.325
23.496,23.496,0.339,0.054,23.664,23.325
23.496,23.496,0.339,0.053,23.664,23.325
23.495,23.495,0.339,0.054,23.664,23.325
23.496,23.496,0.339,0.054,23.664,23.325
23.496,23.496,0.339,0.054,23.664,23.325
23.496,23.496,0.339,0.054,23.664,23.325
23.495,23.495,0.339,0.054,23.664,23.325
23.495,23.495,0.339,0.054,23.664,23.325
23.495,23.495,0.339,0.054,23.664,23.325
23.495,23.495,0.339,0.053,23.664,23.325
23.495,23.495,0.339,0.053,23.664,23.325
23.495,23.495,0.339,0.053,23.664,23.325
23.496,23.496,0.339,0.053,23.664,23.325
23.495,23.496,0.339,0.053,23.664,23.325
23.496,23.496,0.339,0.054,23.664,23.325
23.495,23.495,0.339,0.054,23.664,23.325
23.495,23.496,0.339,0.054,23.664,23.325
23.495,23.495,0.308,0.053,23.633,23.325
23.495,23.495,0.308,0.053,23.633,23.325
23.494,23.494,0.308,0.053,23.633,23.325
23.494,23.494,0.308,0.053,23.633,23.325
23.494,23.494,0.308,0.053,23.633,23.325
23.494,23.494,0.308,0.053,23.633,23.325
23.494,23.494,0.308,0.053,23.633,23.325
23.494,23.494,0.308,0.053,23.633,23.325
23.494,23.494,0.308,0.053,23.633,23.325
23.494,23.494,0.308,0.053,23.633,23.325
23.493,23.493,0.308,0.053,23.633,23.325
23.493,23.493,0.308,0.053,23.633,23.325
