mean,RMS,ptp,std,max,min
23.32,23.32,0.168,0.069,23.411,23.243
23.33,23.33,0.196,0.082,23.439,23.243
23.323,23.323,0.216,0.089,23.439,23.223
23.36,23.36,0.216,0.097,23.439,23.223
23.362,23.362,0.223,0.099,23.446,23.223
23.422,23.422,0.042,0.018,23.446,23.404
23.413,23.413,0.057,0.024,23.446,23.389
23.401,23.401,0.021,0.009,23.41,23.389
23.377,23.377,0.077,0.032,23.41,23.333
23.369,23.369,0.077,0.032,23.41,23.333
23.315,23.315,0.113,0.048,23.363,23.25
23.344,23.344,0.17,0.071,23.42,23.25
23.36,23.36,0.17,0.078,23.42,23.25
23.385,23.385,0.095,0.043,23.42,23.325
23.327,23.327,0.163,0.067,23.41,23.247
23.307,23.307,0.103,0.044,23.35,23.247
23.33,23.33,0.146,0.061,23.393,23.247
23.388,23.388,0.072,0.03,23.422,23.35
23.413,23.413,0.031,0.014,23.424,23.393
23.351,23.352,0.216,0.101,23.424,23.208
23.347,23.347,0.216,0.098,23.424,23.208
23.341,23.341,0.201,0.094,23.409,23.208
23.403,23.403,0.013,0.005,23.409,23.396
23.385,23.385,0.05,0.022,23.405,23.355
23.356,23.356,0.079,0.032,23.396,23.317
23.318,23.318,0.074,0.03,23.355,23.281
23.306,23.306,0.038,0.017,23.319,23.281
23.305,23.305,0.038,0.017,23.319,23.281
23.312,23.312,0.016,0.007,23.319,23.303
23.345,23.345,0.113,0.051,23.416,23.303
23.351,23.351,0.113,0.048,23.416,23.303
23.374,23.374,0.083,0.034,23.416,23.333
23.356,23.356,0.039,0.017,23.372,23.333
23.38,23.38,0.043,0.019,23.406,23.363
23.371,23.371,0.062,0.026,23.406,23.344
23.399,23.399,0.102,0.042,23.446,23.344
23.379,23.379,0.102,0.047,23.446,23.344
23.402,23.402,0.099,0.041,23.446,23.347
23.332,23.332,0.178,0.073,23.413,23.235
23.326,23.326,0.178,0.073,23.413,23.235
23.327,23.327,0.181,0.074,23.416,23.235
23.363,23.363,0.087,0.038,23.416,23.329
23.396,23.396,0.081,0.036,23.426,23.345
23.391,23.391,0.081,0.034,23.426,23.345
23.414,23.414,0.024,0.01,23.426,23.402
23.401,23.401,0.029,0.012,23.415,23.386
23.38,23.38,0.075,0.031,23.415,23.34
23.361,23.361,0.046,0.019,23.386,23.34
23.383,23.383,0.112,0.049,23.452,23.34
23.384,23.384,0.109,0.049,23.452,23.343
23.346,23.346,0.208,0.085,23.452,23.244
23.326,23.326,0.148,0.062,23.392,23.244
23.352,23.352,0.175,0.077,23.419,23.244
23.409,23.409,0.027,0.012,23.419,23.392
23.388,23.388,0.091,0.042,23.419,23.328
23.38,23.38,0.089,0.038,23.417,23.328
23.317,23.317,0.166,0.068,23.395,23.229
23.34,23.34,0.166,0.078,23.395,23.229
23.333,23.333,0.166,0.074,23.395,23.229
23.365,23.365,0.071,0.03,23.395,23.324
23.347,23.347,0.052,0.022,23.376,23.324
23.337,23.337,0.023,0.01,23.347,23.324
23.338,23.338,0.021,0.009,23.347,23.326
23.355,23.355,0.067,0.028,23.393,23.326
23.355,23.355,0.067,0.028,23.393,23.326
23.388,23.388,0.078,0.032,23.425,23.347
23.403,23.403,0.089,0.04,23.436,23.347
23.433,23.433,0.012,0.005,23.437,23.425
23.434,23.434,0.007,0.003,23.437,23.43
23.431,23.431,0.012,0.005,23.437,23.425
23.4,23.4,0.084,0.038,23.43,23.346
23.4,23.4,0.084,0.038,23.43,23.346
