mean,RMS,ptp,std,max,min
23.339,23.339,0.261,0.054,23.48,23.219
23.339,23.339,0.261,0.054,23.48,23.219
23.34,23.34,0.254,0.053,23.48,23.226
23.341,23.341,0.252,0.052,23.48,23.228
23.341,23.341,0.252,0.051,23.48,23.228
23.341,23.341,0.252,0.051,23.48,23.228
23.342,23.342,0.252,0.05,23.48,23.228
23.342,23.343,0.252,0.05,23.48,23.228
23.343,23.343,0.252,0.049,23.48,23.228
23.343,23.343,0.252,0.049,23.48,23.228
23.344,23.344,0.236,0.048,23.48,23.244
23.345,23.345,0.236,0.047,23.48,23.244
23.345,23.345,0.236,0.047,23.48,23.244
23.345,23.345,0.233,0.046,23.48,23.247
23.345,23.345,0.226,0.046,23.48,23.254
23.346,23.346,0.223,0.045,23.48,23.257
23.345,23.346,0.223,0.045,23.48,23.257
23.345,23.345,0.223,0.046,23.48,23.257
23.345,23.345,0.223,0.046,23.48,23.257
23.345,23.345,0.223,0.045,23.48,23.257
23.346,23.346,0.223,0.045,23.48,23.257
23.346,23.346,0.223,0.045,23.48,23.257
23.346,23.346,0.219,0.044,23.48,23.261
23.346,23.346,0.217,0.044,23.48,23.263
23.346,23.346,0.217,0.044,23.48,23.263
23.346,23.346,0.217,0.044,23.48,23.263
23.346,23.346,0.217,0.044,23.48,23.263
23.347,23.347,0.217,0.044,23.48,23.263
23.347,23.347,0.217,0.044,23.48,23.263
23.347,23.347,0.212,0.044,23.48,23.268
23.347,23.347,0.205,0.043,23.48,23.275
23.347,23.347,0.205,0.043,23.48,23.275
23.347,23.347,0.205,0.043,23.48,23.275
23.347,23.347,0.205,0.043,23.48,23.275
23.347,23.347,0.205,0.043,23.48,23.275
23.347,23.347,0.205,0.043,23.48,23.275
23.347,23.347,0.205,0.043,23.48,23.275
23.347,23.347,0.205,0.043,23.48,23.275
23.348,23.348,0.205,0.043,23.48,23.275
23.348,23.348,0.205,0.043,23.48,23.275
23.348,23.349,0.205,0.043,23.48,23.275
23.349,23.349,0.205,0.043,23.48,23.275
23.349,23.349,0.205,0.043,23.48,23.275
23.349,23.349,0.205,0.043,23.48,23.275
23.349,23.349,0.205,0.043,23.48,23.275
23.348,23.348,0.205,0.043,23.48,23.275
23.349,23.349,0.205,0.043,23.48,23.275
23.349,23.349,0.205,0.043,23.48,23.275
23.348,23.348,0.205,0.043,23.48,23.275
23.348,23.348,0.205,0.043,23.48,23.275
23.348,23.348,0.205,0.043,23.48,23.275
23.347,23.347,0.205,0.043,23.48,23.275
23.347,23.347,0.205,0.043,23.48,23.275
23.347,23.347,0.205,0.043,23.48,23.275
23.346,23.346,0.205,0.043,23.48,23.275
23.346,23.346,0.205,0.043,23.48,23.275
23.346,23.346,0.205,0.043,23.48,23.275
23.345,23.345,0.205,0.043,23.48,23.275
23.345,23.345,0.205,0.043,23.48,23.275
23.345,23.345,0.205,0.043,23.48,23.275
23.345,23.345,0.205,0.043,23.48,23.275
23.346,23.346,0.205,0.043,23.48,23.275
23.345,23.346,0.205,0.043,23.48,23.275
23.346,23.346,0.205,0.043,23.48,23.275
23.345,23.345,0.205,0.043,23.48,23.275
23.344,23.344,0.205,0.042,23.48,23.275
23.344,23.344,0.205,0.042,23.48,23.275
23.344,23.344,0.205,0.042,23.48,23.275
23.343,23.344,0.205,0.042,23.48,23.275
23.343,23.343,0.205,0.042,23.48,23.275
23.342,23.342,0.205,0.042,23.48,23.275
23.342,23.342,0.205,0.042,23.48,23.275
23.342,23.342,0.205,0.042,23.48,23.275
23.342,23.342,0.205,0.042,23.48,23.275
23.342,23.342,0.205,0.042,23.48,23.275
23.341,23.341,0.205,0.041,23.48,23.275
23.341,23.341,0.205,0.041,23.48,23.275
23.341,23.341,0.205,0.041,23.48,23.275
23.341,23.341,0.205,0.041,23.48,23.275
23.34,23.34,0.205,0.041,23.48,23.275
23.34,23.34,0.205,0.041,23.48,23.275
23.34,23.34,0.205,0.041,23.48,23.275
23.339,23.339,0.205,0.04,23.48,23.275
23.339,23.339,0.205,0.04,23.48,23.275
23.338,23.338,0.205,0.039,23.48,23.275
23.338,23.338,0.205,0.039,23.48,23.275
23.338,23.338,0.205,0.039,23.48,23.275
23.337,23.338,0.205,0.038,23.48,23.275
23.336,23.336,0.194,0.037,23.469,23.275
23.336,23.336,0.194,0.036,23.469,23.275
23.337,23.337,0.194,0.037,23.469,23.275
23.336,23.336,0.194,0.037,23.469,23.275
23.336,23.336,0.194,0.036,23.469,23.275
23.336,23.336,0.194,0.036,23.469,23.275
23.336,23.336,0.194,0.037,23.469,23.275
23.336,23.336,0.194,0.037,23.469,23.275
23.336,23.336,0.194,0.037,23.469,23.275
23.337,23.337,0.194,0.038,23.469,23.275
23.336,23.336,0.194,0.037,23.469,23.275
23.335,23.335,0.176,0.035,23.451,23.275
23.335,23.335,0.176,0.035,23.451,23.275
23.335,23.335,0.176,0.035,23.451,23.275
23.336,23.336,0.197,0.037,23.472,23.275
23.336,23.336,0.197,0.037,23.472,23.275
23.336,23.336,0.197,0.037,23.472,23.275
23.337,23.337,0.197,0.038,23.472,23.275
23.337,23.337,0.197,0.039,23.472,23.275
23.338,23.338,0.21,0.04,23.485,23.275
23.338,23.338,0.21,0.041,23.485,23.275
23.339,23.339,0.21,0.042,23.485,23.275
23.34,23.34,0.225,0.044,23.5,23.275
23.34,23.34,0.225,0.044,23.5,23.275
23.341,23.341,0.225,0.044,23.5,23.275
23.341,23.341,0.225,0.044,23.5,23.275
23.342,23.342,0.225,0.045,23.5,23.275
23.343,23.343,0.225,0.047,23.5,23.275
23.343,23.343,0.225,0.047,23.5,23.275
23.344,23.344,0.225,0.048,23.5,23.275
23.344,23.344,0.225,0.048,23.5,23.275
23.344,23.345,0.225,0.049,23.5,23.275
23.345,23.345,0.225,0.049,23.5,23.275
23.345,23.345,0.225,0.049,23.5,23.275
23.346,23.346,0.225,0.049,23.5,23.275
23.346,23.346,0.225,0.049,23.5,23.275
23.346,23.346,0.225,0.049,23.5,23.275
23.347,23.347,0.225,0.05,23.5,23.275
23.348,23.348,0.225,0.051,23.5,23.275
23.348,23.349,0.225,0.051,23.5,23.275
23.349,23.349,0.225,0.052,23.5,23.275
23.35,23.35,0.225,0.052,23.5,23.275
23.351,23.351,0.225,0.053,23.5,23.275
23.352,23.352,0.225,0.053,23.5,23.275
23.352,23.352,0.225,0.054,23.5,23.275
23.353,23.353,0.225,0.055,23.5,23.275
23.353,23.354,0.225,0.055,23.5,23.275
23.354,23.354,0.225,0.056,23.5,23.275
23.355,23.355,0.225,0.056,23.5,23.275
23.356,23.356,0.252,0.058,23.527,23.275
23.357,23.357,0.252,0.059,23.527,23.275
23.359,23.359,0.252,0.06,23.527,23.275
23.36,23.36,0.252,0.061,23.527,23.275
23.359,23.359,0.252,0.061,23.527,23.275
23.36,23.36,0.252,0.061,23.527,23.275
23.359,23.359,0.252,0.061,23.527,23.275
23.359,23.359,0.252,0.061,23.527,23.275
23.36,23.36,0.252,0.061,23.527,23.275
23.359,23.36,0.274,0.062,23.527,23.253
23.359,23.359,0.274,0.062,23.527,23.253
23.359,23.359,0.274,0.062,23.527,23.253
23.359,23.359,0.274,0.063,23.527,23.253
23.358,23.358,0.292,0.063,23.527,23.235
23.358,23.359,0.292,0.063,23.527,23.235
23.358,23.358,0.292,0.063,23.527,23.235
23.358,23.358,0.292,0.063,23.527,23.235
23.358,23.358,0.292,0.064,23.527,23.235
23.358,23.358,0.292,0.064,23.527,23.235
23.357,23.357,0.292,0.064,23.527,23.235
23.358,23.358,0.292,0.064,23.527,23.235
23.358,23.358,0.292,0.064,23.527,23.235
23.359,23.359,0.292,0.064,23.527,23.235
23.36,23.36,0.292,0.065,23.527,23.235
23.36,23.36,0.292,0.065,23.527,23.235
23.36,23.36,0.292,0.064,23.527,23.235
23.361,23.361,0.292,0.064,23.527,23.235
23.362,23.363,0.292,0.065,23.527,23.235
23.363,23.363,0.292,0.065,23.527,23.235
23.364,23.364,0.292,0.065,23.527,23.235
23.365,23.365,0.292,0.065,23.527,23.235
23.365,23.365,0.292,0.065,23.527,23.235
23.366,23.366,0.292,0.065,23.527,23.235
23.366,23.367,0.292,0.064,23.527,23.235
23.367,23.367,0.292,0.064,23.527,23.235
23.368,23.368,0.292,0.064,23.527,23.235
23.37,23.37,0.292,0.065,23.527,23.235
23.37,23.37,0.292,0.064,23.527,23.235
23.371,23.371,0.292,0.064,23.527,23.235
23.371,23.372,0.292,0.064,23.527,23.235
23.371,23.371,0.292,0.064,23.527,23.235
