mean,RMS,ptp,std,max,min
21.147,21.147,0.192,0.054,21.26,21.068
21.152,21.152,0.192,0.057,21.26,21.068
21.142,21.142,0.131,0.044,21.199,21.068
21.153,21.153,0.123,0.038,21.199,21.076
21.156,21.156,0.123,0.039,21.199,21.076
21.155,21.155,0.123,0.038,21.199,21.076
21.157,21.157,0.123,0.039,21.199,21.076
21.164,21.165,0.123,0.033,21.199,21.076
21.168,21.168,0.09,0.024,21.199,21.109
21.17,21.17,0.09,0.024,21.199,21.109
21.17,21.17,0.09,0.023,21.199,21.109
21.16,21.161,0.081,0.029,21.185,21.104
21.164,21.164,0.082,0.029,21.186,21.104
21.142,21.142,0.217,0.064,21.186,20.969
21.141,21.141,0.217,0.064,21.186,20.969
21.134,21.134,0.217,0.064,21.186,20.969
21.127,21.127,0.217,0.062,21.186,20.969
21.131,21.132,0.237,0.066,21.206,20.969
21.136,21.136,0.237,0.066,21.206,20.969
21.134,21.135,0.237,0.065,21.206,20.969
21.136,21.136,0.237,0.066,21.206,20.969
21.143,21.143,0.237,0.066,21.206,20.969
21.143,21.143,0.237,0.066,21.206,20.969
21.166,21.166,0.11,0.034,21.206,21.096
21.146,21.146,0.237,0.068,21.206,20.969
21.156,21.156,0.237,0.067,21.206,20.969
21.163,21.163,0.237,0.067,21.206,20.969
21.159,21.159,0.231,0.065,21.2,20.969
21.163,21.164,0.231,0.066,21.2,20.969
21.166,21.166,0.231,0.066,21.2,20.969
21.154,21.154,0.231,0.07,21.2,20.969
21.137,21.138,0.231,0.081,21.2,20.969
21.138,21.138,0.231,0.082,21.2,20.969
21.136,21.136,0.227,0.08,21.196,20.969
21.148,21.148,0.183,0.061,21.196,21.013
21.147,21.147,0.183,0.06,21.196,21.013
21.148,21.148,0.183,0.06,21.196,21.013
21.152,21.152,0.199,0.063,21.212,21.013
21.151,21.151,0.199,0.062,21.212,21.013
21.15,21.15,0.199,0.062,21.212,21.013
21.153,21.153,0.199,0.059,21.212,21.013
21.169,21.169,0.119,0.036,21.212,21.093
21.167,21.168,0.119,0.035,21.212,21.093
21.17,21.17,0.119,0.036,21.212,21.093
21.177,21.177,0.101,0.026,21.212,21.111
21.176,21.176,0.101,0.025,21.212,21.111
21.171,21.171,0.101,0.026,21.212,21.111
21.167,21.167,0.085,0.022,21.196,21.111
21.169,21.169,0.085,0.024,21.196,21.111
21.152,21.152,0.191,0.054,21.196,21.005
21.157,21.157,0.191,0.053,21.196,21.005
21.159,21.159,0.191,0.054,21.196,21.005
21.162,21.162,0.193,0.055,21.198,21.005
21.152,21.152,0.193,0.056,21.198,21.005
21.153,21.153,0.193,0.056,21.198,21.005
21.15,21.151,0.193,0.056,21.198,21.005
21.156,21.156,0.193,0.057,21.198,21.005
21.163,21.163,0.239,0.063,21.244,21.005
21.162,21.162,0.239,0.063,21.244,21.005
21.184,21.184,0.141,0.037,21.244,21.103
21.186,21.186,0.141,0.037,21.244,21.103
21.182,21.183,0.141,0.038,21.244,21.103
21.181,21.181,0.141,0.037,21.244,21.103
21.19,21.19,0.091,0.027,21.244,21.153
21.193,21.193,0.091,0.027,21.244,21.153
21.192,21.192,0.102,0.028,21.244,21.142
21.188,21.188,0.102,0.031,21.244,21.142
21.186,21.186,0.087,0.028,21.229,21.142
21.175,21.175,0.151,0.043,21.229,21.078
21.173,21.173,0.151,0.041,21.229,21.078
21.172,21.172,0.151,0.041,21.229,21.078
21.18,21.18,0.151,0.044,21.229,21.078
21.179,21.179,0.151,0.044,21.229,21.078
21.18,21.18,0.151,0.044,21.229,21.078
21.156,21.156,0.26,0.076,21.229,20.969
21.157,21.157,0.26,0.076,21.229,20.969
21.16,21.16,0.26,0.076,21.229,20.969
21.155,21.155,0.26,0.073,21.229,20.969
21.164,21.164,0.26,0.068,21.229,20.969
21.153,21.153,0.26,0.068,21.229,20.969
21.153,21.153,0.26,0.068,21.229,20.969
21.148,21.148,0.231,0.064,21.2,20.969
21.15,21.15,0.231,0.065,21.2,20.969
21.146,21.147,0.225,0.063,21.194,20.969
21.17,21.17,0.098,0.026,21.203,21.105
21.169,21.169,0.098,0.026,21.203,21.105
21.172,21.172,0.102,0.029,21.207,21.105
21.166,21.166,0.102,0.033,21.207,21.105
21.168,21.168,0.102,0.033,21.207,21.105
21.178,21.178,0.092,0.028,21.21,21.118
21.178,21.178,0.092,0.028,21.21,21.118
21.178,21.178,0.092,0.028,21.21,21.118
21.173,21.173,0.092,0.029,21.21,21.118
21.178,21.178,0.099,0.031,21.217,21.118
21.181,21.181,0.108,0.034,21.226,21.118
21.181,21.181,0.108,0.033,21.226,21.118
21.181,21.181,0.108,0.034,21.226,21.118
21.181,21.181,0.111,0.034,21.226,21.115
21.175,21.175,0.111,0.038,21.226,21.115
21.178,21.178,0.118,0.041,21.233,21.115
21.177,21.177,0.118,0.041,21.233,21.115
21.179,21.179,0.118,0.041,21.233,21.115
21.165,21.165,0.225,0.065,21.233,21.008
21.164,21.164,0.225,0.065,21.233,21.008
21.162,21.162,0.225,0.063,21.233,21.008
21.15,21.15,0.225,0.076,21.233,21.008
21.138,21.139,0.225,0.074,21.233,21.008
21.146,21.146,0.225,0.075,21.233,21.008
21.148,21.149,0.225,0.075,21.233,21.008
21.14,21.141,0.204,0.07,21.212,21.008
21.144,21.144,0.204,0.072,21.212,21.008
21.126,21.127,0.204,0.079,21.212,21.008
21.138,21.139,0.193,0.068,21.212,21.019
21.135,21.135,0.186,0.065,21.205,21.019
21.139,21.14,0.231,0.071,21.25,21.019
21.15,21.15,0.231,0.06,21.25,21.019
21.159,21.159,0.231,0.059,21.25,21.019
21.147,21.147,0.231,0.062,21.25,21.019
21.153,21.153,0.231,0.065,21.25,21.019
21.155,21.156,0.231,0.065,21.25,21.019
21.144,21.144,0.231,0.066,21.25,21.019
21.154,21.154,0.174,0.052,21.25,21.076
21.161,21.161,0.174,0.053,21.25,21.076
21.163,21.163,0.174,0.054,21.25,21.076
21.152,21.152,0.133,0.045,21.209,21.076
21.158,21.158,0.133,0.045,21.209,21.076
21.149,21.149,0.133,0.047,21.209,21.076
21.159,21.159,0.117,0.04,21.209,21.092
21.162,21.162,0.146,0.045,21.238,21.092
21.154,21.154,0.146,0.048,21.238,21.092
21.165,21.165,0.138,0.045,21.238,21.1
21.171,21.171,0.138,0.042,21.238,21.1
21.163,21.163,0.138,0.044,21.238,21.1
21.156,21.156,0.138,0.043,21.238,21.1
21.155,21.155,0.138,0.044,21.238,21.1
21.154,21.154,0.138,0.044,21.238,21.1
21.153,21.153,0.151,0.046,21.238,21.087
21.157,21.157,0.151,0.05,21.238,21.087
21.153,21.153,0.137,0.044,21.224,21.087
21.159,21.159,0.137,0.041,21.224,21.087
21.156,21.156,0.137,0.039,21.224,21.087
21.138,21.138,0.224,0.059,21.224,21.0
21.123,21.123,0.255,0.078,21.224,20.969
21.128,21.129,0.255,0.08,21.224,20.969
21.113,21.113,0.255,0.093,21.224,20.969
21.115,21.115,0.255,0.095,21.224,20.969
21.103,21.104,0.255,0.105,21.224,20.969
21.093,21.093,0.228,0.097,21.197,20.969
21.094,21.094,0.233,0.098,21.202,20.969
21.099,21.099,0.244,0.103,21.213,20.969
21.092,21.092,0.244,0.1,21.213,20.969
21.105,21.105,0.244,0.096,21.213,20.969
21.132,21.132,0.263,0.091,21.232,20.969
21.111,21.111,0.263,0.101,21.232,20.969
21.137,21.137,0.263,0.095,21.232,20.969
21.137,21.137,0.263,0.095,21.232,20.969
21.16,21.161,0.263,0.078,21.232,20.969
21.168,21.168,0.263,0.077,21.232,20.969
21.15,21.15,0.263,0.088,21.232,20.969
21.148,21.148,0.263,0.086,21.232,20.969
21.151,21.151,0.263,0.085,21.232,20.969
21.16,21.16,0.263,0.088,21.232,20.969
21.15,21.15,0.263,0.085,21.232,20.969
21.179,21.179,0.236,0.065,21.256,21.02
21.166,21.166,0.236,0.065,21.256,21.02
21.158,21.158,0.236,0.066,21.256,21.02
21.154,21.154,0.236,0.064,21.256,21.02
21.144,21.144,0.236,0.066,21.256,21.02
21.154,21.154,0.168,0.052,21.256,21.088
21.153,21.153,0.168,0.051,21.256,21.088
21.151,21.151,0.168,0.053,21.256,21.088
21.152,21.152,0.168,0.053,21.256,21.088
21.135,21.135,0.287,0.077,21.256,20.969
21.132,21.133,0.261,0.073,21.23,20.969
21.143,21.143,0.261,0.075,21.23,20.969
21.128,21.128,0.261,0.092,21.23,20.969
21.131,21.131,0.261,0.093,21.23,20.969
21.133,21.133,0.261,0.092,21.23,20.969
21.143,21.144,0.261,0.097,21.23,20.969
21.136,21.136,0.261,0.096,21.23,20.969
21.125,21.125,0.261,0.105,21.23,20.969
21.106,21.106,0.26,0.101,21.229,20.969
21.125,21.126,0.26,0.091,21.229,20.969
21.117,21.117,0.26,0.084,21.229,20.969
21.116,21.116,0.26,0.083,21.229,20.969
21.142,21.142,0.232,0.074,21.23,20.998
21.141,21.141,0.232,0.073,21.23,20.998
