mean,RMS,ptp,std,max,min
21.058,21.058,0.254,0.08,21.151,20.897
21.062,21.062,0.254,0.08,21.151,20.897
21.054,21.054,0.248,0.074,21.145,20.897
21.045,21.045,0.233,0.068,21.13,20.897
21.046,21.046,0.233,0.067,21.13,20.897
21.065,21.065,0.135,0.046,21.13,20.995
21.065,21.065,0.134,0.046,21.13,20.996
21.063,21.063,0.127,0.043,21.123,20.996
21.051,21.052,0.144,0.048,21.123,20.979
21.026,21.026,0.239,0.067,21.11,20.871
21.025,21.025,0.239,0.067,21.11,20.871
21.014,21.014,0.239,0.066,21.11,20.871
21.022,21.022,0.285,0.077,21.156,20.871
21.02,21.02,0.285,0.077,21.156,20.871
21.035,21.035,0.288,0.087,21.159,20.871
21.031,21.031,0.288,0.085,21.159,20.871
21.02,21.021,0.288,0.095,21.159,20.871
21.006,21.006,0.288,0.091,21.159,20.871
21.012,21.012,0.288,0.092,21.159,20.871
21.027,21.027,0.27,0.079,21.159,20.889
21.045,21.046,0.29,0.09,21.179,20.889
21.052,21.053,0.29,0.086,21.179,20.889
21.029,21.029,0.29,0.087,21.179,20.889
21.018,21.018,0.29,0.093,21.179,20.889
21.005,21.005,0.29,0.081,21.179,20.889
21.001,21.002,0.29,0.08,21.179,20.889
21.016,21.017,0.261,0.071,21.179,20.918
21.027,21.027,0.261,0.07,21.179,20.918
21.036,21.036,0.261,0.078,21.179,20.918
21.021,21.021,0.306,0.092,21.179,20.873
21.011,21.011,0.264,0.078,21.137,20.873
20.998,20.999,0.264,0.082,21.137,20.873
20.994,20.995,0.264,0.087,21.137,20.873
21.017,21.017,0.269,0.093,21.142,20.873
21.006,21.007,0.269,0.096,21.142,20.873
21.004,21.004,0.269,0.097,21.142,20.873
20.996,20.996,0.269,0.096,21.142,20.873
21.004,21.004,0.269,0.104,21.142,20.873
20.987,20.987,0.269,0.094,21.142,20.873
20.987,20.987,0.272,0.095,21.142,20.87
20.97,20.97,0.272,0.092,21.142,20.87
20.969,20.97,0.272,0.093,21.142,20.87
20.971,20.971,0.272,0.091,21.142,20.87
20.959,20.959,0.269,0.074,21.139,20.87
20.957,20.957,0.269,0.075,21.139,20.87
20.964,20.964,0.269,0.079,21.139,20.87
20.957,20.958,0.269,0.081,21.139,20.87
20.956,20.956,0.256,0.078,21.126,20.87
20.973,20.973,0.275,0.097,21.145,20.87
20.982,20.982,0.25,0.091,21.145,20.895
20.98,20.98,0.256,0.093,21.145,20.889
20.976,20.977,0.272,0.096,21.145,20.873
21.001,21.001,0.272,0.103,21.145,20.873
21.016,21.016,0.298,0.115,21.171,20.873
21.031,21.031,0.298,0.11,21.171,20.873
21.016,21.016,0.298,0.119,21.171,20.873
21.04,21.041,0.298,0.118,21.171,20.873
21.028,21.028,0.298,0.115,21.171,20.873
21.018,21.018,0.298,0.109,21.171,20.873
21.036,21.036,0.298,0.112,21.171,20.873
21.054,21.054,0.298,0.1,21.171,20.873
21.062,21.062,0.285,0.088,21.171,20.886
21.063,21.063,0.285,0.088,21.171,20.886
21.045,21.045,0.265,0.082,21.151,20.886
21.037,21.037,0.265,0.084,21.151,20.886
