mean,RMS,ptp,std,max,min
0.205,0.214,0.208,0.062,0.363,0.155
0.204,0.214,0.208,0.063,0.363,0.155
0.197,0.207,0.208,0.064,0.363,0.155
0.189,0.198,0.208,0.059,0.363,0.155
0.192,0.2,0.208,0.058,0.363,0.155
0.203,0.212,0.204,0.061,0.363,0.159
0.205,0.213,0.204,0.06,0.363,0.159
0.208,0.217,0.204,0.06,0.363,0.159
0.194,0.196,0.11,0.031,0.269,0.159
0.194,0.197,0.11,0.031,0.269,0.159
0.196,0.198,0.11,0.03,0.269,0.159
0.197,0.199,0.11,0.029,0.269,0.159
0.198,0.2,0.098,0.027,0.269,0.171
0.202,0.204,0.098,0.027,0.269,0.171
0.203,0.205,0.098,0.027,0.269,0.171
0.196,0.196,0.046,0.015,0.216,0.171
0.197,0.198,0.046,0.015,0.216,0.171
0.196,0.196,0.046,0.014,0.216,0.171
0.195,0.195,0.046,0.012,0.216,0.171
0.196,0.196,0.046,0.013,0.216,0.171
0.201,0.202,0.082,0.021,0.253,0.171
0.203,0.204,0.082,0.02,0.253,0.171
0.206,0.207,0.056,0.016,0.253,0.197
0.204,0.204,0.062,0.017,0.253,0.19
0.222,0.228,0.188,0.055,0.378,0.19
0.223,0.229,0.188,0.054,0.378,0.19
0.231,0.238,0.188,0.056,0.378,0.19
0.231,0.238,0.188,0.056,0.378,0.19
0.228,0.235,0.212,0.059,0.378,0.167
0.226,0.234,0.212,0.06,0.378,0.167
0.222,0.23,0.212,0.059,0.378,0.167
0.224,0.231,0.212,0.058,0.378,0.167
0.222,0.23,0.212,0.06,0.378,0.167
0.226,0.233,0.212,0.059,0.378,0.167
0.21,0.212,0.113,0.029,0.28,0.167
0.21,0.212,0.113,0.029,0.28,0.167
0.21,0.212,0.106,0.028,0.273,0.167
0.211,0.213,0.106,0.027,0.273,0.167
0.213,0.214,0.093,0.025,0.273,0.18
0.215,0.216,0.093,0.024,0.273,0.18
0.215,0.217,0.093,0.024,0.273,0.18
0.215,0.216,0.093,0.024,0.273,0.18
0.218,0.219,0.09,0.021,0.273,0.183
0.217,0.218,0.09,0.021,0.273,0.183
0.223,0.224,0.094,0.028,0.277,0.183
0.224,0.225,0.094,0.028,0.277,0.183
0.22,0.222,0.094,0.023,0.277,0.183
0.221,0.222,0.094,0.023,0.277,0.183
0.225,0.226,0.068,0.019,0.277,0.209
0.226,0.227,0.068,0.019,0.277,0.209
0.218,0.221,0.138,0.033,0.277,0.138
0.219,0.221,0.138,0.032,0.277,0.138
0.226,0.229,0.141,0.037,0.28,0.138
0.235,0.239,0.164,0.043,0.302,0.138
0.232,0.236,0.164,0.041,0.302,0.138
0.234,0.238,0.164,0.041,0.302,0.138
0.226,0.231,0.164,0.047,0.302,0.138
0.222,0.227,0.164,0.049,0.302,0.138
0.223,0.228,0.164,0.049,0.302,0.138
0.215,0.222,0.164,0.053,0.302,0.138
0.225,0.23,0.145,0.046,0.302,0.157
0.225,0.23,0.145,0.046,0.302,0.157
0.22,0.224,0.145,0.043,0.302,0.157
0.211,0.213,0.092,0.033,0.249,0.157
0.209,0.211,0.092,0.031,0.249,0.157
0.203,0.205,0.076,0.029,0.233,0.157
0.212,0.214,0.096,0.028,0.253,0.157
0.218,0.219,0.096,0.026,0.253,0.157
0.225,0.228,0.146,0.037,0.303,0.157
0.24,0.242,0.119,0.036,0.303,0.184
0.24,0.242,0.119,0.036,0.303,0.184
0.234,0.238,0.136,0.042,0.303,0.168
0.245,0.25,0.164,0.051,0.331,0.168
0.247,0.252,0.164,0.05,0.331,0.168
0.24,0.247,0.172,0.056,0.331,0.16
0.238,0.245,0.172,0.059,0.331,0.16
0.227,0.236,0.187,0.065,0.331,0.144
0.229,0.238,0.187,0.065,0.331,0.144
0.212,0.222,0.199,0.066,0.331,0.133
0.199,0.208,0.199,0.059,0.331,0.133
0.193,0.201,0.199,0.059,0.331,0.133
0.191,0.2,0.199,0.06,0.331,0.133
0.174,0.178,0.123,0.038,0.255,0.133
0.167,0.169,0.123,0.032,0.255,0.133
0.176,0.181,0.125,0.041,0.257,0.133
0.185,0.191,0.125,0.047,0.257,0.133
0.19,0.195,0.125,0.045,0.257,0.133
0.19,0.195,0.125,0.045,0.257,0.133
0.194,0.198,0.101,0.041,0.257,0.156
0.194,0.199,0.101,0.041,0.257,0.156
0.194,0.199,0.101,0.041,0.257,0.156
0.205,0.209,0.104,0.043,0.26,0.156
0.213,0.217,0.097,0.04,0.26,0.163
0.221,0.224,0.095,0.037,0.26,0.166
0.214,0.217,0.095,0.036,0.26,0.166
0.208,0.211,0.095,0.034,0.26,0.166
0.223,0.228,0.17,0.05,0.335,0.166
0.229,0.236,0.17,0.058,0.335,0.166
0.238,0.245,0.17,0.056,0.335,0.166
