mean,RMS,ptp,std,max,min
0.168,0.175,0.134,0.05,0.24,0.106
0.163,0.171,0.134,0.05,0.24,0.106
0.158,0.166,0.134,0.049,0.24,0.106
0.144,0.15,0.128,0.043,0.227,0.099
0.144,0.151,0.128,0.043,0.227,0.099
0.146,0.152,0.128,0.042,0.227,0.099
0.136,0.14,0.128,0.035,0.227,0.099
0.138,0.142,0.128,0.034,0.227,0.099
0.13,0.131,0.055,0.017,0.154,0.099
0.129,0.13,0.049,0.016,0.148,0.099
0.131,0.132,0.049,0.016,0.148,0.099
0.128,0.129,0.049,0.016,0.148,0.099
0.126,0.126,0.049,0.015,0.148,0.099
0.13,0.13,0.035,0.012,0.148,0.113
0.132,0.133,0.035,0.013,0.148,0.113
0.134,0.134,0.035,0.014,0.148,0.113
0.136,0.136,0.035,0.012,0.148,0.113
0.136,0.137,0.035,0.012,0.148,0.113
0.135,0.136,0.035,0.011,0.148,0.113
0.135,0.135,0.035,0.01,0.148,0.113
0.132,0.133,0.041,0.013,0.148,0.107
0.132,0.133,0.042,0.014,0.148,0.106
0.13,0.131,0.042,0.016,0.148,0.106
0.134,0.136,0.075,0.022,0.18,0.106
0.131,0.133,0.075,0.022,0.18,0.106
0.13,0.131,0.075,0.021,0.18,0.106
0.131,0.133,0.075,0.022,0.18,0.106
0.139,0.143,0.107,0.033,0.213,0.106
0.136,0.14,0.107,0.034,0.213,0.106
0.133,0.138,0.107,0.035,0.213,0.106
0.138,0.142,0.107,0.035,0.213,0.106
0.14,0.144,0.107,0.033,0.213,0.106
0.142,0.145,0.103,0.032,0.213,0.11
0.135,0.138,0.104,0.03,0.213,0.109
0.138,0.141,0.104,0.03,0.213,0.109
0.14,0.143,0.104,0.03,0.213,0.109
0.137,0.14,0.104,0.031,0.213,0.109
0.129,0.131,0.047,0.018,0.156,0.109
0.133,0.134,0.047,0.017,0.156,0.109
0.135,0.136,0.047,0.015,0.156,0.109
0.136,0.137,0.052,0.016,0.161,0.109
0.142,0.143,0.075,0.021,0.184,0.109
0.148,0.15,0.075,0.024,0.184,0.109
0.149,0.151,0.067,0.021,0.184,0.118
0.146,0.148,0.068,0.023,0.184,0.117
0.149,0.151,0.068,0.025,0.184,0.117
0.15,0.152,0.068,0.024,0.184,0.117
0.147,0.15,0.071,0.026,0.184,0.114
0.15,0.152,0.071,0.027,0.184,0.114
0.154,0.156,0.071,0.027,0.184,0.114
0.149,0.152,0.074,0.03,0.184,0.111
0.147,0.15,0.074,0.029,0.184,0.111
0.146,0.149,0.068,0.028,0.178,0.111
0.146,0.149,0.068,0.028,0.178,0.111
0.148,0.15,0.068,0.026,0.178,0.111
0.147,0.149,0.063,0.025,0.174,0.111
0.15,0.152,0.063,0.024,0.174,0.111
0.155,0.156,0.063,0.021,0.174,0.111
0.157,0.159,0.083,0.024,0.194,0.111
0.155,0.157,0.083,0.023,0.194,0.111
0.163,0.164,0.067,0.019,0.194,0.127
0.163,0.164,0.067,0.02,0.194,0.127
0.163,0.164,0.067,0.02,0.194,0.127
0.165,0.166,0.06,0.017,0.194,0.134
0.162,0.163,0.088,0.023,0.194,0.106
0.163,0.165,0.088,0.023,0.194,0.106
0.16,0.162,0.088,0.025,0.194,0.106
0.159,0.161,0.088,0.025,0.194,0.106
0.156,0.158,0.078,0.022,0.184,0.106
0.157,0.159,0.078,0.023,0.184,0.106
0.157,0.158,0.074,0.022,0.179,0.106
0.152,0.154,0.074,0.023,0.179,0.106
0.151,0.153,0.074,0.022,0.179,0.106
0.151,0.153,0.074,0.022,0.179,0.106
0.158,0.159,0.052,0.017,0.179,0.127
0.155,0.155,0.052,0.016,0.179,0.127
0.156,0.157,0.052,0.015,0.179,0.127
0.155,0.156,0.052,0.015,0.179,0.127
0.15,0.151,0.066,0.019,0.179,0.114
0.151,0.153,0.066,0.02,0.179,0.114
0.149,0.15,0.063,0.018,0.176,0.114
0.154,0.155,0.064,0.019,0.177,0.114
0.155,0.156,0.064,0.02,0.177,0.114
0.155,0.156,0.064,0.02,0.177,0.114
0.153,0.154,0.064,0.019,0.177,0.114
0.153,0.154,0.064,0.019,0.177,0.114
0.15,0.152,0.064,0.022,0.177,0.114
0.151,0.153,0.064,0.022,0.177,0.114
0.153,0.154,0.064,0.02,0.177,0.114
0.148,0.15,0.064,0.019,0.177,0.114
0.143,0.145,0.067,0.022,0.177,0.111
0.142,0.143,0.067,0.02,0.177,0.111
0.138,0.139,0.048,0.016,0.159,0.111
0.137,0.138,0.048,0.016,0.159,0.111
0.138,0.139,0.048,0.016,0.159,0.111
0.141,0.142,0.066,0.02,0.176,0.111
0.147,0.148,0.066,0.02,0.176,0.111
0.145,0.147,0.066,0.02,0.176,0.111
0.147,0.148,0.066,0.02,0.176,0.111
0.15,0.152,0.066,0.02,0.176,0.111
0.15,0.151,0.075,0.022,0.176,0.102
0.15,0.152,0.075,0.022,0.176,0.102
0.153,0.154,0.075,0.023,0.176,0.102
0.153,0.154,0.075,0.022,0.176,0.102
0.155,0.157,0.075,0.024,0.177,0.102
0.152,0.153,0.075,0.023,0.177,0.102
0.152,0.153,0.075,0.022,0.177,0.102
0.155,0.156,0.075,0.023,0.177,0.102
0.155,0.157,0.075,0.022,0.177,0.102
0.153,0.154,0.075,0.022,0.177,0.102
0.157,0.158,0.044,0.014,0.177,0.133
0.155,0.156,0.044,0.014,0.177,0.133
0.152,0.153,0.044,0.015,0.177,0.133
0.153,0.153,0.043,0.015,0.177,0.134
0.143,0.145,0.089,0.023,0.175,0.085
0.14,0.142,0.089,0.024,0.175,0.085
0.134,0.136,0.084,0.023,0.17,0.085
0.135,0.137,0.088,0.023,0.174,0.085
0.129,0.131,0.088,0.027,0.174,0.085
0.127,0.13,0.088,0.026,0.174,0.085
0.132,0.136,0.106,0.032,0.191,0.085
0.133,0.137,0.106,0.033,0.191,0.085
0.133,0.137,0.106,0.033,0.191,0.085
0.133,0.137,0.106,0.033,0.191,0.085
0.139,0.142,0.103,0.029,0.191,0.088
0.143,0.146,0.103,0.028,0.191,0.088
0.146,0.148,0.103,0.026,0.191,0.088
0.145,0.148,0.103,0.026,0.191,0.088
0.149,0.15,0.069,0.019,0.191,0.123
0.148,0.149,0.069,0.02,0.191,0.123
0.145,0.146,0.048,0.016,0.171,0.123
0.144,0.145,0.048,0.015,0.171,0.123
0.147,0.148,0.048,0.017,0.171,0.123
0.149,0.149,0.048,0.017,0.171,0.123
0.148,0.149,0.048,0.017,0.171,0.123
0.145,0.147,0.048,0.018,0.171,0.123
0.144,0.145,0.048,0.019,0.171,0.123
0.141,0.142,0.048,0.016,0.171,0.123
0.145,0.146,0.048,0.016,0.171,0.123
0.147,0.148,0.041,0.014,0.171,0.129
0.145,0.146,0.041,0.013,0.171,0.129
0.146,0.147,0.041,0.013,0.171,0.129
0.145,0.146,0.032,0.012,0.162,0.129
0.147,0.147,0.032,0.013,0.162,0.129
0.15,0.15,0.033,0.013,0.163,0.129
0.152,0.153,0.033,0.011,0.163,0.129
0.155,0.155,0.023,0.008,0.163,0.14
0.152,0.153,0.048,0.014,0.163,0.115
0.148,0.149,0.048,0.017,0.163,0.115
0.146,0.147,0.048,0.018,0.163,0.115
0.147,0.148,0.048,0.019,0.163,0.115
0.145,0.147,0.048,0.018,0.163,0.115
0.141,0.142,0.048,0.019,0.163,0.115
0.139,0.14,0.048,0.018,0.163,0.115
0.139,0.141,0.054,0.019,0.169,0.115
0.139,0.141,0.054,0.019,0.169,0.115
0.14,0.141,0.054,0.019,0.169,0.115
0.141,0.142,0.051,0.018,0.169,0.118
0.141,0.142,0.051,0.017,0.169,0.118
0.144,0.145,0.051,0.016,0.169,0.118
0.148,0.149,0.075,0.022,0.193,0.118
0.147,0.149,0.075,0.022,0.193,0.118
0.149,0.15,0.069,0.02,0.193,0.125
0.148,0.15,0.069,0.021,0.193,0.125
0.146,0.147,0.069,0.02,0.193,0.125
0.143,0.145,0.069,0.019,0.193,0.125
0.142,0.143,0.069,0.019,0.193,0.125
0.142,0.143,0.069,0.019,0.193,0.125
0.144,0.145,0.064,0.018,0.193,0.129
0.143,0.144,0.064,0.017,0.193,0.129
0.139,0.14,0.025,0.007,0.155,0.129
0.139,0.139,0.025,0.007,0.155,0.129
0.141,0.142,0.025,0.008,0.155,0.129
0.142,0.142,0.025,0.008,0.155,0.129
0.143,0.143,0.026,0.009,0.156,0.129
0.146,0.146,0.035,0.01,0.165,0.129
0.148,0.149,0.035,0.012,0.165,0.129
0.148,0.148,0.041,0.013,0.165,0.124
0.148,0.148,0.041,0.013,0.165,0.124
0.148,0.149,0.041,0.013,0.165,0.124
0.149,0.149,0.041,0.013,0.165,0.124
0.15,0.151,0.041,0.012,0.165,0.124
0.152,0.152,0.048,0.014,0.172,0.124
0.155,0.156,0.048,0.014,0.172,0.124
0.154,0.154,0.048,0.015,0.172,0.124
0.149,0.15,0.056,0.018,0.172,0.116
0.15,0.151,0.057,0.019,0.173,0.116
0.151,0.152,0.057,0.017,0.173,0.116
0.143,0.146,0.11,0.032,0.173,0.063
0.139,0.143,0.11,0.033,0.173,0.063
0.137,0.141,0.11,0.033,0.173,0.063
0.139,0.143,0.11,0.034,0.173,0.063
0.131,0.135,0.11,0.035,0.173,0.063
0.126,0.13,0.11,0.033,0.173,0.063
0.128,0.133,0.11,0.034,0.173,0.063
0.133,0.137,0.11,0.035,0.173,0.063
0.131,0.136,0.107,0.034,0.17,0.063
0.132,0.136,0.107,0.034,0.17,0.063
0.14,0.143,0.083,0.025,0.17,0.086
0.143,0.145,0.083,0.023,0.17,0.086
0.145,0.147,0.083,0.024,0.17,0.086
0.14,0.142,0.077,0.023,0.164,0.086
0.146,0.147,0.042,0.015,0.164,0.122
0.148,0.148,0.042,0.013,0.164,0.122
0.138,0.14,0.097,0.027,0.163,0.066
0.134,0.137,0.097,0.026,0.163,0.066
0.133,0.135,0.097,0.025,0.163,0.066
0.134,0.136,0.097,0.025,0.163,0.066
0.135,0.138,0.097,0.026,0.163,0.066
0.136,0.139,0.097,0.026,0.163,0.066
0.135,0.137,0.093,0.025,0.159,0.066
0.136,0.138,0.093,0.025,0.159,0.066
0.138,0.14,0.094,0.026,0.16,0.066
0.139,0.141,0.094,0.026,0.16,0.066
0.146,0.146,0.034,0.01,0.16,0.125
0.15,0.151,0.038,0.011,0.173,0.134
0.153,0.153,0.038,0.012,0.173,0.134
0.152,0.152,0.038,0.014,0.173,0.134
0.153,0.153,0.038,0.014,0.173,0.134
0.151,0.152,0.038,0.015,0.173,0.134
0.15,0.151,0.038,0.016,0.173,0.134
0.145,0.147,0.092,0.026,0.173,0.08
0.132,0.138,0.135,0.041,0.173,0.037
0.121,0.131,0.135,0.049,0.173,0.037
0.12,0.13,0.135,0.049,0.173,0.037
0.116,0.125,0.135,0.046,0.173,0.037
0.109,0.117,0.13,0.042,0.168,0.037
0.111,0.12,0.13,0.044,0.168,0.037
0.103,0.11,0.12,0.041,0.157,0.037
0.101,0.109,0.12,0.039,0.157,0.037
0.099,0.106,0.12,0.038,0.157,0.037
0.109,0.118,0.143,0.044,0.18,0.037
0.123,0.13,0.143,0.041,0.18,0.037
0.134,0.137,0.099,0.03,0.18,0.081
0.135,0.138,0.099,0.03,0.18,0.081
0.137,0.14,0.099,0.031,0.18,0.081
0.142,0.145,0.099,0.028,0.18,0.081
0.138,0.141,0.099,0.03,0.18,0.081
0.147,0.149,0.073,0.024,0.18,0.108
0.151,0.152,0.073,0.023,0.18,0.108
0.152,0.154,0.073,0.021,0.18,0.108
0.151,0.152,0.069,0.019,0.176,0.108
0.149,0.15,0.064,0.017,0.172,0.108
0.15,0.151,0.064,0.017,0.172,0.108
0.154,0.155,0.064,0.018,0.172,0.108
0.152,0.153,0.064,0.018,0.172,0.108
0.15,0.151,0.064,0.019,0.172,0.108
0.154,0.155,0.04,0.013,0.172,0.131
0.154,0.154,0.04,0.013,0.172,0.131
0.154,0.154,0.04,0.013,0.172,0.131
0.156,0.156,0.04,0.012,0.172,0.131
0.151,0.152,0.052,0.015,0.172,0.12
0.151,0.152,0.052,0.016,0.172,0.12
0.151,0.152,0.052,0.015,0.172,0.12
0.15,0.151,0.05,0.015,0.17,0.12
0.149,0.15,0.05,0.016,0.17,0.12
0.148,0.149,0.05,0.017,0.17,0.12
0.145,0.146,0.05,0.019,0.17,0.12
0.143,0.144,0.043,0.017,0.163,0.12
0.141,0.142,0.043,0.017,0.163,0.12
0.136,0.137,0.051,0.018,0.163,0.112
0.139,0.14,0.051,0.017,0.163,0.112
0.141,0.142,0.068,0.02,0.179,0.112
0.143,0.145,0.068,0.023,0.179,0.112
0.141,0.143,0.068,0.022,0.179,0.112
0.143,0.145,0.068,0.022,0.179,0.112
0.144,0.146,0.068,0.021,0.179,0.112
0.147,0.148,0.068,0.019,0.179,0.112
0.146,0.148,0.068,0.019,0.179,0.112
0.145,0.147,0.068,0.02,0.179,0.112
0.147,0.148,0.05,0.017,0.179,0.129
0.148,0.149,0.05,0.017,0.179,0.129
0.143,0.143,0.053,0.015,0.179,0.126
0.142,0.143,0.05,0.014,0.176,0.126
0.148,0.149,0.071,0.022,0.197,0.126
