mean,RMS,ptp,std,max,min
0.704,1.222,4.89,1.0,2.798,-2.092
0.691,1.237,4.89,1.026,2.798,-2.092
0.716,1.264,5.257,1.042,3.165,-2.092
0.698,1.229,5.257,1.012,3.165,-2.092
0.699,1.22,5.257,1.001,3.165,-2.092
0.729,1.193,4.385,0.944,3.165,-1.22
0.709,1.165,4.385,0.924,3.165,-1.22
0.661,1.101,4.385,0.881,3.165,-1.22
0.613,1.042,4.523,0.843,3.165,-1.358
0.553,0.976,5.143,0.805,3.165,-1.978
0.579,1.011,5.143,0.829,3.165,-1.978
0.573,1.026,5.143,0.852,3.165,-1.978
0.512,1.041,5.074,0.907,3.096,-1.978
0.523,1.053,5.074,0.914,3.096,-1.978
0.504,1.078,4.615,0.953,2.637,-1.978
0.522,1.125,4.615,0.997,2.637,-1.978
0.455,1.159,4.569,1.066,2.591,-1.978
0.393,1.212,4.706,1.146,2.591,-2.115
0.376,1.257,4.706,1.199,2.591,-2.115
0.373,1.277,4.706,1.222,2.591,-2.115
0.36,1.281,4.706,1.229,2.591,-2.115
0.31,1.276,4.775,1.238,2.66,-2.115
0.299,1.259,4.775,1.223,2.66,-2.115
0.28,1.273,5.166,1.242,3.05,-2.115
0.223,1.243,5.166,1.223,3.05,-2.115
0.126,1.206,5.166,1.199,3.05,-2.115
0.142,1.164,5.166,1.156,3.05,-2.115
0.126,1.107,5.005,1.1,3.05,-1.955
0.056,1.033,4.844,1.032,3.05,-1.794
-0.018,0.967,5.441,0.966,3.05,-2.391
-0.093,0.933,5.441,0.928,3.05,-2.391
-0.093,0.888,5.441,0.883,3.05,-2.391
-0.164,0.903,5.717,0.888,3.05,-2.666
-0.244,0.846,4.959,0.81,2.293,-2.666
-0.309,0.852,4.959,0.794,2.293,-2.666
-0.287,0.82,4.729,0.768,2.063,-2.666
-0.288,0.803,4.11,0.75,1.443,-2.666
-0.294,0.815,4.11,0.76,1.443,-2.666
-0.3,0.881,4.729,0.829,1.443,-3.286
-0.343,0.966,5.372,0.903,2.086,-3.286
-0.318,0.994,5.372,0.941,2.086,-3.286
-0.343,1.05,5.372,0.993,2.086,-3.286
