mean,RMS,ptp,std,max,min
-1.131,1.217,2.481,0.448,0.748,-1.733
-0.048,0.249,0.906,0.245,0.342,-0.564
0.682,0.975,2.981,0.697,1.582,-1.399
-1.025,1.326,3.005,0.841,0.724,-2.282
0.39,0.785,3.339,0.681,2.298,-1.041
0.572,1.104,2.838,0.945,2.274,-0.564
-0.037,0.758,2.767,0.757,1.94,-0.827
-0.019,0.957,3.005,0.957,1.725,-1.28
0.231,0.989,3.22,0.962,1.869,-1.351
0.331,0.996,2.838,0.94,1.725,-1.113
0.39,1.004,3.339,0.925,1.773,-1.566
0.72,1.116,2.695,0.853,1.892,-0.803
0.301,1.08,3.53,1.037,1.773,-1.757
-0.074,1.227,3.625,1.225,1.487,-2.139
0.313,0.883,2.648,0.825,1.248,-1.399
0.41,0.87,2.576,0.768,1.391,-1.184
0.394,0.86,2.814,0.765,2.393,-0.421
0.193,0.524,2.171,0.488,1.869,-0.302
0.542,0.899,2.767,0.717,2.226,-0.54
0.182,0.856,3.172,0.836,2.25,-0.922
0.126,0.602,2.814,0.589,2.059,-0.755
0.189,0.939,3.22,0.92,2.131,-1.089
0.612,1.05,2.624,0.853,2.226,-0.397
0.161,0.726,3.196,0.708,2.369,-0.827
0.232,0.883,3.673,0.852,2.823,-0.851
0.685,1.268,3.816,1.067,2.751,-1.065
0.905,1.119,2.886,0.658,2.656,-0.23
-0.871,1.237,3.077,0.878,0.867,-2.21
-0.822,1.03,2.671,0.62,0.962,-1.709
