mean,RMS,ptp,std,max,min
0.108,0.108,0.026,0.008,0.118,0.092
0.105,0.106,0.039,0.012,0.118,0.079
0.104,0.105,0.038,0.011,0.117,0.079
0.106,0.107,0.05,0.014,0.129,0.079
0.109,0.11,0.055,0.016,0.134,0.079
0.108,0.11,0.055,0.016,0.134,0.079
0.106,0.107,0.055,0.017,0.134,0.079
0.109,0.11,0.055,0.016,0.134,0.079
0.109,0.11,0.055,0.017,0.134,0.079
0.111,0.113,0.055,0.017,0.134,0.079
0.113,0.115,0.055,0.018,0.134,0.079
0.115,0.116,0.042,0.014,0.134,0.092
0.116,0.117,0.042,0.014,0.134,0.092
0.114,0.115,0.042,0.014,0.134,0.092
0.109,0.11,0.047,0.015,0.13,0.083
0.111,0.112,0.047,0.014,0.13,0.083
0.113,0.114,0.047,0.013,0.13,0.083
0.113,0.113,0.047,0.012,0.13,0.083
0.115,0.116,0.059,0.015,0.142,0.083
0.115,0.116,0.059,0.015,0.142,0.083
0.113,0.114,0.059,0.014,0.142,0.083
0.116,0.117,0.059,0.014,0.142,0.083
0.116,0.117,0.059,0.014,0.142,0.083
0.117,0.118,0.059,0.014,0.142,0.083
0.119,0.119,0.043,0.01,0.142,0.099
0.119,0.119,0.043,0.01,0.142,0.099
0.119,0.119,0.043,0.011,0.142,0.099
0.118,0.119,0.043,0.011,0.142,0.099
0.114,0.115,0.027,0.008,0.126,0.099
0.115,0.115,0.027,0.009,0.126,0.099
0.114,0.115,0.027,0.009,0.126,0.099
0.115,0.115,0.029,0.009,0.128,0.099
0.112,0.112,0.039,0.012,0.128,0.089
0.111,0.112,0.039,0.011,0.128,0.089
0.111,0.112,0.039,0.011,0.128,0.089
0.111,0.112,0.039,0.011,0.128,0.089
0.113,0.113,0.039,0.012,0.128,0.089
0.113,0.114,0.039,0.012,0.128,0.089
0.117,0.118,0.055,0.014,0.144,0.089
0.116,0.117,0.055,0.014,0.144,0.089
0.117,0.118,0.055,0.014,0.144,0.089
0.104,0.111,0.144,0.037,0.144,0.0
0.11,0.117,0.147,0.039,0.147,0.0
0.108,0.115,0.147,0.039,0.147,0.0
0.11,0.116,0.147,0.039,0.147,0.0
0.109,0.115,0.147,0.039,0.147,0.0
0.098,0.108,0.147,0.047,0.147,0.0
0.098,0.108,0.147,0.046,0.147,0.0
0.093,0.103,0.147,0.044,0.147,0.0
0.092,0.102,0.147,0.043,0.147,0.0
0.092,0.101,0.147,0.043,0.147,0.0
0.104,0.109,0.128,0.031,0.147,0.019
0.101,0.105,0.109,0.028,0.128,0.019
0.104,0.108,0.109,0.029,0.128,0.019
0.104,0.108,0.109,0.03,0.128,0.019
0.105,0.109,0.109,0.03,0.128,0.019
0.114,0.115,0.026,0.008,0.128,0.102
0.115,0.115,0.026,0.008,0.128,0.102
0.116,0.116,0.02,0.007,0.128,0.108
0.116,0.116,0.02,0.007,0.128,0.108
0.117,0.117,0.017,0.006,0.128,0.111
0.115,0.115,0.021,0.005,0.128,0.107
0.116,0.116,0.021,0.006,0.128,0.107
0.115,0.115,0.014,0.004,0.121,0.107
0.114,0.114,0.014,0.004,0.121,0.107
0.113,0.113,0.015,0.005,0.121,0.106
0.114,0.114,0.015,0.005,0.121,0.106
0.114,0.115,0.015,0.005,0.121,0.106
0.114,0.115,0.015,0.005,0.121,0.106
0.115,0.115,0.015,0.005,0.121,0.106
0.115,0.115,0.015,0.005,0.121,0.106
0.116,0.116,0.015,0.005,0.121,0.106
0.115,0.115,0.016,0.006,0.121,0.105
0.113,0.113,0.016,0.006,0.121,0.105
0.114,0.114,0.016,0.006,0.121,0.105
0.113,0.113,0.021,0.007,0.121,0.1
0.113,0.113,0.024,0.007,0.124,0.1
0.105,0.108,0.087,0.024,0.124,0.037
0.105,0.108,0.087,0.024,0.124,0.037
0.107,0.11,0.095,0.025,0.132,0.037
0.107,0.11,0.095,0.025,0.132,0.037
0.106,0.109,0.095,0.025,0.132,0.037
0.109,0.112,0.097,0.026,0.134,0.037
0.109,0.112,0.097,0.026,0.134,0.037
0.11,0.113,0.097,0.026,0.134,0.037
0.111,0.114,0.097,0.026,0.134,0.037
0.11,0.112,0.097,0.026,0.134,0.037
0.118,0.118,0.029,0.009,0.134,0.105
0.117,0.118,0.029,0.009,0.134,0.105
0.116,0.116,0.029,0.007,0.134,0.105
0.115,0.115,0.032,0.008,0.134,0.102
0.115,0.115,0.032,0.008,0.134,0.102
0.112,0.112,0.021,0.007,0.119,0.098
0.114,0.114,0.03,0.009,0.128,0.098
0.113,0.114,0.03,0.008,0.128,0.098
0.114,0.114,0.03,0.009,0.128,0.098
0.116,0.116,0.03,0.009,0.128,0.098
0.114,0.114,0.03,0.01,0.128,0.098
0.114,0.114,0.03,0.01,0.128,0.098
0.114,0.115,0.03,0.01,0.128,0.098
0.116,0.116,0.03,0.01,0.128,0.098
0.118,0.119,0.046,0.013,0.144,0.098
0.122,0.123,0.046,0.012,0.144,0.098
0.123,0.124,0.046,0.013,0.144,0.098
0.125,0.125,0.046,0.013,0.144,0.098
0.124,0.125,0.046,0.013,0.144,0.098
0.124,0.125,0.046,0.013,0.144,0.098
0.127,0.128,0.031,0.01,0.144,0.113
0.129,0.13,0.031,0.009,0.144,0.113
0.13,0.13,0.031,0.009,0.144,0.113
0.133,0.133,0.031,0.008,0.144,0.113
0.132,0.132,0.029,0.008,0.142,0.113
0.133,0.133,0.03,0.009,0.143,0.113
0.133,0.133,0.03,0.008,0.143,0.113
0.135,0.135,0.037,0.01,0.15,0.113
0.136,0.137,0.024,0.007,0.15,0.126
0.137,0.137,0.021,0.006,0.15,0.129
0.135,0.136,0.033,0.009,0.15,0.117
0.136,0.137,0.033,0.009,0.15,0.117
0.138,0.139,0.033,0.009,0.15,0.117
0.136,0.137,0.033,0.01,0.15,0.117
0.134,0.135,0.033,0.012,0.15,0.117
0.132,0.132,0.033,0.012,0.15,0.117
0.129,0.13,0.039,0.013,0.15,0.111
0.126,0.126,0.037,0.012,0.148,0.111
0.124,0.125,0.037,0.012,0.148,0.111
0.124,0.124,0.037,0.012,0.148,0.111
0.125,0.125,0.037,0.012,0.148,0.111
0.123,0.123,0.037,0.01,0.148,0.111
0.119,0.119,0.024,0.007,0.129,0.105
0.119,0.119,0.024,0.007,0.129,0.105
0.12,0.12,0.024,0.008,0.129,0.105
0.112,0.115,0.093,0.026,0.129,0.036
0.114,0.118,0.103,0.028,0.139,0.036
0.115,0.118,0.103,0.028,0.139,0.036
0.115,0.119,0.103,0.028,0.139,0.036
0.114,0.117,0.103,0.027,0.139,0.036
0.113,0.116,0.103,0.027,0.139,0.036
0.115,0.118,0.106,0.028,0.142,0.036
0.117,0.12,0.106,0.028,0.142,0.036
0.117,0.12,0.106,0.028,0.142,0.036
0.118,0.121,0.106,0.029,0.142,0.036
0.127,0.127,0.027,0.009,0.142,0.115
0.128,0.128,0.032,0.01,0.147,0.115
0.129,0.129,0.032,0.01,0.147,0.115
0.131,0.131,0.032,0.01,0.147,0.115
0.133,0.133,0.028,0.008,0.147,0.119
0.134,0.134,0.022,0.007,0.147,0.125
0.131,0.132,0.036,0.009,0.147,0.111
0.132,0.132,0.036,0.009,0.147,0.111
0.132,0.132,0.036,0.009,0.147,0.111
0.132,0.132,0.036,0.009,0.147,0.111
0.13,0.131,0.037,0.011,0.147,0.11
0.128,0.128,0.03,0.01,0.14,0.11
0.129,0.13,0.033,0.011,0.143,0.11
0.129,0.129,0.033,0.011,0.143,0.11
0.13,0.13,0.033,0.011,0.143,0.11
0.127,0.128,0.033,0.012,0.143,0.11
0.13,0.13,0.033,0.011,0.143,0.11
0.129,0.13,0.033,0.01,0.143,0.11
0.131,0.131,0.033,0.011,0.143,0.11
0.13,0.13,0.033,0.01,0.143,0.11
0.132,0.132,0.029,0.008,0.143,0.114
0.133,0.133,0.029,0.008,0.143,0.114
0.133,0.133,0.029,0.008,0.143,0.114
0.133,0.133,0.029,0.008,0.143,0.114
0.132,0.132,0.029,0.007,0.143,0.114
0.135,0.135,0.015,0.005,0.143,0.128
0.134,0.135,0.015,0.005,0.143,0.128
0.134,0.134,0.018,0.006,0.143,0.125
0.133,0.133,0.018,0.006,0.143,0.125
0.134,0.134,0.018,0.005,0.143,0.125
0.135,0.135,0.019,0.006,0.144,0.125
0.136,0.136,0.019,0.006,0.144,0.125
0.136,0.136,0.02,0.006,0.145,0.125
0.135,0.135,0.02,0.007,0.145,0.125
0.135,0.135,0.02,0.007,0.145,0.125
0.135,0.135,0.02,0.008,0.145,0.125
0.136,0.136,0.02,0.008,0.145,0.125
0.138,0.139,0.027,0.008,0.153,0.126
0.14,0.14,0.027,0.009,0.153,0.126
0.141,0.141,0.027,0.008,0.153,0.126
0.141,0.141,0.027,0.008,0.153,0.126
0.142,0.142,0.027,0.009,0.153,0.126
0.14,0.14,0.028,0.01,0.153,0.125
0.14,0.141,0.028,0.009,0.153,0.125
0.141,0.141,0.028,0.009,0.153,0.125
0.139,0.139,0.028,0.01,0.153,0.125
0.139,0.139,0.028,0.01,0.153,0.125
0.135,0.135,0.034,0.011,0.15,0.116
0.133,0.133,0.034,0.01,0.15,0.116
0.133,0.134,0.034,0.01,0.15,0.116
0.132,0.133,0.034,0.01,0.15,0.116
0.13,0.13,0.032,0.008,0.148,0.116
0.132,0.132,0.032,0.008,0.148,0.116
0.132,0.132,0.032,0.008,0.148,0.116
0.134,0.134,0.032,0.009,0.148,0.116
0.136,0.136,0.034,0.01,0.15,0.116
0.135,0.135,0.034,0.011,0.15,0.116
0.138,0.138,0.023,0.009,0.15,0.127
0.137,0.138,0.026,0.009,0.15,0.124
0.136,0.136,0.026,0.009,0.15,0.124
0.138,0.138,0.026,0.009,0.15,0.124
0.14,0.14,0.028,0.01,0.152,0.124
0.14,0.14,0.028,0.01,0.152,0.124
0.142,0.143,0.028,0.01,0.152,0.124
0.143,0.144,0.033,0.011,0.157,0.124
0.143,0.144,0.033,0.011,0.157,0.124
0.146,0.147,0.033,0.01,0.157,0.124
0.146,0.146,0.033,0.01,0.157,0.124
0.149,0.149,0.023,0.007,0.157,0.134
0.149,0.149,0.03,0.008,0.157,0.127
0.148,0.149,0.03,0.008,0.157,0.127
0.148,0.148,0.03,0.008,0.157,0.127
0.149,0.149,0.03,0.008,0.157,0.127
0.149,0.15,0.03,0.008,0.157,0.127
0.149,0.15,0.031,0.009,0.158,0.127
0.149,0.149,0.031,0.009,0.158,0.127
0.149,0.149,0.033,0.009,0.16,0.127
0.15,0.15,0.033,0.009,0.16,0.127
0.148,0.148,0.033,0.009,0.16,0.127
0.149,0.15,0.023,0.007,0.16,0.137
0.148,0.149,0.023,0.008,0.16,0.137
0.147,0.148,0.023,0.009,0.16,0.137
0.147,0.147,0.023,0.009,0.16,0.137
0.145,0.145,0.023,0.008,0.16,0.137
0.143,0.143,0.023,0.007,0.16,0.137
0.143,0.143,0.023,0.007,0.16,0.137
0.14,0.141,0.016,0.004,0.153,0.137
0.139,0.139,0.006,0.002,0.143,0.137
0.139,0.139,0.007,0.002,0.143,0.136
0.139,0.139,0.007,0.002,0.143,0.136
0.139,0.139,0.007,0.002,0.143,0.136
