mean,RMS,ptp,std,max,min
0.435,0.441,0.244,0.077,0.524,0.28
0.439,0.445,0.244,0.077,0.524,0.28
0.431,0.437,0.238,0.072,0.518,0.28
0.423,0.428,0.224,0.065,0.504,0.28
0.424,0.428,0.224,0.065,0.504,0.28
0.442,0.444,0.13,0.044,0.504,0.374
0.442,0.444,0.129,0.044,0.504,0.375
0.44,0.442,0.122,0.041,0.497,0.375
0.429,0.431,0.138,0.046,0.497,0.359
0.404,0.41,0.229,0.064,0.485,0.255
0.403,0.408,0.229,0.064,0.485,0.255
0.392,0.398,0.229,0.064,0.485,0.255
0.4,0.407,0.274,0.074,0.529,0.255
0.398,0.405,0.274,0.074,0.529,0.255
0.413,0.421,0.276,0.083,0.532,0.255
0.409,0.417,0.276,0.082,0.532,0.255
0.399,0.409,0.276,0.091,0.532,0.255
0.385,0.395,0.276,0.088,0.532,0.255
0.391,0.401,0.276,0.088,0.532,0.255
0.405,0.412,0.259,0.076,0.532,0.273
0.423,0.431,0.278,0.086,0.551,0.273
0.429,0.437,0.278,0.083,0.551,0.273
0.406,0.414,0.278,0.084,0.551,0.273
0.395,0.405,0.278,0.089,0.551,0.273
0.383,0.391,0.278,0.077,0.551,0.273
0.38,0.387,0.278,0.076,0.551,0.273
0.393,0.399,0.251,0.068,0.551,0.3
0.403,0.408,0.251,0.067,0.551,0.3
0.412,0.418,0.251,0.074,0.551,0.3
0.397,0.407,0.294,0.088,0.551,0.257
0.387,0.394,0.253,0.074,0.511,0.257
0.376,0.385,0.253,0.079,0.511,0.257
0.373,0.382,0.253,0.083,0.511,0.257
0.394,0.404,0.258,0.089,0.516,0.257
0.384,0.395,0.258,0.092,0.516,0.257
0.381,0.392,0.258,0.092,0.516,0.257
0.375,0.387,0.258,0.093,0.516,0.257
0.383,0.395,0.258,0.1,0.516,0.257
0.367,0.378,0.258,0.09,0.516,0.257
0.367,0.378,0.261,0.091,0.516,0.254
0.351,0.361,0.261,0.088,0.516,0.254
0.35,0.361,0.261,0.089,0.516,0.254
0.351,0.362,0.261,0.087,0.516,0.254
0.34,0.348,0.258,0.071,0.513,0.254
0.338,0.346,0.258,0.072,0.513,0.254
0.332,0.34,0.258,0.073,0.513,0.254
0.326,0.335,0.258,0.074,0.513,0.254
0.325,0.333,0.246,0.071,0.5,0.254
0.342,0.354,0.264,0.092,0.518,0.254
0.35,0.361,0.24,0.087,0.518,0.278
0.348,0.359,0.246,0.088,0.518,0.273
0.345,0.357,0.261,0.091,0.518,0.257
0.368,0.382,0.261,0.101,0.518,0.257
0.382,0.399,0.286,0.114,0.543,0.257
0.397,0.412,0.286,0.111,0.543,0.257
0.394,0.41,0.286,0.114,0.543,0.257
0.418,0.433,0.286,0.114,0.543,0.257
0.406,0.421,0.286,0.111,0.543,0.257
0.397,0.41,0.286,0.105,0.543,0.257
0.413,0.427,0.286,0.107,0.543,0.257
0.431,0.442,0.286,0.096,0.543,0.257
0.439,0.447,0.274,0.084,0.543,0.27
0.44,0.448,0.274,0.085,0.543,0.27
0.423,0.43,0.254,0.079,0.524,0.27
0.414,0.422,0.254,0.081,0.524,0.27
0.431,0.436,0.185,0.065,0.524,0.339
0.427,0.431,0.181,0.059,0.52,0.339
0.428,0.432,0.181,0.058,0.52,0.339
0.421,0.426,0.181,0.063,0.52,0.339
0.408,0.412,0.181,0.057,0.52,0.339
0.397,0.401,0.181,0.059,0.52,0.339
0.415,0.421,0.185,0.066,0.524,0.339
0.414,0.419,0.185,0.065,0.524,0.339
0.409,0.415,0.205,0.07,0.524,0.319
0.416,0.421,0.205,0.068,0.524,0.319
0.413,0.418,0.205,0.068,0.524,0.319
0.39,0.398,0.276,0.08,0.524,0.248
0.38,0.389,0.276,0.085,0.524,0.248
0.381,0.39,0.276,0.084,0.524,0.248
0.369,0.381,0.276,0.093,0.524,0.248
0.373,0.385,0.276,0.093,0.524,0.248
0.375,0.387,0.29,0.095,0.538,0.248
0.373,0.384,0.29,0.093,0.538,0.248
0.375,0.386,0.29,0.091,0.538,0.248
0.371,0.381,0.29,0.09,0.538,0.248
0.364,0.375,0.29,0.089,0.538,0.248
0.37,0.379,0.29,0.083,0.538,0.248
0.372,0.38,0.29,0.082,0.538,0.248
