mean,RMS,ptp,std,max,min
-0.577,0.768,3.095,0.506,0.926,-2.169
-0.726,0.837,2.488,0.417,0.319,-2.169
-0.193,0.515,3.011,0.477,1.076,-1.934
-0.607,0.897,3.419,0.66,1.076,-2.343
-0.791,0.885,2.656,0.396,0.704,-1.952
0.017,0.72,3.389,0.72,1.839,-1.55
1.182,1.254,2.326,0.419,2.266,-0.06
1.29,1.345,2.259,0.382,2.266,0.007
0.981,1.06,2.326,0.403,2.266,-0.06
1.065,1.123,2.572,0.358,2.512,-0.06
0.891,1.158,3.575,0.74,2.512,-1.063
-0.47,1.149,4.068,1.048,1.425,-2.643
-1.564,1.593,2.181,0.303,-0.462,-2.643
-0.786,1.177,4.345,0.876,1.779,-2.565
-0.439,0.728,3.708,0.581,1.359,-2.349
-0.337,0.5,2.578,0.37,1.016,-1.562
0.355,0.595,2.692,0.477,1.539,-1.153
