mean,RMS,ptp,std,max,min
0.911,0.956,1.359,0.288,1.427,0.068
0.529,0.614,1.384,0.312,1.059,-0.325
0.445,0.562,1.428,0.344,1.123,-0.305
0.928,0.985,1.443,0.331,1.614,0.171
1.417,1.452,1.369,0.318,1.991,0.622
0.293,0.386,1.286,0.251,0.931,-0.354
0.82,0.88,1.512,0.319,1.574,0.063
0.239,0.404,1.595,0.325,1.044,-0.551
-0.903,0.952,1.443,0.301,-0.143,-1.586
-1.732,1.758,1.359,0.303,-1.14,-2.499
-0.751,0.827,1.355,0.345,-0.148,-1.503
0.441,0.539,1.777,0.311,1.339,-0.438
0.712,0.777,1.35,0.311,1.29,-0.06
0.579,0.676,1.399,0.348,1.255,-0.143
-0.047,0.324,1.252,0.32,0.588,-0.664
-0.355,0.497,1.58,0.348,0.328,-1.253
-0.694,0.754,1.369,0.295,-0.045,-1.415
-2.387,2.403,1.507,0.275,-1.601,-3.108
