mean,RMS,ptp,std,max,min
0.304,0.309,0.195,0.056,0.4,0.204
0.306,0.311,0.195,0.054,0.4,0.204
0.313,0.318,0.195,0.053,0.4,0.204
0.31,0.315,0.195,0.054,0.4,0.204
0.323,0.326,0.129,0.041,0.4,0.271
0.31,0.312,0.091,0.034,0.362,0.271
0.317,0.319,0.091,0.033,0.362,0.271
0.311,0.313,0.091,0.033,0.362,0.271
0.304,0.305,0.071,0.029,0.342,0.271
0.309,0.311,0.12,0.038,0.391,0.271
0.302,0.305,0.162,0.045,0.391,0.229
0.305,0.308,0.162,0.044,0.391,0.229
0.292,0.297,0.183,0.051,0.391,0.208
0.293,0.298,0.183,0.051,0.391,0.208
0.284,0.289,0.183,0.051,0.391,0.208
0.294,0.299,0.183,0.056,0.391,0.208
0.29,0.295,0.183,0.054,0.391,0.208
0.293,0.298,0.183,0.054,0.391,0.208
0.293,0.298,0.183,0.054,0.391,0.208
0.28,0.284,0.158,0.044,0.366,0.208
0.29,0.293,0.158,0.042,0.366,0.208
0.297,0.301,0.161,0.048,0.369,0.208
0.305,0.308,0.127,0.039,0.369,0.242
0.31,0.312,0.127,0.039,0.369,0.242
0.309,0.311,0.14,0.041,0.369,0.23
0.304,0.306,0.14,0.037,0.369,0.23
0.313,0.317,0.166,0.046,0.396,0.23
0.312,0.315,0.166,0.047,0.396,0.23
0.306,0.31,0.166,0.052,0.396,0.23
0.303,0.308,0.166,0.055,0.396,0.23
0.299,0.304,0.166,0.054,0.396,0.23
0.287,0.291,0.166,0.051,0.396,0.23
0.283,0.288,0.166,0.051,0.396,0.23
0.281,0.285,0.166,0.049,0.396,0.23
0.285,0.289,0.165,0.046,0.396,0.231
0.28,0.284,0.165,0.045,0.396,0.231
0.264,0.265,0.077,0.025,0.308,0.231
0.267,0.269,0.094,0.031,0.324,0.231
0.273,0.275,0.094,0.03,0.324,0.231
0.277,0.278,0.094,0.027,0.324,0.231
0.277,0.279,0.094,0.027,0.324,0.231
0.275,0.277,0.1,0.031,0.324,0.225
0.279,0.281,0.1,0.03,0.324,0.225
0.277,0.278,0.1,0.029,0.324,0.225
0.268,0.271,0.136,0.039,0.324,0.189
0.264,0.267,0.136,0.04,0.324,0.189
0.272,0.275,0.136,0.04,0.324,0.189
0.273,0.276,0.143,0.041,0.331,0.189
0.26,0.265,0.165,0.051,0.331,0.166
0.256,0.261,0.165,0.052,0.331,0.166
0.259,0.265,0.165,0.054,0.331,0.166
0.27,0.276,0.17,0.058,0.336,0.166
0.274,0.281,0.171,0.061,0.337,0.166
0.264,0.272,0.171,0.067,0.337,0.166
0.268,0.275,0.171,0.064,0.337,0.166
0.269,0.276,0.171,0.063,0.337,0.166
0.271,0.279,0.171,0.065,0.337,0.166
0.27,0.278,0.171,0.064,0.337,0.166
0.282,0.287,0.16,0.054,0.337,0.177
0.281,0.286,0.16,0.055,0.337,0.177
0.275,0.28,0.16,0.053,0.337,0.177
0.261,0.266,0.16,0.053,0.337,0.177
0.253,0.258,0.152,0.047,0.329,0.177
0.255,0.259,0.139,0.045,0.329,0.191
0.25,0.255,0.147,0.049,0.329,0.183
0.25,0.255,0.147,0.049,0.329,0.183
0.237,0.241,0.144,0.043,0.326,0.183
0.243,0.249,0.199,0.056,0.382,0.183
0.249,0.257,0.199,0.064,0.382,0.183
0.259,0.268,0.199,0.067,0.382,0.183
0.265,0.274,0.199,0.069,0.382,0.183
0.272,0.28,0.199,0.065,0.382,0.183
0.277,0.285,0.199,0.066,0.382,0.183
0.287,0.293,0.199,0.06,0.382,0.183
0.297,0.301,0.179,0.049,0.382,0.203
0.305,0.308,0.179,0.046,0.382,0.203
0.305,0.309,0.174,0.045,0.382,0.208
0.285,0.289,0.167,0.051,0.346,0.179
0.269,0.275,0.147,0.054,0.325,0.179
0.263,0.268,0.145,0.051,0.323,0.179
0.25,0.256,0.145,0.052,0.323,0.179
0.251,0.257,0.145,0.053,0.323,0.179
0.24,0.245,0.145,0.049,0.323,0.179
0.249,0.258,0.202,0.064,0.381,0.179
0.247,0.255,0.202,0.063,0.381,0.179
0.235,0.243,0.202,0.058,0.381,0.179
0.24,0.247,0.202,0.058,0.381,0.179
0.249,0.255,0.195,0.055,0.381,0.186
0.256,0.261,0.195,0.051,0.381,0.186
0.256,0.261,0.195,0.051,0.381,0.186
0.264,0.268,0.175,0.045,0.381,0.206
0.262,0.265,0.175,0.045,0.381,0.206
0.278,0.282,0.171,0.051,0.381,0.21
0.26,0.264,0.157,0.041,0.366,0.209
0.264,0.267,0.157,0.042,0.366,0.209
0.267,0.27,0.157,0.039,0.366,0.209
0.262,0.266,0.157,0.042,0.366,0.209
0.27,0.275,0.157,0.049,0.366,0.209
0.271,0.275,0.157,0.049,0.366,0.209
0.27,0.274,0.157,0.049,0.366,0.209
0.277,0.282,0.157,0.052,0.366,0.209
0.279,0.283,0.157,0.052,0.366,0.209
0.268,0.271,0.137,0.043,0.346,0.209
0.275,0.278,0.133,0.038,0.346,0.213
0.267,0.27,0.138,0.043,0.346,0.208
