mean,RMS,ptp,std,max,min
0.429,1.044,2.82,0.951,2.087,-0.733
0.296,0.504,1.1,0.408,0.691,-0.409
-0.051,0.92,2.129,0.919,1.241,-0.888
0.087,0.146,0.31,0.117,0.226,-0.085
1.083,1.333,2.087,0.777,2.34,0.254
-0.381,0.486,0.888,0.301,-0.071,-0.959
-0.434,0.628,1.114,0.453,0.014,-1.1
-0.398,0.745,1.41,0.63,0.211,-1.198
-0.11,0.702,1.776,0.694,0.592,-1.184
0.273,0.834,2.073,0.788,0.775,-1.297
0.101,0.681,1.932,0.674,0.789,-1.142
0.144,0.475,1.128,0.453,0.733,-0.395
0.223,0.906,2.397,0.878,1.819,-0.578
0.166,0.8,1.974,0.783,1.269,-0.705
0.761,0.986,1.833,0.626,1.565,-0.268
0.161,1.295,3.567,1.285,1.311,-2.256
0.522,1.39,3.539,1.289,1.509,-2.03
0.254,0.881,2.425,0.843,1.325,-1.1
-0.313,0.892,2.312,0.836,1.184,-1.128
0.338,0.713,1.635,0.628,0.818,-0.818
0.118,1.22,3.525,1.214,2.213,-1.311
0.499,0.831,1.452,0.665,1.325,-0.127
-0.203,0.723,1.664,0.694,0.564,-1.1
-0.037,0.484,1.212,0.483,0.479,-0.733
-0.113,1.078,2.904,1.072,1.988,-0.916
0.073,0.959,2.608,0.956,1.819,-0.79
0.429,1.013,2.481,0.918,1.776,-0.705
0.341,1.022,2.749,0.963,1.635,-1.114
0.555,0.824,1.635,0.609,1.565,-0.071
0.189,1.026,2.495,1.009,1.255,-1.241
-0.358,0.608,1.297,0.491,0.07,-1.227
0.347,0.89,2.467,0.82,1.579,-0.888
1.714,2.033,2.806,1.093,2.721,-0.085
0.758,0.861,1.156,0.407,1.551,0.395
0.231,1.144,3.116,1.12,2.171,-0.945
0.417,0.913,2.199,0.812,1.452,-0.747
0.648,0.726,1.001,0.325,1.086,0.085
-0.35,1.0,2.665,0.937,1.41,-1.255
1.317,1.422,1.41,0.537,2.115,0.705
0.44,0.983,2.439,0.879,1.438,-1.001
0.412,0.895,2.115,0.794,1.847,-0.268
1.229,1.417,1.706,0.705,1.988,0.282
0.262,1.282,3.088,1.255,1.946,-1.142
0.513,1.294,3.468,1.188,2.312,-1.156
0.82,1.364,3.243,1.09,2.552,-0.691
0.823,1.089,1.946,0.712,1.537,-0.409
0.654,1.385,3.017,1.221,2.228,-0.79
1.018,1.569,3.313,1.195,2.213,-1.1
0.46,1.345,3.637,1.264,2.256,-1.382
1.108,1.402,2.143,0.859,2.143,-0.0
0.429,0.79,1.565,0.664,1.128,-0.437
0.231,1.166,3.412,1.143,1.79,-1.621
0.389,0.758,1.762,0.65,0.902,-0.86
0.324,0.584,1.325,0.486,0.719,-0.606
0.623,0.895,1.565,0.642,1.311,-0.254
0.251,0.517,1.198,0.452,0.789,-0.409
0.355,0.773,2.101,0.687,1.551,-0.55
-0.076,0.457,1.297,0.45,0.352,-0.945
0.093,0.512,1.551,0.504,0.888,-0.663
0.234,0.517,1.396,0.461,0.846,-0.55
-0.02,0.405,1.1,0.404,0.437,-0.663
0.485,1.173,3.017,1.069,1.593,-1.424
0.358,0.934,2.369,0.863,1.734,-0.635
1.088,1.586,2.411,1.154,2.072,-0.338
1.559,1.716,1.791,0.717,2.199,0.409
0.434,0.694,1.466,0.541,0.945,-0.522
0.465,1.101,2.749,0.998,1.593,-1.156
-0.857,0.863,0.282,0.098,-0.733,-1.015
-1.1,1.153,0.931,0.347,-0.775,-1.706
-0.527,0.747,1.452,0.529,0.324,-1.128
-0.883,0.906,0.564,0.203,-0.592,-1.156
-0.987,1.037,0.874,0.318,-0.55,-1.424
-0.519,0.714,1.114,0.491,-0.028,-1.142
-0.578,0.766,1.424,0.502,0.014,-1.41
-0.99,1.019,0.606,0.244,-0.775,-1.382
-1.153,1.356,2.242,0.713,-0.085,-2.326
-0.849,1.165,2.002,0.798,0.07,-1.932
-0.161,0.835,2.242,0.819,1.184,-1.057
-0.916,1.012,1.128,0.428,-0.071,-1.198
-0.603,0.782,1.241,0.497,0.07,-1.17
-0.697,0.824,1.269,0.44,-0.268,-1.537
0.045,0.933,2.439,0.932,1.198,-1.241
-0.491,0.779,1.692,0.605,0.634,-1.057
-1.435,1.64,2.115,0.794,-0.085,-2.199
-0.632,1.073,2.665,0.867,0.564,-2.101
-0.869,0.988,1.41,0.47,-0.324,-1.734
-0.905,1.288,2.34,0.917,0.099,-2.242
-0.358,0.583,1.255,0.46,0.056,-1.198
-1.246,1.408,1.917,0.654,-0.085,-2.002
-0.578,0.766,1.325,0.502,0.24,-1.086
-0.666,1.095,2.397,0.87,0.268,-2.129
-1.54,1.727,2.115,0.781,-0.409,-2.524
-0.618,1.169,2.777,0.993,1.057,-1.72
-1.328,1.433,1.509,0.539,-0.268,-1.777
-0.823,1.083,1.917,0.704,0.197,-1.72
-1.094,1.154,1.057,0.368,-0.691,-1.748
