mean,RMS,ptp,std,max,min
0.239,0.25,0.212,0.072,0.316,0.103
0.24,0.251,0.212,0.073,0.316,0.103
0.242,0.253,0.212,0.073,0.316,0.103
0.262,0.27,0.219,0.065,0.322,0.103
0.264,0.272,0.219,0.066,0.322,0.103
0.273,0.28,0.219,0.061,0.322,0.103
0.256,0.266,0.219,0.07,0.322,0.103
0.252,0.26,0.219,0.068,0.322,0.103
0.245,0.254,0.219,0.068,0.322,0.103
0.264,0.268,0.179,0.049,0.322,0.144
0.262,0.267,0.179,0.05,0.322,0.144
0.254,0.259,0.179,0.051,0.322,0.144
0.243,0.249,0.179,0.056,0.322,0.144
0.235,0.24,0.159,0.049,0.303,0.144
0.235,0.241,0.165,0.05,0.309,0.144
0.22,0.227,0.179,0.056,0.309,0.13
0.218,0.226,0.185,0.059,0.309,0.124
0.221,0.23,0.185,0.062,0.309,0.124
0.228,0.238,0.185,0.065,0.309,0.124
0.228,0.238,0.185,0.065,0.309,0.124
0.231,0.24,0.185,0.066,0.309,0.124
0.23,0.24,0.185,0.066,0.309,0.124
0.237,0.245,0.185,0.063,0.309,0.124
0.226,0.236,0.185,0.071,0.309,0.124
0.225,0.236,0.181,0.071,0.305,0.124
0.235,0.243,0.181,0.063,0.305,0.124
0.243,0.249,0.178,0.052,0.305,0.127
0.241,0.246,0.178,0.05,0.305,0.127
0.239,0.244,0.178,0.049,0.305,0.127
0.24,0.246,0.178,0.05,0.305,0.127
0.241,0.246,0.178,0.05,0.305,0.127
0.251,0.256,0.178,0.052,0.305,0.127
0.246,0.252,0.178,0.055,0.305,0.127
0.242,0.25,0.216,0.064,0.305,0.088
0.241,0.248,0.212,0.062,0.301,0.088
0.246,0.254,0.212,0.063,0.301,0.088
0.246,0.254,0.212,0.063,0.301,0.088
0.248,0.256,0.212,0.064,0.301,0.088
0.234,0.245,0.212,0.071,0.301,0.088
0.232,0.242,0.212,0.069,0.301,0.088
0.228,0.238,0.212,0.068,0.301,0.088
0.221,0.23,0.2,0.064,0.288,0.088
0.228,0.237,0.2,0.064,0.288,0.088
0.239,0.243,0.149,0.046,0.288,0.139
0.24,0.244,0.16,0.047,0.299,0.139
0.227,0.232,0.16,0.05,0.299,0.139
0.22,0.227,0.16,0.056,0.299,0.139
0.212,0.218,0.16,0.052,0.299,0.139
0.226,0.231,0.157,0.049,0.299,0.142
0.218,0.223,0.157,0.048,0.299,0.142
0.216,0.221,0.157,0.048,0.299,0.142
0.211,0.217,0.157,0.048,0.299,0.142
0.206,0.211,0.157,0.046,0.299,0.142
0.215,0.222,0.157,0.053,0.299,0.142
0.215,0.222,0.158,0.053,0.3,0.142
0.221,0.226,0.158,0.049,0.3,0.142
0.236,0.241,0.118,0.047,0.3,0.182
0.242,0.246,0.118,0.045,0.3,0.182
0.238,0.242,0.118,0.043,0.3,0.182
0.243,0.247,0.118,0.041,0.3,0.182
0.243,0.246,0.118,0.041,0.3,0.182
0.253,0.256,0.097,0.037,0.3,0.202
0.245,0.251,0.178,0.053,0.3,0.122
0.238,0.243,0.178,0.05,0.3,0.122
0.229,0.234,0.177,0.046,0.299,0.122
0.24,0.246,0.201,0.054,0.322,0.122
0.232,0.238,0.201,0.05,0.322,0.122
0.23,0.235,0.201,0.05,0.322,0.122
0.235,0.241,0.201,0.054,0.322,0.122
0.24,0.247,0.201,0.056,0.322,0.122
0.234,0.242,0.201,0.062,0.322,0.122
0.218,0.228,0.207,0.069,0.322,0.115
0.227,0.235,0.207,0.062,0.322,0.115
0.225,0.234,0.207,0.062,0.322,0.115
0.216,0.227,0.207,0.07,0.322,0.115
0.213,0.223,0.185,0.066,0.3,0.115
0.21,0.22,0.185,0.066,0.3,0.115
0.209,0.22,0.185,0.066,0.3,0.115
0.206,0.215,0.178,0.062,0.293,0.115
0.207,0.216,0.188,0.064,0.303,0.115
0.222,0.232,0.188,0.065,0.303,0.115
0.239,0.245,0.185,0.056,0.303,0.118
0.248,0.256,0.195,0.06,0.313,0.118
0.257,0.264,0.195,0.059,0.313,0.118
0.268,0.271,0.125,0.039,0.313,0.188
0.265,0.268,0.125,0.038,0.313,0.188
0.26,0.265,0.175,0.05,0.313,0.138
0.26,0.265,0.175,0.05,0.313,0.138
0.264,0.269,0.175,0.052,0.313,0.138
0.258,0.263,0.175,0.051,0.313,0.138
0.258,0.263,0.175,0.051,0.313,0.138
0.263,0.268,0.191,0.055,0.328,0.138
0.257,0.263,0.191,0.053,0.328,0.138
0.25,0.256,0.191,0.052,0.328,0.138
0.248,0.253,0.191,0.053,0.328,0.138
0.234,0.243,0.204,0.065,0.328,0.124
0.25,0.256,0.204,0.058,0.328,0.124
0.255,0.261,0.204,0.057,0.328,0.124
0.247,0.253,0.204,0.055,0.328,0.124
0.253,0.259,0.204,0.057,0.328,0.124
0.242,0.249,0.204,0.057,0.328,0.124
0.239,0.244,0.172,0.053,0.296,0.124
0.24,0.246,0.172,0.053,0.296,0.124
0.238,0.244,0.172,0.054,0.296,0.124
0.244,0.25,0.172,0.054,0.296,0.124
0.259,0.262,0.105,0.036,0.296,0.191
0.252,0.254,0.105,0.036,0.296,0.191
0.236,0.242,0.187,0.055,0.296,0.109
0.232,0.239,0.187,0.056,0.296,0.109
0.229,0.236,0.185,0.054,0.294,0.109
0.232,0.238,0.185,0.053,0.294,0.109
0.228,0.234,0.163,0.049,0.272,0.109
0.232,0.238,0.201,0.054,0.311,0.109
0.232,0.238,0.201,0.054,0.311,0.109
0.236,0.243,0.201,0.058,0.311,0.109
0.23,0.237,0.201,0.056,0.311,0.109
0.228,0.235,0.201,0.057,0.311,0.109
0.24,0.243,0.119,0.041,0.311,0.192
0.245,0.248,0.113,0.038,0.311,0.198
0.238,0.241,0.113,0.039,0.311,0.198
0.242,0.245,0.113,0.039,0.311,0.198
0.244,0.247,0.113,0.04,0.311,0.198
0.236,0.238,0.108,0.033,0.306,0.198
0.238,0.24,0.108,0.031,0.306,0.198
0.229,0.23,0.073,0.022,0.27,0.198
0.237,0.239,0.104,0.03,0.302,0.198
0.247,0.249,0.097,0.032,0.302,0.204
0.256,0.258,0.108,0.036,0.313,0.204
0.255,0.258,0.108,0.036,0.313,0.204
0.266,0.269,0.099,0.036,0.314,0.214
0.266,0.269,0.099,0.036,0.314,0.214
0.27,0.273,0.099,0.038,0.314,0.214
0.277,0.28,0.099,0.037,0.314,0.214
0.285,0.287,0.099,0.033,0.314,0.214
0.287,0.289,0.077,0.028,0.314,0.237
0.28,0.282,0.089,0.034,0.314,0.224
0.263,0.269,0.183,0.055,0.314,0.131
0.263,0.268,0.183,0.055,0.314,0.131
0.26,0.266,0.183,0.056,0.314,0.131
0.258,0.264,0.176,0.055,0.307,0.131
0.259,0.265,0.176,0.055,0.307,0.131
0.256,0.261,0.176,0.053,0.307,0.131
0.255,0.261,0.176,0.053,0.307,0.131
0.247,0.252,0.176,0.051,0.307,0.131
0.254,0.26,0.176,0.054,0.307,0.131
0.255,0.26,0.176,0.054,0.307,0.131
0.269,0.271,0.094,0.034,0.307,0.212
0.259,0.262,0.098,0.036,0.307,0.208
0.266,0.268,0.098,0.033,0.307,0.208
0.267,0.269,0.098,0.034,0.307,0.208
0.27,0.272,0.098,0.035,0.307,0.208
0.269,0.271,0.098,0.035,0.307,0.208
0.261,0.263,0.098,0.035,0.307,0.208
0.268,0.27,0.098,0.033,0.307,0.208
0.262,0.264,0.093,0.031,0.302,0.208
0.26,0.262,0.093,0.032,0.302,0.208
0.255,0.258,0.093,0.034,0.302,0.208
0.258,0.26,0.082,0.031,0.302,0.22
0.253,0.254,0.082,0.031,0.302,0.22
0.237,0.24,0.153,0.041,0.297,0.144
0.227,0.23,0.145,0.037,0.289,0.144
0.228,0.231,0.145,0.037,0.289,0.144
0.233,0.237,0.145,0.041,0.289,0.144
0.23,0.233,0.139,0.038,0.282,0.144
0.228,0.231,0.139,0.037,0.282,0.144
0.237,0.241,0.16,0.044,0.304,0.144
