mean,RMS,ptp,std,max,min
-0.822,1.158,4.117,0.815,1.857,-2.261
-0.538,1.272,4.14,1.153,1.409,-2.731
-0.799,1.213,3.804,0.913,1.342,-2.462
-0.735,1.059,3.625,0.763,1.387,-2.238
-0.729,1.138,3.021,0.873,0.917,-2.104
-0.726,1.234,3.334,0.998,0.962,-2.373
-0.106,0.893,3.312,0.887,1.297,-2.014
-0.61,1.097,3.088,0.912,0.559,-2.529
-0.683,1.073,3.849,0.828,1.096,-2.753
-0.222,0.87,3.446,0.841,0.962,-2.484
0.687,0.795,2.685,0.398,2.461,-0.224
0.47,0.983,3.245,0.863,2.461,-0.784
-1.194,1.263,3.446,0.412,0.939,-2.507
-0.181,0.677,3.357,0.652,2.416,-0.94
-0.109,0.519,3.155,0.508,2.17,-0.985
0.964,1.269,2.954,0.824,2.573,-0.381
0.603,1.093,3.58,0.912,2.416,-1.164
-0.346,0.847,3.334,0.773,1.812,-1.522
0.02,0.769,3.357,0.769,2.215,-1.142
0.383,0.803,3.178,0.705,2.439,-0.739
-0.107,0.768,3.692,0.761,2.461,-1.231
0.423,0.984,3.133,0.888,2.282,-0.851
0.826,1.175,2.685,0.836,2.036,-0.649
0.655,1.08,3.178,0.859,2.394,-0.784
0.216,0.904,3.155,0.878,1.834,-1.321
-0.01,0.846,3.2,0.845,1.879,-1.321
0.476,1.048,3.312,0.933,2.081,-1.231
0.313,0.914,3.11,0.859,1.767,-1.343
0.458,0.967,2.931,0.852,1.745,-1.186
