mean,RMS,ptp,std,max,min
21.055,21.055,0.254,0.078,21.151,20.897
21.059,21.059,0.254,0.078,21.151,20.897
21.051,21.051,0.248,0.072,21.145,20.897
21.042,21.042,0.233,0.065,21.13,20.897
21.043,21.043,0.233,0.065,21.13,20.897
21.062,21.062,0.135,0.043,21.13,20.995
21.062,21.062,0.134,0.043,21.13,20.996
21.06,21.06,0.114,0.04,21.11,20.996
21.049,21.049,0.131,0.045,21.11,20.979
21.026,21.026,0.239,0.067,21.11,20.871
21.025,21.025,0.239,0.067,21.11,20.871
21.014,21.014,0.239,0.066,21.11,20.871
21.022,21.022,0.285,0.077,21.156,20.871
21.02,21.02,0.285,0.077,21.156,20.871
21.035,21.035,0.288,0.087,21.159,20.871
21.031,21.031,0.288,0.085,21.159,20.871
21.02,21.021,0.288,0.095,21.159,20.871
21.006,21.006,0.288,0.091,21.159,20.871
21.012,21.012,0.288,0.092,21.159,20.871
21.029,21.029,0.27,0.079,21.159,20.889
21.048,21.048,0.29,0.089,21.179,20.889
21.054,21.054,0.29,0.086,21.179,20.889
21.03,21.03,0.29,0.087,21.179,20.889
21.019,21.019,0.29,0.093,21.179,20.889
21.006,21.006,0.29,0.081,21.179,20.889
21.002,21.003,0.29,0.08,21.179,20.889
21.016,21.016,0.261,0.071,21.179,20.918
21.026,21.027,0.261,0.07,21.179,20.918
21.036,21.036,0.261,0.077,21.179,20.918
21.019,21.019,0.306,0.091,21.179,20.873
21.008,21.009,0.264,0.078,21.137,20.873
20.997,20.997,0.264,0.082,21.137,20.873
20.993,20.993,0.264,0.086,21.137,20.873
21.015,21.016,0.269,0.093,21.142,20.873
21.005,21.005,0.269,0.096,21.142,20.873
21.002,21.002,0.269,0.096,21.142,20.873
20.996,20.996,0.269,0.096,21.142,20.873
21.004,21.004,0.269,0.104,21.142,20.873
20.987,20.987,0.269,0.094,21.142,20.873
20.987,20.987,0.272,0.095,21.142,20.87
20.97,20.97,0.272,0.092,21.142,20.87
20.969,20.97,0.272,0.093,21.142,20.87
20.971,20.971,0.272,0.091,21.142,20.87
20.959,20.959,0.269,0.074,21.139,20.87
20.957,20.957,0.269,0.075,21.139,20.87
20.951,20.951,0.269,0.076,21.139,20.87
20.945,20.945,0.269,0.077,21.139,20.87
20.944,20.944,0.256,0.074,21.126,20.87
20.961,20.961,0.275,0.096,21.145,20.87
20.97,20.97,0.25,0.091,21.145,20.895
20.968,20.968,0.256,0.092,21.145,20.889
20.964,20.964,0.272,0.095,21.145,20.873
20.989,20.989,0.272,0.105,21.145,20.873
21.003,21.004,0.298,0.118,21.171,20.873
21.019,21.019,0.298,0.116,21.171,20.873
21.016,21.016,0.298,0.119,21.171,20.873
