mean,RMS,ptp,std,max,min
16.473,16.474,0.193,0.047,16.571,16.378
16.493,16.493,0.145,0.039,16.554,16.409
16.484,16.484,0.181,0.043,16.609,16.428
16.487,16.487,0.126,0.023,16.532,16.406
16.491,16.491,0.18,0.042,16.544,16.364
16.481,16.481,0.173,0.041,16.564,16.391
16.485,16.485,0.167,0.048,16.566,16.399
16.477,16.477,0.193,0.048,16.578,16.385
16.47,16.47,0.185,0.053,16.564,16.379
16.473,16.473,0.181,0.048,16.572,16.391
16.468,16.468,0.157,0.047,16.544,16.387
16.468,16.468,0.194,0.05,16.554,16.36
16.481,16.481,0.185,0.045,16.59,16.405
16.496,16.496,0.188,0.045,16.58,16.392
16.519,16.519,0.179,0.047,16.611,16.432
16.519,16.519,0.162,0.046,16.598,16.436
16.539,16.539,0.153,0.04,16.59,16.437
16.536,16.536,0.142,0.036,16.6,16.458
16.519,16.519,0.209,0.052,16.611,16.402
16.517,16.517,0.163,0.047,16.61,16.447
16.484,16.484,0.167,0.041,16.584,16.417
16.469,16.469,0.103,0.022,16.515,16.412
16.456,16.456,0.172,0.034,16.569,16.397
16.455,16.455,0.159,0.044,16.549,16.39
16.465,16.465,0.163,0.038,16.558,16.395
16.452,16.452,0.15,0.038,16.54,16.39
16.46,16.46,0.163,0.043,16.556,16.393
16.479,16.479,0.228,0.045,16.623,16.395
16.489,16.489,0.162,0.043,16.579,16.417
16.498,16.498,0.189,0.042,16.62,16.431
16.498,16.498,0.16,0.043,16.573,16.413
16.507,16.507,0.193,0.05,16.597,16.404
16.493,16.493,0.175,0.043,16.599,16.424
16.48,16.48,0.148,0.027,16.531,16.383
16.473,16.473,0.134,0.029,16.535,16.401
16.477,16.477,0.136,0.033,16.568,16.432
16.484,16.484,0.164,0.038,16.588,16.424
16.482,16.482,0.144,0.033,16.571,16.427
16.479,16.479,0.175,0.043,16.591,16.416
16.494,16.494,0.181,0.043,16.609,16.428
16.49,16.49,0.167,0.029,16.591,16.424
16.493,16.493,0.165,0.039,16.595,16.43
16.501,16.501,0.184,0.044,16.62,16.436
16.499,16.499,0.175,0.039,16.6,16.425
16.493,16.493,0.147,0.027,16.59,16.443
16.486,16.486,0.162,0.035,16.542,16.38
16.483,16.483,0.174,0.03,16.542,16.368
16.469,16.469,0.202,0.036,16.535,16.333
16.464,16.464,0.162,0.034,16.572,16.41
16.472,16.472,0.111,0.024,16.53,16.419
16.474,16.475,0.184,0.037,16.594,16.41
16.492,16.492,0.184,0.043,16.607,16.423
16.493,16.493,0.174,0.042,16.612,16.438
16.484,16.484,0.15,0.034,16.576,16.426
16.485,16.485,0.182,0.041,16.602,16.42
16.487,16.487,0.156,0.039,16.574,16.418
16.49,16.491,0.196,0.038,16.627,16.431
16.502,16.502,0.197,0.045,16.605,16.408
16.5,16.5,0.159,0.04,16.587,16.428
16.493,16.493,0.148,0.038,16.581,16.433
16.491,16.491,0.157,0.034,16.601,16.444
16.491,16.491,0.159,0.032,16.587,16.428
16.472,16.472,0.117,0.022,16.532,16.415
16.47,16.47,0.154,0.029,16.516,16.362
16.471,16.471,0.121,0.023,16.524,16.403
16.466,16.466,0.157,0.032,16.568,16.411
16.481,16.481,0.153,0.031,16.565,16.412
16.454,16.454,0.171,0.031,16.572,16.401
16.477,16.477,0.153,0.041,16.567,16.414
16.466,16.466,0.178,0.036,16.573,16.395
16.474,16.474,0.158,0.03,16.574,16.416
16.466,16.466,0.141,0.033,16.546,16.405
