mean,RMS,ptp,std,max,min
20.633,20.633,0.214,0.035,20.743,20.529
20.685,20.685,0.139,0.021,20.723,20.584
20.688,20.688,0.148,0.035,20.78,20.632
20.686,20.686,0.153,0.039,20.759,20.606
20.679,20.679,0.147,0.041,20.75,20.603
20.675,20.675,0.158,0.043,20.752,20.594
20.682,20.683,0.135,0.032,20.732,20.597
20.677,20.677,0.118,0.024,20.755,20.637
20.68,20.68,0.145,0.036,20.774,20.629
20.676,20.676,0.143,0.026,20.779,20.636
20.678,20.678,0.168,0.041,20.793,20.625
20.628,20.628,0.154,0.042,20.724,20.57
