mean,RMS,ptp,std,max,min
23.732,23.732,0.026,0.011,23.745,23.719
23.734,23.734,0.01,0.005,23.737,23.727
23.733,23.733,0.003,0.001,23.734,23.731
23.735,23.735,0.02,0.008,23.744,23.724
23.736,23.736,0.009,0.004,23.742,23.733
23.753,23.753,0.002,0.001,23.754,23.752
23.736,23.736,0.022,0.01,23.744,23.722
23.741,23.741,0.011,0.005,23.747,23.736
23.705,23.705,0.095,0.041,23.743,23.648
23.731,23.731,0.014,0.006,23.737,23.723
23.743,23.743,0.017,0.007,23.752,23.735
23.745,23.745,0.028,0.013,23.755,23.727
23.724,23.724,0.037,0.017,23.736,23.699
23.703,23.703,0.089,0.039,23.737,23.648
23.726,23.726,0.017,0.007,23.735,23.718
23.723,23.723,0.009,0.004,23.728,23.719
23.703,23.703,0.095,0.041,23.74,23.645
23.72,23.72,0.006,0.003,23.724,23.718
23.695,23.695,0.101,0.044,23.734,23.633
23.728,23.728,0.023,0.009,23.739,23.716
23.702,23.702,0.11,0.047,23.746,23.636
23.729,23.729,0.018,0.007,23.738,23.72
23.722,23.722,0.009,0.004,23.727,23.718
23.727,23.727,0.018,0.007,23.736,23.718
23.727,23.727,0.005,0.002,23.73,23.725
23.732,23.732,0.042,0.017,23.754,23.712
23.736,23.736,0.018,0.007,23.746,23.728
23.742,23.742,0.009,0.004,23.746,23.737
23.737,23.737,0.009,0.004,23.741,23.732
23.726,23.726,0.035,0.016,23.749,23.714
23.705,23.705,0.101,0.042,23.749,23.648
23.737,23.737,0.012,0.005,23.745,23.733
23.736,23.736,0.013,0.006,23.741,23.728
23.737,23.737,0.025,0.011,23.747,23.722
23.734,23.734,0.006,0.003,23.736,23.73
23.708,23.708,0.083,0.036,23.741,23.658
23.744,23.744,0.015,0.006,23.751,23.736
23.734,23.734,0.048,0.021,23.752,23.704
23.754,23.754,0.027,0.011,23.767,23.74
23.707,23.707,0.088,0.041,23.736,23.648
23.751,23.751,0.014,0.006,23.756,23.742
23.711,23.711,0.085,0.036,23.748,23.663
23.748,23.748,0.039,0.016,23.77,23.731
23.732,23.732,0.025,0.011,23.747,23.722
23.699,23.699,0.105,0.043,23.756,23.651
23.724,23.724,0.06,0.028,23.744,23.684
23.709,23.709,0.102,0.046,23.747,23.645
23.743,23.743,0.013,0.005,23.75,23.737
23.738,23.738,0.014,0.006,23.744,23.73
23.739,23.739,0.015,0.006,23.746,23.731
23.739,23.739,0.018,0.008,23.747,23.729
23.75,23.75,0.035,0.015,23.766,23.731
23.7,23.7,0.092,0.041,23.757,23.665
23.732,23.732,0.033,0.015,23.744,23.711
23.686,23.686,0.092,0.042,23.745,23.653
23.734,23.734,0.007,0.003,23.737,23.73
23.737,23.737,0.017,0.008,23.748,23.731
23.708,23.708,0.101,0.043,23.75,23.649
23.716,23.716,0.089,0.038,23.752,23.663
23.688,23.688,0.086,0.039,23.742,23.656
23.715,23.715,0.104,0.045,23.757,23.653
23.681,23.681,0.09,0.041,23.739,23.649
23.75,23.75,0.031,0.014,23.769,23.738
23.74,23.74,0.076,0.031,23.775,23.699
23.676,23.676,0.095,0.043,23.736,23.641
23.677,23.677,0.092,0.042,23.737,23.645
23.709,23.709,0.115,0.05,23.754,23.639
23.755,23.755,0.0,0.0,23.755,23.755
23.747,23.747,0.031,0.013,23.764,23.733
23.735,23.735,0.019,0.008,23.744,23.725
23.748,23.748,0.004,0.002,23.75,23.746
23.748,23.748,0.014,0.006,23.756,23.742
23.742,23.742,0.019,0.008,23.753,23.734
23.748,23.748,0.024,0.01,23.76,23.736
23.742,23.742,0.009,0.004,23.746,23.737
23.685,23.685,0.074,0.034,23.733,23.659
23.702,23.702,0.088,0.039,23.735,23.647
23.744,23.744,0.02,0.008,23.755,23.735
23.72,23.72,0.09,0.041,23.752,23.662
23.754,23.754,0.049,0.02,23.779,23.73
23.712,23.712,0.126,0.052,23.768,23.642
23.721,23.721,0.122,0.051,23.773,23.651
23.691,23.691,0.084,0.037,23.742,23.658
23.701,23.701,0.109,0.045,23.759,23.65
23.727,23.727,0.104,0.045,23.768,23.664
23.725,23.725,0.106,0.048,23.763,23.657
23.757,23.757,0.018,0.008,23.769,23.751
23.703,23.703,0.103,0.046,23.741,23.638
23.654,23.654,0.017,0.007,23.664,23.647
23.683,23.683,0.089,0.04,23.739,23.65
23.686,23.686,0.1,0.046,23.752,23.652
23.726,23.726,0.119,0.051,23.774,23.655
23.686,23.686,0.088,0.039,23.741,23.653
23.695,23.695,0.087,0.037,23.745,23.658
23.749,23.749,0.017,0.008,23.755,23.738
23.694,23.694,0.086,0.041,23.751,23.665
23.696,23.696,0.093,0.043,23.757,23.664
23.719,23.719,0.113,0.051,23.759,23.646
23.716,23.716,0.094,0.042,23.752,23.658
23.718,23.718,0.111,0.052,23.756,23.645
23.714,23.714,0.086,0.039,23.745,23.659
23.716,23.716,0.093,0.044,23.747,23.654
23.71,23.71,0.086,0.039,23.741,23.655
23.723,23.723,0.062,0.028,23.746,23.684
23.724,23.724,0.086,0.04,23.754,23.668
23.721,23.721,0.099,0.042,23.763,23.664
23.717,23.717,0.092,0.042,23.75,23.658
23.715,23.715,0.114,0.05,23.759,23.645
23.669,23.669,0.018,0.007,23.679,23.661
23.722,23.722,0.086,0.039,23.753,23.667
23.753,23.753,0.031,0.013,23.768,23.737
23.712,23.712,0.077,0.033,23.743,23.666
23.709,23.709,0.077,0.035,23.758,23.681
23.726,23.726,0.097,0.045,23.76,23.663
23.765,23.765,0.025,0.011,23.775,23.75
23.722,23.722,0.1,0.045,23.758,23.658
23.674,23.674,0.004,0.002,23.676,23.672
23.695,23.695,0.1,0.043,23.755,23.655
23.733,23.733,0.098,0.04,23.778,23.68
23.722,23.722,0.135,0.06,23.772,23.637
23.681,23.681,0.096,0.045,23.744,23.648
23.716,23.716,0.097,0.044,23.752,23.655
23.713,23.713,0.089,0.039,23.767,23.678
23.742,23.742,0.098,0.045,23.777,23.679
23.698,23.698,0.074,0.031,23.74,23.666
23.711,23.711,0.123,0.051,23.779,23.656
23.734,23.734,0.088,0.039,23.767,23.679
23.698,23.698,0.114,0.05,23.767,23.653
23.739,23.739,0.097,0.044,23.774,23.677
23.753,23.753,0.022,0.009,23.764,23.742
23.727,23.727,0.098,0.042,23.766,23.668
23.747,23.747,0.074,0.035,23.772,23.698
23.749,23.749,0.006,0.003,23.753,23.747
23.723,23.723,0.115,0.05,23.768,23.653
23.763,23.763,0.045,0.018,23.785,23.74
23.703,23.703,0.103,0.047,23.77,23.667
23.731,23.731,0.114,0.047,23.783,23.669
23.755,23.755,0.051,0.022,23.775,23.724
23.724,23.724,0.084,0.036,23.759,23.675
23.713,23.713,0.09,0.041,23.77,23.68
23.768,23.768,0.019,0.008,23.776,23.757
23.76,23.76,0.021,0.01,23.774,23.753
23.741,23.741,0.099,0.041,23.786,23.687
23.739,23.739,0.081,0.037,23.768,23.687
23.698,23.698,0.096,0.043,23.759,23.663
23.736,23.736,0.058,0.025,23.759,23.701
23.722,23.722,0.091,0.04,23.757,23.666
23.72,23.72,0.053,0.023,23.753,23.7
23.734,23.734,0.104,0.048,23.77,23.666
23.765,23.765,0.021,0.009,23.774,23.753
23.747,23.747,0.104,0.047,23.785,23.681
23.702,23.702,0.108,0.05,23.773,23.665
23.699,23.699,0.092,0.039,23.752,23.66
23.732,23.732,0.108,0.046,23.777,23.669
23.703,23.703,0.085,0.038,23.757,23.672
23.726,23.726,0.12,0.052,23.773,23.653
23.738,23.738,0.104,0.049,23.773,23.669
23.728,23.728,0.098,0.043,23.766,23.668
23.764,23.764,0.013,0.006,23.769,23.756
23.684,23.684,0.083,0.038,23.738,23.655
23.76,23.76,0.03,0.013,23.773,23.743
23.755,23.755,0.01,0.004,23.759,23.749
23.766,23.766,0.01,0.004,23.772,23.762
23.735,23.735,0.08,0.035,23.765,23.685
23.76,23.76,0.015,0.007,23.769,23.754
