mean,RMS,ptp,std,max,min
20.949,20.949,0.515,0.084,21.199,20.684
20.938,20.938,0.515,0.081,21.199,20.684
20.929,20.929,0.515,0.077,21.199,20.684
20.921,20.921,0.495,0.071,21.179,20.684
20.917,20.917,0.441,0.068,21.125,20.684
20.914,20.914,0.417,0.066,21.101,20.684
20.914,20.914,0.392,0.065,21.076,20.684
20.918,20.918,0.412,0.067,21.096,20.684
20.924,20.924,0.414,0.069,21.098,20.684
20.933,20.933,0.43,0.073,21.114,20.684
20.942,20.942,0.423,0.074,21.12,20.697
20.951,20.951,0.423,0.075,21.12,20.697
20.963,20.963,0.45,0.074,21.147,20.697
20.977,20.977,0.437,0.074,21.17,20.733
20.991,20.991,0.448,0.074,21.181,20.733
21.006,21.006,0.49,0.075,21.223,20.733
21.013,21.013,0.501,0.079,21.224,20.723
21.005,21.005,0.569,0.091,21.224,20.655
20.996,20.997,0.569,0.099,21.224,20.655
20.986,20.987,0.569,0.105,21.224,20.655
20.978,20.979,0.569,0.109,21.224,20.655
20.97,20.97,0.569,0.111,21.224,20.655
20.962,20.962,0.569,0.111,21.224,20.655
20.952,20.953,0.569,0.112,21.224,20.655
20.944,20.944,0.569,0.11,21.224,20.655
20.932,20.933,0.569,0.105,21.224,20.655
20.92,20.92,0.569,0.098,21.224,20.655
20.905,20.905,0.569,0.086,21.224,20.655
20.895,20.895,0.436,0.072,21.091,20.655
20.899,20.899,0.384,0.07,21.091,20.707
20.903,20.903,0.384,0.068,21.091,20.707
20.908,20.908,0.391,0.066,21.111,20.72
20.913,20.913,0.442,0.066,21.162,20.72
20.921,20.921,0.442,0.069,21.162,20.72
20.93,20.93,0.488,0.075,21.208,20.72
20.943,20.943,0.485,0.081,21.227,20.742
20.959,20.959,0.52,0.093,21.262,20.742
20.977,20.978,0.566,0.103,21.308,20.742
20.998,20.998,0.568,0.11,21.31,20.742
21.022,21.022,0.584,0.117,21.351,20.767
21.048,21.048,0.564,0.12,21.351,20.787
21.077,21.077,0.549,0.121,21.358,20.809
21.106,21.107,0.528,0.119,21.358,20.83
21.133,21.134,0.514,0.115,21.358,20.844
21.16,21.16,0.486,0.108,21.358,20.872
21.184,21.184,0.504,0.099,21.4,20.896
21.205,21.205,0.495,0.089,21.422,20.927
21.226,21.226,0.451,0.078,21.422,20.971
21.242,21.242,0.387,0.07,21.422,21.035
21.255,21.255,0.377,0.063,21.422,21.045
21.265,21.265,0.376,0.056,21.422,21.046
21.27,21.27,0.376,0.052,21.422,21.046
21.274,21.274,0.376,0.05,21.422,21.046
21.274,21.274,0.376,0.052,21.422,21.046
21.271,21.271,0.376,0.055,21.422,21.046
21.267,21.267,0.376,0.059,21.422,21.046
21.26,21.26,0.376,0.064,21.422,21.046
21.254,21.254,0.363,0.066,21.422,21.059
21.247,21.247,0.369,0.069,21.422,21.053
21.239,21.239,0.369,0.069,21.422,21.053
21.232,21.232,0.369,0.069,21.422,21.053
21.223,21.223,0.369,0.068,21.422,21.053
21.217,21.217,0.387,0.069,21.422,21.035
21.212,21.213,0.387,0.068,21.422,21.035
21.208,21.208,0.387,0.067,21.422,21.035
21.206,21.206,0.387,0.066,21.422,21.035
21.205,21.205,0.387,0.065,21.422,21.035
21.204,21.204,0.387,0.064,21.422,21.035
21.207,21.207,0.386,0.063,21.421,21.035
21.209,21.209,0.428,0.061,21.463,21.035
21.212,21.212,0.428,0.06,21.463,21.035
21.217,21.217,0.428,0.061,21.463,21.035
21.222,21.222,0.428,0.06,21.463,21.035
21.231,21.231,0.428,0.06,21.463,21.035
21.24,21.24,0.379,0.06,21.463,21.084
21.251,21.251,0.379,0.063,21.463,21.084
21.242,21.242,0.585,0.086,21.463,20.878
21.227,21.227,0.595,0.104,21.463,20.868
21.214,21.214,0.595,0.114,21.463,20.868
21.203,21.203,0.595,0.121,21.463,20.868
21.193,21.194,0.595,0.123,21.463,20.868
21.184,21.184,0.574,0.124,21.442,20.868
21.177,21.177,0.574,0.123,21.442,20.868
21.164,21.165,0.803,0.128,21.442,20.639
21.128,21.129,0.812,0.16,21.442,20.63
21.084,21.085,0.837,0.178,21.442,20.605
21.041,21.042,0.815,0.183,21.42,20.605
20.993,20.994,0.815,0.174,21.42,20.605
20.967,20.967,0.677,0.174,21.282,20.605
20.946,20.946,0.677,0.18,21.282,20.605
20.923,20.923,0.677,0.183,21.282,20.605
20.898,20.899,0.677,0.181,21.282,20.605
20.87,20.871,0.677,0.171,21.282,20.605
20.842,20.843,0.677,0.154,21.282,20.605
20.813,20.813,0.677,0.122,21.282,20.605
20.786,20.786,0.677,0.068,21.282,20.605
20.785,20.785,0.363,0.05,20.968,20.605
20.788,20.788,0.366,0.051,20.981,20.615
20.795,20.795,0.685,0.075,21.3,20.615
20.828,20.828,0.726,0.126,21.341,20.615
20.856,20.856,0.726,0.147,21.341,20.615
20.878,20.879,0.726,0.154,21.341,20.615
20.896,20.896,0.726,0.154,21.341,20.615
20.908,20.908,0.726,0.15,21.341,20.615
20.914,20.915,0.723,0.146,21.341,20.618
20.922,20.922,0.723,0.148,21.341,20.618
20.945,20.945,0.696,0.15,21.341,20.645
20.966,20.967,0.687,0.146,21.341,20.654
20.981,20.982,0.687,0.139,21.341,20.654
20.995,20.996,0.687,0.13,21.341,20.654
21.002,21.003,0.687,0.114,21.341,20.654
20.985,20.986,0.63,0.104,21.284,20.654
20.972,20.972,0.617,0.097,21.271,20.654
20.964,20.964,0.617,0.094,21.271,20.654
20.961,20.962,0.617,0.093,21.271,20.654
20.967,20.967,0.617,0.092,21.271,20.654
20.978,20.978,0.617,0.085,21.271,20.654
20.989,20.989,0.439,0.065,21.224,20.785
20.985,20.985,0.417,0.059,21.202,20.785
20.983,20.983,0.399,0.057,21.184,20.785
20.989,20.989,0.429,0.062,21.214,20.785
20.997,20.997,0.471,0.066,21.256,20.785
21.008,21.008,0.471,0.069,21.256,20.785
21.021,21.021,0.467,0.072,21.256,20.789
21.037,21.037,0.479,0.076,21.268,20.789
21.054,21.054,0.433,0.077,21.282,20.849
21.07,21.071,0.452,0.078,21.301,20.849
21.087,21.087,0.452,0.08,21.301,20.849
21.104,21.104,0.448,0.079,21.301,20.853
21.118,21.118,0.448,0.077,21.301,20.853
21.129,21.129,0.411,0.072,21.301,20.89
21.138,21.139,0.411,0.067,21.301,20.89
21.146,21.147,0.347,0.061,21.301,20.954
