mean,RMS,ptp,std,max,min
23.254,23.254,0.137,0.033,23.346,23.209
23.265,23.265,0.139,0.037,23.361,23.222
23.279,23.279,0.133,0.037,23.362,23.229
23.304,23.304,0.137,0.041,23.382,23.245
23.325,23.325,0.135,0.04,23.402,23.267
23.332,23.332,0.144,0.037,23.423,23.279
23.351,23.351,0.146,0.039,23.441,23.295
23.36,23.36,0.151,0.041,23.46,23.309
23.375,23.375,0.16,0.038,23.484,23.324
23.384,23.384,0.13,0.032,23.469,23.339
23.385,23.385,0.122,0.034,23.463,23.341
23.4,23.4,0.136,0.04,23.49,23.354
23.391,23.391,0.145,0.036,23.489,23.344
23.374,23.374,0.134,0.03,23.469,23.335
23.363,23.363,0.136,0.034,23.458,23.322
23.344,23.344,0.131,0.026,23.435,23.304
23.337,23.337,0.111,0.025,23.416,23.305
23.337,23.337,0.143,0.032,23.437,23.294
23.331,23.331,0.133,0.028,23.427,23.294
23.323,23.323,0.115,0.023,23.404,23.289
23.322,23.322,0.158,0.03,23.435,23.277
23.317,23.317,0.122,0.027,23.394,23.272
23.307,23.308,0.135,0.024,23.385,23.25
23.315,23.315,0.129,0.032,23.408,23.279
23.318,23.318,0.143,0.034,23.416,23.273
23.317,23.317,0.134,0.032,23.398,23.264
23.318,23.318,0.133,0.035,23.401,23.268
23.32,23.32,0.136,0.036,23.413,23.277
23.329,23.329,0.151,0.04,23.413,23.262
23.339,23.339,0.136,0.04,23.42,23.284
23.349,23.349,0.146,0.037,23.432,23.286
23.359,23.359,0.141,0.034,23.444,23.303
23.377,23.377,0.128,0.035,23.462,23.334
23.386,23.387,0.129,0.035,23.479,23.35
23.407,23.407,0.132,0.036,23.5,23.368
23.417,23.417,0.141,0.037,23.504,23.363
23.437,23.437,0.155,0.039,23.532,23.377
23.452,23.452,0.162,0.041,23.553,23.391
23.392,23.392,0.329,0.101,23.569,23.24
23.308,23.308,0.302,0.068,23.533,23.231
23.325,23.325,0.186,0.042,23.444,23.258
23.4,23.4,0.143,0.043,23.479,23.336
23.41,23.41,0.129,0.037,23.491,23.362
23.423,23.423,0.137,0.041,23.513,23.376
23.436,23.436,0.151,0.042,23.514,23.363
23.445,23.445,0.135,0.043,23.518,23.383
23.463,23.463,0.132,0.042,23.534,23.402
23.46,23.46,0.132,0.039,23.538,23.406
23.489,23.489,0.14,0.039,23.558,23.418
23.503,23.503,0.141,0.043,23.571,23.43
23.508,23.508,0.149,0.04,23.59,23.441
23.52,23.52,0.126,0.037,23.584,23.458
23.542,23.542,0.153,0.04,23.614,23.461
23.562,23.562,0.139,0.038,23.622,23.483
23.581,23.581,0.132,0.037,23.635,23.503
23.593,23.593,0.117,0.037,23.641,23.524
23.6,23.6,0.129,0.037,23.669,23.54
23.624,23.624,0.133,0.038,23.683,23.55
23.631,23.631,0.134,0.037,23.685,23.551
23.63,23.63,0.131,0.036,23.699,23.568
23.646,23.646,0.126,0.037,23.709,23.583
23.652,23.652,0.136,0.04,23.711,23.575
23.655,23.655,0.132,0.038,23.721,23.589
23.664,23.664,0.119,0.037,23.722,23.603
23.673,23.673,0.134,0.039,23.725,23.591
23.674,23.674,0.132,0.038,23.731,23.599
23.672,23.672,0.133,0.042,23.736,23.603
23.676,23.676,0.128,0.039,23.737,23.609
23.692,23.692,0.14,0.038,23.751,23.611
23.693,23.693,0.124,0.039,23.754,23.63
23.692,23.692,0.123,0.04,23.751,23.628
23.698,23.698,0.122,0.037,23.757,23.635
23.713,23.713,0.123,0.036,23.774,23.651
23.72,23.72,0.128,0.04,23.78,23.652
23.726,23.726,0.131,0.037,23.783,23.652
23.735,23.735,0.118,0.035,23.789,23.671
23.74,23.74,0.13,0.035,23.786,23.656
23.75,23.75,0.152,0.042,23.816,23.664
23.758,23.758,0.124,0.034,23.799,23.675
23.761,23.761,0.135,0.039,23.81,23.675
23.764,23.764,0.134,0.039,23.819,23.685
23.773,23.773,0.135,0.041,23.825,23.69
23.779,23.779,0.116,0.031,23.818,23.702
23.783,23.783,0.136,0.032,23.823,23.687
23.772,23.772,0.133,0.043,23.83,23.697
23.788,23.788,0.141,0.037,23.835,23.694
23.786,23.786,0.129,0.036,23.834,23.705
23.792,23.792,0.116,0.033,23.831,23.715
23.8,23.8,0.125,0.034,23.839,23.714
23.703,23.703,0.331,0.101,23.854,23.523
