mean,RMS,ptp,std,max,min
23.501,23.501,0.42,0.058,23.767,23.347
23.501,23.501,0.42,0.058,23.767,23.347
23.501,23.501,0.42,0.058,23.767,23.347
23.5,23.501,0.42,0.058,23.767,23.347
23.501,23.501,0.42,0.058,23.767,23.347
23.5,23.501,0.42,0.058,23.767,23.347
23.5,23.5,0.42,0.058,23.767,23.347
23.5,23.5,0.42,0.058,23.767,23.347
23.5,23.5,0.42,0.058,23.767,23.347
23.5,23.5,0.42,0.058,23.767,23.347
23.5,23.5,0.42,0.058,23.767,23.347
23.5,23.5,0.42,0.058,23.767,23.347
23.5,23.5,0.42,0.058,23.767,23.347
23.5,23.5,0.42,0.058,23.767,23.347
23.5,23.5,0.42,0.058,23.767,23.347
23.5,23.5,0.42,0.058,23.767,23.347
23.5,23.5,0.42,0.058,23.767,23.347
23.5,23.5,0.42,0.058,23.767,23.347
23.5,23.5,0.42,0.058,23.767,23.347
23.499,23.5,0.42,0.058,23.767,23.347
23.499,23.499,0.42,0.058,23.767,23.347
23.499,23.499,0.42,0.058,23.767,23.347
23.499,23.499,0.42,0.058,23.767,23.347
23.499,23.499,0.42,0.058,23.767,23.347
23.499,23.499,0.42,0.058,23.767,23.347
23.499,23.499,0.42,0.058,23.767,23.347
23.499,23.499,0.42,0.058,23.767,23.347
23.499,23.499,0.42,0.058,23.767,23.347
23.499,23.499,0.42,0.058,23.767,23.347
23.499,23.499,0.42,0.058,23.767,23.347
23.498,23.499,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.498,23.498,0.42,0.058,23.767,23.347
23.497,23.498,0.42,0.058,23.767,23.347
23.497,23.498,0.42,0.058,23.767,23.347
23.497,23.497,0.42,0.058,23.767,23.347
23.497,23.497,0.42,0.058,23.767,23.347
23.497,23.498,0.42,0.058,23.767,23.347
23.497,23.497,0.42,0.058,23.767,23.347
23.497,23.497,0.42,0.058,23.767,23.347
23.497,23.497,0.42,0.058,23.767,23.347
23.497,23.497,0.42,0.058,23.767,23.347
23.497,23.497,0.42,0.058,23.767,23.347
23.497,23.497,0.42,0.058,23.767,23.347
23.497,23.497,0.42,0.058,23.767,23.347
23.497,23.497,0.42,0.058,23.767,23.347
23.497,23.497,0.42,0.058,23.767,23.347
23.497,23.497,0.42,0.058,23.767,23.347
23.497,23.497,0.42,0.058,23.767,23.347
