mean,RMS,ptp,std,max,min
0.582,1.021,4.546,0.839,2.614,-1.932
0.554,0.983,4.201,0.812,2.27,-1.932
0.55,0.982,4.201,0.813,2.27,-1.932
0.555,0.983,4.201,0.811,2.27,-1.932
0.564,0.99,4.201,0.813,2.27,-1.932
0.567,0.992,4.201,0.813,2.27,-1.932
0.578,1.0,4.201,0.816,2.27,-1.932
0.581,1.001,4.201,0.815,2.27,-1.932
0.599,1.01,4.201,0.814,2.27,-1.932
0.616,1.02,4.201,0.812,2.27,-1.932
0.639,1.042,4.201,0.822,2.27,-1.932
0.631,1.044,4.201,0.832,2.27,-1.932
0.641,1.05,4.201,0.831,2.27,-1.932
0.635,1.051,4.201,0.837,2.27,-1.932
0.656,1.075,4.201,0.852,2.27,-1.932
0.636,1.058,4.201,0.845,2.27,-1.932
0.628,1.054,4.201,0.847,2.27,-1.932
0.646,1.071,4.201,0.854,2.27,-1.932
0.66,1.081,4.201,0.856,2.27,-1.932
0.658,1.08,4.201,0.857,2.27,-1.932
0.669,1.092,4.201,0.863,2.27,-1.932
0.649,1.104,4.201,0.892,2.27,-1.932
0.637,1.103,4.201,0.9,2.27,-1.932
0.629,1.103,4.201,0.906,2.27,-1.932
0.647,1.126,4.201,0.922,2.27,-1.932
0.654,1.133,4.201,0.924,2.27,-1.932
0.668,1.149,4.201,0.935,2.27,-1.932
0.67,1.151,4.201,0.936,2.27,-1.932
0.664,1.149,4.201,0.938,2.27,-1.932
0.641,1.126,4.201,0.926,2.27,-1.932
0.633,1.123,4.201,0.927,2.27,-1.932
0.65,1.136,4.201,0.931,2.27,-1.932
0.67,1.155,4.201,0.94,2.27,-1.932
0.655,1.153,4.201,0.949,2.27,-1.932
0.654,1.153,4.201,0.949,2.27,-1.932
0.625,1.169,4.247,0.988,2.27,-1.978
0.591,1.182,4.247,1.024,2.27,-1.978
0.57,1.202,4.362,1.059,2.27,-2.092
0.571,1.201,4.362,1.057,2.27,-2.092
0.584,1.201,4.362,1.05,2.27,-2.092
0.583,1.201,4.362,1.05,2.27,-2.092
0.578,1.199,4.362,1.05,2.27,-2.092
0.59,1.209,4.362,1.056,2.27,-2.092
0.602,1.22,4.362,1.061,2.27,-2.092
0.597,1.217,4.362,1.06,2.27,-2.092
0.596,1.217,4.362,1.061,2.27,-2.092
0.588,1.214,4.362,1.062,2.27,-2.092
0.576,1.218,4.362,1.073,2.27,-2.092
0.592,1.225,4.362,1.072,2.27,-2.092
0.58,1.208,4.362,1.06,2.27,-2.092
0.595,1.219,4.362,1.063,2.27,-2.092
0.573,1.227,4.362,1.085,2.27,-2.092
0.581,1.233,4.362,1.087,2.27,-2.092
0.561,1.237,4.362,1.103,2.27,-2.092
0.566,1.24,4.362,1.103,2.27,-2.092
0.564,1.239,4.362,1.104,2.27,-2.092
0.556,1.235,4.362,1.103,2.27,-2.092
0.545,1.224,4.362,1.096,2.27,-2.092
0.539,1.223,4.362,1.098,2.27,-2.092
0.53,1.222,4.362,1.102,2.27,-2.092
0.526,1.22,4.362,1.101,2.27,-2.092
0.542,1.213,4.362,1.085,2.27,-2.092
0.55,1.224,4.362,1.094,2.27,-2.092
0.555,1.233,4.362,1.1,2.27,-2.092
0.553,1.231,4.362,1.1,2.27,-2.092
0.561,1.241,4.362,1.107,2.27,-2.092
0.57,1.252,4.362,1.114,2.27,-2.092
