mean,RMS,ptp,std,max,min
-0.86,1.279,6.07,0.947,0.679,-5.39
-0.847,1.274,6.07,0.952,0.679,-5.39
-0.851,1.276,6.07,0.951,0.679,-5.39
-0.839,1.272,6.07,0.956,0.679,-5.39
-0.831,1.268,6.07,0.957,0.679,-5.39
-0.818,1.257,6.07,0.955,0.679,-5.39
-0.821,1.259,6.07,0.954,0.679,-5.39
-0.808,1.246,6.07,0.949,0.679,-5.39
-0.808,1.246,6.07,0.949,0.679,-5.39
-0.8,1.24,6.07,0.948,0.679,-5.39
-0.798,1.239,6.07,0.948,0.679,-5.39
-0.779,1.215,6.07,0.933,0.679,-5.39
-0.774,1.213,6.07,0.934,0.679,-5.39
-0.78,1.214,6.07,0.931,0.679,-5.39
-0.796,1.219,6.07,0.923,0.679,-5.39
-0.787,1.209,6.07,0.918,0.679,-5.39
-0.767,1.193,6.07,0.913,0.679,-5.39
-0.769,1.193,6.07,0.913,0.679,-5.39
-0.77,1.194,6.07,0.912,0.679,-5.39
-0.776,1.196,6.07,0.91,0.679,-5.39
-0.786,1.199,6.07,0.905,0.679,-5.39
-0.774,1.191,6.07,0.905,0.679,-5.39
-0.783,1.196,6.07,0.905,0.679,-5.39
-0.784,1.198,6.07,0.905,0.679,-5.39
-0.762,1.174,6.07,0.893,0.679,-5.39
-0.776,1.184,6.07,0.893,0.679,-5.39
-0.768,1.18,6.07,0.896,0.679,-5.39
-0.822,1.279,6.07,0.98,0.679,-5.39
-0.84,1.28,6.07,0.966,0.679,-5.39
-0.833,1.279,6.07,0.97,0.679,-5.39
-0.832,1.278,6.07,0.971,0.679,-5.39
-0.841,1.281,6.07,0.967,0.679,-5.39
-0.83,1.28,6.07,0.974,0.679,-5.39
-0.839,1.285,6.07,0.973,0.679,-5.39
-0.826,1.275,6.07,0.972,0.679,-5.39
-0.828,1.276,6.07,0.971,0.679,-5.39
-0.83,1.278,6.07,0.971,0.679,-5.39
-0.827,1.276,6.07,0.972,0.679,-5.39
-0.82,1.271,6.07,0.971,0.679,-5.39
-0.823,1.272,6.07,0.97,0.679,-5.39
-0.828,1.276,6.07,0.971,0.679,-5.39
-0.837,1.278,6.07,0.967,0.679,-5.39
-0.83,1.271,6.07,0.962,0.679,-5.39
-0.823,1.269,6.07,0.966,0.679,-5.39
-0.813,1.262,6.07,0.966,0.679,-5.39
-0.811,1.262,6.07,0.966,0.679,-5.39
-0.811,1.262,6.07,0.966,0.679,-5.39
-0.822,1.27,6.07,0.968,0.679,-5.39
-0.841,1.27,6.07,0.952,0.679,-5.39
-0.838,1.269,6.07,0.953,0.679,-5.39
-0.838,1.269,6.07,0.953,0.679,-5.39
-0.739,1.064,5.29,0.766,0.679,-4.611
-0.746,1.061,5.167,0.754,0.556,-4.611
-0.719,1.049,5.167,0.763,0.556,-4.611
-0.709,1.046,5.167,0.769,0.556,-4.611
-0.705,1.043,5.167,0.768,0.556,-4.611
-0.631,0.856,4.429,0.579,0.556,-3.873
-0.616,0.849,4.429,0.585,0.556,-3.873
-0.594,0.836,4.429,0.589,0.556,-3.873
-0.58,0.828,4.429,0.591,0.556,-3.873
-0.556,0.822,4.429,0.604,0.556,-3.873
-0.547,0.823,4.429,0.615,0.556,-3.873
-0.526,0.82,4.429,0.629,0.556,-3.873
-0.521,0.821,4.429,0.634,0.556,-3.873
-0.5,0.825,4.675,0.656,0.802,-3.873
-0.489,0.821,4.675,0.66,0.802,-3.873
-0.476,0.816,4.675,0.663,0.802,-3.873
-0.472,0.813,4.675,0.661,0.802,-3.873
-0.451,0.812,4.675,0.675,0.802,-3.873
-0.427,0.812,4.675,0.69,0.802,-3.873
-0.42,0.807,4.675,0.689,0.802,-3.873
-0.414,0.801,4.675,0.686,0.802,-3.873
-0.416,0.802,4.675,0.686,0.802,-3.873
-0.422,0.807,4.675,0.688,0.802,-3.873
-0.418,0.803,4.675,0.686,0.802,-3.873
-0.412,0.797,4.675,0.683,0.802,-3.873
-0.407,0.796,4.675,0.684,0.802,-3.873
-0.401,0.793,4.675,0.685,0.802,-3.873
-0.394,0.789,4.675,0.684,0.802,-3.873
-0.401,0.797,4.675,0.688,0.802,-3.873
-0.394,0.793,4.675,0.688,0.802,-3.873
-0.388,0.791,4.675,0.69,0.802,-3.873
-0.436,0.929,4.716,0.821,0.802,-3.914
-0.413,0.921,4.716,0.823,0.802,-3.914
-0.407,0.918,4.716,0.822,0.802,-3.914
-0.396,0.907,4.716,0.816,0.802,-3.914
-0.403,0.91,4.716,0.816,0.802,-3.914
-0.346,0.763,4.716,0.68,0.802,-3.914
-0.327,0.761,4.716,0.687,0.802,-3.914
-0.332,0.761,4.716,0.685,0.802,-3.914
-0.325,0.757,4.716,0.684,0.802,-3.914
-0.309,0.752,4.716,0.686,0.802,-3.914
-0.311,0.752,4.716,0.684,0.802,-3.914
-0.284,0.747,4.716,0.691,0.802,-3.914
-0.277,0.745,4.716,0.692,0.802,-3.914
-0.261,0.743,4.716,0.696,0.802,-3.914
-0.243,0.731,4.716,0.689,0.802,-3.914
-0.23,0.728,4.716,0.691,0.802,-3.914
-0.232,0.73,4.716,0.692,0.802,-3.914
-0.222,0.728,4.716,0.693,0.802,-3.914
-0.208,0.713,4.716,0.682,0.802,-3.914
-0.192,0.711,4.716,0.684,0.802,-3.914
-0.184,0.698,4.716,0.673,0.802,-3.914
-0.185,0.698,4.716,0.673,0.802,-3.914
-0.167,0.698,4.716,0.678,0.802,-3.914
-0.157,0.696,4.716,0.678,0.802,-3.914
-0.147,0.697,4.716,0.682,0.802,-3.914
-0.136,0.681,4.716,0.668,0.802,-3.914
-0.124,0.677,4.716,0.665,0.802,-3.914
-0.118,0.676,4.716,0.665,0.802,-3.914
-0.101,0.672,4.716,0.665,0.802,-3.914
-0.112,0.668,4.716,0.659,0.802,-3.914
-0.118,0.668,4.716,0.658,0.802,-3.914
-0.118,0.668,4.716,0.657,0.802,-3.914
-0.11,0.671,4.716,0.662,0.802,-3.914
-0.096,0.665,4.716,0.658,0.802,-3.914
-0.092,0.664,4.716,0.658,0.802,-3.914
-0.085,0.667,4.716,0.662,0.802,-3.914
-0.088,0.667,4.716,0.661,0.802,-3.914
-0.091,0.667,4.716,0.661,0.802,-3.914
-0.096,0.665,4.716,0.658,0.802,-3.914
-0.103,0.663,4.716,0.655,0.802,-3.914
-0.102,0.663,4.716,0.655,0.802,-3.914
-0.098,0.665,4.716,0.658,0.802,-3.914
-0.101,0.662,4.634,0.654,0.72,-3.914
-0.105,0.662,4.634,0.654,0.72,-3.914
-0.108,0.662,4.634,0.653,0.72,-3.914
-0.089,0.663,4.634,0.657,0.72,-3.914
-0.094,0.66,4.634,0.653,0.72,-3.914
-0.09,0.664,4.839,0.658,0.925,-3.914
-0.073,0.669,4.839,0.665,0.925,-3.914
-0.053,0.671,4.839,0.668,0.925,-3.914
-0.037,0.67,4.839,0.669,0.925,-3.914
-0.01,0.67,4.839,0.67,0.925,-3.914
-0.005,0.667,4.839,0.667,0.925,-3.914
0.008,0.661,4.839,0.661,0.925,-3.914
0.008,0.661,4.839,0.661,0.925,-3.914
0.008,0.661,4.839,0.661,0.925,-3.914
0.016,0.661,4.839,0.661,0.925,-3.914
0.023,0.652,4.839,0.651,0.925,-3.914
0.026,0.651,4.839,0.651,0.925,-3.914
0.039,0.658,4.839,0.657,0.925,-3.914
0.106,0.421,1.763,0.408,0.925,-0.838
0.098,0.419,1.763,0.407,0.925,-0.838
0.111,0.421,1.763,0.406,0.925,-0.838
0.121,0.414,1.763,0.396,0.925,-0.838
0.144,0.416,1.763,0.391,0.925,-0.838
0.165,0.425,1.763,0.392,0.925,-0.838
0.154,0.421,1.763,0.391,0.925,-0.838
0.168,0.427,1.763,0.392,0.925,-0.838
0.167,0.427,1.763,0.394,0.925,-0.838
0.165,0.427,1.763,0.394,0.925,-0.838
0.178,0.438,1.763,0.4,0.925,-0.838
0.181,0.444,1.763,0.405,0.925,-0.838
0.19,0.449,1.763,0.407,0.925,-0.838
0.198,0.461,1.763,0.416,0.925,-0.838
0.216,0.482,1.927,0.43,1.09,-0.838
0.228,0.495,1.927,0.44,1.09,-0.838
0.258,0.502,1.927,0.43,1.09,-0.838
0.265,0.506,1.927,0.432,1.09,-0.838
0.287,0.523,1.927,0.437,1.09,-0.838
0.279,0.521,1.927,0.44,1.09,-0.838
0.305,0.518,1.763,0.419,1.09,-0.674
0.32,0.526,1.763,0.417,1.09,-0.674
0.325,0.533,1.763,0.422,1.09,-0.674
0.34,0.549,1.763,0.431,1.09,-0.674
0.352,0.566,1.804,0.443,1.131,-0.674
0.374,0.565,1.722,0.424,1.131,-0.592
0.392,0.586,1.804,0.436,1.213,-0.592
0.407,0.598,1.804,0.439,1.213,-0.592
0.405,0.597,1.804,0.439,1.213,-0.592
0.413,0.599,1.804,0.434,1.213,-0.592
0.42,0.601,1.804,0.429,1.213,-0.592
0.42,0.6,1.804,0.429,1.213,-0.592
0.419,0.6,1.804,0.429,1.213,-0.592
0.424,0.602,1.804,0.427,1.213,-0.592
0.429,0.603,1.804,0.425,1.213,-0.592
0.428,0.603,1.804,0.425,1.213,-0.592
0.434,0.605,1.804,0.421,1.213,-0.592
0.446,0.608,1.804,0.412,1.213,-0.592
0.448,0.608,1.804,0.411,1.213,-0.592
0.453,0.61,1.804,0.408,1.213,-0.592
0.448,0.606,1.804,0.409,1.213,-0.592
0.461,0.625,1.845,0.422,1.254,-0.592
0.461,0.625,1.845,0.422,1.254,-0.592
0.474,0.629,1.845,0.414,1.254,-0.592
0.509,0.677,2.543,0.447,1.951,-0.592
0.522,0.697,2.543,0.462,1.951,-0.592
0.525,0.699,2.543,0.461,1.951,-0.592
0.533,0.713,2.543,0.473,1.951,-0.592
0.534,0.713,2.543,0.473,1.951,-0.592
0.541,0.721,2.543,0.477,1.951,-0.592
0.561,0.752,2.543,0.5,1.951,-0.592
0.57,0.764,2.543,0.509,1.951,-0.592
0.583,0.767,2.543,0.498,1.951,-0.592
0.61,0.798,2.543,0.514,1.951,-0.592
0.626,0.806,2.543,0.508,1.951,-0.592
0.64,0.811,2.543,0.498,1.951,-0.592
0.66,0.832,2.543,0.506,1.951,-0.592
0.688,0.84,2.215,0.481,1.951,-0.264
0.699,0.843,2.215,0.472,1.951,-0.264
0.709,0.855,2.215,0.478,1.951,-0.264
0.735,0.883,2.215,0.488,1.951,-0.264
0.741,0.883,2.215,0.48,1.951,-0.264
0.75,0.891,2.215,0.48,1.951,-0.264
0.771,0.905,2.215,0.474,1.951,-0.264
0.786,0.925,2.215,0.487,1.951,-0.264
0.722,0.998,4.962,0.688,1.951,-3.012
0.732,0.999,4.962,0.68,1.951,-3.012
0.749,1.018,4.962,0.689,1.951,-3.012
0.759,1.018,4.962,0.679,1.951,-3.012
0.77,1.024,4.962,0.674,1.951,-3.012
0.79,1.05,4.962,0.691,1.951,-3.012
0.798,1.058,4.962,0.695,1.951,-3.012
0.816,1.076,4.962,0.701,1.951,-3.012
0.827,1.088,4.962,0.707,1.951,-3.012
0.826,1.087,4.962,0.707,1.951,-3.012
0.834,1.095,4.962,0.71,1.951,-3.012
0.784,1.117,4.962,0.796,1.951,-3.012
0.776,1.115,4.962,0.801,1.951,-3.012
0.774,1.114,4.962,0.801,1.951,-3.012
0.817,1.156,5.413,0.818,2.402,-3.012
0.814,1.155,5.413,0.819,2.402,-3.012
0.824,1.163,5.413,0.821,2.402,-3.012
0.833,1.171,5.413,0.824,2.402,-3.012
0.849,1.193,5.413,0.838,2.402,-3.012
0.854,1.198,5.413,0.84,2.402,-3.012
0.869,1.212,5.413,0.845,2.402,-3.012
0.874,1.218,5.413,0.848,2.402,-3.012
0.891,1.237,5.413,0.858,2.402,-3.012
0.905,1.245,5.413,0.855,2.402,-3.012
0.936,1.276,5.413,0.867,2.402,-3.012
0.961,1.298,5.413,0.872,2.402,-3.012
0.971,1.302,5.413,0.867,2.402,-3.012
0.964,1.301,5.413,0.873,2.402,-3.012
0.986,1.317,5.413,0.874,2.402,-3.012
0.997,1.324,5.413,0.87,2.402,-3.012
1.02,1.342,5.413,0.873,2.402,-3.012
1.034,1.351,5.413,0.869,2.402,-3.012
1.051,1.364,5.413,0.869,2.402,-3.012
1.065,1.37,5.413,0.862,2.402,-3.012
