mean,RMS,ptp,std,max,min
0.078,0.486,1.526,0.48,0.637,-0.889
0.101,0.491,1.526,0.48,0.637,-0.889
0.056,0.451,1.49,0.448,0.601,-0.889
0.001,0.409,1.4,0.409,0.511,-0.889
0.008,0.405,1.4,0.405,0.511,-0.889
0.12,0.301,0.811,0.276,0.511,-0.3
0.121,0.3,0.805,0.275,0.511,-0.294
0.109,0.281,0.763,0.26,0.469,-0.294
0.04,0.294,0.865,0.291,0.469,-0.396
-0.112,0.416,1.436,0.401,0.391,-1.045
-0.12,0.421,1.436,0.404,0.391,-1.045
-0.187,0.44,1.436,0.398,0.391,-1.045
-0.138,0.484,1.713,0.464,0.668,-1.045
-0.152,0.485,1.713,0.46,0.668,-1.045
-0.058,0.525,1.731,0.522,0.686,-1.045
-0.084,0.52,1.731,0.513,0.686,-1.045
-0.148,0.591,1.731,0.572,0.686,-1.045
-0.236,0.598,1.731,0.55,0.686,-1.045
-0.197,0.585,1.731,0.551,0.686,-1.045
-0.106,0.484,1.622,0.473,0.686,-0.937
0.003,0.54,1.743,0.54,0.806,-0.937
0.04,0.521,1.743,0.519,0.806,-0.937
-0.103,0.534,1.743,0.524,0.806,-0.937
-0.17,0.584,1.743,0.558,0.806,-0.937
-0.245,0.542,1.743,0.484,0.806,-0.937
-0.267,0.548,1.743,0.478,0.806,-0.937
-0.185,0.462,1.568,0.423,0.806,-0.763
-0.124,0.437,1.568,0.419,0.806,-0.763
-0.067,0.471,1.568,0.466,0.806,-0.763
-0.157,0.571,1.839,0.55,0.806,-1.033
-0.219,0.515,1.586,0.466,0.553,-1.033
-0.287,0.57,1.586,0.492,0.553,-1.033
-0.311,0.606,1.586,0.519,0.553,-1.033
-0.178,0.587,1.616,0.559,0.583,-1.033
-0.239,0.624,1.616,0.576,0.583,-1.033
-0.257,0.633,1.616,0.579,0.583,-1.033
-0.293,0.65,1.616,0.58,0.583,-1.033
-0.249,0.673,1.616,0.625,0.583,-1.033
-0.347,0.664,1.616,0.566,0.583,-1.033
-0.349,0.666,1.634,0.568,0.583,-1.051
-0.45,0.713,1.634,0.553,0.583,-1.051
-0.454,0.718,1.634,0.556,0.583,-1.051
