mean,RMS,ptp,std,max,min
0.362,0.869,3.37,0.789,2.087,-1.283
0.366,0.869,3.37,0.788,2.087,-1.283
0.357,0.872,3.37,0.796,2.087,-1.283
0.369,0.89,3.37,0.809,2.087,-1.283
0.377,0.886,3.37,0.802,2.087,-1.283
0.347,0.861,3.313,0.788,2.03,-1.283
0.344,0.861,3.313,0.789,2.03,-1.283
0.333,0.851,3.313,0.783,2.03,-1.283
0.315,0.835,3.313,0.773,2.03,-1.283
0.304,0.825,3.313,0.767,2.03,-1.283
0.298,0.823,3.313,0.767,2.03,-1.283
0.295,0.822,3.313,0.767,2.03,-1.283
0.3,0.83,3.313,0.774,2.03,-1.283
0.289,0.832,3.313,0.781,2.03,-1.283
0.283,0.826,3.313,0.776,2.03,-1.283
0.277,0.826,3.313,0.778,2.03,-1.283
0.257,0.818,3.313,0.777,2.03,-1.283
0.267,0.829,3.313,0.785,2.03,-1.283
0.262,0.827,3.313,0.784,2.03,-1.283
0.241,0.801,3.313,0.764,2.03,-1.283
0.258,0.808,3.313,0.766,2.03,-1.283
0.253,0.806,3.313,0.765,2.03,-1.283
0.261,0.802,3.313,0.759,2.03,-1.283
0.26,0.802,3.313,0.759,2.03,-1.283
0.254,0.805,3.313,0.764,2.03,-1.283
0.251,0.8,3.313,0.759,2.03,-1.283
0.239,0.797,3.313,0.761,2.03,-1.283
0.223,0.797,3.313,0.765,2.03,-1.283
0.218,0.795,3.313,0.764,2.03,-1.283
0.222,0.796,3.313,0.765,2.03,-1.283
0.188,0.816,4.004,0.793,2.03,-1.974
0.166,0.798,4.004,0.78,2.03,-1.974
0.185,0.83,4.201,0.809,2.228,-1.974
0.165,0.824,4.201,0.807,2.228,-1.974
0.174,0.824,4.201,0.806,2.228,-1.974
0.166,0.818,4.201,0.801,2.228,-1.974
0.158,0.802,4.201,0.787,2.228,-1.974
0.166,0.81,4.201,0.793,2.228,-1.974
0.18,0.817,4.201,0.797,2.228,-1.974
0.176,0.82,4.201,0.801,2.228,-1.974
0.175,0.819,4.201,0.801,2.228,-1.974
0.17,0.821,4.201,0.803,2.228,-1.974
0.181,0.827,4.201,0.807,2.228,-1.974
0.164,0.827,4.201,0.811,2.228,-1.974
0.161,0.827,4.201,0.811,2.228,-1.974
0.166,0.829,4.201,0.812,2.228,-1.974
0.177,0.831,4.201,0.812,2.228,-1.974
0.158,0.828,4.201,0.813,2.228,-1.974
0.158,0.828,4.201,0.813,2.228,-1.974
0.175,0.847,4.201,0.829,2.228,-1.974
0.165,0.846,4.201,0.83,2.228,-1.974
0.186,0.858,4.201,0.838,2.228,-1.974
0.187,0.858,4.201,0.838,2.228,-1.974
0.186,0.858,4.201,0.838,2.228,-1.974
0.2,0.853,4.201,0.829,2.228,-1.974
0.196,0.854,4.201,0.832,2.228,-1.974
0.204,0.864,4.201,0.84,2.228,-1.974
0.183,0.86,4.201,0.84,2.228,-1.974
0.206,0.853,4.201,0.828,2.228,-1.974
0.226,0.865,4.201,0.835,2.228,-1.974
0.243,0.9,4.526,0.867,2.552,-1.974
0.235,0.893,4.526,0.861,2.552,-1.974
