mean,RMS,ptp,std,max,min
-0.931,1.305,2.708,0.914,0.648,-2.059
-0.902,1.261,2.484,0.881,0.648,-1.835
-0.759,1.228,2.484,0.965,0.648,-1.835
-0.828,1.211,2.372,0.883,0.537,-1.835
-0.826,1.207,2.35,0.88,0.537,-1.813
-0.911,1.281,2.35,0.9,0.537,-1.813
-0.842,1.204,2.35,0.86,0.537,-1.813
-0.813,1.167,2.35,0.837,0.537,-1.813
-0.835,1.191,2.35,0.85,0.537,-1.813
-0.949,1.279,2.35,0.858,0.537,-1.813
-1.113,1.315,2.238,0.7,0.425,-1.813
-1.068,1.261,2.238,0.67,0.425,-1.813
-1.26,1.34,1.768,0.456,-0.045,-1.813
-1.348,1.371,0.895,0.254,-0.918,-1.813
-1.314,1.331,0.604,0.209,-0.918,-1.522
-1.303,1.318,0.604,0.201,-0.918,-1.522
-1.209,1.278,1.432,0.414,-0.09,-1.522
-1.202,1.271,1.432,0.412,-0.09,-1.522
-1.287,1.388,2.171,0.52,-0.09,-2.261
-1.321,1.428,2.171,0.544,-0.09,-2.261
-1.377,1.481,2.171,0.547,-0.09,-2.261
-1.399,1.503,2.171,0.549,-0.09,-2.261
-1.428,1.534,2.171,0.561,-0.09,-2.261
-1.462,1.558,2.171,0.539,-0.09,-2.261
-1.482,1.578,2.171,0.543,-0.09,-2.261
-1.524,1.621,2.171,0.551,-0.09,-2.261
-1.419,1.649,3.222,0.839,0.962,-2.261
-1.222,1.611,3.222,1.049,0.962,-2.261
-1.137,1.511,2.82,0.995,0.962,-1.858
-1.169,1.552,3.133,1.021,0.962,-2.171
-1.025,1.463,3.133,1.043,0.962,-2.171
-1.003,1.441,3.133,1.034,0.962,-2.171
-0.969,1.402,3.133,1.013,0.962,-2.171
-0.963,1.397,3.133,1.012,0.962,-2.171
-0.889,1.325,3.133,0.983,0.962,-2.171
-0.851,1.278,3.133,0.954,0.962,-2.171
-1.023,1.264,2.842,0.743,0.671,-2.171
-1.202,1.296,1.947,0.484,-0.224,-2.171
-1.021,1.223,2.573,0.674,0.402,-2.171
-0.905,1.061,1.857,0.555,0.402,-1.455
-0.878,1.059,1.857,0.593,0.402,-1.455
-0.846,1.024,1.857,0.577,0.402,-1.455
-0.875,1.069,2.148,0.613,0.402,-1.746
-0.931,1.143,2.148,0.662,0.402,-1.746
-0.958,1.168,2.148,0.667,0.402,-1.746
-0.9,1.109,2.148,0.649,0.402,-1.746
-0.963,1.169,2.148,0.662,0.402,-1.746
-1.019,1.234,2.148,0.696,0.402,-1.746
-1.171,1.277,1.79,0.51,0.044,-1.746
-0.958,1.286,2.864,0.858,1.118,-1.746
-0.918,1.294,2.864,0.912,1.118,-1.746
-0.922,1.298,2.864,0.913,1.118,-1.746
-0.882,1.249,2.864,0.884,1.118,-1.746
-0.786,1.147,2.797,0.836,1.118,-1.679
-0.567,1.125,2.797,0.972,1.118,-1.679
-0.582,1.138,2.797,0.978,1.118,-1.679
-0.576,1.13,2.797,0.973,1.118,-1.679
-0.356,1.011,2.462,0.946,1.118,-1.343
-0.318,0.975,2.462,0.922,1.118,-1.343
-0.327,0.966,2.372,0.908,1.029,-1.343
-0.551,1.11,2.82,0.964,1.029,-1.791
-0.531,1.093,2.82,0.955,1.029,-1.791
-0.309,1.044,2.82,0.997,1.029,-1.791
-0.327,1.059,2.82,1.007,1.029,-1.791
-0.533,1.068,2.82,0.925,1.029,-1.791
-0.54,1.074,2.82,0.929,1.029,-1.791
-0.551,1.089,2.82,0.939,1.029,-1.791
-0.459,1.168,3.222,1.074,1.432,-1.791
-0.367,1.145,3.222,1.085,1.432,-1.791
-0.567,1.14,3.222,0.989,1.432,-1.791
-0.262,1.065,2.864,1.033,1.432,-1.433
-0.305,1.107,2.864,1.064,1.432,-1.433
-0.488,1.115,2.864,1.002,1.432,-1.433
-0.242,1.172,2.931,1.147,1.499,-1.433
-0.247,1.176,2.931,1.15,1.499,-1.433
-0.204,1.145,2.931,1.126,1.499,-1.433
-0.175,1.112,2.775,1.098,1.499,-1.276
-0.421,1.066,2.775,0.98,1.499,-1.276
-0.553,1.124,2.775,0.979,1.499,-1.276
-0.567,1.137,2.775,0.985,1.499,-1.276
-0.831,1.152,2.887,0.798,1.499,-1.388
-0.797,1.119,2.887,0.786,1.499,-1.388
-0.806,1.127,2.887,0.788,1.499,-1.388
-1.066,1.08,0.738,0.176,-0.649,-1.388
-1.063,1.078,0.738,0.176,-0.649,-1.388
-1.104,1.109,0.448,0.11,-0.94,-1.388
-1.124,1.132,0.448,0.132,-0.94,-1.388
-1.115,1.124,0.448,0.14,-0.94,-1.388
-1.155,1.171,0.604,0.191,-0.94,-1.545
-0.887,1.226,3.133,0.847,1.588,-1.545
-0.873,1.211,3.133,0.84,1.588,-1.545
-0.88,1.217,3.133,0.84,1.588,-1.545
-0.875,1.213,3.133,0.84,1.588,-1.545
