mean,RMS,ptp,std,max,min
16.811,16.811,0.123,0.028,16.847,16.724
16.81,16.81,0.123,0.03,16.847,16.724
16.809,16.809,0.123,0.031,16.847,16.724
16.809,16.809,0.123,0.031,16.847,16.724
16.808,16.808,0.123,0.031,16.847,16.724
16.808,16.808,0.123,0.031,16.847,16.724
16.808,16.808,0.123,0.031,16.847,16.724
16.808,16.808,0.123,0.032,16.847,16.724
16.808,16.808,0.123,0.032,16.847,16.724
16.808,16.808,0.123,0.032,16.847,16.724
16.808,16.808,0.123,0.032,16.847,16.724
16.808,16.808,0.123,0.032,16.847,16.724
16.808,16.808,0.123,0.032,16.847,16.724
16.808,16.808,0.123,0.032,16.847,16.724
16.808,16.808,0.123,0.032,16.847,16.724
16.808,16.808,0.123,0.032,16.847,16.724
16.81,16.81,0.117,0.031,16.847,16.73
16.809,16.809,0.117,0.031,16.847,16.73
16.809,16.81,0.117,0.031,16.847,16.73
16.81,16.81,0.117,0.031,16.847,16.73
16.81,16.81,0.117,0.031,16.847,16.73
16.808,16.808,0.117,0.032,16.847,16.73
16.809,16.809,0.117,0.032,16.847,16.73
16.809,16.809,0.117,0.032,16.847,16.73
16.809,16.809,0.117,0.032,16.847,16.73
16.809,16.809,0.117,0.032,16.847,16.73
16.808,16.808,0.117,0.032,16.847,16.73
16.809,16.809,0.117,0.031,16.847,16.73
16.809,16.809,0.117,0.031,16.847,16.73
16.808,16.809,0.117,0.032,16.847,16.73
16.809,16.809,0.117,0.033,16.847,16.73
16.809,16.809,0.117,0.033,16.847,16.73
16.809,16.809,0.117,0.033,16.847,16.73
16.809,16.809,0.117,0.033,16.847,16.73
16.809,16.809,0.117,0.033,16.847,16.73
16.81,16.81,0.123,0.033,16.853,16.73
16.81,16.81,0.123,0.032,16.853,16.73
16.81,16.81,0.123,0.032,16.853,16.73
16.809,16.809,0.125,0.033,16.853,16.728
16.808,16.808,0.125,0.034,16.853,16.728
16.807,16.807,0.125,0.035,16.853,16.728
16.806,16.806,0.125,0.034,16.853,16.728
16.805,16.805,0.125,0.035,16.853,16.728
16.806,16.806,0.133,0.035,16.861,16.728
16.806,16.806,0.133,0.035,16.861,16.728
16.807,16.807,0.133,0.036,16.861,16.728
16.807,16.807,0.133,0.036,16.861,16.728
16.806,16.806,0.133,0.036,16.861,16.728
16.806,16.806,0.133,0.036,16.861,16.728
16.806,16.806,0.133,0.036,16.861,16.728
16.807,16.807,0.133,0.037,16.861,16.728
16.807,16.807,0.133,0.037,16.861,16.728
16.807,16.808,0.133,0.037,16.861,16.728
16.808,16.808,0.133,0.038,16.861,16.728
16.807,16.807,0.133,0.038,16.861,16.728
16.806,16.806,0.133,0.038,16.861,16.728
16.807,16.807,0.133,0.038,16.861,16.728
16.807,16.807,0.133,0.038,16.861,16.728
16.807,16.807,0.133,0.038,16.861,16.728
16.808,16.808,0.133,0.038,16.861,16.728
16.808,16.808,0.133,0.039,16.861,16.728
16.808,16.808,0.133,0.039,16.861,16.728
16.808,16.808,0.133,0.039,16.861,16.728
16.807,16.807,0.133,0.039,16.861,16.728
16.806,16.806,0.133,0.039,16.861,16.728
16.807,16.807,0.133,0.04,16.861,16.728
16.807,16.807,0.133,0.04,16.861,16.728
16.809,16.809,0.133,0.039,16.861,16.728
16.809,16.809,0.133,0.039,16.861,16.728
16.809,16.809,0.133,0.04,16.861,16.728
16.808,16.808,0.133,0.04,16.861,16.728
16.807,16.807,0.133,0.04,16.861,16.728
16.807,16.808,0.133,0.04,16.861,16.728
16.808,16.808,0.133,0.04,16.861,16.728
16.808,16.808,0.133,0.04,16.861,16.728
16.808,16.808,0.133,0.04,16.861,16.728
16.808,16.808,0.133,0.04,16.861,16.728
16.808,16.808,0.133,0.04,16.861,16.728
16.809,16.809,0.133,0.04,16.861,16.728
16.809,16.809,0.133,0.04,16.861,16.728
16.809,16.809,0.133,0.04,16.861,16.728
16.81,16.811,0.133,0.039,16.861,16.728
16.811,16.811,0.133,0.039,16.861,16.728
16.811,16.811,0.133,0.039,16.861,16.728
16.812,16.812,0.133,0.039,16.861,16.728
16.811,16.811,0.133,0.039,16.861,16.728
16.811,16.811,0.133,0.039,16.861,16.728
16.812,16.812,0.133,0.038,16.861,16.728
16.812,16.812,0.133,0.038,16.861,16.728
16.811,16.811,0.133,0.039,16.861,16.728
16.811,16.811,0.133,0.04,16.861,16.728
16.811,16.811,0.133,0.04,16.861,16.728
16.811,16.811,0.133,0.04,16.861,16.728
16.812,16.812,0.133,0.04,16.861,16.728
16.811,16.811,0.133,0.04,16.861,16.728
16.812,16.812,0.133,0.04,16.861,16.728
16.811,16.812,0.133,0.04,16.861,16.728
16.813,16.813,0.133,0.039,16.861,16.728
16.812,16.812,0.133,0.039,16.861,16.728
16.812,16.812,0.133,0.039,16.861,16.728
16.814,16.814,0.133,0.039,16.861,16.728
16.814,16.814,0.133,0.039,16.861,16.728
16.814,16.814,0.133,0.039,16.861,16.728
16.812,16.812,0.133,0.039,16.861,16.728
16.812,16.812,0.133,0.039,16.861,16.728
16.812,16.812,0.133,0.04,16.861,16.728
16.811,16.811,0.133,0.04,16.861,16.728
16.811,16.811,0.133,0.041,16.861,16.728
