mean,RMS,ptp,std,max,min
26.599,26.599,0.123,0.028,26.631,26.508
26.598,26.598,0.123,0.028,26.631,26.508
26.601,26.601,0.123,0.025,26.631,26.508
26.6,26.6,0.123,0.024,26.631,26.508
26.601,26.601,0.124,0.025,26.632,26.508
26.6,26.6,0.124,0.025,26.632,26.508
26.594,26.594,0.124,0.031,26.632,26.508
26.594,26.594,0.124,0.031,26.632,26.508
26.595,26.595,0.124,0.032,26.632,26.508
26.6,26.6,0.124,0.025,26.632,26.508
26.601,26.601,0.124,0.025,26.632,26.508
26.601,26.601,0.124,0.025,26.632,26.508
26.602,26.602,0.124,0.026,26.632,26.508
26.603,26.603,0.124,0.026,26.632,26.508
26.604,26.604,0.124,0.026,26.632,26.508
26.604,26.605,0.124,0.026,26.632,26.508
26.601,26.601,0.124,0.032,26.632,26.508
26.6,26.6,0.124,0.032,26.632,26.508
26.6,26.6,0.124,0.031,26.632,26.508
26.599,26.599,0.124,0.032,26.632,26.508
26.6,26.6,0.124,0.032,26.632,26.508
26.601,26.601,0.124,0.032,26.632,26.508
26.6,26.6,0.124,0.032,26.632,26.508
26.601,26.601,0.124,0.032,26.632,26.508
26.601,26.601,0.121,0.031,26.629,26.508
26.601,26.601,0.121,0.031,26.629,26.508
26.607,26.607,0.105,0.023,26.629,26.524
26.606,26.606,0.101,0.022,26.625,26.524
26.605,26.605,0.101,0.022,26.625,26.524
26.606,26.606,0.101,0.023,26.625,26.524
26.605,26.605,0.101,0.022,26.625,26.524
26.606,26.606,0.101,0.023,26.625,26.524
26.604,26.604,0.101,0.022,26.625,26.524
26.604,26.604,0.101,0.022,26.625,26.524
26.605,26.605,0.11,0.023,26.634,26.524
26.603,26.603,0.11,0.022,26.634,26.524
26.607,26.607,0.058,0.013,26.634,26.576
26.604,26.604,0.109,0.022,26.634,26.525
26.6,26.6,0.109,0.028,26.634,26.525
26.598,26.598,0.109,0.03,26.634,26.525
26.598,26.598,0.109,0.03,26.634,26.525
26.598,26.598,0.109,0.03,26.634,26.525
26.598,26.598,0.109,0.03,26.634,26.525
26.597,26.597,0.109,0.03,26.634,26.525
26.597,26.597,0.109,0.029,26.634,26.525
26.597,26.597,0.109,0.03,26.634,26.525
26.596,26.596,0.109,0.029,26.634,26.525
26.597,26.597,0.109,0.029,26.634,26.525
26.596,26.596,0.109,0.029,26.634,26.525
26.592,26.592,0.114,0.033,26.634,26.52
26.588,26.589,0.114,0.035,26.634,26.52
26.582,26.582,0.137,0.04,26.634,26.497
26.582,26.582,0.137,0.04,26.634,26.497
26.582,26.582,0.137,0.04,26.634,26.497
26.582,26.582,0.132,0.039,26.629,26.497
26.582,26.582,0.132,0.04,26.629,26.497
26.583,26.583,0.132,0.04,26.629,26.497
26.587,26.587,0.132,0.038,26.629,26.497
26.59,26.59,0.132,0.036,26.629,26.497
26.593,26.593,0.132,0.034,26.629,26.497
26.593,26.593,0.132,0.034,26.629,26.497
26.594,26.594,0.132,0.034,26.629,26.497
26.595,26.595,0.132,0.035,26.629,26.497
26.596,26.596,0.132,0.035,26.629,26.497
26.595,26.595,0.132,0.035,26.629,26.497
26.596,26.596,0.132,0.035,26.629,26.497
26.596,26.596,0.132,0.035,26.629,26.497
26.596,26.596,0.132,0.035,26.629,26.497
26.595,26.595,0.132,0.035,26.629,26.497
26.6,26.6,0.132,0.031,26.629,26.497
26.604,26.604,0.132,0.027,26.629,26.497
26.605,26.605,0.108,0.022,26.629,26.521
26.606,26.606,0.108,0.022,26.629,26.521
26.602,26.602,0.108,0.028,26.629,26.521
26.6,26.6,0.104,0.027,26.625,26.521
26.6,26.6,0.104,0.027,26.625,26.521
26.599,26.599,0.104,0.027,26.625,26.521
26.598,26.598,0.104,0.027,26.625,26.521
26.599,26.599,0.104,0.027,26.625,26.521
26.599,26.599,0.104,0.027,26.625,26.521
26.599,26.599,0.104,0.027,26.625,26.521
26.599,26.599,0.104,0.027,26.625,26.521
26.599,26.599,0.104,0.027,26.625,26.521
26.6,26.6,0.104,0.027,26.625,26.521
26.6,26.6,0.104,0.027,26.625,26.521
26.599,26.599,0.102,0.027,26.623,26.521
26.6,26.6,0.106,0.027,26.627,26.521
26.599,26.599,0.106,0.027,26.627,26.521
26.6,26.6,0.106,0.027,26.627,26.521
26.6,26.6,0.106,0.027,26.627,26.521
26.6,26.6,0.106,0.027,26.627,26.521
26.604,26.604,0.1,0.02,26.627,26.527
26.605,26.605,0.1,0.02,26.627,26.527
26.609,26.609,0.038,0.01,26.627,26.589
26.61,26.61,0.034,0.009,26.627,26.593
26.61,26.61,0.034,0.009,26.627,26.593
26.612,26.612,0.039,0.01,26.632,26.593
26.61,26.61,0.082,0.016,26.632,26.55
26.61,26.61,0.082,0.017,26.632,26.55
26.611,26.611,0.082,0.017,26.632,26.55
26.611,26.611,0.082,0.017,26.632,26.55
26.611,26.611,0.082,0.017,26.632,26.55
26.611,26.611,0.082,0.017,26.632,26.55
26.61,26.61,0.082,0.017,26.632,26.55
26.609,26.609,0.082,0.017,26.632,26.55
26.611,26.611,0.092,0.018,26.642,26.55
26.61,26.61,0.092,0.018,26.642,26.55
26.611,26.611,0.092,0.018,26.642,26.55
26.611,26.611,0.092,0.018,26.642,26.55
26.611,26.611,0.092,0.018,26.642,26.55
26.611,26.611,0.092,0.018,26.642,26.55
26.612,26.612,0.092,0.018,26.642,26.55
26.612,26.612,0.092,0.018,26.642,26.55
26.612,26.612,0.092,0.018,26.642,26.55
26.612,26.612,0.092,0.018,26.642,26.55
26.611,26.611,0.092,0.018,26.642,26.55
26.61,26.61,0.092,0.018,26.642,26.55
26.613,26.613,0.05,0.012,26.642,26.592
26.611,26.611,0.058,0.013,26.642,26.584
26.61,26.61,0.058,0.013,26.642,26.584
26.611,26.611,0.058,0.013,26.642,26.584
26.611,26.611,0.058,0.014,26.642,26.584
26.611,26.611,0.058,0.014,26.642,26.584
26.606,26.606,0.153,0.03,26.642,26.489
26.606,26.606,0.153,0.03,26.642,26.489
26.604,26.604,0.146,0.029,26.635,26.489
26.601,26.601,0.146,0.032,26.635,26.489
26.601,26.601,0.146,0.032,26.635,26.489
26.601,26.601,0.146,0.032,26.635,26.489
26.6,26.6,0.146,0.032,26.635,26.489
26.6,26.6,0.146,0.032,26.635,26.489
26.599,26.599,0.146,0.032,26.635,26.489
26.594,26.594,0.146,0.039,26.635,26.489
26.589,26.589,0.146,0.042,26.635,26.489
26.586,26.586,0.146,0.042,26.635,26.489
26.588,26.588,0.146,0.043,26.635,26.489
26.588,26.588,0.146,0.043,26.635,26.489
26.587,26.587,0.146,0.042,26.635,26.489
26.583,26.583,0.146,0.046,26.635,26.489
26.584,26.584,0.146,0.046,26.635,26.489
26.584,26.584,0.146,0.046,26.635,26.489
26.581,26.581,0.138,0.045,26.627,26.489
26.581,26.581,0.138,0.044,26.627,26.489
26.587,26.587,0.134,0.039,26.627,26.493
26.587,26.587,0.134,0.039,26.627,26.493
26.586,26.586,0.134,0.039,26.627,26.493
26.588,26.588,0.134,0.037,26.627,26.493
26.588,26.588,0.134,0.037,26.627,26.493
26.587,26.587,0.134,0.037,26.627,26.493
26.587,26.587,0.134,0.037,26.627,26.493
26.587,26.587,0.134,0.037,26.627,26.493
26.588,26.588,0.134,0.038,26.627,26.493
26.594,26.594,0.119,0.031,26.627,26.508
26.595,26.595,0.119,0.03,26.627,26.508
26.597,26.597,0.119,0.03,26.627,26.508
26.596,26.596,0.114,0.029,26.622,26.508
26.598,26.598,0.13,0.031,26.638,26.508
26.598,26.598,0.13,0.031,26.638,26.508
26.598,26.598,0.129,0.031,26.638,26.509
26.592,26.592,0.134,0.036,26.638,26.504
26.592,26.592,0.134,0.036,26.638,26.504
26.593,26.593,0.134,0.036,26.638,26.504
26.589,26.589,0.134,0.04,26.638,26.504
26.589,26.589,0.134,0.04,26.638,26.504
26.59,26.59,0.134,0.041,26.638,26.504
26.593,26.593,0.134,0.042,26.638,26.504
26.594,26.594,0.134,0.042,26.638,26.504
26.594,26.594,0.134,0.042,26.638,26.504
26.595,26.595,0.134,0.043,26.638,26.504
26.597,26.597,0.134,0.043,26.638,26.504
26.595,26.595,0.134,0.043,26.638,26.504
26.595,26.595,0.134,0.043,26.638,26.504
26.596,26.596,0.134,0.043,26.638,26.504
26.601,26.601,0.134,0.04,26.638,26.504
26.602,26.602,0.134,0.04,26.638,26.504
26.603,26.603,0.134,0.041,26.638,26.504
26.602,26.602,0.134,0.04,26.638,26.504
26.602,26.602,0.134,0.04,26.638,26.504
26.601,26.601,0.142,0.042,26.638,26.496
26.607,26.607,0.142,0.036,26.638,26.496
26.608,26.608,0.142,0.036,26.638,26.496
26.609,26.609,0.142,0.036,26.638,26.496
