AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/10/09 08:18:43 250,M_1-PreAMP-S_2-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/10/09 08:18:43 250,194.801,-21.022,181009301,194801720,381133933,13.703,12.889,12.864, 0.000, 0.000,-41.605,20.527 

2019/10/09 08:18:44 290,194.801,-21.016,179616980,194801742,381766910,13.774,12.820,12.802, 0.000, 0.000,-41.604,20.533 

2019/10/09 08:18:45 301,194.801,-21.016,180376671,194801862,376577182,13.497,13.093,13.083, 0.000, 0.000,-41.620,20.549 

2019/10/09 08:18:46 285,194.801,-21.016,180376671,194801862,376577182,13.497,13.093,13.083, 0.000, 0.000,-41.725,20.502 

2019/10/09 08:18:47 272,194.801,-21.167,178731048,194801818,385058355,13.972,12.463,12.436, 0.000, 0.000,-41.725,20.502 

2019/10/09 08:18:48 253,194.801,-21.090,179110777,194801807,384172165,13.932,12.581,12.565, 0.000, 0.000,-41.657,20.512 

2019/10/09 08:18:49 239,194.801,-21.082,180249939,194801783,381260539,13.722,12.802,12.785, 0.000, 0.000,-41.661,20.524 

2019/10/09 08:18:50 193,194.801,-21.235,178984092,194801754,385311616,13.890,12.468,12.459, 0.000, 0.000,-41.717,20.426 

2019/10/09 08:18:51 207,194.801,-21.173,181136105,194801838,385058405,13.929,12.493,12.473, 0.000, 0.000,-41.718,20.489 

2019/10/09 08:18:52 193,194.801,-21.062,180123371,194801784,383919004,13.932,12.610,12.593, 0.000, 0.000,-41.648,20.530 

2019/10/09 08:18:53 174,194.801,-21.062,180123371,194801784,383919004,13.932,12.610,12.593, 0.000, 0.000,-41.747,20.550 

2019/10/09 08:18:54 160,194.801,-21.142,179870187,194801773,382020121,13.802,12.651,12.639, 0.000, 0.000,-41.747,20.550 

2019/10/09 08:18:55 145,194.801,-21.227,179490505,194801809,383539237,13.798,12.566,12.551, 0.000, 0.000,-41.726,20.443 

2019/10/09 08:18:56 127,194.801,-21.162,180882921,194801822,384678688,13.874,12.563,12.554, 0.000, 0.000,-41.715,20.497 

2019/10/09 08:18:57 847,194.801,-21.241,179870327,194801844,383792548,13.770,12.581,12.564, 0.000, 0.000,-41.719,20.422 

2019/10/09 08:18:58 975,194.801,-21.062,180123371,194801787,381513749,13.725,12.818,12.798, 0.000, 0.000,-41.631,20.513 

2019/10/09 08:18:59 819,194.801,-21.062,179237229,194801742,381260539,13.725,12.815,12.798, 0.000, 0.000,-41.638,20.441 

