AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2019/10/29 22:20:15 626,M_1-PreAMP-S_3-1-D_1 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2019/10/29 22:20:15 626,194.801,-20.404,179869416,194801361,368094538,13.152,13.706,13.691, 0.000, 0.000,-42.361,21.917 

2019/10/29 22:20:16 667,194.801,-20.410,179869579,194801440,369487133,13.157,13.695,13.681, 0.000, 0.000,-42.335,21.885 

2019/10/29 22:20:17 676,194.801,-20.490,179236716,194801464,369866849,13.198,13.568,13.552, 0.000, 0.000,-42.379,21.848 

2019/10/29 22:20:18 662,194.801,-20.490,179236716,194801464,369866849,13.198,13.568,13.552, 0.000, 0.000,-42.373,21.850 

2019/10/29 22:20:19 648,194.801,-20.482,177717669,194801413,370246662,13.298,13.482,13.463, 0.000, 0.000,-42.373,21.850 

2019/10/29 22:20:20 629,194.801,-20.413,179616327,194801395,367588122,13.127,13.725,13.708, 0.000, 0.000,-42.351,21.897 

2019/10/29 22:20:21 616,194.801,-20.422,179616397,194801431,369233925,13.168,13.670,13.657, 0.000, 0.000,-42.331,21.868 

2019/10/29 22:20:22 571,194.801,-20.397,178350694,194801481,370499918,13.317,13.551,13.529, 0.000, 0.000,-42.363,21.925 

2019/10/29 22:20:23 584,194.801,-20.506,179236530,194801362,366322132,13.020,13.734,13.718, 0.000, 0.000,-42.378,21.831 

2019/10/29 22:20:24 569,194.801,-20.506,180375898,194801445,369360481,13.113,13.638,13.624, 0.000, 0.000,-42.366,21.818 

2019/10/29 22:20:25 555,194.801,-20.506,180375898,194801445,369360481,13.113,13.638,13.627, 0.000, 0.000,-42.376,21.860 

2019/10/29 22:20:26 536,194.801,-20.476,179869579,194801444,370499918,13.257,13.529,13.513, 0.000, 0.000,-42.376,21.860 

2019/10/29 22:20:27 522,194.801,-20.403,178856989,194801472,369866946,13.279,13.584,13.564, 0.000, 0.000,-42.361,21.917 

2019/10/29 22:20:28 505,194.801,-20.486,179109986,194801380,368094538,13.141,13.634,13.619, 0.000, 0.000,-42.370,21.843 

2019/10/29 22:20:29 489,194.801,-20.472,178477169,194801421,370626522,13.242,13.545,13.532, 0.000, 0.000,-42.342,21.829 

2019/10/29 22:20:30 473,194.801,-20.390,178097488,194801458,370879634,13.327,13.548,13.531, 0.000, 0.000,-42.344,21.914 

2019/10/29 22:20:31 457,194.801,-20.390,178097488,194801458,370879634,13.327,13.548,13.531, 0.000, 0.000,-42.385,21.860 

2019/10/29 22:20:32 442,194.801,-20.484,179489759,194801400,368474349,13.203,13.574,13.554, 0.000, 0.000,-42.371,21.845 

2019/10/29 22:20:33 427,194.801,-20.394,179742918,194801397,367967838,13.132,13.735,13.723, 0.000, 0.000,-42.347,21.912 

2019/10/29 22:20:34 413,194.801,-20.491,179489852,194801453,369487181,13.196,13.572,13.554, 0.000, 0.000,-42.370,21.838 

2019/10/29 22:20:35 368,194.801,-20.488,179236763,194801486,370246710,13.220,13.547,13.531, 0.000, 0.000,-42.360,21.830 

2019/10/29 22:20:36 382,194.801,-20.426,178856850,194801392,370626522,13.293,13.543,13.522, 0.000, 0.000,-42.362,21.896 

2019/10/29 22:20:37 364,194.801,-20.477,179995913,194801311,365942369,13.018,13.767,13.746, 0.000, 0.000,-42.373,21.855 

2019/10/29 22:20:38 349,194.801,-20.477,179995913,194801311,365942369,13.018,13.767,13.746, 0.000, 0.000,-42.339,21.920 

2019/10/29 22:20:39 332,194.801,-20.379,179110125,194801458,369234021,13.216,13.670,13.656, 0.000, 0.000,-42.339,21.920 

2019/10/29 22:20:40 319,194.801,-20.396,179236647,194801424,370879779,13.315,13.559,13.535, 0.000, 0.000,-42.359,21.923 

2019/10/29 22:20:41 301,194.801,-20.399,178730305,194801414,367461566,13.178,13.690,13.673, 0.000, 0.000,-42.365,21.926 

2019/10/29 22:20:42 257,194.801,-20.394,178603668,194801385,368854161,13.240,13.635,13.609, 0.000, 0.000,-42.338,21.903 

2019/10/29 22:20:43 274,194.801,-20.411,179363261,194801444,369487181,13.258,13.599,13.580, 0.000, 0.000,-42.346,21.894 

2019/10/29 22:20:44 254,194.801,-20.474,178603807,194801455,371132843,13.298,13.493,13.477, 0.000, 0.000,-42.380,21.865 

2019/10/29 22:20:45 240,194.801,-20.474,178603807,194801455,371132843,13.298,13.493,13.473, 0.000, 0.000,-42.340,21.899 

2019/10/29 22:20:46 224,194.801,-20.400,178730305,194801407,366828452,13.129,13.732,13.715, 0.000, 0.000,-42.340,21.899 

2019/10/29 22:20:47 210,194.801,-20.485,180122668,194801400,367841378,13.113,13.667,13.642, 0.000, 0.000,-42.371,21.845 

2019/10/29 22:20:48 192,194.801,-20.377,179489852,194801447,370120250,13.284,13.599,13.581, 0.000, 0.000,-42.362,21.945 

2019/10/29 22:20:49 172,194.801,-20.373,178603784,194801443,371006383,13.368,13.526,13.507, 0.000, 0.000,-42.361,21.947 

2019/10/29 22:20:50 162,194.801,-20.382,178856827,194801380,366955151,13.160,13.729,13.703, 0.000, 0.000,-42.351,21.928 

2019/10/29 22:20:51 145,194.801,-20.382,178856827,194801380,366955151,13.160,13.729,13.703, 0.000, 0.000,-42.370,21.861 

2019/10/29 22:20:52 131,194.801,-20.468,180375781,194801381,368727653,13.176,13.616,13.602, 0.000, 0.000,-42.420,21.904 

2019/10/29 22:20:53 116,194.801,-20.476,178603784,194801444,369487085,13.301,13.489,13.476, 0.000, 0.000,-42.435,21.919 

2019/10/29 22:20:54 100,194.801,-20.463,179110032,194801402,369740389,13.236,13.560,13.544, 0.000, 0.000,-42.384,21.879 

2019/10/29 22:20:55 586,194.801,-20.463,179742871,194801374,367841378,13.141,13.660,13.637, 0.000, 0.000,-42.369,21.866 

2019/10/29 22:20:56 681,194.801,-20.401,179110172,194801486,370120106,13.211,13.658,13.632, 0.000, 0.000,-42.339,21.898 

2019/10/29 22:20:57 540,194.801,-20.573,178603760,194801436,371259495,13.343,13.342,13.319, 0.000, 0.000,-42.459,21.845 

2019/10/29 22:20:58 393,194.801,-20.573,178603760,194801436,371259495,13.343,13.342,13.319, 0.000, 0.000,-42.365,21.863 

2019/10/29 22:20:59 203,194.801,-20.461,179110009,194801392,366575387,13.040,13.769,13.744, 0.000, 0.000,-42.365,21.863 

