AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/12 20:38:38 704,M_1-PreAMP-S_3-2-D_1_25 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/12 20:38:38 704,194.802,-20.749,181768828,194801740,292148608,12.022,13.216,13.157, 0.000, 0.000,-47.376,26.613 

2020/02/12 20:38:39 114,194.803,-20.759,183414427,194801778,291009437,11.795,13.432,13.368, 0.000, 0.000,-47.376,26.539 

2020/02/12 20:38:40 122,194.801,-20.744,182148651,194801786,289237230,11.713,13.530,13.473, 0.000, 0.000,-47.384,26.626 

2020/02/12 20:38:41 106,194.802,-20.747,181642284,194801765,291009324,11.839,13.391,13.341, 0.000, 0.000,-47.372,26.610 

2020/02/12 20:38:42 769,194.802,-20.745,182908084,194801764,290756275,11.828,13.408,13.346, 0.000, 0.000,-47.379,26.621 

2020/02/12 20:38:43 754,194.801,-20.746,182022059,194801780,289490429,11.691,13.548,13.489, 0.000, 0.000,-47.391,26.631 

2020/02/12 20:38:44 600,194.802,-20.747,181768852,194801753,289870077,11.695,13.550,13.485, 0.000, 0.000,-47.375,26.615 

2020/02/12 20:38:45 203,194.803,-20.747,183034723,194801790,290882837,11.847,13.394,13.328, 0.000, 0.000,-47.375,26.599 

2020/02/12 20:38:46 289,194.803,-20.868,182022083,194801797,289617029,11.652,13.469,13.407, 0.000, 0.000,-47.391,26.508 

2020/02/12 20:38:47 110,194.802,-20.764,181642260,194801744,292528332,12.057,13.165,13.107, 0.000, 0.000,-47.379,26.600 

2020/02/12 20:38:47 978,194.802,-20.759,182654947,194801774,290503151,11.768,13.459,13.399, 0.000, 0.000,-47.368,26.600 

2020/02/12 20:38:48 982,194.801,-20.762,181642307,194801772,288984068,11.639,13.588,13.523, 0.000, 0.000,-47.389,26.613 

2020/02/12 20:38:49 965,194.802,-20.766,181895396,194801734,292654931,12.004,13.218,13.158, 0.000, 0.000,-47.376,26.596 

2020/02/12 20:38:50 951,194.802,-20.756,182275219,194801778,290503151,11.817,13.414,13.351, 0.000, 0.000,-47.373,26.600 

2020/02/12 20:38:51 935,194.801,-20.766,181515692,194801750,288730794,11.620,13.602,13.540, 0.000, 0.000,-47.390,26.618 

2020/02/12 20:38:52 918,194.802,-20.761,182021964,194801732,293414455,12.091,13.125,13.062, 0.000, 0.000,-47.376,26.601 

2020/02/12 20:38:53 901,194.803,-20.754,182401835,194801798,289870266,11.690,13.538,13.484, 0.000, 0.000,-47.375,26.607 

2020/02/12 20:38:54 888,194.802,-20.845,181768828,194801742,292401808,11.981,13.162,13.099, 0.000, 0.000,-47.394,26.620 

2020/02/12 20:38:55 870,194.802,-20.768,182654852,194801719,293920740,12.084,13.121,13.069, 0.000, 0.000,-47.375,26.593 

2020/02/12 20:38:56 856,194.802,-20.780,182148698,194801815,290123465,11.701,13.512,13.446, 0.000, 0.000,-47.372,26.578 

2020/02/12 20:38:57 838,194.802,-20.761,182022012,194801753,289237154,11.608,13.618,13.550, 0.000, 0.000,-47.370,26.593 

2020/02/12 20:38:58 823,194.803,-20.749,182528332,194801755,291262599,11.810,13.428,13.369, 0.000, 0.000,-47.363,26.600 

2020/02/12 20:38:59 807,194.802,-20.766,183414356,194801735,293794331,12.196,13.027,12.961, 0.000, 0.000,-47.369,26.589 

2020/02/12 20:39:00 773,194.801,-20.767,182275172,194801757,289490278,11.664,13.558,13.495, 0.000, 0.000,-47.394,26.632 

2020/02/12 20:39:01 776,194.801,-20.762,183034652,194801750,291262523,11.765,13.466,13.397, 0.000, 0.000,-47.379,26.602 

2020/02/12 20:39:02 762,194.801,-20.852,183414403,194801758,291009399,11.718,13.420,13.357, 0.000, 0.000,-47.375,26.508 

2020/02/12 20:39:03 723,194.803,-20.750,181768828,194801738,292781531,12.021,13.205,13.152, 0.000, 0.000,-47.398,26.629 

2020/02/12 20:39:04 730,194.803,-20.754,182908036,194801734,294047378,12.119,13.112,13.044, 0.000, 0.000,-47.384,26.616 

2020/02/12 20:39:05 714,194.804,-20.768,183034723,194801791,291642398,11.877,13.343,13.278, 0.000, 0.000,-47.389,26.607 

2020/02/12 20:39:06 688,194.803,-20.749,181642213,194801720,293034655,12.046,13.195,13.129, 0.000, 0.000,-47.388,26.621 

2020/02/12 20:39:07 682,194.802,-20.760,182908060,194801751,291262561,11.774,13.442,13.394, 0.000, 0.000,-47.375,26.601 

2020/02/12 20:39:08 668,194.802,-20.751,183161267,194801773,291262674,11.829,13.410,13.348, 0.000, 0.000,-47.390,26.625 

2020/02/12 20:39:09 653,194.805,-20.859,183287788,194801738,293414340,12.018,13.113,13.048, 0.000, 0.000,-47.393,26.625 

2020/02/12 20:39:10 636,194.802,-20.748,183161220,194801751,291135961,11.803,13.439,13.377, 0.000, 0.000,-47.377,26.618 

2020/02/12 20:39:11 621,194.802,-20.751,182528403,194801788,290249952,11.732,13.506,13.427, 0.000, 0.000,-47.390,26.625 

2020/02/12 20:39:12 604,194.801,-20.837,182528237,194801702,293920664,12.082,13.066,13.005, 0.000, 0.000,-47.375,26.524 

2020/02/12 20:39:13 589,194.802,-20.765,183414427,194801772,291515798,11.836,13.386,13.309, 0.000, 0.000,-47.374,26.602 

2020/02/12 20:39:14 574,194.801,-20.763,182022083,194801793,289617029,11.708,13.518,13.456, 0.000, 0.000,-47.381,26.604 

2020/02/12 20:39:15 558,194.800,-20.785,181389077,194801738,294047187,12.193,13.010,12.946, 0.000, 0.000,-47.376,26.576 

2020/02/12 20:39:16 532,194.802,-20.863,183287883,194801795,291515836,11.788,13.337,13.277, 0.000, 0.000,-47.375,26.609 

2020/02/12 20:39:17 527,194.801,-20.770,182022059,194801779,289363829,11.665,13.534,13.489, 0.000, 0.000,-47.389,26.605 

2020/02/12 20:39:18 513,194.802,-20.769,182021988,194801745,289237079,11.630,13.590,13.523, 0.000, 0.000,-47.370,26.587 

2020/02/12 20:39:19 473,194.803,-20.861,183920700,194801746,291135961,11.695,13.430,13.367, 0.000, 0.000,-47.377,26.612 

2020/02/12 20:39:20 479,194.803,-20.757,182908107,194801775,290756313,11.801,13.428,13.367, 0.000, 0.000,-47.387,26.616 

2020/02/12 20:39:21 464,194.803,-20.767,181895538,194801809,290123427,11.810,13.411,13.349, 0.000, 0.000,-47.392,26.610 

2020/02/12 20:39:22 428,194.802,-20.758,182781492,194801752,291135961,11.724,13.507,13.445, 0.000, 0.000,-47.386,26.625 

2020/02/12 20:39:23 432,194.801,-20.756,183414403,194801764,291515798,11.799,13.434,13.370, 0.000, 0.000,-47.377,26.607 

2020/02/12 20:39:24 418,194.802,-20.768,182528379,194801780,289996865,11.739,13.482,13.421, 0.000, 0.000,-47.390,26.608 

2020/02/12 20:39:25 391,194.802,-20.767,183161196,194801734,293540940,12.103,13.120,13.057, 0.000, 0.000,-47.394,26.619 

2020/02/12 20:39:26 388,194.802,-20.770,183034652,194801753,291009399,11.793,13.424,13.361, 0.000, 0.000,-47.377,26.593 

2020/02/12 20:39:27 370,194.803,-20.754,182528403,194801792,290503151,11.756,13.465,13.416, 0.000, 0.000,-47.389,26.621 

2020/02/12 20:39:28 355,194.803,-20.757,182528261,194801717,293287664,12.141,13.091,13.024, 0.000, 0.000,-47.370,26.601 

2020/02/12 20:39:29 341,194.802,-20.759,183414403,194801758,290882875,11.796,13.437,13.360, 0.000, 0.000,-47.377,26.613 

2020/02/12 20:39:30 323,194.802,-20.742,182275219,194801778,289237267,11.711,13.537,13.474, 0.000, 0.000,-47.390,26.634 

2020/02/12 20:39:31 309,194.803,-20.769,182401669,194801706,294553663,12.268,12.955,12.889, 0.000, 0.000,-47.376,26.593 

2020/02/12 20:39:32 294,194.802,-20.759,183161267,194801775,291515798,11.877,13.343,13.278, 0.000, 0.000,-47.382,26.614 

2020/02/12 20:39:33 276,194.802,-20.856,182781539,194801775,289363792,11.619,13.517,13.454, 0.000, 0.000,-47.395,26.525 

2020/02/12 20:39:34 260,194.802,-20.838,182907965,194801698,294427025,12.134,13.023,12.956, 0.000, 0.000,-47.379,26.527 

2020/02/12 20:39:35 237,194.802,-20.760,182908131,194801784,291262637,11.822,13.407,13.348, 0.000, 0.000,-47.374,26.546 

2020/02/12 20:39:36 229,194.802,-20.758,182148675,194801795,289617029,11.691,13.543,13.479, 0.000, 0.000,-47.385,26.612 

2020/02/12 20:39:37 215,194.803,-20.768,181642284,194801766,289363754,11.647,13.576,13.513, 0.000, 0.000,-47.376,26.594 

2020/02/12 20:39:38 176,194.802,-20.767,182654971,194801788,290882875,11.796,13.430,13.367, 0.000, 0.000,-47.367,26.593 

2020/02/12 20:39:39 183,194.802,-20.766,181768875,194801771,289237267,11.665,13.556,13.496, 0.000, 0.000,-47.374,26.594 

2020/02/12 20:39:40 167,194.801,-20.756,181768875,194801765,289110630,11.645,13.586,13.519, 0.000, 0.000,-47.378,26.608 

2020/02/12 20:39:41 130,194.802,-20.850,183034628,194801740,293540978,12.010,13.132,13.066, 0.000, 0.000,-47.394,26.617 

2020/02/12 20:39:42 136,194.802,-20.757,183540995,194801764,291389199,11.813,13.412,13.355, 0.000, 0.000,-47.378,26.607 

2020/02/12 20:39:43 120,194.802,-20.763,182148627,194801776,289743628,11.736,13.492,13.426, 0.000, 0.000,-47.395,26.618 

2020/02/12 20:39:44 942,194.802,-20.760,182401692,194801720,293540902,12.122,13.107,13.045, 0.000, 0.000,-47.376,26.600 

2020/02/12 20:39:45 897,194.801,-20.864,183540972,194801754,291262561,11.727,13.404,13.333, 0.000, 0.000,-47.376,26.520 

2020/02/12 20:39:46 734,194.802,-20.847,182781587,194801803,290376627,11.771,13.375,13.309, 0.000, 0.000,-47.395,26.533 

2020/02/12 20:39:47 569,194.803,-20.757,182021941,194801716,293794025,12.186,13.046,12.987, 0.000, 0.000,-47.378,26.497 

2020/02/12 20:39:48 437,194.803,-20.766,183540995,194801763,291515798,11.805,13.418,13.358, 0.000, 0.000,-47.369,26.590 

2020/02/12 20:39:49 259,194.803,-20.765,182528403,194801791,290376551,11.767,13.459,13.397, 0.000, 0.000,-47.393,26.613 

