AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/13 16:36:21 607,M_1-PreAMP-S_2-D_1_125 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/13 16:36:21 607,194.800,-25.590,244297060,194800837, 0.000,28.863,0.05564557,0.01516798, 0.000, 0.000,-46.638,21.042 

2020/02/13 16:36:22 646,194.800,-25.684,244297092,194800850, 0.000,28.760,0.09466138,0.03533535, 0.000, 0.000,-46.619,21.151 

2020/02/13 16:36:23 653,194.800,-25.467,224044512,194800858, 0.000,28.996,0.08582996,-0.02699014, 0.000, 0.000,-46.618,21.145 

2020/02/13 16:36:24 636,194.800,-25.623,235436621,194800871, 0.000,28.819,0.06480252,0.00313903, 0.000, 0.000,-46.622,20.992 

2020/02/13 16:36:25 598,194.800,-25.620,246828700,194800863, 0.000,28.832,0.07627350,0.00442059, 0.000, 0.000,-46.648,20.897 

2020/02/13 16:36:26 604,194.800,-25.628,229107605,194800838, 0.000,28.783,0,0.06585962, 0.000, 0.000,-46.630,20.995 

2020/02/13 16:36:27 589,194.800,-25.468,246828636,194800838, 0.000,28.978,0,0.01682383, 0.000, 0.000,-46.604,21.130 

2020/02/13 16:36:28 575,194.800,-25.693,243031288,194800846, 0.000,28.762,0.09034320,0.01160856, 0.000, 0.000,-46.624,21.094 

2020/02/13 16:36:29 560,194.800,-25.670,229107695,194800874, 0.000,28.778,0.07674842,0.00719217, 0.000, 0.000,-46.632,21.123 

2020/02/13 16:36:30 543,194.800,-25.623,246828668,194800849, 0.000,28.811,0,0.00626931, 0.000, 0.000,-46.639,21.010 

2020/02/13 16:36:31 528,194.800,-25.559,234170787,194800852, 0.000,28.852,0.08949495,0.03735867, 0.000, 0.000,-46.646,21.081 

2020/02/13 16:36:32 489,194.800,-25.697,227841891,194800868, 0.000,28.727,0.08171869,0.09182717, 0.000, 0.000,-46.626,21.075 

2020/02/13 16:36:33 496,194.800,-25.557,237968198,194800868, 0.000,28.889,0,0.02039425, 0.000, 0.000,-46.617,21.054 

2020/02/13 16:36:34 482,194.800,-25.618,239233971,194800862, 0.000,28.811,0,0.04191853, 0.000, 0.000,-46.628,21.003 

